uri:/instrument/1.0/AA/chartdata;type=quote;range=1d/csv
ticker:aa
Company-Name:Alcoa Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.2600
Timestamp:1467811800,1467835200
labels:1467813600,1467817200,1467820800,1467824400,1467828000,1467831600,1467835200
values:Timestamp,close,high,low,open,volume
close:9.0400,9.2500
high:9.0500,9.2500
low:9.0300,9.2400
open:9.0450,9.2500
volume:300,407000
1467811830,9.1400,9.1400,9.1400,9.1400,44600
1467811909,9.1500,9.1600,9.1300,9.1300,33000
1467811976,9.1400,9.1500,9.1300,9.1500,24200
1467812026,9.1400,9.1400,9.1200,9.1400,24000
1467812098,9.1468,9.1600,9.1300,9.1350,397400
1467812158,9.1400,9.1500,9.1200,9.1455,150400
1467812213,9.1500,9.1599,9.1300,9.1450,56500
1467812278,9.1300,9.1550,9.1100,9.1550,74700
1467812283,9.1300,9.1500,9.1250,9.1300,48000
1467812342,9.1250,9.1300,9.1100,9.1300,81300
1467812404,9.1050,9.1280,9.1000,9.1200,91100
1467812468,9.1100,9.1100,9.0800,9.1100,143300
1467812520,9.0800,9.1100,9.0770,9.1050,122900
1467812639,9.0750,9.1000,9.0600,9.0800,174100
1467812699,9.0750,9.0750,9.0500,9.0750,208400
1467812759,9.0650,9.0800,9.0600,9.0750,49300
1467812760,9.0650,9.0800,9.0600,9.0650,89600
1467812879,9.0650,9.0700,9.0600,9.0650,63100
1467812881,9.0950,9.1000,9.0600,9.0650,157800
1467812998,9.0850,9.1000,9.0800,9.1000,64700
1467813059,9.1150,9.1150,9.0800,9.0850,182300
1467813119,9.1028,9.1200,9.1000,9.1150,122900
1467813179,9.1050,9.1062,9.0900,9.1050,60700
1467813239,9.1150,9.1200,9.1000,9.1100,78300
1467813240,9.1250,9.1300,9.1150,9.1200,103000
1467813302,9.1350,9.1400,9.1250,9.1250,79000
1467813419,9.1350,9.1400,9.1300,9.1350,86300
1467813479,9.1350,9.1400,9.1200,9.1350,106700
1467813538,9.1400,9.1400,9.1350,9.1400,30500
1467813599,9.1350,9.1400,9.1300,9.1400,38600
1467813659,9.1662,9.1800,9.1400,9.1400,143000
1467813718,9.1850,9.2000,9.1600,9.1616,101300
1467813720,9.1500,9.1900,9.1500,9.1900,196500
1467813837,9.1350,9.1550,9.1300,9.1550,104200
1467813899,9.1562,9.1600,9.1300,9.1350,33800
1467813900,9.1200,9.1599,9.1200,9.1500,134900
1467814018,9.1100,9.1300,9.1100,9.1250,65800
1467814078,9.1000,9.1100,9.0900,9.1100,64000
1467814080,9.0950,9.1200,9.0900,9.1050,81900
1467814199,9.0800,9.0950,9.0750,9.0950,65100
1467814258,9.0935,9.1000,9.0736,9.0800,62700
1467814317,9.1000,9.1000,9.0843,9.1000,48500
1467814320,9.1032,9.1069,9.0700,9.1000,147000
1467814426,9.1062,9.1100,9.1000,9.1050,21900
1467814442,9.0950,9.1050,9.0900,9.1050,35400
1467814549,9.0950,9.0999,9.0900,9.0900,9700
1467814561,9.0800,9.1000,9.0650,9.0950,83400
1467814622,9.0510,9.0750,9.0500,9.0700,123800
1467814680,9.0631,9.0631,9.0500,9.0599,81800
1467814741,9.0590,9.0650,9.0500,9.0600,72000
1467814859,9.0600,9.0700,9.0500,9.0500,64100
1467814861,9.0600,9.0700,9.0490,9.0500,84300
1467814979,9.0600,9.0600,9.0500,9.0600,20300
1467815032,9.0550,9.0600,9.0500,9.0600,17700
1467815097,9.0450,9.0580,9.0400,9.0550,113200
1467815159,9.0450,9.0500,9.0400,9.0500,37900
1467815160,9.0401,9.0550,9.0400,9.0500,111800
1467815279,9.0487,9.0500,9.0400,9.0500,21900
1467815281,9.0400,9.0500,9.0300,9.0450,106400
1467815341,9.0550,9.0600,9.0400,9.0483,27600
1467815458,9.0600,9.0600,9.0400,9.0550,100700
1467815517,9.0650,9.0700,9.0541,9.0550,35600
1467815574,9.0600,9.0700,9.0600,9.0650,8000
1467815639,9.0800,9.0900,9.0650,9.0690,89300
1467815698,9.0800,9.0900,9.0800,9.0900,7300
1467815700,9.0700,9.0800,9.0700,9.0800,39300
1467815817,9.0800,9.0900,9.0700,9.0700,59300
1467815820,9.0800,9.0863,9.0800,9.0800,29600
1467815936,9.0838,9.0899,9.0800,9.0800,21100
1467815997,9.0800,9.0900,9.0800,9.0850,21200
1467816057,9.0700,9.0874,9.0700,9.0850,40300
1467816116,9.0700,9.0800,9.0700,9.0700,8800
1467816177,9.0700,9.0800,9.0600,9.0700,65300
1467816239,9.0600,9.0706,9.0600,9.0700,17800
1467816295,9.0600,9.0665,9.0600,9.0665,19600
1467816354,9.0600,9.0700,9.0600,9.0600,23600
1467816360,9.0600,9.0650,9.0600,9.0601,26300
1467816479,9.0600,9.0700,9.0600,9.0600,45600
1467816539,9.0600,9.0700,9.0500,9.0600,90500
1467816597,9.0900,9.0900,9.0500,9.0600,144500
1467816659,9.1000,9.1100,9.0844,9.0900,265300
1467816719,9.0901,9.1000,9.0900,9.1000,70100
1467816779,9.0950,9.0990,9.0900,9.0983,4700
1467816825,9.0808,9.0970,9.0800,9.0950,33900
1467816899,9.1000,9.1000,9.0800,9.0800,19100
1467816959,9.1000,9.1000,9.0900,9.1000,17800
1467816960,9.0850,9.1000,9.0801,9.1000,153100
1467817079,9.0750,9.0900,9.0750,9.0900,67400
1467817080,9.1100,9.1100,9.0750,9.0800,73300
1467817198,9.1194,9.1265,9.1000,9.1155,98700
1467817258,9.1331,9.1400,9.1200,9.1200,115300
1467817260,9.1427,9.1500,9.1397,9.1400,52200
1467817379,9.1700,9.1700,9.1400,9.1400,145200
1467817439,9.1700,9.1700,9.1601,9.1650,28300
1467817498,9.1650,9.1700,9.1601,9.1700,35900
1467817559,9.1900,9.2000,9.1601,9.1700,151700
1467817617,9.1750,9.2000,9.1700,9.2000,64700
1467817679,9.1900,9.1900,9.1740,9.1750,64800
1467817737,9.1800,9.1900,9.1800,9.1900,16600
1467817740,9.1850,9.1900,9.1800,9.1900,48600
1467817802,9.2050,9.2200,9.1800,9.1850,248000
1467817918,9.2100,9.2200,9.2000,9.2100,32000
1467817976,9.2000,9.2100,9.1900,9.2100,74800
1467818038,9.2300,9.2300,9.2000,9.2000,130600
1467818098,9.2200,9.2300,9.2200,9.2300,49500
1467818158,9.2250,9.2300,9.2200,9.2300,55100
1467818219,9.2300,9.2300,9.2200,9.2250,69500
1467818279,9.2250,9.2300,9.2200,9.2300,28900
1467818282,9.2000,9.2300,9.1900,9.2250,175700
1467818347,9.2100,9.2100,9.2000,9.2050,53400
1467818459,9.2000,9.2100,9.2000,9.2080,49800
1467818519,9.2000,9.2100,9.2000,9.2000,15400
1467818579,9.1900,9.2010,9.1900,9.2000,30500
1467818639,9.1813,9.1925,9.1800,9.1900,79600
1467818699,9.1900,9.1900,9.1700,9.1800,95200
1467818759,9.1850,9.1900,9.1800,9.1850,12200
1467818818,9.1800,9.1900,9.1800,9.1850,29700
1467818879,9.1700,9.1900,9.1700,9.1850,78300
1467818939,9.1700,9.1750,9.1700,9.1700,25500
1467818940,9.1700,9.1750,9.1600,9.1700,53000
1467819059,9.1834,9.1900,9.1600,9.1700,124500
1467819118,9.1850,9.1900,9.1800,9.1900,21700
1467819175,9.1950,9.1950,9.1800,9.1850,21000
1467819238,9.1897,9.1973,9.1800,9.1950,54000
1467819296,9.1750,9.1850,9.1700,9.1850,21200
1467819359,9.1750,9.1800,9.1700,9.1750,28600
1467819419,9.1800,9.1800,9.1600,9.1700,64500
1467819477,9.1899,9.1900,9.1700,9.1800,72600
1467819538,9.1850,9.1900,9.1800,9.1850,26000
1467819599,9.1950,9.1950,9.1800,9.1850,39500
1467819659,9.2050,9.2100,9.1931,9.1931,35900
1467819717,9.2150,9.2150,9.2000,9.2100,32100
1467819776,9.2050,9.2156,9.2000,9.2132,66100
1467819838,9.1850,9.2100,9.1850,9.2000,45900
1467819899,9.1900,9.2000,9.1800,9.1800,34200
1467819904,9.1950,9.1999,9.1900,9.1950,26800
1467820018,9.1950,9.2000,9.1900,9.1950,28500
1467820024,9.1987,9.2000,9.1900,9.1950,9900
1467820136,9.2000,9.2100,9.1900,9.1990,89200
1467820196,9.1850,9.2000,9.1800,9.2000,37400
1467820206,9.1850,9.1900,9.1800,9.1800,9800
1467820317,9.1900,9.1900,9.1800,9.1800,24800
1467820322,9.1850,9.1900,9.1800,9.1800,9000
1467820380,9.1950,9.2000,9.1800,9.1850,97500
1467820499,9.1950,9.2000,9.1900,9.1900,10500
1467820559,9.1850,9.2000,9.1800,9.2000,52900
1467820618,9.1900,9.2000,9.1800,9.1899,72400
1467820620,9.1850,9.1900,9.1800,9.1900,57500
1467820739,9.1850,9.1900,9.1800,9.1850,17600
1467820799,9.1800,9.1900,9.1800,9.1800,13100
1467820857,9.1950,9.2000,9.1800,9.1800,60000
1467820916,9.1900,9.2000,9.1900,9.1950,10900
1467820979,9.2000,9.2100,9.1900,9.1900,68700
1467821039,9.2200,9.2200,9.2000,9.2050,52500
1467821099,9.2250,9.2300,9.2200,9.2200,64100
1467821158,9.2200,9.2300,9.2200,9.2250,59100
1467821212,9.2250,9.2300,9.2200,9.2250,45700
1467821277,9.2400,9.2400,9.2238,9.2250,78400
1467821339,9.2400,9.2400,9.2310,9.2400,85300
1467821397,9.2350,9.2400,9.2300,9.2400,23800
1467821458,9.2200,9.2400,9.2200,9.2332,101100
1467821519,9.2150,9.2250,9.2100,9.2200,101600
1467821579,9.2250,9.2300,9.2100,9.2100,36100
1467821639,9.2251,9.2300,9.2200,9.2250,22500
1467821699,9.2100,9.2250,9.2100,9.2200,49900
1467821759,9.2100,9.2200,9.2100,9.2150,45100
1467821819,9.2100,9.2200,9.2100,9.2150,6900
1467821878,9.2200,9.2200,9.2100,9.2100,25300
1467821939,9.2450,9.2500,9.2200,9.2200,96300
1467821998,9.2400,9.2500,9.2400,9.2400,13900
1467822059,9.2450,9.2500,9.2400,9.2439,8700
1467822119,9.2500,9.2500,9.2400,9.2500,34400
1467822179,9.2300,9.2500,9.2300,9.2500,122800
1467822235,9.2300,9.2350,9.2300,9.2300,7800
1467822289,9.2300,9.2350,9.2300,9.2300,13200
1467822355,9.2200,9.2310,9.2200,9.2310,58100
1467822362,9.2200,9.2259,9.2100,9.2200,144500
1467822420,9.2300,9.2300,9.2150,9.2150,62100
1467822536,9.2250,9.2300,9.2200,9.2300,55800
1467822597,9.2150,9.2250,9.2101,9.2200,58100
1467822658,9.2300,9.2300,9.2100,9.2200,143500
