uri:/instrument/1.0/AAP/chartdata;type=quote;range=1d/csv
ticker:aap
Company-Name:Advance Auto Parts Inc Advance 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:166.0300
Timestamp:1469453400,1469476800
labels:1469455200,1469458800,1469462400,1469466000,1469469600,1469473200,1469476800
values:Timestamp,close,high,low,open,volume
close:165.3800,166.6700
high:165.3900,166.7699
low:165.3800,166.6700
open:165.3900,166.7000
volume:100,13600
1469453696,165.7350,166.0000,165.7350,166.0000,3500
1469453939,166.0400,166.0400,165.5600,165.7400,1900
1469453940,166.1100,166.1100,165.7500,166.0400,4000
1469454009,166.1100,166.1100,166.1100,166.1100,400
1469454071,166.2200,166.2200,166.1600,166.1700,1100
1469454139,166.6390,166.6390,166.5000,166.5000,400
1469454232,166.6700,166.6700,166.5350,166.6300,1300
1469454241,166.5100,166.7699,166.5100,166.7000,1600
1469454321,166.2650,166.5100,166.1400,166.5100,2900
1469454419,166.1400,166.1400,166.0600,166.1400,4800
1469454497,166.0000,166.1200,166.0000,166.1100,3400
1469454593,165.8900,165.9500,165.8900,165.9500,300
1469454605,166.0000,166.0000,166.0000,166.0000,300
1469454672,165.9050,166.0200,165.9050,166.0100,600
1469454734,165.9550,165.9550,165.9550,165.9550,300
1469454868,166.0801,166.0801,166.0801,166.0801,1400
1469454934,166.1100,166.2500,166.0900,166.2000,8300
1469454979,166.2800,166.2800,166.1900,166.1900,300
1469455059,166.0100,166.0100,166.0100,166.0100,1300
1469455162,166.0200,166.1400,165.8500,165.9400,3700
1469455257,166.1100,166.1200,166.0300,166.1200,300
1469455268,166.1700,166.2200,166.0450,166.0700,1200
1469455366,166.2500,166.2500,166.2500,166.2500,200
1469455383,166.0700,166.2700,166.0700,166.2500,3700
1469455446,166.1900,166.1900,166.1000,166.1000,300
1469455546,166.2800,166.3400,166.2200,166.2900,2300
1469455621,166.3000,166.3000,166.3000,166.3000,400
1469455711,166.1600,166.2900,166.1600,166.2800,3500
1469455763,166.1700,166.1700,166.1700,166.1700,100
1469455854,166.2450,166.2800,166.2450,166.2800,400
1469455880,166.1939,166.1939,166.1939,166.1939,1100
1469456004,166.0800,166.1200,166.0800,166.1200,1500
1469456077,165.8600,165.8600,165.7300,165.7300,700
1469456114,165.8500,165.9300,165.8500,165.9100,2100
1469456189,165.8000,165.8825,165.8000,165.8600,600
1469456220,165.9800,165.9800,165.8000,165.8000,4400
1469456317,166.0500,166.0500,166.0500,166.0500,900
1469456515,165.9700,166.0000,165.9600,165.9600,600
1469456609,165.9750,165.9750,165.9750,165.9750,300
1469456695,166.0800,166.0900,166.0400,166.0400,1500
1469456871,165.9200,165.9200,165.9200,165.9200,2800
1469456908,166.1000,166.1000,166.0500,166.0500,1800
1469456953,166.0900,166.0900,166.0900,166.0900,200
1469457001,166.1100,166.1100,166.0200,166.0800,400
1469457063,166.1300,166.1600,166.1100,166.1600,2200
1469457120,166.0800,166.0800,166.0800,166.0800,300
1469457214,166.0500,166.1200,166.0500,166.0800,500
1469457241,166.0400,166.0400,166.0400,166.0400,100
1469457359,166.1050,166.1050,166.1050,166.1050,100
1469457391,166.1300,166.1300,166.1300,166.1300,100
1469457517,166.1350,166.1350,166.1000,166.1000,300
1469457588,166.0800,166.0800,166.0800,166.0800,200
1469457605,166.2100,166.2100,166.1200,166.1300,1900
1469457685,166.2000,166.2400,166.2000,166.2400,700
1469457745,166.1350,166.1500,166.1350,166.1500,900
1469457840,166.1300,166.1600,166.1000,166.1600,900
1469457949,166.1100,166.1800,166.1100,166.1300,3800
1469457995,166.1800,166.2100,166.1200,166.1600,2700
1469458188,166.2350,166.3200,166.1250,166.1250,8700
1469458243,166.3100,166.3500,166.2200,166.2500,6600
1469458278,166.5150,166.5800,166.5100,166.5100,1500
1469458401,166.5200,166.5200,166.4514,166.4514,200
1469458549,166.5300,166.5800,166.5300,166.5300,300
1469458569,166.5000,166.5200,166.5000,166.5000,1700
1469458685,166.5100,166.6200,166.4200,166.5000,7400
1469458770,166.5900,166.5900,166.5409,166.5409,200
1469458806,166.5400,166.5700,166.4900,166.5700,800
1469458996,166.2100,166.4200,166.2000,166.4200,900
1469459106,166.3100,166.3100,166.1900,166.2500,3700
1469459219,166.2500,166.3500,166.1250,166.3500,2700
1469459273,166.2500,166.2600,166.2500,166.2600,1800
1469459281,166.1900,166.3500,166.1900,166.2300,6200
1469459394,166.1100,166.2800,166.1100,166.2700,1300
1469459407,166.3400,166.3400,166.2400,166.2700,1300
1469459520,166.3400,166.3400,166.2500,166.3300,2200
1469459586,166.3500,166.3700,166.2510,166.2924,2800
1469459668,166.4300,166.4300,166.4300,166.4300,400
1469459712,166.3500,166.4300,166.3500,166.3900,1400
1469459819,166.3300,166.3601,166.2200,166.3600,2000
1469459820,166.3300,166.3300,166.3300,166.3300,100
1469459938,166.0800,166.0800,166.0800,166.0800,1200
1469460046,166.2160,166.2160,166.0900,166.1250,400
1469460138,166.2690,166.2690,166.1200,166.2400,400
1469460225,166.1600,166.1600,166.1500,166.1500,700
1469460242,166.2300,166.2300,166.1600,166.1600,400
1469460352,166.2000,166.2000,166.2000,166.2000,1900
