uri:/instrument/1.0/ACN/chartdata;type=quote;range=1d/csv
ticker:acn
Company-Name:Accenture plc Class A Ordinary 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:115.6600
Timestamp:1473168600,1473192000
labels:1473170400,1473174000,1473177600,1473181200,1473184800,1473188400,1473192000
values:Timestamp,close,high,low,open,volume
close:114.8400,115.9800
high:114.8800,115.9900
low:114.8300,115.9800
open:114.8400,115.9800
volume:100,211700
1473168621,115.8350,115.8350,115.8350,115.8350,35800
1473168729,115.9800,115.9800,115.9800,115.9800,700
1473168809,115.8700,115.9800,115.8700,115.9800,6000
1473168849,115.7924,115.9250,115.7924,115.8600,3100
1473168900,115.9700,115.9900,115.7800,115.7800,5300
1473168962,115.8300,115.9300,115.8300,115.9300,2000
1473169129,115.8883,115.8883,115.8550,115.8700,2400
1473169199,115.8175,115.8800,115.7700,115.8600,2400
1473169203,115.8200,115.9300,115.8000,115.8150,3400
1473169289,115.7714,115.8300,115.7714,115.8200,1500
1473169340,115.8300,115.8300,115.8050,115.8050,500
1473169439,115.7600,115.8000,115.7400,115.8000,3500
1473169447,115.6200,115.7700,115.6200,115.7700,1100
1473169500,115.6900,115.7400,115.6200,115.6200,7000
1473169617,115.6877,115.6877,115.6700,115.6700,900
1473169623,115.6500,115.7100,115.6400,115.7000,4700
1473169709,115.6400,115.6400,115.6100,115.6200,1300
1473169742,115.6600,115.6600,115.6209,115.6209,1900
1473169801,115.6000,115.6800,115.5500,115.6800,3800
1473169915,115.6100,115.6100,115.6100,115.6100,1000
1473169973,115.6400,115.6400,115.6200,115.6400,1800
1473169981,115.5700,115.6400,115.5700,115.6200,1600
1473170058,115.5800,115.6400,115.5583,115.5800,1700
1473170100,115.7300,115.7300,115.6200,115.6200,900
1473170172,115.7800,115.8100,115.7800,115.7800,2900
1473170227,115.7100,115.7700,115.7100,115.7600,1700
1473170333,115.6600,115.7100,115.6600,115.7100,1100
1473170353,115.6500,115.6800,115.6500,115.6800,1400
1473170459,115.6500,115.6700,115.5900,115.6100,5300
1473170513,115.6200,115.6600,115.5600,115.6300,2400
1473170520,115.5900,115.6200,115.5600,115.6200,1500
1473170584,115.6400,115.6400,115.5900,115.6100,900
1473170648,115.6900,115.6900,115.6200,115.6500,1900
1473170714,115.6200,115.7315,115.6200,115.7315,2000
1473170765,115.4700,115.5800,115.4700,115.5800,2400
1473170820,115.5000,115.5614,115.4600,115.4600,2900
1473170936,115.4900,115.5000,115.4600,115.4950,2300
1473170940,115.5600,115.6300,115.4900,115.5100,7000
1473171006,115.5600,115.6700,115.5600,115.6100,3700
1473171114,115.5300,115.5500,115.4900,115.5500,1900
1473171177,115.4200,115.5050,115.4200,115.5000,1400
1473171180,115.4400,115.4500,115.3800,115.4500,2500
1473171295,115.4400,115.4400,115.4200,115.4200,400
1473171358,115.4000,115.5050,115.4000,115.4500,4100
1473171364,115.2900,115.4055,115.2900,115.4055,1200
1473171424,115.2500,115.3300,115.2300,115.2800,4100
1473171480,115.2092,115.2600,115.1700,115.2500,7100
1473171599,115.1000,115.1838,115.0800,115.1800,3900
1473171600,115.0400,115.1100,115.0300,115.1000,1700
1473171661,115.0900,115.1300,115.0800,115.0800,3200
1473171838,115.0500,115.1300,115.0300,115.0800,3100
1473171857,115.0600,115.0800,115.0536,115.0799,800
1473171912,115.0400,115.0900,115.0300,115.0700,2500
1473172019,114.9500,115.0500,114.9500,115.0400,5000
1473172023,114.9200,114.9700,114.8900,114.9500,3900
1473172113,114.9400,114.9700,114.9400,114.9400,400
1473172189,115.0300,115.0300,114.9700,114.9800,3800
1473172206,115.0300,115.0800,115.0200,115.0200,7400
1473172317,115.0100,115.0450,114.9900,115.0300,3800
1473172321,115.0300,115.0500,114.9900,114.9900,900
1473172383,115.0300,115.0500,115.0300,115.0300,4500
1473172443,114.9900,115.0500,114.9900,115.0300,6600
1473172539,114.9950,115.0000,114.9900,114.9900,1000
1473172563,115.0100,115.0300,114.9700,114.9800,4600
1473172671,114.9980,115.0100,114.9700,115.0100,3000
1473172680,115.0200,115.0200,115.0000,115.0000,900
1473172760,115.0300,115.0400,115.0100,115.0200,1900
1473172851,114.9948,115.0500,114.9900,115.0300,4700
1473172914,114.9800,115.0000,114.9700,114.9700,3300
1473172926,114.9600,114.9900,114.9500,114.9800,1800
1473172999,114.9500,115.0100,114.9500,114.9900,3500
1473173047,114.9700,114.9800,114.9700,114.9800,900
1473173113,115.0000,115.0200,114.9900,114.9900,2800
1473173213,114.9600,114.9900,114.9600,114.9900,1700
1473173222,114.9500,114.9600,114.9500,114.9600,1900
1473173318,114.9400,114.9500,114.9400,114.9500,900
1473173385,114.9400,114.9400,114.9100,114.9100,1400
1473173420,114.9000,114.9100,114.9000,114.9100,900
1473173519,114.9300,114.9500,114.9250,114.9250,2500
1473173578,114.9000,114.9450,114.9000,114.9450,6400
1473173582,114.8600,114.9000,114.8600,114.9000,2400
1473173656,114.9300,114.9500,114.8900,114.9000,2300
1473173753,114.8700,114.9500,114.8700,114.9500,5600
1473173760,114.8410,114.8900,114.8300,114.8800,2200
1473173827,114.8600,114.8800,114.8300,114.8600,6100
1473173938,114.9100,114.9200,114.8600,114.8700,9300
1473173941,114.8900,114.9400,114.8900,114.9100,5900
1473174023,114.8700,114.9200,114.8400,114.9200,7200
1473174113,114.8600,114.8900,114.8600,114.8900,4000
1473174176,114.9400,114.9400,114.8550,114.8600,3600
1473174181,114.9700,114.9800,114.9500,114.9600,2800
1473174240,114.9500,114.9605,114.9400,114.9600,1500
1473174308,114.9600,114.9600,114.9500,114.9600,1400
1473174371,114.9200,114.9900,114.9200,114.9501,1200
1473174450,114.9200,114.9300,114.9200,114.9200,1600
1473174482,114.9100,114.9400,114.9100,114.9400,1300
1473174546,114.9000,114.9200,114.8800,114.9200,2300
1473174614,114.9000,114.9300,114.9000,114.9300,1100
1473174668,114.8900,114.9250,114.8800,114.8900,3900
1473174771,114.8800,114.8900,114.8800,114.8900,300
1473174788,114.8400,114.8900,114.8400,114.8900,6500
1473174854,114.8800,114.8800,114.8400,114.8400,2300
1473174903,114.9300,114.9600,114.8900,114.8932,5200
1473174971,114.9700,114.9700,114.9100,114.9200,3400
1473175020,114.9200,114.9700,114.9200,114.9700,1600
1473175083,114.8900,114.9400,114.8800,114.9400,2300
1473175150,114.8500,114.8950,114.8500,114.8950,1300
1473175202,114.9300,114.9300,114.8600,114.8700,10300
1473175266,115.0000,115.0000,114.9200,114.9300,4600
1473175377,115.0400,115.0400,115.0000,115.0200,3600
1473175384,115.0300,115.0600,115.0300,115.0400,1400
1473175451,115.1600,115.1600,115.0600,115.0700,2800
1473175508,115.1700,115.2400,115.1500,115.1600,5900
1473175616,115.0950,115.1700,115.0600,115.1700,5400
1473175625,115.0700,115.0800,115.0600,115.0800,1400
1473175713,115.0500,115.0500,115.0400,115.0500,1100
1473175746,115.0700,115.0700,115.0400,115.0500,800
1473175857,115.0900,115.1100,115.0400,115.0600,3500
1473175869,115.1100,115.1100,115.1100,115.1100,400
1473175925,115.1700,115.1700,115.1200,115.1200,1600
1473176026,115.1400,115.1600,115.1400,115.1600,800
1473176050,115.2000,115.2000,115.1600,115.1600,600
1473176159,115.1900,115.2200,115.1800,115.2155,2900
1473176161,115.2200,115.2300,115.1700,115.1700,1100
1473176221,115.2400,115.2500,115.1900,115.1900,1900
1473176333,115.2500,115.2500,115.2500,115.2500,300
1473176351,115.2700,115.2800,115.2500,115.2500,1200
1473176411,115.2700,115.2900,115.2700,115.2800,800
1473176462,115.3300,115.3700,115.3000,115.3000,3300
1473176527,115.3600,115.3600,115.3400,115.3400,1100
1473176595,115.3200,115.3800,115.3200,115.3600,2600
1473176643,115.2800,115.3250,115.2800,115.3250,1500
1473176707,115.2900,115.2900,115.2700,115.2700,1500
1473176763,115.3300,115.3300,115.3000,115.3000,800
1473176820,115.3300,115.3400,115.3100,115.3300,800
1473176894,115.4300,115.4400,115.3600,115.3600,4300
1473176944,115.4100,115.4300,115.3900,115.4200,1900
1473177059,115.3800,115.4400,115.3700,115.4100,1800
1473177060,115.3600,115.4000,115.3550,115.3900,1700
1473177177,115.3600,115.3600,115.3500,115.3500,400
1473177236,115.3200,115.3700,115.3200,115.3700,2100
1473177265,115.3400,115.3440,115.3110,115.3110,600
1473177357,115.3400,115.3500,115.3300,115.3500,600
1473177362,115.3300,115.3400,115.3200,115.3200,800
1473177468,115.3300,115.3300,115.3300,115.3300,400
1473177502,115.3231,115.3400,115.3200,115.3300,800
1473177549,115.3400,115.3499,115.3200,115.3317,1800
1473177601,115.3900,115.3900,115.3400,115.3600,1400
1473177665,115.4070,115.4070,115.3800,115.3800,800
1473177721,115.4550,115.4550,115.4200,115.4200,1300
1473177815,115.4100,115.4400,115.4100,115.4400,1100
1473177863,115.4500,115.4500,115.3800,115.4096,5900
1473177902,115.4000,115.4200,115.3900,115.4200,2700
1473178019,115.3700,115.3900,115.3500,115.3900,2500
1473178024,115.3700,115.3700,115.3200,115.3700,1200
1473178088,115.3500,115.3800,115.3500,115.3800,1400
1473178140,115.3100,115.3500,115.3100,115.3500,3100
1473178207,115.3200,115.3200,115.2600,115.2900,6200
1473178274,115.3000,115.3100,115.3000,115.3100,700
1473178350,115.3150,115.3300,115.3150,115.3300,1000
1473178426,115.3100,115.3457,115.3100,115.3457,300
1473178487,115.3200,115.3500,115.3200,115.3400,600
1473178500,115.3200,115.3407,115.3200,115.3200,300
1473178577,115.3200,115.3300,115.3200,115.3200,1300
1473178667,115.2700,115.3200,115.2700,115.3000,800
1473178681,115.2900,115.2900,115.2700,115.2700,700
1473178746,115.2800,115.2800,115.2800,115.2800,100
1473178824,115.3000,115.3000,115.2900,115.2900,400
1473178978,115.3000,115.3221,115.3000,115.3000,1400
1473178983,115.3301,115.3400,115.3000,115.3000,1500
1473179095,115.3500,115.3600,115.3400,115.3400,900
1473179100,115.3600,115.3600,115.3600,115.3600,100
1473179177,115.3400,115.3400,115.3400,115.3400,1300
1473179235,115.3900,115.3900,115.3496,115.3496,1900
1473179314,115.3900,115.4200,115.3900,115.4200,1300
1473179383,115.4100,115.4100,115.4100,115.4100,100
1473179410,115.3700,115.4000,115.3700,115.4000,2200
1473179485,115.3600,115.3600,115.3500,115.3600,600
1473179525,115.4200,115.4200,115.3700,115.3700,1400
1473179628,115.4200,115.4400,115.4200,115.4399,600
1473179689,115.4000,115.4100,115.4000,115.4100,1100
1473179702,115.4100,115.4100,115.3600,115.3700,1100
1473179770,115.3700,115.4000,115.3700,115.4000,1300
1473179824,115.3600,115.3800,115.3550,115.3550,800
1473179914,115.3800,115.3800,115.3500,115.3500,300
1473179953,115.3900,115.3900,115.3900,115.3900,300
1473180017,115.4000,115.4200,115.4000,115.4100,2600
1473180077,115.4200,115.4200,115.4100,115.4100,700
1473180138,115.4300,115.4600,115.4300,115.4600,2700
1473180203,115.4900,115.5200,115.4900,115.5000,900
1473180272,115.4700,115.4900,115.4700,115.4900,500
1473180366,115.5400,115.5400,115.5000,115.5000,1100
1473180420,115.4800,115.5600,115.4800,115.5600,1900
1473180488,115.4700,115.4700,115.4500,115.4700,1100
1473180605,115.4400,115.4700,115.4400,115.4700,1800
1473180700,115.4500,115.4500,115.4500,115.4500,300
1473180763,115.4200,115.4400,115.3900,115.4400,2700
1473180782,115.4400,115.4500,115.4300,115.4300,1200
1473180909,115.4200,115.4300,115.4200,115.4300,600
1473180965,115.4500,115.4600,115.4400,115.4400,1200
1473181034,115.4406,115.4550,115.4406,115.4550,400
1473181093,115.4300,115.4400,115.4300,115.4400,600
1473181142,115.3300,115.4300,115.3300,115.4300,2700
1473181201,115.3600,115.3600,115.3100,115.3100,2200
1473181303,115.3300,115.3400,115.3300,115.3400,300
1473181332,115.3700,115.3700,115.3400,115.3400,800
1473181428,115.3864,115.3864,115.3864,115.3864,200
1473181452,115.3800,115.3800,115.3600,115.3600,400
1473181501,115.3600,115.3800,115.3500,115.3800,9900
1473181619,115.3537,115.3600,115.3537,115.3600,400
1473181634,115.3550,115.3700,115.3550,115.3700,4500
1473181723,115.3800,115.3800,115.3550,115.3550,20700
1473181748,115.3600,115.3700,115.3600,115.3700,900
1473181819,115.4000,115.4000,115.3650,115.3750,3000
1473181860,115.3600,115.4100,115.3600,115.4000,1600
1473181945,115.4000,115.4000,115.3650,115.3650,2800
1473182001,115.4000,115.4000,115.3800,115.3800,300
1473182045,115.4000,115.4100,115.3900,115.4100,1400
1473182111,115.4500,115.4600,115.4300,115.4300,4900
1473182180,115.4400,115.4500,115.4400,115.4400,800
1473182265,115.4300,115.4300,115.4300,115.4300,200
1473182280,115.4100,115.4463,115.4100,115.4463,1500
1473182359,115.4000,115.4100,115.3800,115.4100,1500
1473182412,115.3711,115.3800,115.3711,115.3800,500
1473182460,115.4000,115.4000,115.3700,115.3800,1000
1473182551,115.3700,115.3900,115.3700,115.3900,500
1473182631,115.3600,115.3800,115.3400,115.3400,1300
1473182651,115.3400,115.3700,115.3400,115.3700,3100
1473182743,115.3599,115.3599,115.3599,115.3599,100
1473182773,115.3900,115.3900,115.3600,115.3600,2000
1473182832,115.4300,115.4300,115.4100,115.4100,400
1473182923,115.4200,115.4400,115.4200,115.4300,2300
1473183016,115.4200,115.4300,115.4100,115.4300,1100
1473183066,115.4101,115.4300,115.4101,115.4200,1000
1473183134,115.4109,115.4300,115.4109,115.4300,700
1473183195,115.4050,115.4050,115.3942,115.4000,900
1473183295,115.3930,115.3930,115.3930,115.3930,100
1473183303,115.3900,115.4200,115.3600,115.4200,1500
1473183366,115.3900,115.4000,115.3800,115.3800,1500
1473183424,115.3806,115.4000,115.3806,115.4000,300
1473183490,115.3700,115.4100,115.3700,115.4000,2200
1473183596,115.3900,115.4000,115.3900,115.3900,400
1473183617,115.4000,115.4400,115.4000,115.4100,2900
1473183728,115.4600,115.4600,115.4300,115.4300,1100
1473183815,115.4800,115.4800,115.4600,115.4600,1000
1473183854,115.4400,115.4800,115.4200,115.4800,3500
1473184006,115.4650,115.4650,115.4600,115.4600,600
1473184020,115.4600,115.4600,115.4500,115.4500,800
1473184099,115.4500,115.4600,115.4500,115.4600,700
1473184164,115.4500,115.4520,115.4400,115.4500,2100
1473184207,115.4400,115.4600,115.4400,115.4600,1800
1473184276,115.4500,115.4600,115.4400,115.4400,1100
1473184332,115.4400,115.4430,115.4300,115.4430,800
1473184410,115.4500,115.4500,115.4400,115.4500,500
1473184468,115.4550,115.4600,115.4550,115.4600,400
1473184509,115.4600,115.4700,115.4600,115.4600,3600
1473184564,115.4300,115.4700,115.4300,115.4550,3000
1473184639,115.4100,115.4300,115.4100,115.4300,1500
1473184703,115.4000,115.4000,115.3800,115.3800,1300
1473184783,115.3800,115.3900,115.3800,115.3900,700
1473184800,115.4050,115.4100,115.3799,115.3799,2800
1473184877,115.3600,115.4000,115.3500,115.4000,4400
1473184922,115.3500,115.3800,115.3300,115.3800,2300
1473185018,115.3400,115.3700,115.3400,115.3600,1500
1473185049,115.2900,115.3500,115.2900,115.3500,4000
1473185152,115.3000,115.3000,115.3000,115.3000,100
1473185214,115.2900,115.3000,115.2900,115.2900,1600
1473185223,115.3000,115.3100,115.3000,115.3000,1800
1473185284,115.2800,115.3100,115.2700,115.3100,1900
1473185358,115.2300,115.2800,115.2300,115.2800,2500
1473185455,115.2271,115.2500,115.2250,115.2500,1600
1473185465,115.2300,115.2400,115.2200,115.2400,1500
1473185544,115.2510,115.2510,115.2400,115.2400,800
1473185594,115.2000,115.2500,115.1900,115.2500,8900
1473185657,115.2000,115.2400,115.2000,115.2000,3500
1473185702,115.1700,115.2000,115.1700,115.2000,3500
1473185784,115.1700,115.1700,115.1700,115.1700,500
1473185835,115.1600,115.1800,115.1600,115.1700,2300
1473185884,115.1700,115.2000,115.1700,115.1800,2200
1473185946,115.1800,115.2000,115.1700,115.1800,2600
1473186002,115.1800,115.1900,115.1700,115.1900,2200
1473186068,115.1850,115.1900,115.1850,115.1900,1300
1473186178,115.1900,115.2002,115.1900,115.1900,2500
1473186180,115.2000,115.2200,115.1900,115.1900,2700
1473186297,115.1900,115.1975,115.1700,115.1975,2900
1473186302,115.1700,115.2000,115.1700,115.1900,2700
1473186403,115.1800,115.1800,115.1800,115.1800,200
1473186478,115.2000,115.2000,115.1701,115.1701,1600
1473186488,115.1900,115.2100,115.1900,115.2100,6700
1473186581,115.1700,115.1700,115.1700,115.1700,800
1473186602,115.1700,115.2000,115.1700,115.1900,6500
1473186704,115.2100,115.2100,115.2000,115.2000,1400
1473186772,115.2000,115.2100,115.1900,115.2000,2200
1473186783,115.2000,115.2100,115.1700,115.1900,2500
1473186856,115.2216,115.2216,115.2000,115.2000,2800
1473186959,115.2200,115.2300,115.2100,115.2300,3300
1473186961,115.2100,115.2200,115.2100,115.2200,1300
1473187026,115.2200,115.2200,115.2100,115.2100,2400
1473187121,115.2100,115.2200,115.2100,115.2200,800
1473187142,115.1900,115.2100,115.1900,115.2100,1800
1473187202,115.2200,115.2200,115.2000,115.2100,6000
1473187318,115.2400,115.2400,115.2300,115.2300,1900
1473187323,115.2500,115.2500,115.2300,115.2400,3700
1473187384,115.2200,115.2500,115.2200,115.2500,2500
1473187495,115.2100,115.2100,115.2000,115.2100,1400
1473187502,115.2000,115.2200,115.1900,115.2100,3400
1473187571,115.1900,115.2100,115.1701,115.2100,3400
1473187623,115.1700,115.1800,115.1600,115.1800,3300
1473187693,115.1900,115.1900,115.1600,115.1700,2400
1473187766,115.2000,115.2000,115.2000,115.2000,1400
1473187803,115.1900,115.2100,115.1700,115.2100,2600
1473187864,115.1900,115.2000,115.1900,115.1900,1200
1473187928,115.2000,115.2100,115.2000,115.2000,1100
1473187984,115.2500,115.2500,115.2000,115.2000,2600
1473188068,115.2450,115.2500,115.2450,115.2500,4200
1473188103,115.2200,115.2500,115.2200,115.2500,4500
1473188172,115.2300,115.2300,115.2200,115.2300,1500
1473188231,115.2300,115.2500,115.2250,115.2300,3100
1473188303,115.2500,115.2500,115.2350,115.2400,1100
1473188388,115.2600,115.2600,115.2600,115.2600,600
1473188402,115.2600,115.2600,115.2500,115.2600,1100
1473188479,115.2400,115.2600,115.2400,115.2600,2200
1473188522,115.2100,115.2500,115.2100,115.2500,4000
1473188639,115.2000,115.2200,115.2000,115.2200,3900
1473188640,115.2000,115.2300,115.2000,115.2000,4900
1473188701,115.2000,115.2100,115.2000,115.2000,3700
1473188805,115.1950,115.2050,115.1900,115.2000,7100
1473188822,115.2000,115.2100,115.1900,115.2100,5900
1473188937,115.1600,115.2100,115.1600,115.2100,3700
1473188942,115.1500,115.1600,115.1400,115.1600,2700
1473189002,115.1500,115.1600,115.1400,115.1500,3500
1473189119,115.1200,115.1600,115.1200,115.1500,3300
1473189179,115.0800,115.1200,115.0800,115.1100,5500
1473189183,115.0990,115.1000,115.0900,115.1000,2700
1473189243,115.0799,115.1000,115.0700,115.1000,10000
1473189302,115.1100,115.1100,115.0800,115.0900,4400
1473189417,115.1399,115.1399,115.1000,115.1000,3700
1473189420,115.1750,115.1800,115.1400,115.1400,6300
1473189486,115.2050,115.2050,115.1900,115.1900,700
1473189586,115.1950,115.2100,115.1900,115.2100,3900
1473189602,115.2100,115.2100,115.2000,115.2000,1300
1473189663,115.2000,115.2100,115.1800,115.2100,6000
1473189729,115.2400,115.2550,115.2099,115.2100,5000
1473189784,115.2400,115.2586,115.2200,115.2500,3800
1473189844,115.2100,115.2500,115.2100,115.2400,5300
1473189906,115.2400,115.2400,115.2148,115.2148,2500
1473189973,115.1800,115.2300,115.1700,115.2300,5900
1473190021,115.2000,115.2000,115.1700,115.1700,2100
1473190086,115.2200,115.2200,115.2000,115.2000,2900
1473190144,115.2100,115.2200,115.1850,115.2100,5100
1473190202,115.2400,115.2500,115.2150,115.2150,5800
1473190260,115.2400,115.2400,115.2250,115.2300,3300
1473190339,115.2400,115.2500,115.2400,115.2450,4300
1473190438,115.2100,115.2400,115.2000,115.2400,7200
