uri:/instrument/1.0/ADS/chartdata;type=quote;range=1d/csv
ticker:ads
Company-Name:Alliance Data Systems Corporati
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:219.0300
Timestamp:1471267800,1471291200
labels:1471269600,1471273200,1471276800,1471280400,1471284000,1471287600,1471291200
values:Timestamp,close,high,low,open,volume
close:212.0700,216.6000
high:212.6500,217.1000
low:212.0500,216.2700
open:212.2700,216.9800
volume:100,25800
1471267889,215.9926,217.1000,215.9926,216.8500,11500
1471267929,213.8100,215.9900,213.8000,215.9900,10800
1471267986,213.6000,214.2400,213.2900,213.8000,5400
1471268089,213.6000,213.6000,213.5901,213.6000,400
1471268126,215.0800,215.1780,213.6400,215.0000,2600
1471268219,215.1600,215.4250,213.9000,214.9500,5100
1471268220,214.2000,216.8000,213.6900,216.7400,7900
1471268280,213.9400,214.7250,213.6500,213.6500,2700
1471268395,214.0000,214.8500,213.6200,214.0000,4600
1471268400,213.8050,214.0500,213.6200,213.6300,4500
1471268518,214.0700,214.0700,213.6400,213.7100,5100
1471268574,215.2550,215.3700,213.8700,213.8700,13300
1471268580,214.9950,215.3500,214.7700,215.3050,5900
1471268698,214.1000,215.1698,214.1000,214.9750,3600
1471268710,213.7700,214.2900,213.6100,213.8500,600
1471268762,213.5800,213.8400,213.5800,213.7200,4300
1471268825,213.7100,214.2200,213.6000,214.2100,2700
1471268887,214.1500,214.1500,213.7200,213.7200,400
1471268949,214.3650,214.3650,214.0500,214.1500,3900
1471269034,213.9900,214.5200,213.8000,214.3800,2700
1471269118,213.9400,214.2650,213.9300,214.1500,5200
1471269153,214.0000,214.1150,213.7600,214.1150,500
1471269194,214.0000,214.0000,214.0000,214.0000,200
1471269298,213.8800,214.2150,213.7300,214.2150,7200
1471269303,213.7200,213.9900,213.6900,213.8900,2400
1471269413,213.8000,214.0650,213.6300,213.7300,2300
1471269479,213.4800,214.1699,213.2600,214.1699,6700
1471269538,213.2300,213.6500,213.2000,213.2600,1400
1471269597,213.0900,213.3300,213.0900,213.2300,2800
1471269654,213.4750,213.8900,213.0900,213.0900,13200
1471269715,213.5300,213.7400,213.4400,213.6000,7000
1471269779,213.7200,213.7200,213.4600,213.5300,1100
1471269791,213.6100,214.0300,213.6000,214.0300,1600
1471269860,213.2900,213.6700,213.2900,213.6700,1300
1471269953,213.4000,213.4000,213.4000,213.4000,1000
1471269960,212.2800,213.3900,212.2800,213.3900,8400
1471270020,212.0700,212.9000,212.0500,212.2700,8400
1471270085,212.7850,213.0200,212.4650,212.4650,2400
1471270153,212.8700,212.8700,212.3700,212.8036,2200
1471270212,212.6050,212.8700,212.4350,212.8700,1300
1471270272,212.6500,212.9300,212.1500,212.7800,11700
1471270326,212.6400,212.6500,212.4050,212.4050,1400
1471270414,213.3800,213.3800,212.5400,212.5400,900
1471270455,212.8500,213.0950,212.8300,212.8800,2100
1471270500,213.0000,213.2650,212.8600,213.0900,600
1471270615,212.8900,213.1400,212.7700,213.0800,3500
1471270620,213.0000,213.3600,212.9100,213.1800,4000
1471270736,213.6900,213.9600,213.1700,213.4100,11500
1471270791,214.0650,214.3300,213.6000,214.0000,6900
1471270856,213.6100,214.1500,213.6100,213.8200,3400
1471270915,213.9900,214.1599,213.6100,213.7200,1600
1471270926,213.9000,213.9000,213.7300,213.7300,200
1471271028,214.0900,214.1700,213.9200,213.9450,2400
1471271050,214.5000,214.5000,214.1300,214.1800,1100
1471271158,214.2600,214.5300,214.0500,214.5200,3100
1471271164,214.0000,214.1999,213.8000,214.1900,1900
1471271237,213.7400,213.7400,213.7400,213.7400,100
1471271296,214.0100,214.5000,213.8400,213.9900,7000
1471271355,213.9300,214.1700,213.9300,214.0900,1400
1471271431,214.1900,214.3700,213.9700,214.0100,400
1471271485,214.4000,214.4700,214.0900,214.0900,3200
1471271534,214.1800,214.5800,214.1800,214.4200,5000
1471271582,214.1000,214.3000,214.1000,214.3000,200
1471271697,214.2950,214.4700,214.0700,214.0800,1000
1471271701,214.4800,214.4800,214.1300,214.3000,2500
1471271797,214.2000,214.4800,214.1800,214.2800,900
1471271859,214.3300,214.4700,214.1800,214.2800,800
1471271921,214.3400,214.4600,214.2200,214.4254,700
1471271998,214.9100,214.9100,214.2700,214.4400,17600
1471272040,214.8050,214.9500,214.7750,214.8800,2700
1471272071,214.5600,214.9000,214.5600,214.8100,5000
1471272126,214.8250,214.8700,214.6000,214.6600,2400
1471272234,214.7000,214.7800,214.5300,214.7100,2300
1471272294,214.5500,214.7200,214.5500,214.7000,300
1471272356,214.5500,214.5500,214.5500,214.5500,100
1471272419,215.0700,215.2900,214.7400,214.7850,4100
1471272420,215.0000,215.2900,214.9100,215.2900,4100
1471272481,214.8800,214.8800,214.8800,214.8800,100
1471272543,215.0000,215.0000,215.0000,215.0000,100
1471272605,215.0750,215.0750,214.9500,214.9700,300
1471272710,215.0750,215.0750,214.9600,214.9600,300
1471272766,215.0600,215.1400,214.8500,214.9600,5400
1471272787,214.8850,215.1900,214.8850,215.0500,2400
1471272854,214.8500,214.9800,214.7000,214.7000,2200
1471272939,214.8650,215.0000,214.8500,214.8500,800
1471272982,214.8300,214.8900,214.7100,214.7100,400
1471273022,214.8800,214.9600,214.7410,214.7410,1300
1471273102,214.9500,214.9500,214.7800,214.9500,600
1471273144,214.9000,215.0300,214.9000,214.9024,1400
1471273208,214.9000,215.1600,214.7950,215.0000,5500
1471273289,214.9100,214.9100,214.7800,214.7800,400
1471273328,214.7900,214.9100,214.7900,214.9100,700
1471273439,214.8250,215.0000,214.8150,214.9100,3300
1471273441,214.9400,214.9700,214.8100,214.9650,2400
1471273538,214.8200,214.8200,214.8200,214.8200,100
1471273590,214.8700,215.0000,214.8300,214.8900,5800
1471273624,214.8700,214.9800,214.8700,214.9800,700
1471273681,215.0000,215.1650,214.9300,214.9300,2500
1471273796,215.0650,215.2500,214.8100,215.2500,8300
1471273800,214.9300,215.0000,214.9300,214.9800,900
1471273911,215.0500,215.0500,214.9500,215.0500,600
1471273973,214.9000,215.0450,214.8900,215.0450,2600
1471274010,214.7800,214.8800,214.7800,214.8800,2300
1471274058,214.9000,215.0000,214.8675,214.8800,1500
1471274116,215.0000,215.0000,214.9900,215.0000,1400
1471274217,214.7750,214.9100,214.7500,214.9100,3300
1471274221,214.8800,214.8800,214.7500,214.7500,700
1471274284,214.8000,214.9100,214.8000,214.9100,300
1471274366,214.7600,214.9500,214.7600,214.7800,800
1471274409,214.7500,214.7600,214.7500,214.7600,1100
1471274493,214.7700,214.8300,214.6900,214.7500,3300
1471274566,214.6800,214.7958,214.6800,214.7958,1100
1471274595,214.7500,214.7500,214.6800,214.6800,1600
1471274690,214.6700,214.7485,214.6700,214.6800,800
1471274759,214.7300,214.8400,214.6600,214.6700,2500
1471274760,215.0600,215.0600,214.7650,214.8600,1200
1471274876,215.0000,215.1800,214.9300,214.9300,400
1471274939,214.7700,214.9300,214.7700,214.8900,1500
1471274941,214.8950,214.9300,214.6700,214.7700,3400
1471275030,214.9150,214.9150,214.8000,214.8000,200
1471275093,214.9200,215.0600,214.8100,215.0600,400
1471275165,214.7500,214.8950,214.5900,214.8050,2900
1471275189,214.5600,214.9000,214.5600,214.9000,400
1471275279,214.5900,214.5900,214.5900,214.5900,100
1471275341,214.6000,214.8250,214.5900,214.6600,1000
1471275404,214.6400,214.8200,214.6400,214.8000,1200
1471275466,214.6400,214.6400,214.6400,214.6400,200
1471275528,214.7400,214.8000,214.7000,214.7100,2400
1471275547,214.7400,214.8900,214.7400,214.8900,500
1471275652,214.8100,214.8100,214.8100,214.8100,100
1471275683,214.7300,214.9000,214.7300,214.8900,800
1471275779,214.6750,214.7900,214.6700,214.7200,1400
1471275839,214.6800,214.7800,214.6800,214.7800,700
1471275887,214.7180,214.8100,214.6800,214.6800,600
1471275955,214.7100,214.7100,214.6200,214.6200,1000
1471275963,214.6800,214.6800,214.6200,214.6200,1000
1471276026,214.5300,214.5300,214.5300,214.5300,100
1471276088,214.6300,214.7300,214.5500,214.5500,800
1471276150,214.5500,214.5500,214.5500,214.5500,100
1471276202,214.7500,214.7500,214.7100,214.7200,1500
1471276285,214.9900,214.9900,214.6600,214.7500,1900
1471276320,215.0000,215.0100,214.8400,214.9402,5600
1471276390,215.1000,215.1000,214.9750,215.1000,1500
1471276460,215.1000,215.1000,214.9500,214.9700,500
1471276523,214.9950,215.0900,214.9950,215.0900,500
1471276571,214.9500,215.0900,214.9500,215.0900,400
1471276632,214.9200,215.1000,214.9200,215.0000,7000
1471276683,215.2550,215.2550,214.9600,215.0000,4200
1471276749,215.2900,215.3600,215.2900,215.3400,600
1471276834,215.3200,215.3200,215.3200,215.3200,100
1471276914,215.4700,215.5300,215.4100,215.4800,2200
1471276920,215.6200,215.6200,215.4300,215.4800,1000
1471277006,215.5300,215.6200,215.5300,215.6200,500
1471277060,215.4900,215.6300,215.4900,215.6300,300
1471277131,215.5000,215.6700,215.5000,215.6700,400
1471277169,215.5550,215.6600,215.4900,215.6600,1800
1471277277,215.6200,215.6200,215.5602,215.6074,1300
1471277336,215.7300,215.7300,215.5500,215.6300,2000
1471277394,215.5900,215.7600,215.5900,215.7600,200
1471277458,215.5200,215.6600,215.5200,215.6600,3100
1471277460,215.4300,215.5100,215.4300,215.5100,700
1471277521,215.3850,215.3850,215.3850,215.3850,100
1471277631,215.3300,215.3900,215.3300,215.3800,700
1471277698,215.4300,215.6970,215.3000,215.3300,6300
1471277750,215.4150,215.5000,215.2300,215.3900,2200
1471277819,215.5000,215.5000,215.4000,215.5000,600
1471277879,215.5600,215.6100,215.3950,215.5000,1900
1471277883,215.4800,215.5742,215.4750,215.4750,1300
1471277971,215.6400,215.6400,215.5100,215.5100,200
1471278016,215.5950,215.5950,215.5100,215.5100,400
1471278066,215.5500,215.7000,215.5500,215.6800,2300
1471278136,215.5200,215.5900,215.5200,215.5900,700
1471278188,215.5000,215.5750,215.5000,215.5750,200
1471278297,215.4800,215.5000,215.4800,215.5000,600
1471278353,215.5600,215.5600,215.4850,215.4850,1500
1471278362,215.5000,215.6000,215.5000,215.5700,600
1471278427,215.5100,215.6000,215.5100,215.6000,300
1471278484,215.5000,215.5100,215.4500,215.5050,3600
1471278596,215.5350,215.5800,215.4250,215.5001,6900
1471278600,215.4500,215.6350,215.3900,215.4250,2700
1471278700,215.5100,215.5100,215.4200,215.4200,200
1471278747,215.5100,215.5700,215.5100,215.5700,700
1471278786,215.5300,215.6999,215.5300,215.6050,1600
1471278840,215.3800,215.5200,215.3300,215.5200,1300
1471278959,215.5300,215.5300,215.3500,215.3500,400
1471278963,215.2350,215.3950,215.2350,215.3950,2000
1471279073,215.2000,215.3399,215.2000,215.2300,900
1471279096,215.2000,215.3100,215.2000,215.2200,1200
1471279199,215.1600,215.3200,215.1600,215.3200,800
1471279204,215.1600,215.1800,215.1600,215.1800,300
1471279260,215.2200,215.3400,215.1600,215.2000,900
1471279322,215.2900,215.3300,215.2000,215.2000,900
1471279384,215.2650,215.2650,215.2650,215.2650,200
1471279445,215.3600,215.3600,215.3500,215.3500,1000
1471279519,215.3250,215.3250,215.2900,215.2900,300
1471279616,215.3450,215.3900,215.2800,215.2800,1700
1471279658,215.4400,215.4400,215.3000,215.3450,700
1471279738,215.4850,215.4900,215.3100,215.3100,300
1471279798,215.3400,215.4900,215.3300,215.3300,800
1471279800,215.3600,215.4900,215.3400,215.4900,1700
1471279860,215.1600,215.3500,215.1600,215.3500,2700
1471279940,215.1500,215.2000,215.0800,215.1600,4700
1471280006,215.0800,215.1500,215.0800,215.1500,500
1471280068,215.1500,215.1500,215.1500,215.1500,100
1471280130,215.0801,215.0900,215.0801,215.0900,300
1471280193,215.1500,215.1500,215.1500,215.1500,200
1471280227,215.1650,215.2600,215.1000,215.1250,2900
1471280317,215.1000,215.1000,215.1000,215.1000,100
1471280366,215.1550,215.1550,215.1000,215.1500,300
1471280411,215.3400,215.3600,215.2100,215.2100,4100
1471280503,215.4300,215.4300,215.3300,215.3300,600
1471280559,215.3150,215.3900,215.3100,215.3900,1300
1471280631,215.2900,215.3250,215.2900,215.2900,300
1471280690,215.2900,215.3400,215.2900,215.3100,300
1471280749,215.3200,215.3900,215.3200,215.3400,1200
1471280815,215.5000,215.5000,215.3300,215.3900,4500
