uri:/instrument/1.0/AET/chartdata;type=quote;range=1d/csv
ticker:aet
Company-Name:Aetna Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:117.0000
Timestamp:1468243800,1468267200
labels:1468245600,1468249200,1468252800,1468256400,1468260000,1468263600,1468267200
values:Timestamp,close,high,low,open,volume
close:116.2500,117.8800
high:116.3700,117.9500
low:116.2000,117.8700
open:116.3000,117.8900
volume:100,241300
1468243808,117.0100,117.4600,117.0100,117.4400,37100
1468243917,117.0300,117.1000,116.9600,117.1000,23400
1468243922,117.2400,117.2400,117.2400,117.2400,2500
1468243998,116.8375,117.2500,116.8375,117.2100,45100
1468244057,117.0000,117.1050,116.9600,117.1050,28200
1468244148,117.0600,117.1500,116.9500,117.0500,31800
1468244218,117.0600,117.1701,116.9500,117.1701,14500
1468244230,117.1600,117.1600,116.9600,117.0000,30100
1468244286,117.3500,117.3800,117.2000,117.2100,6000
1468244345,117.1800,117.3600,117.1500,117.3600,4300
1468244458,117.1500,117.3800,117.1100,117.1900,19000
1468244519,117.1000,117.1800,116.8800,117.0900,26400
1468244579,117.1700,117.2700,116.8875,117.1000,42700
1468244580,117.2300,117.3650,117.1600,117.1600,9500
1468244699,117.0100,117.2300,116.9900,117.1800,10900
1468244701,116.4200,117.1800,116.4200,116.9800,39200
1468244805,116.4800,116.5500,116.3500,116.4100,7000
1468244872,116.8350,116.8800,116.3800,116.4700,24900
1468244937,116.8200,117.0200,116.7900,116.8550,18900
1468244999,116.9400,117.0600,116.8100,116.8100,30200
1468245007,117.0100,117.0400,116.8300,117.0000,13700
1468245119,116.8814,117.0100,116.6200,116.9700,32600
1468245179,116.8200,116.9900,116.7200,116.9150,64600
1468245239,116.9000,116.9700,116.7700,116.8200,38300
1468245241,116.9400,116.9800,116.8500,116.9000,25300
1468245300,117.0300,117.0600,116.8800,116.9400,10100
1468245401,117.0550,117.1500,117.0400,117.0400,5800
1468245478,116.9400,117.3500,116.9400,117.0600,12500
1468245539,117.0500,117.1900,116.9000,116.9100,22600
1468245540,117.1850,117.2100,116.9000,117.0700,13500
1468245600,117.1100,117.4200,117.1000,117.2300,8100
1468245669,117.0400,117.1200,117.0400,117.1100,6000
1468245728,117.0200,117.0200,116.9450,117.0000,6500
1468245839,116.9800,117.0700,116.9100,117.0000,15600
1468245873,116.9700,117.0000,116.9200,116.9500,5700
1468245959,117.0300,117.0650,116.9000,116.9600,8900
1468246017,117.0500,117.0550,116.9300,117.0300,4600
1468246079,117.2450,117.3000,117.0600,117.0600,7200
1468246137,117.3050,117.3100,117.1700,117.2450,14300
1468246140,117.2700,117.4250,117.1500,117.3050,46900
1468246255,117.2100,117.3300,117.1300,117.2600,13000
1468246260,117.0100,117.2400,116.9900,117.1900,5500
1468246379,116.9400,117.0200,116.9100,116.9700,12400
1468246382,117.0800,117.1500,116.9400,116.9400,6500
1468246446,117.1150,117.1150,117.0450,117.0450,1800
1468246541,117.1900,117.1900,117.1300,117.1500,1000
1468246619,117.1600,117.2300,117.0600,117.2300,10500
1468246620,117.1100,117.1550,117.0700,117.1550,2700
1468246736,117.2100,117.2300,117.1000,117.1000,3000
1468246740,117.4650,117.5200,117.2000,117.2400,4400
1468246804,117.4400,117.5200,117.4000,117.5000,2800
1468246875,117.4000,117.4350,117.4000,117.4350,200
1468246922,117.3300,117.4700,117.3300,117.4600,8000
1468247036,117.1950,117.2400,117.1800,117.2400,7800
1468247099,116.9100,117.1600,116.9000,117.1500,6600
1468247159,116.7400,116.9300,116.7400,116.9200,13600
1468247160,116.7600,116.7800,116.7100,116.7600,6300
1468247279,116.7200,116.8300,116.7100,116.7550,8400
1468247283,116.6950,116.7250,116.6600,116.7250,3100
1468247399,116.9800,116.9800,116.6800,116.7000,43200
1468247459,117.0500,117.0600,116.9000,116.9700,17100
1468247460,116.9900,117.0575,116.9700,117.0400,15400
1468247520,117.0000,117.0400,116.9700,117.0000,6700
1468247596,116.9800,117.0100,116.9800,117.0000,3000
1468247641,117.0000,117.0000,116.9100,117.0000,15300
1468247757,117.0000,117.0200,116.9800,117.0200,1700
1468247818,116.9400,117.0000,116.9400,116.9600,11700
1468247877,116.9900,116.9950,116.9200,116.9300,9200
1468247936,116.9800,117.0200,116.9700,116.9800,17100
1468247943,117.0000,117.0200,116.9800,116.9800,12300
1468248007,116.9900,117.0100,116.9550,117.0000,5000
1468248084,116.9800,117.0100,116.9800,117.0000,8300
1468248123,117.0300,117.0600,116.9800,117.0000,6900
1468248181,117.0400,117.0500,117.0150,117.0200,4000
1468248242,117.0899,117.0899,116.9700,117.0500,6300
1468248314,117.2200,117.2200,117.0800,117.0800,3600
1468248365,117.1600,117.1900,117.1400,117.1900,2200
1468248420,117.2400,117.2400,117.1000,117.1200,4200
1468248483,117.2400,117.2400,117.2400,117.2400,800
1468248540,117.3000,117.3000,117.2600,117.2999,4900
1468248659,117.2600,117.3000,117.2149,117.3000,6800
1468248663,117.2000,117.2200,117.1200,117.2200,6500
1468248724,117.1800,117.2000,117.1500,117.1800,2300
1468248795,117.2900,117.2900,117.1400,117.2100,8300
1468248854,117.2400,117.2900,117.2400,117.2900,5500
1468248904,117.3300,117.3300,117.2400,117.2400,3000
1468248960,117.3150,117.3700,117.3100,117.3600,3400
1468249075,117.3050,117.3100,117.2500,117.3000,6200
1468249088,117.1700,117.2900,117.1700,117.2900,2300
1468249145,117.1600,117.2000,117.1300,117.2000,6800
1468249205,117.2800,117.2800,117.1450,117.1450,5200
1468249302,117.3600,117.3600,117.3500,117.3500,600
1468249379,117.2000,117.3400,117.1700,117.3200,20600
1468249380,117.4000,117.4000,117.2000,117.2000,31800
1468249499,117.4100,117.5400,117.3600,117.3800,63600
1468249559,117.3700,117.4700,117.2900,117.4100,15400
1468249560,117.3500,117.4250,117.3300,117.3900,7600
1468249674,117.4400,117.4700,117.3200,117.3300,3000
1468249738,117.3400,117.4800,117.3400,117.4800,2800
1468249741,117.3500,117.3800,117.3300,117.3400,3400
1468249851,117.3400,117.3400,117.3100,117.3400,2700
1468249912,117.3400,117.3600,117.3000,117.3500,3100
1468249978,117.3900,117.3900,117.3100,117.3700,6800
1468249984,117.2700,117.3700,117.2600,117.3600,15200
1468250050,117.3300,117.3600,117.3000,117.3000,2400
1468250114,117.2700,117.3300,117.2400,117.3250,4600
