uri:/instrument/1.0/AMG/chartdata;type=quote;range=1d/csv
ticker:amg
Company-Name:Affiliated Managers Group, Inc.
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:141.1000
Timestamp:1467034200,1467057600
labels:1467036000,1467039600,1467043200,1467046800,1467050400,1467054000,1467057600
values:Timestamp,close,high,low,open,volume
close:131.3450,136.8100
high:131.4400,137.0500
low:131.1600,136.6900
open:131.3100,137.0500
volume:100,33300
1467034377,136.5600,137.0500,136.5600,137.0500,4700
1467034482,136.5200,136.5350,136.2700,136.5350,20400
1467034505,136.4000,136.5899,136.3500,136.5899,12000
1467034619,136.8100,136.9000,136.6900,136.6900,4100
1467034636,136.5800,136.7800,136.5800,136.7800,5300
1467034706,136.0100,136.4000,136.0100,136.4000,3400
1467034796,136.2500,136.2500,136.0100,136.0100,9700
1467034836,136.1950,136.4000,136.1850,136.1850,3300
1467034910,135.7200,136.2100,135.6000,136.2100,9800
1467034935,135.5100,135.8200,135.5100,135.7100,10800
1467034995,135.5000,135.5000,135.5000,135.5000,6000
1467035099,135.4550,135.5500,135.4000,135.5000,11900
1467035159,135.1200,135.4550,135.0800,135.4550,13700
1467035219,135.3100,135.3200,135.0200,135.1800,11400
1467035238,135.5900,135.7400,135.5900,135.7400,3500
1467035302,135.4350,135.4969,135.2800,135.4969,6900
1467035394,134.6400,134.6400,134.6400,134.6400,23600
1467035424,134.8500,134.8500,134.6300,134.8300,4000
1467035465,135.1700,135.2900,135.1700,135.2800,3300
1467035524,135.2800,135.2800,134.9850,135.0400,3000
1467035581,135.5100,135.5100,135.3100,135.3100,1600
1467035642,135.3400,135.4525,135.3400,135.4525,2900
1467035759,135.2400,135.2400,135.1000,135.1000,5300
1467035765,135.2000,135.2000,135.0500,135.1300,5200
1467035851,135.2100,135.2100,135.2100,135.2100,100
1467035910,134.8500,135.0500,134.8500,135.0500,1500
1467035944,134.9000,134.9000,134.9000,134.9000,6900
1467036058,134.6050,134.7100,134.5000,134.5500,6000
1467036065,134.4700,134.7600,134.4700,134.6900,8100
1467036179,134.2100,134.5300,134.2100,134.5300,3000
1467036184,133.9800,134.3500,133.9800,134.1930,3500
1467036263,134.0500,134.3500,134.0500,134.1700,4100
1467036341,134.1200,134.1200,134.1200,134.1200,1200
1467036410,134.0400,134.0400,134.0300,134.0300,1700
1467036423,133.9300,134.0799,133.8200,134.0500,6600
1467036527,133.7350,133.7350,133.7300,133.7350,11600
1467036588,133.6650,133.7200,133.5500,133.7200,6100
1467036604,133.4500,133.6700,133.4500,133.6700,1500
1467036717,133.5200,133.6300,133.5000,133.5300,3700
1467036727,133.7000,133.7000,133.6000,133.6000,2400
1467036796,133.6600,133.6600,133.5400,133.6400,2300
1467036897,133.6300,133.6300,133.4800,133.4850,2500
1467036908,133.4800,133.5900,133.4800,133.5200,3500
1467036970,133.5700,133.5700,133.4900,133.5000,1100
1467037024,133.6150,133.6150,133.6150,133.6150,4200
1467037090,133.2400,133.4300,133.1800,133.4300,1000
1467037147,133.1100,133.1100,133.0110,133.0400,2500
1467037228,133.1900,133.1900,133.0600,133.0600,400
1467037316,133.4150,133.4150,133.0700,133.1000,3200
1467037365,133.5500,133.5600,133.3200,133.4100,2900
1467037401,133.2550,133.3200,133.2100,133.3100,3600
1467037453,133.0050,133.1600,133.0050,133.1600,1200
1467037586,133.0400,133.0400,133.0400,133.0400,2600
1467037627,133.0700,133.0700,132.9500,133.0300,1700
1467037682,133.0100,133.2800,132.8700,133.2100,4500
