uri:/instrument/1.0/AON/chartdata;type=quote;range=1d/csv
ticker:aon
Company-Name:Aon plc Class A Ordinary Shares
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:108.9000
Timestamp:1466775000,1466798400
labels:1466776800,1466780400,1466784000,1466787600,1466791200,1466794800,1466798400
values:Timestamp,close,high,low,open,volume
close:103.4300,105.2100
high:103.4500,105.2100
low:103.4100,105.2000
open:103.4300,105.2000
volume:100,216100
1466775119,104.5200,104.6900,104.3200,104.3200,3100
1466775156,104.6400,104.7700,104.6000,104.6800,2700
1466775225,104.8300,104.8300,104.8300,104.8300,4900
1466775288,104.7900,104.9900,104.7800,104.7900,3200
1466775341,104.8200,104.8200,104.8200,104.8200,1600
1466775417,104.8800,104.8800,104.8800,104.8800,100
1466775468,104.9000,104.9000,104.9000,104.9000,400
1466775521,104.8900,104.8900,104.8800,104.8900,500
1466775570,105.2100,105.2100,105.2000,105.2000,900
1466775629,104.8400,105.0200,104.8400,104.9000,7900
1466775708,104.8000,104.8200,104.6400,104.7000,1900
1466775758,104.6400,104.9600,104.5100,104.6800,27200
1466775838,104.6999,104.6999,104.4200,104.5800,19400
1466775843,104.5700,104.6700,104.5300,104.5500,16400
1466775925,104.2600,104.5300,104.2600,104.5100,8400
1466775994,104.1800,104.2400,104.0700,104.2400,4500
1466776026,103.8600,104.1700,103.8600,104.1700,8500
1466776135,104.0700,104.2200,103.8900,103.9000,6800
1466776154,103.9700,104.1600,103.9700,104.1150,7500
1466776259,104.0300,104.0300,103.9400,103.9700,4200
1466776317,104.1800,104.1800,104.0300,104.0300,6600
1466776331,104.1500,104.1600,104.1100,104.1500,6200
1466776390,104.4200,104.4200,104.1300,104.1400,6200
1466776482,104.4000,104.4000,104.3000,104.3400,1700
1466776550,104.5600,104.5600,104.4200,104.4200,2900
1466776576,104.5850,104.5850,104.5850,104.5850,4700
1466776669,104.3300,104.4199,104.3100,104.4130,2700
1466776684,104.4400,104.5000,104.3500,104.3500,4400
1466776754,104.5900,104.5900,104.5500,104.5800,4400
1466776859,104.6700,104.6700,104.5200,104.5500,8300
1466776916,104.6900,104.6900,104.6700,104.6700,4300
1466776958,104.8300,104.8500,104.7200,104.8500,14000
1466777035,104.7800,104.8000,104.7500,104.7500,1400
1466777086,104.8500,104.9000,104.8400,104.8700,8200
1466777156,104.6400,104.6900,104.5700,104.6400,34100
1466777177,104.5900,104.6300,104.5900,104.5900,8600
1466777259,104.5700,104.6000,104.5500,104.5500,6900
1466777339,104.6800,104.7300,104.6700,104.6700,2300
1466777347,104.8300,104.8950,104.6700,104.6700,7900
1466777438,104.9000,104.9200,104.8700,104.9200,900
1466777474,104.8300,104.9300,104.7500,104.9200,8500
1466777574,104.7700,104.7700,104.7700,104.7700,4300
1466777626,104.6900,104.7600,104.6900,104.7300,2500
1466777640,104.7400,104.7400,104.6700,104.7000,4800
1466777727,104.6500,104.7000,104.6500,104.7000,900
1466777774,104.5700,104.6980,104.5700,104.6980,7900
1466777872,104.6700,104.6900,104.6400,104.6400,1700
1466777880,104.6300,104.6700,104.5200,104.6700,5900
1466777980,104.4800,104.4900,104.4800,104.4900,1000
1466778010,104.4000,104.4600,104.3700,104.4600,2100
1466778115,104.3500,104.3500,104.3400,104.3500,6600
1466778130,104.2500,104.3800,104.1900,104.3800,6800
1466778180,104.3200,104.3200,104.1900,104.2050,7800
1466778299,104.3400,104.4000,104.2600,104.2900,5300
1466778306,104.2700,104.3400,104.2500,104.3200,8900
1466778380,104.1300,104.1300,104.1300,104.1300,600
1466778424,104.1200,104.1600,104.1000,104.1200,3500
1466778503,104.2000,104.2000,104.1250,104.1500,5100
1466778540,104.1700,104.2300,104.1200,104.1500,5800
1466778604,104.1900,104.3400,104.1500,104.1700,11200
1466778661,104.2000,104.2350,104.1750,104.1900,5400
1466778721,104.2000,104.2000,104.1700,104.2000,4000
1466778800,104.0900,104.1500,104.0900,104.1500,4100
1466778852,103.9300,104.0500,103.9300,104.0500,7100
1466778924,104.0100,104.0100,103.9200,103.9500,4700
1466778963,103.9600,103.9900,103.9450,103.9800,2400
1466779043,103.9300,104.0294,103.9300,103.9780,4100
1466779087,103.9900,104.0000,103.9800,103.9800,3300
1466779144,104.1600,104.1700,104.0300,104.0300,7400
1466779205,103.9500,104.1600,103.9400,104.1400,8300
1466779260,103.9000,103.9800,103.9000,103.9500,7600
1466779329,103.9300,103.9900,103.8800,103.8800,2100
1466779393,104.0000,104.0000,103.9500,103.9500,2100
1466779440,103.9500,104.0000,103.9500,103.9800,3200
1466779515,103.9400,103.9600,103.9000,103.9401,6800
1466779633,103.9400,103.9800,103.9400,103.9400,2600
1466779695,103.9100,103.9100,103.9100,103.9100,300
1466779745,103.8800,103.9100,103.8800,103.9100,2000
1466779834,103.9500,103.9600,103.8949,103.8949,2900
1466779892,103.9300,103.9300,103.8800,103.9100,1100
1466779920,103.8900,103.8900,103.8800,103.8900,600
1466779982,103.8740,103.9000,103.8700,103.8900,1400
1466780045,103.9000,103.9200,103.8600,103.8900,3400
1466780125,103.9500,103.9699,103.9300,103.9300,500
1466780163,103.9400,103.9700,103.9200,103.9300,6700
1466780223,103.7700,103.8900,103.7500,103.8900,4000
1466780282,103.8100,103.8600,103.8100,103.8100,4700
1466780350,103.7600,103.8300,103.7600,103.7850,3200
1466780404,103.7300,103.8300,103.7300,103.7650,5300
1466780473,103.7000,103.8100,103.6900,103.8000,3800
1466780520,103.6200,103.7400,103.6000,103.6900,6200
1466780595,103.6700,103.6700,103.6400,103.6400,400
1466780640,103.6200,103.6600,103.6100,103.6500,8100
1466780700,103.7100,103.7100,103.6200,103.6200,2000
1466780814,103.7100,103.7400,103.6700,103.6900,2900
1466780820,103.7400,103.7400,103.6600,103.7100,5700
1466780882,103.7650,103.7700,103.7100,103.7100,2300
1466780958,103.8400,103.8400,103.7700,103.7700,3300
1466781003,103.8200,103.8650,103.7800,103.8650,2200
1466781065,103.8850,103.8850,103.7900,103.7900,1500
1466781141,103.8700,103.8800,103.8600,103.8700,4500
1466781233,103.9000,103.9000,103.8200,103.8500,7700
1466781299,103.9200,103.9400,103.9100,103.9100,9200
1466781349,103.9100,103.9400,103.9099,103.9100,10700
1466781418,103.9199,103.9400,103.8800,103.9400,10400
1466781421,103.9500,103.9500,103.8800,103.9199,10300
1466781480,103.9900,103.9900,103.9200,103.9300,8000
1466781572,103.9800,104.0200,103.9800,104.0000,5200
1466781601,103.9300,103.9900,103.9100,103.9900,5400
1466781674,103.9100,103.9200,103.8900,103.8900,1400
1466781722,103.9100,103.9100,103.8400,103.8700,2500
1466781783,103.8000,103.8400,103.7700,103.8400,2600
1466781846,103.7000,103.7800,103.7000,103.7800,1300
1466781959,103.5800,103.6700,103.5800,103.6600,2100
1466781965,103.6050,103.6200,103.5600,103.5900,216100
1466782020,103.6400,103.6450,103.5900,103.6100,2300
1466782089,103.7200,103.7200,103.6100,103.6100,4700
1466782197,103.7450,103.7500,103.7050,103.7100,3300
1466782256,103.8350,103.8350,103.7500,103.7500,3100
1466782263,103.8400,103.8500,103.8200,103.8300,3200
1466782379,103.9600,103.9900,103.8450,103.8450,1700
1466782380,103.8500,103.9750,103.8500,103.9750,3600
1466782447,103.7800,103.8500,103.7800,103.8300,2300
1466782503,103.7900,103.8150,103.7800,103.8000,2300
1466782565,103.8000,103.8400,103.7900,103.7900,2800
1466782627,103.7800,103.8200,103.7700,103.8200,3100
1466782737,103.7800,103.7900,103.7550,103.7800,6600
1466782747,103.8150,103.8650,103.7850,103.7850,2000
1466782801,103.7800,103.8400,103.7700,103.7900,7400
1466782860,103.6900,103.7800,103.6900,103.7750,4500
1466782922,103.7500,103.7600,103.6900,103.6900,4500
1466783038,103.7700,103.7900,103.7300,103.7700,5400
1466783093,103.9000,103.9000,103.7900,103.7900,2000
1466783106,104.0100,104.0500,103.9000,103.9100,7500
1466783161,103.9000,103.9900,103.8800,103.9900,6400
1466783227,103.9400,103.9400,103.8500,103.8900,8300
1466783336,103.9350,104.0100,103.9100,103.9600,6300
1466783396,103.9500,103.9700,103.9100,103.9200,1600
1466783447,103.9200,103.9900,103.9200,103.9400,2700
1466783469,103.9600,103.9600,103.8800,103.9100,4700
1466783533,103.9600,103.9900,103.9400,103.9800,900
1466783636,103.9600,103.9800,103.9000,103.9200,2500
1466783643,103.9100,103.9900,103.9000,103.9800,3500
1466783704,103.9900,103.9900,103.9500,103.9500,1300
1466783818,104.0000,104.0200,103.9600,104.0200,2700
1466783824,103.9700,104.0000,103.9500,103.9999,4800
1466783939,103.9900,103.9900,103.9500,103.9500,1400
1466783953,104.0700,104.0700,104.0000,104.0000,4000
1466784057,104.0400,104.0800,104.0303,104.0700,6400
1466784083,104.0300,104.0600,104.0300,104.0600,1900
1466784124,104.1100,104.1100,104.0400,104.0700,5000
1466784180,104.0400,104.0900,104.0200,104.0700,8600
1466784247,103.9700,104.0100,103.9400,104.0100,2300
1466784300,103.9800,103.9900,103.9400,103.9800,3700
1466784377,103.9600,104.0000,103.9500,104.0000,4000
1466784424,104.0400,104.0400,103.9700,103.9700,5500
1466784528,104.0700,104.0700,104.0100,104.0400,3900
1466784544,104.0000,104.0700,104.0000,104.0700,7000
1466784655,103.9131,104.0200,103.8900,104.0200,5000
1466784717,103.9000,103.9175,103.8570,103.8900,2500
1466784725,103.8900,103.9100,103.8600,103.9100,1400
1466784782,103.8050,103.8600,103.8000,103.8600,2100
1466784851,103.8300,103.8300,103.7800,103.7800,2400
1466784905,103.7700,103.8200,103.7700,103.8200,2700
1466785015,103.7900,103.7900,103.7600,103.7800,4400
1466785023,103.8100,103.8100,103.7700,103.8000,2200
1466785084,103.8000,103.8400,103.7900,103.7964,3500
1466785147,103.7800,103.8100,103.7500,103.7800,6600
1466785203,103.8100,103.8400,103.8000,103.8100,1900
1466785269,103.8500,103.8500,103.7900,103.7900,1300
1466785329,103.9600,103.9600,103.8300,103.8500,5800
