uri:/instrument/1.0/APD/chartdata;type=quote;range=1d/csv
ticker:apd
Company-Name:Air Products and Chemicals, Inc
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:155.4800
Timestamp:1471959000,1471982400
labels:1471960800,1471964400,1471968000,1471971600,1471975200,1471978800,1471982400
values:Timestamp,close,high,low,open,volume
close:155.4000,156.8500
high:155.4000,156.8500
low:155.3800,156.8500
open:155.4000,156.8500
volume:100,24000
1471959000,156.0000,156.0000,156.0000,156.0000,24000
1471959120,156.7900,156.7900,156.2200,156.2200,4400
1471959209,156.8500,156.8500,156.8500,156.8500,100
1471959254,156.7900,156.7900,156.7900,156.7900,400
1471959330,156.7750,156.8300,156.7200,156.7200,2400
1471959405,156.7900,156.7900,156.7800,156.7800,4900
1471959428,156.8000,156.8000,156.5900,156.7300,2300
1471959481,156.6900,156.7990,156.5800,156.7990,4300
1471959583,156.5700,156.6900,156.5700,156.6900,200
1471959602,156.7100,156.7500,156.6250,156.6900,1400
1471959663,156.5800,156.6900,156.5600,156.6900,3500
1471959722,156.5900,156.5900,156.5900,156.5900,200
1471959841,156.5300,156.6200,156.5300,156.6200,1700
1471959915,156.5000,156.5700,156.5000,156.5700,900
1471960019,156.2700,156.4600,156.2600,156.4600,4400
1471960023,156.3400,156.3500,156.2300,156.2400,1400
1471960113,156.1300,156.2700,156.1300,156.2700,900
1471960156,156.1100,156.2900,156.1100,156.1500,1200
1471960224,156.3400,156.3400,156.1100,156.1200,2400
1471960266,156.2400,156.2500,156.2400,156.2500,500
1471960364,156.2600,156.2700,156.2500,156.2700,400
1471960405,156.1740,156.2700,156.1700,156.2600,1500
1471960499,156.1200,156.2400,156.1200,156.2100,1300
1471960511,156.1800,156.1800,156.1800,156.1800,100
1471960695,155.9800,156.1400,155.9800,156.1400,1400
1471960741,156.0300,156.0300,156.0300,156.0300,200
1471960801,155.8650,156.1100,155.8500,156.0900,6200
1471960900,155.9600,155.9600,155.9400,155.9400,200
1471960922,155.9750,155.9900,155.9750,155.9900,200
1471960984,155.9400,155.9400,155.9100,155.9400,1300
1471961074,155.8950,155.9100,155.8950,155.9100,800
1471961104,155.9000,155.9300,155.9000,155.9200,800
1471961188,155.9000,156.0000,155.9000,155.9600,2200
1471961316,155.9300,155.9300,155.8999,155.8999,400
1471961346,155.8700,155.9700,155.8100,155.9700,2000
1471961404,155.7900,155.8300,155.7900,155.8300,600
1471961496,155.8000,155.8000,155.8000,155.8000,600
1471961527,155.8900,155.8900,155.8100,155.8100,1600
1471961630,155.9300,155.9440,155.8800,155.9440,1800
1471961641,155.9550,155.9800,155.9100,155.9400,1200
1471961711,155.8800,155.9400,155.8800,155.9400,800
1471961776,155.9100,155.9100,155.8875,155.8875,1200
1471961830,155.8400,155.9200,155.8400,155.9200,1900
1471961968,155.7200,155.8100,155.7200,155.8100,1400
1471962001,155.7100,155.7100,155.6650,155.6900,1000
1471962070,155.6600,155.7200,155.6600,155.7200,300
1471962156,155.6300,155.7100,155.6300,155.7100,1100
1471962206,155.6300,155.6300,155.5900,155.6300,1600
1471962270,155.6300,155.6300,155.5900,155.5900,1300
1471962304,155.6000,155.6000,155.6000,155.6000,800
1471962366,155.5900,155.6700,155.5900,155.6200,3600
1471962449,155.6000,155.6400,155.6000,155.6400,900
1471962590,155.6000,155.6300,155.5800,155.6000,1700
1471962605,155.6400,155.6400,155.6300,155.6400,400
1471962668,155.6800,155.7000,155.6550,155.6800,3000
1471962839,155.6800,155.7000,155.6700,155.6800,3200
1471962892,155.6800,155.7400,155.6600,155.7000,4100
1471962908,155.6500,155.6500,155.6400,155.6400,2300
1471963018,155.7000,155.7000,155.6300,155.6500,2200
1471963037,155.6500,155.7300,155.6400,155.7300,3500
