uri:/instrument/1.0/AVY/chartdata;type=quote;range=1d/csv
ticker:avy
Company-Name:Avery Dennison Corporation Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:78.5500
Timestamp:1469712600,1469736000
labels:1469714400,1469718000,1469721600,1469725200,1469728800,1469732400,1469736000
values:Timestamp,close,high,low,open,volume
close:77.3700,78.8000
high:77.3800,78.8200
low:77.3700,78.6600
open:77.3800,78.8000
volume:0,249700
1469712759,78.6500,78.6500,78.6500,78.6500,9800
1469712793,78.8000,78.8200,78.6600,78.8000,1400
1469712868,78.6100,78.7500,78.6100,78.7500,300
1469712927,78.3500,78.6200,78.3500,78.6200,2700
1469713008,78.2900,78.2900,78.2900,78.2900,100
1469713022,78.2900,78.2900,78.2300,78.2300,200
1469713163,78.1900,78.2400,78.1900,78.2400,2200
1469713259,78.2050,78.2400,78.1700,78.1800,2000
1469713314,78.2000,78.2600,78.2000,78.2300,2400
1469713324,78.1900,78.1900,78.1900,78.1900,100
1469713439,78.2500,78.2500,78.1500,78.2100,2400
1469713449,78.2600,78.2600,78.2600,78.2600,400
1469713559,78.1200,78.1900,78.0600,78.1900,1600
1469713585,78.1350,78.1600,78.0800,78.1100,2900
1469713672,78.1200,78.1200,78.0900,78.1000,600
1469713734,78.1600,78.1600,78.0600,78.0900,2100
1469713854,78.2200,78.2200,78.1500,78.1500,1000
1469713914,78.2300,78.2300,78.2300,78.2300,100
1469713962,78.2500,78.2500,78.2500,78.2500,200
1469713996,78.1150,78.2200,78.0940,78.2100,8300
1469714058,78.1400,78.2000,78.1400,78.1900,1800
1469714112,78.0700,78.1500,78.0700,78.1500,1600
1469714173,78.1500,78.1500,78.0700,78.0800,2500
1469714220,78.1900,78.2000,78.1600,78.1700,2000
1469714339,78.2700,78.3100,78.1700,78.1800,4400
1469714391,78.2000,78.2400,78.1900,78.2400,900
1469714420,78.2300,78.2500,78.2100,78.2200,1400
1469714484,78.1400,78.2300,78.1400,78.2300,800
1469714635,78.0800,78.1050,78.0500,78.0800,2000
1469714643,78.0500,78.1100,78.0500,78.0500,3000
1469714754,78.0400,78.0500,78.0400,78.0500,200
1469714797,78.0500,78.0500,78.0400,78.0400,500
1469714848,78.0000,78.0200,78.0000,78.0200,600
1469714900,78.0600,78.0600,78.0500,78.0500,600
1469714974,78.0400,78.0400,78.0400,78.0400,200
1469715042,78.0500,78.0500,78.0300,78.0300,400
1469715110,78.0100,78.0570,78.0100,78.0570,1000
1469715164,77.9700,78.0000,77.9600,78.0000,900
1469715233,77.9000,77.9000,77.9000,77.9000,100
1469715256,77.8300,77.8850,77.8300,77.8600,2100
1469715411,77.8100,77.8200,77.7800,77.8200,2100
1469715422,77.8200,77.8200,77.8200,77.8200,400
1469715550,77.8200,77.8200,77.8100,77.8100,1200
1469715604,77.8700,77.8700,77.8400,77.8400,1000
1469715672,77.8900,77.9200,77.8700,77.8900,2100
1469715720,77.9000,77.9200,77.9000,77.9200,900
1469715812,77.9500,77.9500,77.9200,77.9400,1800
1469715888,77.9450,77.9700,77.9400,77.9700,900
1469715916,77.9500,77.9500,77.9350,77.9350,300
1469715962,77.9300,77.9500,77.9300,77.9500,1700
1469716021,77.9400,77.9400,77.9100,77.9200,2300
1469716135,77.8800,77.9400,77.8800,77.9400,700
1469716155,77.8600,77.8800,77.8500,77.8800,900
1469716245,77.8100,77.8700,77.7900,77.8500,3200
1469716318,77.8200,77.8200,77.8000,77.8000,900
1469716374,77.8100,77.8200,77.7900,77.8200,2100
1469716386,77.7853,77.8000,77.7700,77.8000,300
1469716454,77.8100,77.8100,77.7950,77.7950,400
1469716505,77.8000,77.8000,77.7800,77.8000,800
1469716612,77.8000,77.8000,77.7900,77.7900,300
1469716627,77.6900,77.7800,77.6900,77.7800,1500
1469716686,77.6500,77.6600,77.6400,77.6600,1700
1469716797,77.7000,77.7000,77.7000,77.7000,600
1469716895,77.7900,77.7900,77.7650,77.7650,400
1469716936,77.8200,77.8300,77.7900,77.7900,1600
1469717065,77.8297,77.8400,77.8100,77.8400,1400
1469717153,77.8200,77.8300,77.8200,77.8300,400
1469717168,77.8800,77.8800,77.8300,77.8400,2800
1469717256,77.9150,77.9150,77.8900,77.8900,400
1469717281,77.9900,77.9900,77.9300,77.9300,2600
1469717481,77.9100,77.9400,77.9100,77.9400,1500
1469717521,77.8700,77.8900,77.8700,77.8900,400
1469717653,77.9300,77.9300,77.9100,77.9100,900
1469717746,77.9300,77.9300,77.9300,77.9300,300
1469717779,77.9600,77.9600,77.9400,77.9400,1000
1469717872,77.9600,77.9800,77.9600,77.9800,400
1469717932,78.0100,78.0200,78.0000,78.0000,600
1469717958,77.9700,78.0000,77.9700,78.0000,1900
1469718051,77.9600,77.9600,77.9600,77.9600,500
1469718064,77.9300,77.9700,77.9300,77.9700,800
1469718159,77.9100,77.9200,77.9000,77.9200,1000
1469718201,77.9000,77.9000,77.9000,77.9000,500
1469718250,77.8100,77.8700,77.8100,77.8700,300
1469718349,77.8700,77.8700,77.8200,77.8200,1300
1469718360,77.8710,77.8710,77.8700,77.8700,2100
1469718430,77.8200,77.8590,77.8200,77.8590,5400
1469718537,77.7900,77.8400,77.7900,77.8400,700
1469718540,77.8100,77.8100,77.7900,77.8000,1800
1469718624,77.8000,77.8150,77.8000,77.8100,700
1469718683,77.8300,77.8300,77.8100,77.8200,2300
1469718807,77.8800,77.8800,77.8405,77.8405,1300
1469718887,77.9086,77.9100,77.8900,77.8900,700
1469718955,77.9600,77.9600,77.9200,77.9200,700
1469718963,77.9600,77.9800,77.9600,77.9600,2100
1469719069,77.9700,77.9700,77.9400,77.9600,3300
1469719104,78.0000,78.0100,77.9800,77.9800,2800
1469719177,77.9400,77.9700,77.9400,77.9700,700
1469719253,77.7500,77.9300,77.7500,77.9300,22700
1469719260,77.8000,77.8100,77.7500,77.7500,2200
1469719320,77.7950,77.8000,77.7900,77.8000,1000
1469719426,77.6000,77.7900,77.4900,77.7900,27800
1469719440,77.6400,77.6400,77.6000,77.6100,2800
1469719504,77.6000,77.6200,77.5800,77.6100,2000
1469719645,77.5200,77.5500,77.5100,77.5500,1100
1469719716,77.4950,77.5200,77.4900,77.5100,1400
1469719745,77.5350,77.5500,77.4900,77.5100,3500
1469719838,77.5400,77.5400,77.5400,77.5400,200
1469719901,77.5300,77.5400,77.5200,77.5400,800
1469719952,77.4600,77.5100,77.4600,77.5100,1000
1469719991,77.4500,77.4700,77.4500,77.4700,400
1469720087,77.3700,77.4400,77.3700,77.4400,900
1469720108,77.3750,77.3900,77.3750,77.3900,1000
1469720179,77.4500,77.4500,77.4000,77.4000,2900
1469720221,77.4300,77.4500,77.4300,77.4500,500
1469720336,77.3800,77.4400,77.3800,77.4400,1000
1469720362,77.4100,77.4100,77.3900,77.3900,900
1469720425,77.4000,77.4000,77.3900,77.4000,300
1469720472,77.4100,77.4100,77.3900,77.3900,800
1469720521,77.4100,77.4200,77.4100,77.4200,500
1469720622,77.4700,77.4700,77.4200,77.4200,1000
1469720664,77.4700,77.4700,77.4500,77.4700,1500
1469720707,77.4500,77.4500,77.4500,77.4500,1300
1469720819,77.3800,77.3800,77.3800,77.3800,200
1469720862,77.4400,77.4400,77.4100,77.4100,600
1469720933,77.4600,77.4600,77.4400,77.4400,900
1469720971,77.4800,77.4800,77.4800,77.4800,100
1469721005,77.4900,77.4900,77.4900,77.4900,100
1469721072,77.5000,77.5000,77.4800,77.4900,1100
1469721146,77.5000,77.5100,77.5000,77.5100,700
1469721212,77.4900,77.5000,77.4900,77.4900,2000
1469721357,77.5000,77.5000,77.4750,77.4750,900
1469721363,77.5000,77.5000,77.5000,77.5000,1200
1469721451,77.5300,77.5300,77.5300,77.5300,200
1469721503,77.5300,77.5300,77.5300,77.5300,0
1469722428,77.6450,77.6450,77.6450,77.6450,100
1469722469,77.6500,77.6500,77.6400,77.6450,500
1469722747,77.6500,77.6700,77.6500,77.6500,1900
1469722910,77.6700,77.6700,77.6550,77.6550,600
1469722921,77.6800,77.6800,77.6700,77.6700,600
1469723032,77.7000,77.7000,77.6900,77.7000,500
1469723090,77.6400,77.6900,77.6400,77.6900,3200
1469723105,77.6200,77.6400,77.6200,77.6400,600
1469723217,77.6000,77.6100,77.6000,77.6100,200
1469723220,77.6200,77.6200,77.6200,77.6200,400
1469723343,77.6600,77.6800,77.6500,77.6500,900
1469723403,77.6800,77.6900,77.6800,77.6900,1200
1469723518,77.7000,77.7000,77.6900,77.6900,500
1469723578,77.7200,77.7200,77.7000,77.7000,500
1469723580,77.7200,77.7200,77.7200,77.7200,500
1469723681,77.7200,77.7200,77.7200,77.7200,100
1469723721,77.7400,77.7400,77.7300,77.7300,800
1469723787,77.7100,77.7200,77.7100,77.7200,600
1469723859,77.7100,77.7100,77.7100,77.7100,400
1469723939,77.6950,77.7000,77.6950,77.7000,900
1469723941,77.7000,77.7000,77.6950,77.6950,600
1469724043,77.6900,77.6950,77.6900,77.6950,700
1469724118,77.7000,77.7000,77.6900,77.6900,1300
1469724125,77.7400,77.7400,77.7050,77.7050,1400
1469724217,77.7500,77.7500,77.7410,77.7500,900
1469724352,77.7600,77.7600,77.7600,77.7600,400
1469724524,77.7500,77.7500,77.7489,77.7500,2000
1469724591,77.7700,77.7700,77.7600,77.7600,500
1469724602,77.7800,77.7800,77.7700,77.7700,700
1469724690,77.7900,77.8000,77.7900,77.8000,249700
1469724750,77.8000,77.8000,77.8000,77.8000,200
1469724784,77.8100,77.8100,77.7900,77.7900,300
1469724866,77.8000,77.8100,77.8000,77.8100,700
1469724940,77.8100,77.8300,77.8100,77.8100,300
1469724975,77.8100,77.8100,77.8000,77.8100,1800
1469725046,77.8100,77.8100,77.8100,77.8100,300
1469725135,77.8000,77.8200,77.8000,77.8200,600
1469725146,77.8200,77.8200,77.8100,77.8100,2400
1469725337,77.8100,77.8100,77.8000,77.8000,600
1469725385,77.8300,77.8300,77.8200,77.8250,1200
1469725498,77.8599,77.8600,77.8400,77.8400,1400
1469725552,77.8600,77.8600,77.8600,77.8600,400
1469725560,77.8800,77.8800,77.8600,77.8600,1000
1469725678,77.8801,77.8801,77.8800,77.8800,600
1469725683,77.9100,77.9100,77.9100,77.9100,1100
1469725760,77.9301,77.9301,77.9300,77.9300,500
1469725883,77.9700,77.9700,77.9700,77.9700,400
1469725943,77.9700,77.9700,77.9700,77.9700,300
1469726039,77.9650,77.9900,77.9600,77.9800,2200
1469726048,77.9700,77.9700,77.9700,77.9700,200
1469726188,77.9800,77.9800,77.9800,77.9800,400
1469726249,77.9800,77.9800,77.9800,77.9800,600
1469726308,78.0000,78.0000,78.0000,78.0000,200
1469726363,78.0000,78.0000,78.0000,78.0000,300
1469726452,77.9700,78.0100,77.9700,78.0100,2600
1469726460,77.9250,77.9700,77.9250,77.9700,1700
1469726522,77.9200,77.9250,77.9200,77.9200,400
1469726624,77.9000,77.9000,77.9000,77.9000,300
1469726695,77.9100,77.9100,77.9000,77.9000,400
1469726755,77.9300,77.9300,77.9100,77.9100,2600
1469726765,77.9800,77.9800,77.9400,77.9400,1000
1469726824,78.0100,78.0100,78.0100,78.0100,200
1469726939,78.0300,78.0300,78.0300,78.0300,100
1469726947,78.0800,78.0800,78.0400,78.0400,2500
1469727023,78.0900,78.0900,78.0800,78.0900,1800
1469727065,78.0600,78.0850,78.0600,78.0700,1300
1469727152,78.0700,78.0700,78.0501,78.0501,200
1469727184,78.0900,78.0900,78.0900,78.0900,200
1469727295,78.0800,78.0900,78.0600,78.0715,4600
1469727302,78.0700,78.0700,78.0700,78.0700,900
1469727370,78.0800,78.0800,78.0700,78.0700,200
1469727437,78.0600,78.0600,78.0600,78.0600,900
1469727529,78.0700,78.0700,78.0700,78.0700,100
1469727597,78.0600,78.0750,78.0600,78.0700,2600
1469727605,78.0400,78.0500,78.0400,78.0500,1400
1469727716,78.0100,78.0100,78.0100,78.0100,100
1469727726,77.9900,78.0200,77.9900,78.0000,800
1469727797,77.9700,77.9800,77.9700,77.9800,1800
1469727932,78.0000,78.0000,78.0000,78.0000,300
1469727960,78.0100,78.0100,78.0000,78.0000,900
1469728071,78.0100,78.0199,78.0000,78.0100,1100
1469728138,77.9900,78.0200,77.9900,78.0100,6200
1469728151,78.0100,78.0100,78.0000,78.0000,500
1469728241,78.0200,78.0200,78.0200,78.0200,400
1469728357,78.0700,78.0700,78.0500,78.0500,200
1469728397,78.0300,78.0500,78.0300,78.0500,1800
1469728497,78.0200,78.0200,78.0200,78.0200,300
1469728504,78.0300,78.0300,78.0300,78.0300,200
1469728618,78.0600,78.0600,78.0500,78.0500,700
1469728677,78.0700,78.0700,78.0500,78.0500,500
1469728683,78.1000,78.1000,78.0663,78.0663,1400
1469728743,78.1000,78.1100,78.1000,78.1000,3600
1469728916,78.0000,78.1300,77.9900,78.1200,7400
1469728978,77.9300,78.0400,77.9300,78.0000,6600
1469729037,77.9000,77.9750,77.8900,77.9300,8500
1469729062,77.8700,77.9100,77.8700,77.8900,3100
1469729105,77.9450,77.9450,77.9000,77.9100,2100
1469729174,77.9600,77.9700,77.9500,77.9500,2900
1469729264,77.9600,77.9600,77.9600,77.9600,100
1469729321,78.0200,78.0200,77.9700,77.9700,900
1469729342,78.0100,78.0200,78.0078,78.0200,900
1469729401,77.9900,78.0100,77.9900,78.0100,2200
1469729489,77.9950,77.9950,77.9950,77.9950,200
1469729554,77.9800,77.9800,77.9800,77.9800,1200
1469729652,77.9650,77.9650,77.9650,77.9650,100
1469729703,77.9900,77.9900,77.9800,77.9800,1000
1469729761,78.0050,78.0100,77.9900,77.9900,1500
1469729828,78.0500,78.0500,78.0300,78.0300,500
1469729896,78.0700,78.0700,78.0700,78.0700,200
1469729985,78.0800,78.1000,78.0600,78.1000,1500
1469730013,78.0600,78.0799,78.0600,78.0650,1500
1469730112,78.0600,78.0700,78.0600,78.0700,200
1469730187,78.1100,78.1100,78.0600,78.0600,3900
1469730296,78.1700,78.1700,78.1200,78.1200,700
1469730330,78.1900,78.1900,78.1700,78.1700,2900
1469730427,78.2000,78.2000,78.1900,78.2000,700
1469730530,78.2300,78.2300,78.2100,78.2100,800
1469730543,78.2600,78.2600,78.2400,78.2400,3300
1469730638,78.2800,78.2800,78.2700,78.2700,900
1469730717,78.3000,78.3000,78.2900,78.3000,1100
1469730759,78.3100,78.3200,78.3000,78.3000,2000
1469730806,78.3200,78.3300,78.3100,78.3200,1400
1469730959,78.3300,78.3300,78.3150,78.3150,2500
1469731019,78.3600,78.3600,78.3400,78.3400,200
1469731075,78.3900,78.4000,78.3500,78.3500,1400
1469731138,78.3800,78.3900,78.3800,78.3900,1600
1469731170,78.3900,78.3900,78.3900,78.3900,700
1469731244,78.4200,78.4200,78.4000,78.4000,1100
1469731272,78.4100,78.4300,78.4100,78.4300,2900
1469731373,78.4500,78.4500,78.4100,78.4100,1400
1469731380,78.4431,78.4500,78.4400,78.4400,1600
1469731473,78.3400,78.4600,78.3400,78.4500,7700
1469731513,78.3600,78.3600,78.3500,78.3500,700
1469731631,78.3700,78.3700,78.3600,78.3600,400
1469731738,78.3700,78.3800,78.3600,78.3600,3800
1469731767,78.3900,78.4000,78.3900,78.3900,1300
1469731894,78.4150,78.4200,78.4000,78.4000,900
1469731920,78.4300,78.4300,78.4200,78.4200,2500
1469731982,78.4300,78.4400,78.4250,78.4400,2400
1469732057,78.4300,78.4300,78.4300,78.4300,100
1469732125,78.4200,78.4200,78.4200,78.4200,2100
1469732174,78.4100,78.4300,78.4100,78.4300,2800
1469732230,78.3900,78.4100,78.3900,78.4100,1100
1469732298,78.3900,78.3900,78.3800,78.3800,700
1469732396,78.3850,78.3850,78.3750,78.3800,1500
1469732433,78.4600,78.4600,78.3900,78.3900,3300
1469732470,78.4600,78.4600,78.4500,78.4500,1100
1469732524,78.4700,78.5000,78.4650,78.4700,5600
1469732584,78.4800,78.4900,78.4600,78.4600,1500
1469732648,78.4800,78.4900,78.4700,78.4900,1000
1469732712,78.4700,78.4700,78.4600,78.4700,2000
1469732877,78.4900,78.4900,78.4600,78.4600,2600
1469732939,78.4850,78.4900,78.4850,78.4900,400
1469732968,78.4400,78.4800,78.4400,78.4800,4800
1469733001,78.4000,78.4200,78.4000,78.4200,1200
1469733079,78.4300,78.4300,78.4000,78.4090,2000
1469733219,78.4150,78.4200,78.4150,78.4190,500
1469733291,78.3900,78.4300,78.3900,78.4200,4400
1469733300,78.3700,78.3900,78.3700,78.3900,800
1469733427,78.3500,78.3600,78.3400,78.3500,2200
1469733500,78.3200,78.3500,78.3100,78.3500,3100
1469733573,78.3200,78.3200,78.3200,78.3200,400
1469733657,78.3700,78.3700,78.3300,78.3300,4100
1469733664,78.3700,78.3700,78.3700,78.3700,1000
1469733753,78.3800,78.3800,78.3600,78.3600,2000
1469733835,78.3850,78.3900,78.3800,78.3800,2200
1469733843,78.3700,78.3800,78.3600,78.3800,1400
1469733902,78.3900,78.3900,78.3800,78.3800,900
1469733969,78.3850,78.3900,78.3800,78.3900,1400
1469734022,78.2500,78.3800,78.2500,78.3800,9100
1469734083,78.2865,78.2882,78.2500,78.2500,3900
1469734203,78.2400,78.2900,78.2300,78.2900,11900
1469734273,78.2650,78.2650,78.2650,78.2650,700
1469734339,78.2900,78.2900,78.2700,78.2700,1800
1469734381,78.3000,78.3000,78.2900,78.2900,1900
1469734465,78.3200,78.3200,78.3050,78.3100,4300
1469734545,78.3500,78.3500,78.3200,78.3200,2200
1469734568,78.3550,78.3600,78.3500,78.3500,3700
1469734659,78.3600,78.3650,78.3600,78.3600,2300
1469734694,78.3700,78.3700,78.3600,78.3600,2300
1469734742,78.3850,78.3900,78.3750,78.3800,2300
1469734841,78.3400,78.3800,78.3300,78.3800,8200
1469734868,78.3350,78.3450,78.3350,78.3450,1400
1469734934,78.3300,78.3400,78.3300,78.3400,1800
1469734983,78.3150,78.3400,78.3100,78.3400,3700
1469735042,78.3150,78.3150,78.3150,78.3150,1900
1469735100,78.3050,78.3200,78.2900,78.3200,7100
1469735161,78.2800,78.3050,78.2800,78.3000,3800
1469735278,78.2550,78.2700,78.2500,78.2700,2000
1469735283,78.2300,78.2500,78.2300,78.2500,7400
1469735372,78.2800,78.2800,78.2550,78.2600,2500
