uri:/instrument/1.0/BA/chartdata;type=quote;range=1d/csv
ticker:ba
Company-Name:Boeing Company (The) Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:132.2800
Timestamp:1470922200,1470945600
labels:1470924000,1470927600,1470931200,1470934800,1470938400,1470942000,1470945600
values:Timestamp,close,high,low,open,volume
close:132.5300,133.5400
high:132.5500,133.5600
low:132.4500,133.5200
open:132.5405,133.5400
volume:100,444900
1470922200,132.7670,132.8500,132.5800,132.8500,53200
1470922266,132.6600,132.6600,132.6600,132.6600,300
1470922368,132.8176,132.8800,132.7550,132.8700,17600
1470922427,133.1400,133.1500,132.9050,132.9200,23500
1470922499,132.9390,133.0900,132.8300,133.0500,7900
1470922559,133.0155,133.0700,132.8800,132.9400,9200
1470922571,133.1900,133.2400,133.0450,133.0600,6800
1470922672,133.1000,133.2600,133.1000,133.2200,6100
1470922683,133.0000,133.1300,133.0000,133.1200,2600
1470922750,133.0100,133.0600,132.9600,132.9600,4100
1470922853,133.0200,133.0800,132.9800,133.0200,6000
1470922883,132.9700,133.1000,132.9700,133.0800,4500
1470922979,132.9500,133.0300,132.9300,132.9500,7000
1470922981,132.9000,132.9700,132.8900,132.9500,4800
1470923042,132.8450,132.9900,132.8100,132.8900,10700
1470923111,133.0700,133.1100,132.9300,132.9300,18600
1470923215,133.0600,133.0900,133.0156,133.0750,4100
1470923267,132.9900,133.0200,132.9700,133.0200,4100
1470923294,132.9700,133.0350,132.9700,133.0000,2700
1470923398,133.0258,133.0258,132.9100,132.9800,6500
1470923410,132.8994,133.0400,132.8994,132.9900,4300
1470923476,132.9200,132.9800,132.9200,132.9800,2400
1470923551,132.9500,132.9700,132.9300,132.9400,3800
1470923585,132.9300,133.0000,132.9300,132.9600,4600
1470923649,132.9600,133.0000,132.9500,132.9500,3300
1470923737,132.9501,132.9700,132.9501,132.9700,1800
1470923761,132.9700,132.9800,132.9400,132.9400,3000
