uri:/instrument/1.0/BXP/chartdata;type=quote;range=1d/csv
ticker:bxp
Company-Name:Boston Properties, Inc. Common 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:137.5600
Timestamp:1469194200,1469217600
labels:1469196000,1469199600,1469203200,1469206800,1469210400,1469214000,1469217600
values:Timestamp,close,high,low,open,volume
close:137.2400,139.3700
high:137.2400,139.3700
low:137.2400,139.3600
open:137.2400,139.3700
volume:100,24400
1469194249,137.2400,137.2400,137.2400,137.2400,3000
1469194437,137.6700,137.6700,137.6200,137.6200,2900
1469194492,138.0650,138.0650,137.9350,137.9350,1300
1469194502,138.3000,138.3000,138.0700,138.0700,3800
1469194619,138.0700,138.2900,138.0700,138.2700,5900
1469194621,137.9000,138.0600,137.9000,138.0600,1400
1469194729,137.9150,137.9800,137.9100,137.9200,600
1469194796,137.6850,137.8600,137.6850,137.8300,900
1469194800,137.9400,137.9400,137.7100,137.7100,1600
1469194875,138.0300,138.0300,138.0300,138.0300,300
1469195089,137.8900,138.0000,137.8900,138.0000,9500
1469195112,137.8600,137.9600,137.8100,137.9600,2700
1469195188,137.8850,137.9000,137.8800,137.8900,2500
1469195233,137.9300,137.9300,137.8850,137.8850,200
1469195280,138.0800,138.1000,137.9850,137.9900,1900
1469195404,138.1900,138.1900,138.1900,138.1900,300
1469195527,138.3300,138.3300,138.3100,138.3100,200
1469195580,138.3800,138.4400,138.2900,138.3400,700
1469195679,138.3300,138.3400,138.3300,138.3400,300
1469195700,138.2600,138.2600,138.2600,138.2600,300
1469195819,138.3200,138.3200,138.1900,138.2100,1100
1469195844,138.1400,138.2500,138.1400,138.2500,700
1469195916,138.1300,138.1400,138.0900,138.0900,600
1469195985,138.1800,138.1800,138.1100,138.1200,700
1469196072,138.1800,138.1800,138.1800,138.1800,300
1469196236,138.2500,138.2700,138.2500,138.2700,400
1469196283,138.3400,138.3500,138.3100,138.3200,900
1469196328,138.3900,138.3900,138.3500,138.3500,700
1469196405,138.3392,138.3392,138.3392,138.3392,100
1469196423,138.2700,138.4400,138.2700,138.3167,1900
1469196517,138.1500,138.2300,138.1500,138.2300,200
1469196547,138.2100,138.2100,138.2100,138.2100,200
1469196694,138.1700,138.1700,138.1700,138.1700,200
1469196770,138.1500,138.1500,138.1500,138.1500,300
1469196890,138.1800,138.1800,138.1700,138.1700,300
1469196943,138.2600,138.2600,138.2600,138.2600,300
1469197004,138.2800,138.2800,138.2800,138.2800,300
1469197042,138.2200,138.2200,138.2200,138.2200,300
1469197084,138.2900,138.2900,138.2300,138.2300,500
1469197197,138.2050,138.2500,138.2000,138.2500,1100
1469197255,138.3400,138.3400,138.3400,138.3400,300
1469197341,138.3200,138.3200,138.2900,138.3200,1100
1469197528,138.3500,138.3500,138.2900,138.2900,700
1469197602,138.4500,138.4500,138.3900,138.3900,400
1469197659,138.4700,138.4700,138.4500,138.4500,400
1469197778,138.4400,138.4400,138.3900,138.3900,400
1469197836,138.4800,138.4800,138.4800,138.4800,300
1469197873,138.4000,138.4100,138.4000,138.4100,500
1469197933,138.4000,138.4200,138.4000,138.4200,900
1469198084,138.5300,138.5300,138.4800,138.5000,600
1469198116,138.4900,138.4900,138.4900,138.4900,200
1469198209,138.4200,138.4200,138.4200,138.4200,500
1469198232,138.4500,138.4500,138.4500,138.4500,400
1469198409,138.4700,138.4700,138.4700,138.4700,300
1469198506,138.5200,138.5200,138.5200,138.5200,100
1469198521,138.4200,138.4501,138.4200,138.4501,1700
1469198623,138.3600,138.3600,138.3000,138.3200,1300
1469198749,138.3823,138.3823,138.3823,138.3823,100
1469198761,138.3720,138.3800,138.3700,138.3800,500
1469198872,138.3500,138.3500,138.3500,138.3500,200
1469198883,138.3400,138.3400,138.3400,138.3400,300
1469199008,138.4200,138.4300,138.4200,138.4300,900
1469199092,138.4300,138.4600,138.4300,138.4600,300
1469199148,138.4500,138.4500,138.4500,138.4500,100
1469199192,138.4600,138.4800,138.4600,138.4600,1200
1469199242,138.4300,138.4400,138.4300,138.4400,500
1469199339,138.3300,138.4000,138.3300,138.4000,1500
1469199394,138.2800,138.3100,138.2800,138.3100,2000
1469199555,138.2700,138.2700,138.2700,138.2700,500
1469199651,138.2222,138.2222,138.2222,138.2222,300
1469199739,138.3300,138.3300,138.2800,138.2900,1100
1469199782,138.3200,138.3300,138.3200,138.3300,700
1469199850,138.3000,138.3300,138.3000,138.3100,1000
1469199961,138.2200,138.2500,138.2200,138.2500,600
