uri:/instrument/1.0/CAH/chartdata;type=quote;range=1d/csv
ticker:cah
Company-Name:Cardinal Health, Inc. Common St
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:74.9811
Timestamp:1467207000,1467230400
labels:1467208800,1467212400,1467216000,1467219600,1467223200,1467226800,1467230400
values:Timestamp,close,high,low,open,volume
close:75.8000,77.4400
high:75.8300,77.4500
low:75.7650,77.4200
open:75.7746,77.4350
volume:100,112500
1467207031,75.9100,75.9100,75.7900,75.7900,30300
1467207111,76.1900,76.1900,76.1900,76.1900,300
1467207237,76.3650,76.3650,76.2400,76.3400,1500
1467207243,76.2375,76.3500,76.2375,76.3500,9100
1467207356,76.2700,76.2800,76.2000,76.2800,19300
1467207361,75.8200,76.2200,75.8200,76.2200,5200
1467207434,75.8783,75.9100,75.7746,75.7746,5100
1467207523,75.8800,75.9250,75.8100,75.8900,1800
1467207596,75.9100,75.9100,75.8000,75.8500,4200
1467207601,75.9850,76.0500,75.9100,75.9200,8000
1467207690,75.8200,75.8900,75.8200,75.8800,8000
1467207776,76.0300,76.0400,75.8600,75.8600,4300
1467207780,75.8200,76.0300,75.8200,76.0300,26700
1467207847,75.8800,75.9200,75.8300,75.8550,5200
1467207954,75.8675,75.9000,75.7800,75.9000,11900
1467207967,75.9300,75.9500,75.8450,75.8450,5800
1467208023,75.8000,75.9500,75.8000,75.9400,9600
1467208139,75.9000,75.9000,75.7900,75.8100,9300
1467208140,75.9540,75.9950,75.8800,75.9000,15100
1467208255,75.8650,75.9350,75.8650,75.9350,2300
1467208265,75.8400,75.8400,75.7800,75.8400,4500
1467208320,75.8870,75.9200,75.8600,75.9000,9000
1467208438,75.9000,75.9000,75.8700,75.8900,10800
1467208499,75.9450,75.9700,75.8700,75.9000,13800
1467208558,75.9350,75.9850,75.9300,75.9500,10300
1467208618,75.9000,75.9300,75.8950,75.9100,11300
1467208622,75.8800,75.9000,75.8500,75.9000,10300
1467208707,75.8900,75.9000,75.8700,75.8700,7500
1467208790,75.8800,75.8950,75.8800,75.8900,3700
1467208800,75.8150,75.8300,75.7650,75.8000,12700
1467208891,75.8600,75.8750,75.8300,75.8600,4000
1467208979,75.9200,75.9700,75.8900,75.8950,15100
1467209038,75.9100,75.9600,75.8900,75.9600,7000
1467209094,75.9300,75.9500,75.9100,75.9100,5500
1467209151,76.0400,76.0600,75.9900,75.9900,5500
1467209218,76.0900,76.1000,76.0450,76.0500,4000
1467209233,76.1100,76.1200,76.1000,76.1100,2300
1467209328,76.1100,76.1599,76.1000,76.1300,6200
1467209343,76.1500,76.1500,76.0900,76.1050,7500
1467209453,76.1700,76.2100,76.1600,76.1600,4200
1467209508,76.2300,76.2600,76.1600,76.1600,13500
1467209521,76.2550,76.2700,76.1700,76.1700,12000
1467209633,76.2900,76.3100,76.2600,76.2700,2800
1467209641,76.2700,76.2950,76.2500,76.2800,8100
1467209700,76.3700,76.3700,76.2600,76.2700,7800
1467209819,76.4200,76.4860,76.3600,76.3700,7400
1467209825,76.4800,76.4800,76.4450,76.4500,6700
1467209925,76.4600,76.4800,76.4500,76.4740,3400
1467209997,76.4850,76.5000,76.4400,76.4400,5500
1467210002,76.5000,76.5700,76.4900,76.4900,9700
1467210062,76.5800,76.5800,76.5200,76.5200,3700
1467210122,76.5500,76.6400,76.5500,76.5700,6100
1467210203,76.6000,76.6000,76.5400,76.5400,1300
1467210244,76.5100,76.6100,76.5100,76.6100,2500
1467210300,76.5000,76.5800,76.4950,76.5600,5000
1467210366,76.5700,76.5700,76.5300,76.5300,3800
1467210428,76.5300,76.5500,76.5000,76.5500,5000
1467210539,76.5000,76.5700,76.5000,76.5600,3700
1467210599,76.5100,76.5300,76.5050,76.5050,1900
1467210646,76.4900,76.5300,76.4800,76.5300,11000
1467210714,76.5400,76.5600,76.5100,76.5100,3600
1467210727,76.5100,76.5300,76.4900,76.5300,4200
1467210801,76.4700,76.5200,76.4700,76.5200,4900
1467210845,76.4400,76.4800,76.4400,76.4600,6700
1467210954,76.4300,76.4500,76.4000,76.4400,8000
1467211003,76.4500,76.4500,76.3900,76.4100,5200
1467211021,76.5300,76.5300,76.4600,76.4600,9400
1467211083,76.5700,76.5900,76.5000,76.5000,5000
1467211156,76.6100,76.6300,76.5900,76.5900,4200
1467211258,76.6200,76.6400,76.6100,76.6100,3200
1467211313,76.6600,76.6900,76.6400,76.6400,6000
1467211370,76.6300,76.6500,76.6200,76.6500,2300
1467211439,76.6700,76.6900,76.6200,76.6200,3900
1467211499,76.6700,76.6800,76.6400,76.6700,6200
1467211505,76.6996,76.7000,76.6600,76.6800,5100
1467211583,76.6850,76.6999,76.6800,76.6800,500
1467211679,76.6700,76.7200,76.6700,76.6800,6400
1467211734,76.7300,76.7422,76.6500,76.6700,4200
1467211798,76.7800,76.7800,76.7200,76.7280,3000
1467211803,76.7772,76.7800,76.7600,76.7800,8700
1467211876,76.7900,76.8000,76.7700,76.7700,5100
1467211925,76.8300,76.8300,76.7700,76.7800,4700
1467211983,76.7700,76.8000,76.7700,76.7950,3400
1467212099,76.7600,76.7750,76.7500,76.7700,8400
1467212159,76.7700,76.7900,76.7600,76.7700,6600
1467212161,76.7400,76.7750,76.7400,76.7700,9900
1467212238,76.8200,76.8200,76.7200,76.7500,8000
1467212334,76.7754,76.8100,76.7754,76.8100,4000
1467212395,76.7900,76.8100,76.7600,76.7800,4300
1467212403,76.7700,76.8000,76.7650,76.8000,18800
1467212462,76.7750,76.7800,76.7400,76.7690,6600
1467212577,76.7100,76.7800,76.6900,76.7800,18000
1467212580,76.8100,76.8150,76.7200,76.7200,7300
1467212647,76.8500,76.8600,76.8100,76.8100,3900
1467212757,76.8100,76.8600,76.8100,76.8600,1100
1467212819,76.8000,76.8100,76.7750,76.8100,5100
1467212820,76.8100,76.8400,76.8100,76.8100,1500
1467212929,76.8100,76.8100,76.7750,76.7900,2800
1467212940,76.7999,76.8400,76.7700,76.8200,6900
1467213003,76.8700,76.8700,76.7800,76.7900,4500
1467213118,76.8000,76.8400,76.7900,76.8400,1200
1467213171,76.8300,76.8300,76.7950,76.8000,3200
1467213184,76.8200,76.8300,76.8000,76.8300,2400
1467213294,76.8500,76.8800,76.8400,76.8400,2900
1467213357,76.8230,76.8424,76.8230,76.8424,3100
1467213418,76.8200,76.8900,76.8200,76.8400,6500
1467213422,76.8500,76.8500,76.8100,76.8300,2600
1467213537,76.8000,76.8500,76.8000,76.8500,1900
1467213542,76.7800,76.7977,76.7750,76.7977,1900
1467213606,76.8500,76.8500,76.8000,76.8000,2100
1467213719,76.8900,76.8900,76.8600,76.8600,500
1467213726,76.8200,76.8832,76.8200,76.8832,3800
1467213834,76.8000,76.8250,76.7900,76.8100,4000
1467213895,76.8200,76.8200,76.8050,76.8080,2200
1467213904,76.8000,76.8350,76.8000,76.8200,4300
1467214008,76.8100,76.8100,76.8100,76.8100,900
1467214071,76.7900,76.8200,76.7900,76.8200,2400
1467214099,76.8100,76.8400,76.8000,76.8000,4000
1467214148,76.8300,76.8300,76.8000,76.8200,5100
1467214253,76.8100,76.8500,76.8100,76.8500,1500
1467214262,76.8600,76.8700,76.8300,76.8300,2200
1467214379,76.8900,76.8900,76.8600,76.8600,5500
1467214388,76.9400,76.9400,76.8800,76.8800,2700
1467214491,76.9300,76.9800,76.9100,76.9300,5800
1467214557,76.9800,76.9900,76.9450,76.9461,9200
1467214619,76.9550,76.9800,76.9500,76.9800,3900
1467214674,76.9600,76.9700,76.9425,76.9600,4700
1467214719,76.9700,76.9700,76.9400,76.9600,2100
1467214744,77.0000,77.0100,76.9810,76.9900,9900
1467214834,76.9900,77.0100,76.9865,77.0050,2500
1467214918,76.9650,76.9900,76.9600,76.9900,4600
1467214959,77.0100,77.0100,76.9600,76.9650,2000
1467215028,76.9900,77.0100,76.9900,77.0100,3400
1467215047,77.0000,77.0000,76.9800,76.9800,2500
1467215129,77.0000,77.0270,77.0000,77.0270,1400
1467215216,76.9300,77.0000,76.9300,77.0000,3800
1467215221,76.9700,76.9900,76.9300,76.9300,5400
1467215330,76.9800,77.0100,76.9600,76.9600,6600
1467215398,77.0500,77.0500,76.9700,76.9800,11900
1467215459,77.0350,77.0700,77.0350,77.0400,6000
1467215512,77.0300,77.0400,77.0300,77.0400,500
1467215538,77.0500,77.0700,77.0100,77.0200,5400
1467215633,77.1100,77.1250,77.0600,77.0600,4700
1467215642,77.1000,77.1200,77.1000,77.1100,4700
1467215702,77.1200,77.1300,77.1000,77.1000,6600
1467215774,77.1500,77.1500,77.1300,77.1300,2400
1467215829,77.1500,77.1600,77.1400,77.1400,3200
1467215938,77.1300,77.1600,77.1100,77.1500,6200
1467215999,77.1100,77.1390,77.1000,77.1300,9300
1467216053,77.1100,77.1250,77.1100,77.1100,9300
1467216116,77.0600,77.1200,77.0600,77.1200,11200
1467216177,77.0600,77.0800,77.0600,77.0700,4600
1467216239,77.1100,77.1100,77.0850,77.0900,3600
1467216243,77.0850,77.1100,77.0850,77.1100,5400
1467216355,77.0800,77.1084,77.0700,77.0900,4100
1467216402,77.0000,77.0550,76.9900,77.0550,5500
1467216423,77.0200,77.0400,77.0134,77.0134,4900
1467216500,77.0500,77.0500,77.0000,77.0030,1800
1467216593,77.0800,77.0800,77.0650,77.0680,1600
1467216600,77.1000,77.1000,77.0700,77.0800,3700
1467216684,77.1100,77.1100,77.0900,77.0900,2600
1467216766,77.0900,77.1150,77.0900,77.1150,1200
1467216839,77.0300,77.0900,77.0200,77.0900,2100
1467216898,77.0100,77.0300,77.0100,77.0277,2800
1467216959,77.0200,77.0200,77.0000,77.0100,7100
1467217014,77.0700,77.0700,77.0162,77.0200,3900
1467217020,77.0850,77.0900,77.0600,77.0600,4300
1467217092,77.1300,77.1300,77.0850,77.0900,3800
1467217145,77.1600,77.1600,77.1100,77.1200,2900
1467217202,77.1200,77.1500,77.1200,77.1500,2600
1467217267,77.0900,77.1500,77.0750,77.1500,1800
1467217355,77.0900,77.0900,77.0900,77.0900,900
1467217383,77.1300,77.1450,77.1000,77.1000,3000
1467217493,77.1181,77.1200,77.1100,77.1200,1000
1467217501,77.1000,77.1000,77.0900,77.0900,2400
1467217619,77.1500,77.1700,77.1150,77.1200,6400
1467217637,77.1600,77.1700,77.1500,77.1600,2200
1467217685,77.1500,77.1650,77.1500,77.1500,700
1467217766,77.2100,77.2100,77.1644,77.1644,2700
1467217808,77.1600,77.2050,77.1500,77.2050,5500
1467217914,77.1597,77.1800,77.1500,77.1500,2600
1467217926,77.1200,77.1600,77.1200,77.1600,1900
1467218088,77.1000,77.1200,77.0900,77.1200,1200
1467218140,77.1550,77.1550,77.1000,77.1000,2300
1467218214,77.1600,77.1600,77.1300,77.1300,2800
1467218220,77.1700,77.1700,77.1500,77.1600,1200
1467218303,77.1500,77.1900,77.1400,77.1700,4200
1467218347,77.1700,77.1800,77.1600,77.1600,1600
1467218406,77.1400,77.1400,77.1371,77.1400,1500
1467218468,77.1200,77.1600,77.1200,77.1500,3000
1467218550,77.1000,77.1100,77.1000,77.1000,900
1467218637,77.0500,77.0900,77.0400,77.0900,4900
1467218641,77.1200,77.1200,77.0600,77.0600,3200
1467218723,77.1300,77.1400,77.1200,77.1300,5100
1467218816,77.1200,77.1450,77.1200,77.1450,5400
1467218877,77.1150,77.1350,77.1100,77.1200,4700
1467218880,77.1200,77.1350,77.1100,77.1150,3100
1467218999,77.1200,77.1300,77.1100,77.1100,4600
1467219000,77.1100,77.1300,77.1100,77.1250,7900
1467219073,77.1200,77.1300,77.1100,77.1200,4600
1467219142,77.0900,77.1200,77.0800,77.1200,11400
1467219237,77.0800,77.0900,77.0800,77.0900,15600
1467219240,77.0700,77.0850,77.0700,77.0800,12100
1467219357,77.0800,77.1080,77.0700,77.0800,12900
1467219418,77.0900,77.1000,77.0750,77.0800,7200
1467219477,77.0900,77.0900,77.0800,77.0900,2200
