uri:/instrument/1.0/CB/chartdata;type=quote;range=1d/csv
ticker:cb
Company-Name:D/B/A Chubb Limited New Common 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:127.8100
Timestamp:1473168600,1473192000
labels:1473170400,1473174000,1473177600,1473181200,1473184800,1473188400,1473192000
values:Timestamp,close,high,low,open,volume
close:127.0101,128.0800
high:127.0900,128.0800
low:127.0101,128.0800
open:127.0200,128.0800
volume:100,30400
1473168667,127.9295,127.9295,127.8600,127.8700,21100
1473168743,127.9500,128.0000,127.8700,127.8700,1700
1473168830,128.0500,128.0500,127.8300,127.8400,1400
1473168848,127.8790,128.0500,127.8600,127.9700,600
1473168917,127.6200,127.8700,127.6200,127.8700,3200
1473169002,127.6600,127.6900,127.5860,127.5860,1000
1473169026,127.6160,127.6600,127.6160,127.6500,800
1473169089,127.6500,127.6500,127.5800,127.6100,2400
1473169179,127.5200,127.5200,127.5200,127.5200,200
1473169253,127.5600,127.5986,127.4350,127.5986,1500
1473169263,127.5100,127.5700,127.4900,127.4900,1200
1473169342,127.5500,127.5700,127.5400,127.5700,1100
1473169423,127.5600,127.5600,127.5599,127.5599,500
1473169455,127.3800,127.4900,127.3800,127.4900,900
1473169500,127.3981,127.5350,127.3981,127.4200,1500
1473169562,127.4196,127.4196,127.4100,127.4100,1000
1473169653,127.3400,127.4500,127.3400,127.4300,1500
1473169737,127.4600,127.4600,127.3500,127.4000,2100
1473169741,127.4400,127.5500,127.4400,127.4800,2900
1473169802,127.4800,127.4800,127.4000,127.4500,2400
1473169881,127.3600,127.5200,127.3500,127.5200,6100
1473169949,127.4100,127.4100,127.3700,127.3700,1600
1473170001,127.3800,127.3800,127.3600,127.3700,1700
1473170047,127.3962,127.4000,127.3400,127.3400,1700
1473170154,127.5500,127.5600,127.4200,127.4200,3800
1473170218,127.5200,127.5800,127.4600,127.5800,2700
1473170273,127.4400,127.5000,127.4400,127.5000,900
1473170294,127.5200,127.5200,127.4400,127.4400,800
1473170399,127.4800,127.4950,127.4800,127.4900,600
1473170400,127.4900,127.4900,127.3800,127.4800,3100
1473170464,127.5000,127.5000,127.4000,127.4700,2700
1473170558,127.4400,127.4800,127.4400,127.4800,600
1473170640,127.4800,127.5000,127.3900,127.4400,1400
1473170759,127.4200,127.5300,127.3900,127.4700,3300
1473170765,127.2000,127.3900,127.2000,127.3700,7500
1473170865,127.2800,127.2800,127.2500,127.2500,1600
1473170880,127.2810,127.3100,127.2800,127.3100,900
1473170941,127.3100,127.4000,127.2700,127.3600,3700
1473171015,127.3400,127.3800,127.3300,127.3800,1600
1473171083,127.2500,127.2900,127.2500,127.2900,400
1473171128,127.2500,127.2800,127.2500,127.2500,1300
1473171209,127.3200,127.3200,127.3100,127.3100,300
1473171246,127.2700,127.3200,127.2700,127.3000,1600
1473171316,127.3100,127.3300,127.2900,127.2900,1700
1473171365,127.2900,127.3000,127.2600,127.3000,700
1473171424,127.2400,127.3000,127.2400,127.2900,1400
1473171480,127.2400,127.2700,127.2000,127.2100,2700
1473171542,127.1900,127.2300,127.1301,127.2300,2100
1473171601,127.1801,127.2200,127.1400,127.2200,2800
1473171671,127.2400,127.2500,127.2300,127.2300,1500
1473171725,127.2400,127.2500,127.2200,127.2400,1200
1473171837,127.2300,127.2500,127.2200,127.2200,900
1473171840,127.2600,127.2600,127.1900,127.2400,2100
1473171904,127.2200,127.2500,127.1900,127.2400,3500
1473172018,127.2200,127.2300,127.1800,127.2000,1100
1473172077,127.1300,127.2400,127.1200,127.2200,3600
1473172084,127.0101,127.1200,127.0101,127.1200,1800
1473172140,127.0900,127.0900,127.0200,127.0200,2100
1473172201,127.1700,127.1700,127.0900,127.1000,2300
1473172265,127.2000,127.2200,127.1950,127.1950,1000
1473172322,127.2400,127.2400,127.2000,127.2000,600
1473172386,127.2500,127.2600,127.2300,127.2300,800
1473172467,127.2900,127.2900,127.2500,127.2500,3200
1473172505,127.2800,127.3300,127.2800,127.3100,2500
1473172622,127.3000,127.3000,127.2800,127.3000,1200
1473172709,127.2900,127.3000,127.2800,127.3000,600
1473172744,127.2700,127.2750,127.2700,127.2750,1100
1473172824,127.3100,127.3100,127.3100,127.3100,100
1473172888,127.3000,127.3100,127.2950,127.2950,3200
1473172979,127.2920,127.3100,127.2700,127.2900,2300
1473172983,127.2700,127.2900,127.2700,127.2800,1500
1473173108,127.2800,127.3100,127.2800,127.2900,1900
1473173160,127.2500,127.2700,127.2100,127.2700,2100
1473173234,127.2000,127.2200,127.1800,127.2000,1200
1473173296,127.1800,127.2100,127.1800,127.2000,1500
1473173342,127.1500,127.1700,127.1500,127.1600,400
1473173413,127.1400,127.1600,127.1000,127.1600,1700
1473173514,127.1600,127.1600,127.1400,127.1400,1000
1473173541,127.1800,127.1800,127.1400,127.1400,1000
1473173588,127.1500,127.1524,127.1201,127.1500,1800
1473173658,127.1501,127.1700,127.1501,127.1700,900
1473173707,127.1400,127.1600,127.1050,127.1600,2100
1473173778,127.1400,127.1600,127.1400,127.1400,1100
1473173825,127.1500,127.1500,127.1400,127.1500,1400
1473173888,127.1800,127.2000,127.1500,127.1500,2100
1473173941,127.1800,127.1900,127.1700,127.1800,700
1473174048,127.1901,127.2000,127.1900,127.1939,800
1473174063,127.1700,127.1900,127.1600,127.1900,1400
1473174124,127.1800,127.1900,127.1600,127.1600,1000
1473174231,127.1900,127.1900,127.1750,127.1900,800
1473174240,127.2000,127.2000,127.1600,127.1800,2300
1473174306,127.2200,127.2200,127.2050,127.2100,400
1473174413,127.2600,127.2800,127.2200,127.2200,2200
1473174424,127.2200,127.2800,127.2000,127.2800,3700
1473174539,127.2000,127.2200,127.1400,127.2200,6300
1473174544,127.1700,127.2000,127.1700,127.1900,1400
1473174653,127.1700,127.2100,127.1600,127.2000,6800
1473174666,127.1700,127.2100,127.1700,127.1800,800
1473174749,127.2000,127.2300,127.2000,127.2200,1600
1473174792,127.2397,127.2400,127.2197,127.2197,1700
1473174898,127.3200,127.3200,127.2400,127.2400,2600
1473174912,127.3897,127.4000,127.3300,127.3300,4000
1473174976,127.4200,127.4200,127.3597,127.3700,1600
1473175077,127.3800,127.4100,127.3600,127.4100,3100
1473175088,127.3800,127.4000,127.3600,127.3900,2300
1473175158,127.3729,127.3800,127.3600,127.3700,1200
1473175204,127.4800,127.4800,127.3800,127.3800,3600
1473175260,127.5000,127.5000,127.4400,127.4700,5600
1473175341,127.4800,127.5000,127.4700,127.5000,2200
1473175388,127.5000,127.5000,127.4600,127.4600,800
1473175480,127.5400,127.5400,127.5400,127.5400,200
1473175553,127.5650,127.5650,127.5200,127.5200,900
1473175616,127.5900,127.6300,127.5800,127.5800,13100
1473175623,127.5600,127.6100,127.5500,127.6100,2600
1473175691,127.6000,127.6000,127.5700,127.5800,1900
1473175755,127.6094,127.6094,127.5600,127.5800,1800
1473175815,127.6295,127.6295,127.5850,127.5850,1500
1473175881,127.6200,127.6300,127.6200,127.6300,200
1473175924,127.5900,127.6499,127.5797,127.6499,4100
1473175991,127.6200,127.6200,127.5600,127.5700,2600
1473176043,127.6200,127.6200,127.6000,127.6200,1500
1473176120,127.6200,127.6600,127.6200,127.6400,2100
1473176165,127.6700,127.6800,127.6200,127.6200,4700
1473176220,127.6700,127.6700,127.6500,127.6600,1700
1473176292,127.6600,127.6600,127.6500,127.6600,1500
1473176340,127.6800,127.6900,127.6800,127.6900,1400
1473176456,127.7100,127.7100,127.6750,127.6750,2000
1473176518,127.7301,127.7700,127.7100,127.7200,2200
1473176521,127.7400,127.7400,127.7100,127.7400,1100
1473176580,127.7400,127.7699,127.7400,127.7500,2200
1473176665,127.7000,127.7400,127.7000,127.7400,1500
1473176725,127.7200,127.7200,127.7200,127.7200,600
1473176776,127.7400,127.7400,127.7400,127.7400,400
1473176830,127.7150,127.7300,127.7000,127.7200,1700
1473176891,127.7600,127.8200,127.7300,127.7300,5600
1473176956,127.7600,127.7800,127.7300,127.7800,3000
1473177014,127.7800,127.7800,127.7700,127.7700,700
1473177061,127.7500,127.8000,127.7500,127.7900,2600
1473177177,127.7350,127.7400,127.7300,127.7300,1000
1473177180,127.7400,127.7600,127.7300,127.7400,1100
1473177250,127.6800,127.7250,127.6500,127.7200,8100
1473177313,127.6800,127.6800,127.6700,127.6800,1000
1473177361,127.6600,127.6800,127.6600,127.6800,1200
1473177433,127.6800,127.6800,127.6500,127.6500,2200
1473177504,127.6548,127.6548,127.6400,127.6500,1500
1473177595,127.6800,127.6900,127.6600,127.6600,2300
1473177602,127.7399,127.7400,127.7000,127.7000,1400
1473177693,127.7214,127.7214,127.7214,127.7214,500
1473177734,127.7800,127.7800,127.7400,127.7400,1100
1473177784,127.7600,127.7900,127.7600,127.7900,1000
1473177840,127.7150,127.7550,127.7100,127.7550,4000
1473177910,127.7150,127.7150,127.7150,127.7150,100
1473177978,127.7300,127.7400,127.7100,127.7100,600
1473178033,127.7600,127.7600,127.7400,127.7400,1100
1473178084,127.7300,127.7500,127.7300,127.7500,1100
1473178159,127.7211,127.7211,127.7211,127.7211,100
1473178221,127.7500,127.7500,127.7400,127.7400,300
1473178261,127.7299,127.7500,127.7000,127.7500,2900
1473178322,127.7300,127.7300,127.7100,127.7200,800
1473178386,127.7300,127.7400,127.7300,127.7399,700
1473178441,127.7500,127.7600,127.7201,127.7201,2200
1473178570,127.7600,127.7600,127.7400,127.7500,1400
1473178622,127.7700,127.7700,127.7425,127.7500,2000
1473178722,127.7800,127.7800,127.7800,127.7800,100
1473178740,127.7900,127.7900,127.7800,127.7800,800
1473178808,127.7900,127.7900,127.7600,127.7900,1000
1473178959,127.7800,127.7800,127.7700,127.7700,400
1473178992,127.7800,127.7900,127.7600,127.7725,2600
1473179055,127.7900,127.8000,127.7700,127.7700,1300
1473179107,127.7850,127.8000,127.7800,127.8000,1600
1473179175,127.7400,127.7600,127.7250,127.7600,3100
1473179238,127.7700,127.7800,127.7500,127.7500,500
1473179297,127.7668,127.7668,127.7668,127.7668,300
1473179348,127.7700,127.7700,127.7600,127.7700,800
1473179408,127.7300,127.7600,127.7250,127.7600,1200
1473179465,127.7399,127.7399,127.7200,127.7200,400
1473179579,127.7900,127.8100,127.7400,127.7400,3700
1473179580,127.8100,127.8100,127.8000,127.8000,500
1473179690,127.8100,127.8100,127.8000,127.8000,1700
1473179700,127.7900,127.8100,127.7900,127.8100,2100
1473179761,127.7550,127.7900,127.7500,127.7900,2000
1473179828,127.7700,127.7700,127.7500,127.7500,1100
1473179882,127.7400,127.7500,127.7300,127.7500,1300
1473179948,127.7900,127.7900,127.7500,127.7500,1800
1473180008,127.8000,127.8000,127.7900,127.7900,1600
1473180066,127.8100,127.8200,127.8001,127.8100,1000
1473180124,127.8101,127.8101,127.8101,127.8101,200
1473180180,127.8300,127.8400,127.8000,127.8100,5000
1473180267,127.7900,127.8100,127.7900,127.8100,1600
1473180310,127.8400,127.8400,127.7800,127.7800,1000
1473180377,127.8600,127.8600,127.8300,127.8300,900
1473180437,127.8500,127.8800,127.8500,127.8800,1600
1473180486,127.8600,127.8600,127.8500,127.8500,1500
1473180641,127.8310,127.8500,127.8310,127.8500,1500
1473180680,127.8400,127.8400,127.8300,127.8300,1000
1473180747,127.7900,127.8300,127.7900,127.8300,1400
1473180797,127.7900,127.7900,127.7900,127.7900,300
1473180861,127.7900,127.8000,127.7900,127.8000,800
1473180956,127.7500,127.7900,127.7500,127.7900,1300
1473180965,127.7700,127.7700,127.7600,127.7600,500
1473181092,127.7500,127.7500,127.7500,127.7500,600
1473181141,127.7200,127.7400,127.7000,127.7400,1100
1473181234,127.7300,127.7300,127.7100,127.7100,800
1473181263,127.6978,127.7100,127.6978,127.7100,1200
1473181400,127.6694,127.6900,127.6297,127.6900,9000
1473181468,127.6700,127.6700,127.6700,127.6700,300
1473181507,127.6600,127.6700,127.6600,127.6600,2000
1473181619,127.6600,127.6600,127.6200,127.6500,2000
1473181628,127.6700,127.6700,127.6700,127.6700,200
1473181680,127.6300,127.6800,127.6300,127.6600,1900
1473181742,127.6100,127.6200,127.6100,127.6100,1200
1473181800,127.6000,127.6000,127.5900,127.5900,1100
1473181919,127.5900,127.6000,127.5900,127.6000,1200
1473181921,127.5900,127.5900,127.5900,127.5900,700
1473182020,127.5600,127.5700,127.5500,127.5700,700
1473182053,127.5120,127.5600,127.5120,127.5600,1400
1473182110,127.5695,127.5700,127.5400,127.5400,1400
1473182184,127.5900,127.5900,127.5800,127.5800,600
1473182262,127.5750,127.5850,127.5750,127.5800,800
1473182293,127.6000,127.6000,127.5750,127.5800,1000
1473182362,127.5900,127.5900,127.5900,127.5900,600
1473182400,127.5800,127.5900,127.5600,127.5900,1400
1473182462,127.5800,127.6100,127.5800,127.5800,500
1473182528,127.6000,127.6100,127.6000,127.6100,500
1473182587,127.6200,127.6200,127.6100,127.6100,1200
1473182693,127.6100,127.6200,127.6000,127.6200,1200
1473182702,127.6099,127.6100,127.6000,127.6100,1000
1473182774,127.6400,127.6400,127.6050,127.6100,1500
1473182832,127.6500,127.6600,127.6400,127.6500,900
1473182889,127.6500,127.6600,127.6500,127.6600,1200
1473182943,127.6100,127.6600,127.6000,127.6600,2600
