uri:/instrument/1.0/CELG/chartdata;type=quote;range=1d/csv
ticker:celg
Company-Name:Celgene Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:114.6200
Timestamp:1471354200,1471377600
labels:1471356000,1471359600,1471363200,1471366800,1471370400,1471374000,1471377600
values:Timestamp,close,high,low,open,volume
close:112.1700,114.6500
high:112.1700,114.6500
low:112.1000,114.3900
open:112.1700,114.4800
volume:100,279700
1471354217,114.2800,114.2800,114.0200,114.0200,42200
1471354260,114.6500,114.6500,114.2500,114.2800,13000
1471354341,114.4000,114.5400,114.3900,114.4800,2400
1471354437,114.3000,114.4900,114.3000,114.4300,6900
1471354440,114.2000,114.4351,114.2000,114.3000,8400
1471354525,113.9368,114.1500,113.8500,114.1500,12200
1471354563,113.8400,114.0000,113.8100,113.9000,13300
1471354620,113.5200,113.8894,113.5200,113.8894,6000
1471354688,113.5019,113.5300,113.3400,113.5250,21200
1471354749,113.5400,113.5600,113.4300,113.4500,3500
1471354800,113.5600,113.6200,113.4700,113.5300,8600
1471354868,113.7099,113.7100,113.5700,113.5800,3400
1471354920,113.6650,113.7100,113.6500,113.7100,2400
1471355038,113.7600,113.7653,113.6100,113.6500,5100
1471355094,113.7400,113.8300,113.7250,113.7699,4300
1471355101,113.6100,113.7500,113.5862,113.7400,7200
1471355219,113.7900,113.7900,113.6000,113.6000,4100
1471355223,113.7100,113.8830,113.7000,113.8000,5600
1471355289,113.9130,113.9130,113.7200,113.7400,2500
1471355344,113.7500,113.9200,113.7300,113.9200,5100
1471355417,113.8600,113.8700,113.8000,113.8000,5100
1471355466,113.8300,113.8300,113.7070,113.8200,3700
1471355535,113.8600,113.9300,113.8600,113.8600,1500
1471355606,113.8600,113.9299,113.8500,113.9299,2900
1471355647,113.9100,113.9850,113.8100,113.8799,5800
1471355756,113.9500,113.9934,113.9200,113.9600,7100
1471355761,114.0300,114.0400,113.9404,113.9700,4200
1471355878,114.0000,114.0690,113.9700,114.0258,6000
1471355939,114.1790,114.1790,114.0050,114.0300,2600
1471355946,114.0900,114.3100,114.0900,114.1800,6500
1471356051,114.0700,114.0700,114.0100,114.0500,1200
1471356116,114.1200,114.1400,114.0400,114.0600,14800
1471356179,114.1300,114.1800,114.0820,114.1000,7000
1471356180,114.1500,114.2100,114.0500,114.1300,16000
1471356241,114.0170,114.0900,114.0100,114.0900,6600
1471356357,114.0600,114.0600,113.9920,114.0500,1800
1471356419,114.0200,114.0600,114.0200,114.0260,2300
1471356479,114.0532,114.0800,114.0400,114.0400,3000
1471356485,114.0125,114.0400,113.9900,114.0400,4100
1471356560,113.9300,114.0099,113.9300,114.0010,5800
1471356659,114.0200,114.0200,113.9400,113.9500,8300
1471356664,113.9500,114.0100,113.9300,114.0100,2700
1471356724,113.9800,114.0600,113.9700,113.9900,8400
1471356835,113.8448,113.9500,113.8400,113.9500,14900
1471356845,113.9000,113.9000,113.8300,113.8500,2700
1471356906,113.8401,113.9400,113.8401,113.9075,5300
1471356969,113.8900,113.9200,113.8700,113.8700,4900
1471357020,113.9100,113.9100,113.8800,113.8800,1600
1471357097,113.7500,113.9100,113.7500,113.9000,7700
1471357141,113.7700,113.7700,113.7400,113.7400,3700
1471357256,113.8200,113.8400,113.7500,113.7700,3200
1471357319,113.9600,113.9700,113.8200,113.8200,3600
1471357320,113.9500,113.9500,113.9200,113.9500,1500
1471357388,113.9500,113.9500,113.9100,113.9140,1000
1471357442,113.9300,113.9900,113.9300,113.9300,6000
1471357500,113.8700,113.9200,113.8700,113.9200,2300
1471357609,113.8700,113.9100,113.8700,113.8896,2300
1471357634,113.8192,113.8600,113.8192,113.8500,3800
1471357684,113.8200,113.8600,113.7801,113.8214,4500
1471357745,113.8495,113.8495,113.8200,113.8200,1800
1471357858,113.8000,113.8900,113.8000,113.8500,4000
1471357862,113.7800,113.8300,113.7614,113.8000,4500
1471357920,113.7500,113.8420,113.7500,113.7900,3900
1471357986,113.7500,113.7900,113.7400,113.7700,7900
1471358051,113.7600,113.7600,113.6900,113.7471,5000
1471358104,113.7300,113.7400,113.7000,113.7400,2700
1471358160,113.8000,113.8000,113.7374,113.7400,1500
1471358235,113.8200,113.8700,113.7910,113.8499,3600
1471358339,113.9800,113.9800,113.8300,113.8300,7700
1471358341,113.9600,114.0300,113.9600,114.0000,4700
1471358400,113.9100,113.9500,113.8900,113.9300,3600
1471358473,113.9350,113.9350,113.9000,113.9000,2200
1471358529,113.8000,113.9500,113.7900,113.9350,5800
1471358593,113.8200,113.8400,113.7800,113.8100,4300
1471358660,113.7600,113.8199,113.7600,113.8000,2800
1471358711,113.7350,113.7800,113.7350,113.7800,3300
1471358767,113.4600,113.7100,113.4600,113.7100,17700
1471358820,113.6390,113.6390,113.4900,113.4900,7500
1471358888,113.6450,113.6450,113.6300,113.6300,1300
1471358948,113.6000,113.6500,113.6000,113.6200,2800
1471359002,113.5800,113.6200,113.5800,113.5900,3400
1471359068,113.6184,113.6200,113.5600,113.5680,4600
1471359122,113.6080,113.6424,113.5900,113.6144,6000
1471359239,113.6700,113.6800,113.6300,113.6390,5400
1471359240,113.6550,113.7000,113.6500,113.6500,2900
1471359328,113.6800,113.6970,113.6700,113.6800,2600
1471359419,113.6100,113.6750,113.6100,113.6750,3200
1471359427,113.6000,113.6700,113.5800,113.6200,5600
1471359481,113.5600,113.5800,113.5200,113.5800,2600
1471359548,113.5900,113.6000,113.5520,113.5600,2700
1471359608,113.5700,113.5800,113.5400,113.5600,1200
1471359664,113.5300,113.5600,113.4801,113.5600,4700
1471359740,113.5530,113.5530,113.5314,113.5314,1800
1471359836,113.6000,113.6200,113.5700,113.5900,28300
1471359854,113.6170,113.6399,113.6000,113.6100,3700
1471359923,113.5800,113.6200,113.5700,113.6100,3900
1471359961,113.6400,113.6400,113.6101,113.6200,2000
1471360079,113.5850,113.6500,113.5850,113.6400,6600
1471360082,113.5950,113.6300,113.5800,113.5800,3600
1471360148,113.6500,113.6500,113.5950,113.5950,1600
1471360209,113.7300,113.7500,113.6614,113.6650,6900
1471360312,113.7100,113.7700,113.7037,113.7300,2900
1471360320,113.7100,113.7200,113.6700,113.7200,9400
1471360435,113.5500,113.7100,113.5500,113.7100,10900
1471360450,113.5200,113.5450,113.4900,113.5450,4300
1471360551,113.5400,113.5600,113.4600,113.5300,28700
1471360560,113.5900,113.5900,113.5400,113.5600,9500
1471360679,113.6200,113.6900,113.6000,113.6200,12500
1471360680,113.5800,113.6300,113.5800,113.6200,4200
1471360740,113.6100,113.6290,113.5800,113.5900,6000
1471360800,113.6000,113.6600,113.6000,113.6200,8100
1471360917,113.5880,113.6150,113.5800,113.6150,4200
1471360978,113.5400,113.5800,113.5400,113.5800,5500
1471361031,113.5052,113.5800,113.5000,113.5400,6300
1471361046,113.5900,113.6700,113.4700,113.4900,43400
1471361116,113.6500,113.6500,113.6000,113.6000,2400
1471361219,113.6350,113.6600,113.6300,113.6600,6500
1471361223,113.6300,113.6500,113.6090,113.6500,7600
1471361338,113.5900,113.6200,113.5700,113.6200,4600
1471361345,113.5700,113.5900,113.5250,113.5900,6900
1471361412,113.5800,113.6100,113.5800,113.5900,5700
1471361465,113.5600,113.5800,113.5600,113.5700,10300
1471361525,113.5800,113.5850,113.5700,113.5700,3100
1471361587,113.5700,113.6000,113.5700,113.6000,1800
1471361640,113.5000,113.5600,113.5000,113.5600,3600
1471361704,113.4626,113.5200,113.4500,113.5000,5900
1471361812,113.5004,113.5200,113.4600,113.4600,1300
1471361867,113.5478,113.5523,113.5300,113.5300,2200
1471361888,113.5500,113.5599,113.5300,113.5599,2600
1471361986,113.5000,113.5500,113.5000,113.5500,2700
1471362059,113.4350,113.5050,113.4300,113.4900,6200
1471362118,113.4150,113.4400,113.3900,113.4350,8200
1471362179,113.4400,113.4550,113.4200,113.4200,2300
1471362180,113.4485,113.4485,113.4350,113.4375,1200
1471362245,113.4200,113.4500,113.4100,113.4500,2200
1471362309,113.4000,113.4100,113.4000,113.4000,3000
1471362365,113.3800,113.4100,113.3800,113.3800,2400
1471362421,113.4050,113.4200,113.3550,113.3800,6500
1471362500,113.4269,113.4400,113.4000,113.4300,14600
1471362555,113.4600,113.4700,113.4200,113.4200,4300
1471362600,113.4100,113.4725,113.4100,113.4700,12300
1471362660,113.2800,113.4100,113.2800,113.4050,27400
1471362720,113.2900,113.3100,113.2701,113.2701,2800
1471362787,113.3200,113.3400,113.2800,113.2926,3700
1471362841,113.4100,113.4100,113.3500,113.3500,2000
1471362900,113.4200,113.4200,113.4100,113.4100,700
1471362969,113.4200,113.4300,113.4100,113.4300,2900
1471363079,113.4000,113.4250,113.3900,113.4200,6800
1471363082,113.4000,113.4600,113.3900,113.4300,4700
1471363146,113.3500,113.4300,113.3500,113.3859,7100
1471363259,113.3001,113.3500,113.3001,113.3500,3200
1471363266,113.3418,113.3418,113.2900,113.3200,3700
1471363371,113.3800,113.3800,113.3201,113.3201,4200
1471363386,113.3600,113.3900,113.3500,113.3800,2500
1471363449,113.3650,113.3700,113.3500,113.3650,1400
1471363514,113.3400,113.3400,113.3400,113.3400,400
1471363560,113.3850,113.3850,113.3400,113.3450,2600
1471363653,113.3850,113.4000,113.3800,113.3800,3500
1471363737,113.3600,113.4000,113.3600,113.3850,2200
1471363749,113.3850,113.3850,113.3700,113.3700,1000
1471363812,113.3800,113.3800,113.3800,113.3800,100
1471363867,113.3800,113.4000,113.3700,113.3900,2600
1471363934,113.3600,113.3900,113.3500,113.3900,4500
1471364038,113.3100,113.3600,113.3050,113.3600,4100
1471364049,113.2400,113.3019,113.2300,113.3019,5000
1471364101,113.2400,113.2500,113.2300,113.2377,3300
1471364177,113.2650,113.2700,113.2500,113.2500,1300
1471364250,113.2426,113.2500,113.2300,113.2500,2100
1471364283,113.3500,113.3500,113.2310,113.2310,6200
1471364349,113.3400,113.3600,113.3400,113.3490,1400
1471364413,113.3400,113.3600,113.3400,113.3600,600
1471364509,113.3350,113.3400,113.3200,113.3400,1300
1471364525,113.3400,113.3700,113.3400,113.3407,3500
1471364636,113.3800,113.3800,113.3500,113.3500,3800
1471364640,113.3600,113.4000,113.3600,113.3990,2800
1471364757,113.3300,113.3850,113.3200,113.3700,3900
1471364799,113.3450,113.3450,113.3100,113.3200,8000
1471364834,113.3100,113.3500,113.3100,113.3400,14200
1471364883,113.3000,113.3100,113.2900,113.3100,4100
1471364998,113.2900,113.3000,113.2900,113.3000,1500
1471365050,113.3100,113.3100,113.2600,113.2800,2300
1471365115,113.3050,113.3200,113.2900,113.3100,15800
1471365178,113.3250,113.3300,113.3050,113.3050,7600
1471365185,113.3000,113.3300,113.3000,113.3150,19900
1471365299,113.2550,113.2900,113.2550,113.2900,5100
1471365355,113.2650,113.2650,113.2250,113.2600,1900
1471365365,113.3200,113.3200,113.2650,113.2650,4500
1471365420,113.3550,113.3550,113.3300,113.3300,3200
1471365539,113.3650,113.3650,113.3401,113.3600,2000
1471365592,113.3800,113.3900,113.3600,113.3650,5000
1471365606,113.3600,113.3800,113.3500,113.3700,8300
1471365718,113.3500,113.3700,113.3500,113.3700,4200
1471365720,113.3700,113.3708,113.3452,113.3452,2900
1471365790,113.4200,113.4200,113.3700,113.3700,10000
1471365840,113.4750,113.4750,113.4200,113.4250,5500
1471365913,113.4500,113.4800,113.4500,113.4700,4300
1471365960,113.4400,113.4500,113.4200,113.4500,2800
1471366027,113.4700,113.5000,113.4300,113.4300,5100
1471366138,113.4500,113.4999,113.4500,113.4800,6100
1471366142,113.4500,113.4600,113.4400,113.4500,4300
1471366259,113.4100,113.4600,113.4000,113.4500,4900
1471366301,113.4150,113.4150,113.4000,113.4000,1200
1471366373,113.4350,113.4850,113.4200,113.4200,8600
1471366391,113.4100,113.4500,113.4100,113.4350,5200
1471366449,113.4000,113.4260,113.4000,113.4200,3500
1471366500,113.4050,113.4150,113.3800,113.3900,7900
1471366619,113.3900,113.4350,113.3900,113.4300,5600
1471366620,113.3800,113.4250,113.3700,113.3920,11200
1471366690,113.4000,113.4000,113.3700,113.3850,9700
1471366741,113.4127,113.4127,113.3900,113.3900,3900
1471366859,113.4600,113.4700,113.4300,113.4300,2800
1471366861,113.4600,113.4756,113.4600,113.4756,700
1471366921,113.4800,113.4800,113.4500,113.4500,2000
1471367039,113.5400,113.5400,113.4700,113.4800,9400
1471367040,113.5500,113.5500,113.5200,113.5400,5100
1471367124,113.5300,113.5500,113.5200,113.5500,3300
