uri:/instrument/1.0/CLX/chartdata;type=quote;range=1d/csv
ticker:clx
Company-Name:Clorox Company (The) Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:133.2000
Timestamp:1471008600,1471032000
labels:1471010400,1471014000,1471017600,1471021200,1471024800,1471028400,1471032000
values:Timestamp,close,high,low,open,volume
close:133.1167,134.2299
high:133.1167,134.2299
low:133.1000,134.1200
open:133.1142,134.2200
volume:100,60800
1471008708,133.7350,133.7715,133.7350,133.7715,19400
1471008720,133.9300,133.9300,133.8100,133.8100,1500
1471008785,133.9400,133.9400,133.9400,133.9400,300
1471008844,134.0600,134.0600,133.7210,133.9500,4700
1471008908,134.2299,134.2299,134.1200,134.2200,1800
1471009003,134.0200,134.1700,134.0200,134.0200,1200
1471009027,133.6800,134.0200,133.6800,134.0200,1900
1471009133,133.5700,133.6700,133.5700,133.6100,800
1471009189,133.6700,133.6700,133.6700,133.6700,200
1471009243,133.6000,133.6300,133.5700,133.5700,300
1471009373,133.6700,133.6700,133.4000,133.4000,400
1471009451,133.7300,133.7300,133.6600,133.6800,1500
1471009502,133.5000,133.7900,133.5000,133.7900,1500
1471009577,133.5800,133.6200,133.5800,133.5800,1000
1471009631,133.5900,133.6800,133.5900,133.6800,700
1471009724,133.5200,133.5200,133.5199,133.5199,500
1471009749,133.3200,133.4300,133.3000,133.4300,8500
1471009923,133.3900,133.3900,133.3300,133.3300,700
1471010018,133.3400,133.3900,133.3400,133.3900,700
1471010097,133.3600,133.3600,133.3600,133.3600,100
1471010147,133.4000,133.4000,133.3600,133.3900,500
1471010173,133.4900,133.4900,133.4400,133.4400,500
1471010269,133.5600,133.5600,133.4800,133.4800,1800
1471010281,133.6000,133.6000,133.5800,133.5800,1100
1471010351,133.6350,133.6500,133.6200,133.6400,1500
1471010402,133.5880,133.5880,133.5700,133.5700,400
1471010482,133.5400,133.5900,133.5300,133.5900,1400
1471010585,133.6140,133.6140,133.5800,133.5800,1200
1471010644,133.6800,133.6900,133.6300,133.6300,1600
1471010722,133.7700,133.7900,133.6900,133.6900,1400
1471010804,133.8000,133.8000,133.8000,133.8000,400
