uri:/instrument/1.0/CME/chartdata;type=quote;range=1d/csv
ticker:cme
Company-Name:CME Group Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:107.8400
Timestamp:1472650200,1472673600
labels:1472652000,1472655600,1472659200,1472662800,1472666400,1472670000,1472673600
values:Timestamp,close,high,low,open,volume
close:107.9000,109.5400
high:107.9000,109.6100
low:107.8250,109.5100
open:107.8900,109.5300
volume:0,343100
1472650259,107.9000,107.9000,107.8250,107.8900,13900
1472650263,108.1310,108.1310,108.0450,108.0600,5400
1472650331,108.1150,108.4500,107.9500,108.2100,13000
1472650382,108.1300,108.1300,108.0100,108.1200,2800
1472650452,108.2100,108.2200,108.0600,108.1100,3600
1472650552,108.0350,108.2400,108.0350,108.2400,5900
1472650613,108.1000,108.1800,107.9900,107.9900,3700
1472650677,108.0150,108.0400,107.9900,108.0400,4300
1472650739,108.0400,108.1100,108.0025,108.0100,7200
1472650743,108.0550,108.0550,108.0200,108.0300,3300
1472650853,108.1200,108.1300,107.9800,108.0900,15000
1472650868,108.0100,108.0700,108.0000,108.0600,5100
1472650977,107.9900,108.0600,107.9900,108.0300,5200
1472650983,108.2400,108.2400,107.9500,107.9999,10600
1472651046,108.2100,108.2300,108.1750,108.1750,1300
1472651100,108.2900,108.3200,108.1950,108.2300,13300
1472651214,108.2300,108.2900,108.2200,108.2800,2500
1472651220,108.2650,108.2650,108.2100,108.2100,1200
1472651303,108.3700,108.3700,108.2850,108.2900,1900
1472651398,108.3000,108.4300,108.2400,108.4000,12000
1472651406,108.2300,108.3050,108.1900,108.3050,6300
1472651461,108.3000,108.3000,108.2300,108.2300,2900
1472651528,108.3800,108.3900,108.2500,108.3000,6300
1472651580,108.4400,108.4700,108.3800,108.3900,10500
1472651699,108.6300,108.6300,108.4700,108.4700,10400
1472651705,108.6000,108.6200,108.5850,108.6100,2200
1472651771,108.6000,108.6500,108.5900,108.6500,6500
1472651822,108.5700,108.6100,108.5700,108.5818,2400
1472651883,108.6500,108.7000,108.6000,108.6200,12700
1472651958,108.7000,108.7000,108.6800,108.6900,1000
1472652058,108.6750,108.8300,108.6700,108.7300,15300
1472652060,108.6900,108.7190,108.6900,108.7190,1700
1472652120,108.5900,108.6850,108.5600,108.6850,7200
1472652185,108.6500,108.6800,108.5600,108.5750,3100
1472652240,108.6800,108.7100,108.6500,108.6800,3400
1472652348,108.7400,108.7700,108.6700,108.6750,3900
1472652360,108.8100,108.8100,108.7600,108.8000,2400
1472652424,108.7200,108.7900,108.7000,108.7900,2200
1472652493,108.8000,108.8000,108.7200,108.7200,8000
1472652546,108.8300,108.8600,108.7800,108.7834,8300
1472652604,108.8599,108.8900,108.8200,108.8799,9300
1472652718,108.8000,108.8600,108.8000,108.8600,4000
1472652723,108.8900,108.9000,108.8100,108.8200,4900
1472652783,108.9100,108.9650,108.8500,108.9150,9500
1472652846,108.9400,108.9600,108.8800,108.9100,5500
1472652901,108.9550,108.9800,108.9400,108.9600,16500
1472653017,108.9500,109.0100,108.9450,108.9500,17200
1472653022,108.9500,108.9700,108.9400,108.9500,10500
1472653085,108.9900,108.9900,108.9400,108.9500,3500
1472653150,108.9500,108.9800,108.9500,108.9800,1400
1472653256,108.9400,108.9500,108.9400,108.9500,1300
1472653319,108.5600,108.9400,108.5600,108.9400,17700
1472653321,108.5100,108.6400,108.4810,108.5700,13600
1472653439,108.5900,108.5900,108.5600,108.5600,1800
1472653452,108.7273,108.7273,108.6200,108.6200,3500
1472653513,108.8000,108.8100,108.7500,108.7500,3000
1472653609,108.8500,108.8700,108.8200,108.8200,1400
1472653678,108.9012,108.9200,108.8600,108.9200,2300
1472653738,108.9400,108.9700,108.9100,108.9200,7100
1472653751,109.0192,109.0200,108.9500,108.9500,5600
1472653854,108.9500,108.9900,108.9450,108.9900,11200
1472653862,108.9800,108.9800,108.9300,108.9500,5600
1472653968,108.9600,108.9750,108.9500,108.9750,3700
1472653981,108.9800,108.9900,108.9550,108.9800,2100
1472654051,108.8800,108.9700,108.8800,108.9700,8500
1472654107,108.7800,108.8200,108.7800,108.8200,1300
1472654162,108.7400,108.7792,108.7300,108.7792,2300
1472654230,108.6900,108.7400,108.6600,108.7200,2400
1472654338,108.6700,108.6900,108.6500,108.6800,1600
1472654343,108.6200,108.6700,108.6200,108.6700,1800
1472654401,108.6400,108.6600,108.5000,108.5700,10900
1472654462,108.6500,108.6600,108.6400,108.6400,4200
1472654533,108.6950,108.7200,108.6600,108.6600,7100
1472654636,108.7050,108.7200,108.6701,108.7100,1900
1472654646,108.7700,108.7700,108.7050,108.7050,2600
