uri:/instrument/1.0/CMG/chartdata;type=quote;range=1d/csv
ticker:cmg
Company-Name:Chipotle Mexican Grill, Inc. Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:430.8500
Timestamp:1469626200,1469649600
labels:1469628000,1469631600,1469635200,1469638800,1469642400,1469646000,1469649600
values:Timestamp,close,high,low,open,volume
close:425.8000,434.7100
high:425.8700,434.7100
low:425.6800,434.1890
open:425.8400,434.1890
volume:100,18300
1469626275,434.7100,434.7100,433.5700,433.5700,17300
1469626342,434.1890,434.1890,434.1890,434.1890,300
1469626385,433.4855,433.9800,432.5300,432.8900,4300
1469626457,433.0000,433.2180,433.0000,433.2180,600
1469626501,433.5486,433.5486,432.5410,432.5410,4600
1469626570,433.2100,433.8750,432.9400,433.5000,1100
1469626671,431.5000,432.9400,431.5000,432.9400,3400
1469626686,431.6600,433.0100,431.6600,433.0100,1900
1469626774,432.1700,432.5100,431.8000,431.8000,2100
1469626817,432.5712,432.5712,432.5712,432.5712,1400
1469626869,432.5000,432.6155,432.3900,432.6155,2000
1469626930,433.3500,433.3900,432.6956,432.8000,1800
1469626989,433.7535,434.0000,433.4650,433.4650,800
1469627055,432.3300,433.7400,432.3300,433.7400,2800
1469627160,432.6090,432.6090,431.3800,432.0900,3200
1469627273,431.8096,431.9550,431.7169,431.9550,1100
1469627291,431.7400,431.9100,431.5000,431.5000,1600
1469627347,432.5700,432.5700,431.8800,431.8800,800
1469627405,432.5600,432.5600,432.3700,432.3700,400
1469627489,432.7200,432.7200,432.4000,432.6600,500
1469627596,432.9700,432.9700,432.7100,432.7100,400
1469627684,432.5650,432.5650,432.5650,432.5650,100
1469627716,432.1500,432.1500,432.1500,432.1500,200
1469627782,432.6000,432.7300,432.3500,432.7300,2100
1469627918,432.1000,432.6150,432.1000,432.5490,3600
1469627989,429.9080,432.5650,429.9080,432.5650,10900
1469628000,430.2400,430.5000,430.1300,430.5000,2500
1469628077,431.6168,432.6000,430.5600,430.7100,3200
1469628133,431.5050,432.0100,430.9220,431.8550,2800
1469628191,431.5200,431.5200,431.5200,431.5200,300
1469628245,431.4400,431.4400,430.8400,431.1100,1300
1469628317,431.1050,431.3600,430.9850,430.9850,2400
1469628394,431.2750,431.4400,431.2200,431.3900,2000
1469628443,430.8000,430.8500,430.8000,430.8500,1800
1469628499,430.3400,430.6986,430.3400,430.6986,2200
1469628541,430.2750,430.5000,430.2750,430.5000,1600
1469628605,429.5100,430.3547,429.5100,430.2000,5800
1469628668,430.1650,430.3300,429.5200,429.9100,3100
1469628747,430.2100,430.5050,430.2100,430.5050,3700
1469628818,430.1560,430.1560,430.1280,430.1280,400
1469628859,429.8000,430.1450,429.7900,430.1100,2500
1469628909,430.1450,430.2000,429.7900,429.7900,3700
1469629019,430.1000,430.1000,430.1000,430.1000,100
1469629024,430.1200,430.1800,430.1200,430.1800,200
1469629080,430.8900,430.9000,430.3700,430.5800,2400
