uri:/instrument/1.0/COST/chartdata;type=quote;range=1d/csv
ticker:cost
Company-Name:Costco Wholesale Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:167.4000
Timestamp:1470749400,1470772800
labels:1470751200,1470754800,1470758400,1470762000,1470765600,1470769200,1470772800
values:Timestamp,close,high,low,open,volume
close:166.9800,168.5340
high:167.1700,168.6000
low:166.8800,168.5300
open:166.9100,168.5600
volume:0,108900
1470749436,167.1800,167.3100,167.1800,167.2400,26000
1470749501,167.3300,167.3750,167.3100,167.3100,300
1470749551,167.3150,167.3500,167.0500,167.1500,3300
1470749583,166.9800,167.1700,166.9001,167.0300,4900
1470749698,167.2700,167.2750,166.8800,166.9100,6200
1470749702,167.1571,167.3950,167.1571,167.3550,2000
1470749809,167.1878,167.2400,167.0100,167.2200,4800
1470749878,167.3900,167.4000,167.1000,167.1400,7700
1470749881,167.1700,167.4800,167.1700,167.4000,4000
1470749964,167.2000,167.2000,167.2000,167.2000,1800
1470750000,167.2400,167.3100,167.0000,167.1800,8200
1470750083,167.3500,167.4200,167.1700,167.2200,3000
1470750122,167.4000,167.4400,167.2200,167.2888,10500
1470750227,167.4700,167.4700,167.3000,167.3300,5500
1470750250,167.4400,167.4500,167.3000,167.4400,6000
1470750357,167.5114,167.5600,167.3500,167.3600,10700
1470750419,167.6600,167.6800,167.4900,167.6200,4300
1470750423,167.5800,167.7000,167.5100,167.6800,2600
1470750536,167.6300,167.6800,167.5100,167.5100,3700
1470750560,167.7000,167.7000,167.6500,167.6700,2900
1470750602,167.7250,167.7450,167.7000,167.7300,1400
1470750667,167.7100,167.7400,167.6800,167.7200,5600
1470750749,167.7650,167.7650,167.7100,167.7300,2900
1470750789,167.9140,167.9500,167.7900,167.7900,9100
1470750895,167.9200,167.9850,167.9200,167.9500,3200
1470750901,167.8900,167.9700,167.8800,167.9200,4500
1470751016,167.9800,167.9800,167.9050,167.9200,2500
1470751030,167.9800,167.9800,167.9110,167.9700,4000
1470751081,168.0300,168.1100,167.9826,167.9900,8600
1470751199,168.0600,168.1100,168.0000,168.0900,3600
1470751206,168.0600,168.0999,168.0200,168.0999,1100
1470751269,168.0236,168.1700,168.0236,168.0900,4100
1470751332,168.0700,168.0700,168.0000,168.0200,3200
1470751384,168.1200,168.1855,168.0900,168.0900,4400
1470751448,168.2300,168.2300,168.1300,168.1300,2700
1470751512,168.1400,168.2100,168.1200,168.2100,1800
1470751612,168.1500,168.1500,168.0167,168.1100,6000
1470751621,168.2150,168.2150,168.1500,168.1500,1800
1470751683,168.1900,168.2400,168.1700,168.2300,1700
1470751744,168.1800,168.1800,168.1500,168.1500,1200
1470751810,168.0817,168.1900,168.0817,168.1800,1900
1470751875,168.1200,168.1200,168.0900,168.1000,900
1470751944,168.1100,168.1300,168.0300,168.1100,4300
1470752001,168.0600,168.0700,168.0300,168.0600,1600
1470752045,168.1900,168.2000,167.9900,168.0600,6800
1470752116,168.1710,168.2600,168.1700,168.2100,6100
1470752206,168.3000,168.3000,168.2000,168.2000,1900
1470752240,168.3000,168.3300,168.2800,168.3010,1100
1470752281,168.2400,168.2900,168.2400,168.2900,2000
1470752373,168.3300,168.3419,168.2400,168.2500,6400
1470752410,168.3000,168.3140,168.3000,168.3140,700
1470752492,168.5000,168.5000,168.3050,168.3092,5400
1470752522,168.4300,168.5000,168.4300,168.5000,6300
1470752586,168.4200,168.4600,168.4109,168.4600,900
1470752649,168.3400,168.4100,168.3200,168.4100,4500
1470752707,168.3800,168.4100,168.3700,168.3700,1900
1470752794,168.4600,168.4600,168.3800,168.3800,1900
1470752820,168.4100,168.5000,168.4100,168.4430,4600
1470752882,168.4200,168.4350,168.4000,168.4000,3400
1470752945,168.5300,168.6000,168.4700,168.4700,17600
1470753036,168.5340,168.5600,168.5300,168.5600,1200
1470753119,168.4400,168.5300,168.4400,168.5300,2300
1470753126,168.3500,168.4800,168.3500,168.4400,4600
1470753181,168.3500,168.3500,168.2800,168.2900,2800
1470753246,168.3500,168.3600,168.3300,168.3400,2500
1470753344,168.2900,168.3300,168.2900,168.3300,3300
1470753366,168.3700,168.3800,168.3000,168.3000,3300
1470753424,168.3600,168.3800,168.3300,168.3489,4200
1470753483,168.4500,168.4600,168.3700,168.3700,3000
1470753555,168.4300,168.4700,168.3800,168.4700,3900
1470753657,168.3000,168.4100,168.1800,168.4100,23000
1470753668,168.2307,168.2650,168.2307,168.2650,300
1470753748,168.1100,168.2400,168.1100,168.2300,6500
1470753783,168.0700,168.1400,168.0700,168.1400,2700
1470753874,168.0850,168.1000,168.0850,168.1000,500
1470753909,167.9800,168.0700,167.9800,168.0700,3000
1470753969,167.9400,168.0000,167.9400,168.0000,2500
1470754033,167.9990,168.0100,167.9600,167.9690,3900
1470754127,167.9500,167.9700,167.9100,167.9500,2400
1470754144,168.0300,168.0300,167.9830,168.0000,2100
1470754214,167.9500,168.0350,167.9500,168.0350,1500
1470754319,167.8400,167.9750,167.8400,167.9750,4500
1470754373,167.8200,167.8400,167.7600,167.8200,3300
1470754380,167.8100,167.8350,167.7900,167.8000,3100
1470754453,167.7950,167.8300,167.7800,167.8042,5500
1470754500,167.7500,167.7900,167.7400,167.7800,3400
1470754583,167.7800,167.7800,167.7600,167.7800,900
1470754626,167.7700,167.8038,167.7700,167.7800,2200
1470754692,167.8300,167.8300,167.7800,167.8000,2000
1470754746,167.7500,167.8300,167.7500,167.8300,1700
1470754809,167.8100,167.8100,167.7700,167.7700,2100
1470754865,167.8100,167.8100,167.7900,167.7900,1900
1470754948,167.8000,167.8200,167.8000,167.8000,700
1470754987,167.8100,167.8100,167.8100,167.8100,400
1470755046,167.8300,167.8300,167.7800,167.8100,2900
1470755102,167.9200,167.9200,167.8500,167.8600,1400
1470755170,167.9500,167.9500,167.9500,167.9500,300
1470755242,167.9700,167.9700,167.9700,167.9700,500
1470755281,167.9800,167.9800,167.9300,167.9720,1500
1470755350,167.9985,168.0500,167.9900,167.9900,2100
1470755422,168.0300,168.0800,168.0200,168.0500,2500
1470755472,168.0300,168.0400,167.9900,168.0150,1300
1470755542,168.0500,168.0500,168.0200,168.0400,1500
1470755589,168.1000,168.1000,168.0800,168.0800,700
1470755640,168.0880,168.1100,168.0880,168.1000,1500
1470755703,168.0710,168.1100,168.0710,168.0800,1800
1470755816,167.9800,168.1299,167.9800,168.1299,2500
1470755869,168.0000,168.0600,167.9650,167.9650,12300
1470755882,168.0000,168.0000,168.0000,168.0000,400
1470755942,167.9400,168.0000,167.9400,167.9900,49200
1470756012,167.9300,167.9825,167.9300,167.9300,3900
1470756067,167.9400,167.9500,167.9000,167.9500,16800
1470756122,167.9510,167.9700,167.9150,167.9150,1200
1470756189,167.9900,168.0200,167.9900,167.9900,1700
1470756242,167.9528,167.9900,167.9500,167.9900,3800
1470756306,168.0300,168.0300,167.9700,167.9700,700
1470756413,168.0200,168.0300,168.0000,168.0000,1000
1470756423,168.0210,168.0300,167.9800,168.0200,4000
1470756499,168.0800,168.0800,168.0200,168.0200,900
1470756541,168.0900,168.1200,168.0600,168.0600,1600
1470756635,168.0900,168.0900,168.0900,168.0900,200
1470756661,168.0800,168.0900,168.0700,168.0700,1400
1470756776,168.0500,168.0890,168.0300,168.0550,2800
1470756839,168.0100,168.0300,168.0100,168.0300,400
1470756853,168.0100,168.0500,167.9900,168.0300,2400
1470756953,168.0500,168.0500,168.0500,168.0500,600
1470756967,168.0700,168.0700,168.0590,168.0590,1100
1470757037,168.0790,168.0800,168.0600,168.0650,3000
1470757080,168.0900,168.0900,168.0800,168.0800,1300
1470757195,168.1300,168.1500,168.1300,168.1400,500
1470757204,168.2100,168.2100,168.1400,168.1500,2500
1470757270,168.2500,168.2500,168.2000,168.2000,1600
1470757367,168.2300,168.2300,168.2100,168.2100,600
1470757415,168.2300,168.2500,168.2200,168.2500,2500
