uri:/instrument/1.0/CVS/chartdata;type=quote;range=1d/csv
ticker:cvs
Company-Name:CVS Health Corporation Common S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:96.5500
Timestamp:1469453400,1469476800
labels:1469455200,1469458800,1469462400,1469466000,1469469600,1469473200,1469476800
values:Timestamp,close,high,low,open,volume
close:93.7300,95.7600
high:93.7700,95.8100
low:93.7300,95.7600
open:93.7310,95.8100
volume:1200,316400
1469453449,95.7600,95.8100,95.7600,95.8100,114600
1469453480,95.0500,95.5000,95.0500,95.3800,76200
1469453578,95.1450,95.1900,95.0210,95.1100,56300
1469453639,95.0800,95.1600,95.0200,95.1200,19800
1469453696,95.0200,95.1700,95.0200,95.0800,11100
1469453759,95.0510,95.1600,95.0200,95.0200,26100
1469453819,95.0200,95.0917,95.0200,95.0500,22200
1469453878,94.9300,95.0200,94.8200,95.0200,39900
1469453939,94.6900,94.9100,94.6400,94.9100,28400
1469453941,94.3800,94.7400,94.3110,94.7100,62600
1469454059,94.5550,94.6400,94.4300,94.4500,36800
1469454062,94.6400,94.6900,94.4800,94.5650,16800
1469454120,94.7500,94.7500,94.6100,94.6192,14500
1469454239,94.9300,94.9600,94.7334,94.7400,29900
1469454240,95.0000,95.0500,94.9100,94.9400,25100
1469454306,94.9050,94.9969,94.8700,94.9969,17300
1469454417,94.8350,94.9000,94.7600,94.8700,32400
1469454421,94.8400,94.9300,94.8100,94.8900,20000
1469454480,94.5500,94.8500,94.5500,94.8500,36700
1469454598,94.4700,94.5700,94.4200,94.5600,42600
1469454600,94.4800,94.5000,94.4100,94.4600,21800
1469454664,94.5500,94.6100,94.4400,94.5150,50800
1469454721,94.6000,94.6300,94.4700,94.5700,28600
1469454780,94.6400,94.6800,94.5200,94.6100,16000
1469454899,94.4900,94.6300,94.4900,94.6300,90600
1469454958,94.5900,94.6000,94.4800,94.4900,21100
1469455019,94.6800,94.6900,94.6045,94.6300,26300
1469455078,94.5200,94.6800,94.5200,94.6800,20600
1469455080,94.2500,94.5500,94.2400,94.5350,74500
1469455140,94.3560,94.3700,94.2200,94.2600,42600
1469455259,94.5650,94.5800,94.3200,94.3500,42500
1469455260,94.6300,94.6600,94.5650,94.5650,22200
1469455379,94.6850,94.6850,94.6300,94.6400,20500
1469455380,94.6800,94.7900,94.6800,94.6900,27600
1469455499,94.7500,94.7900,94.6800,94.6850,23100
1469455500,94.7900,94.8100,94.7100,94.7500,12900
1469455619,94.7164,94.7900,94.7164,94.7900,13800
1469455621,94.7700,94.7900,94.7100,94.7100,9100
1469455680,94.8800,94.9200,94.7600,94.7700,61300
1469455740,94.8500,94.8800,94.8500,94.8800,15200
1469455857,94.7850,94.8500,94.7700,94.8500,18600
1469455912,94.7711,94.7790,94.6600,94.7744,12900
1469455922,94.6800,94.7800,94.6800,94.7800,8000
1469455982,94.5500,94.6900,94.4900,94.6900,40300
1469456042,94.5500,94.5700,94.5000,94.5300,10300
1469456103,94.5300,94.5600,94.5300,94.5500,12600
1469456163,94.5978,94.6100,94.5300,94.5500,8400
1469456224,94.5690,94.6500,94.5500,94.6000,11000
1469456282,94.6050,94.6200,94.6000,94.6200,4400
1469456398,94.6250,94.6250,94.5920,94.6050,5800
1469456457,94.6200,94.6300,94.6000,94.6250,8000
1469456462,94.6100,94.6300,94.6000,94.6100,14600
1469456578,94.6100,94.6300,94.5600,94.6200,21400
1469456639,94.6665,94.6700,94.6000,94.6200,22300
1469456640,94.7000,94.7100,94.6500,94.6635,13100
1469456702,94.6710,94.7300,94.6603,94.7100,16400
1469456818,94.6800,94.6800,94.6500,94.6700,15800
1469456820,94.7100,94.7200,94.6750,94.6750,6700
1469456938,94.7380,94.7400,94.7100,94.7200,9600
1469456940,94.7300,94.7400,94.7200,94.7300,10500
1469457000,94.7500,94.7550,94.7200,94.7400,11700
1469457062,94.7376,94.7800,94.7200,94.7800,15900
1469457178,94.7100,94.7300,94.7100,94.7250,7300
1469457180,94.7241,94.7241,94.7000,94.7000,8800
1469457299,94.7650,94.8000,94.7300,94.7300,15400
1469457300,94.7800,94.7900,94.7400,94.7600,7200
1469457414,94.7880,94.8000,94.7710,94.7710,10500
1469457476,94.7900,94.7901,94.7301,94.7882,26000
1469457539,94.7500,94.7780,94.7400,94.7780,12600
1469457542,94.7600,94.7600,94.7300,94.7500,19800
1469457600,94.7650,94.7750,94.7300,94.7546,11300
1469457713,94.7800,94.7800,94.7600,94.7700,7900
1469457722,94.8050,94.8050,94.7700,94.7710,16400
1469457839,94.7700,94.8019,94.7550,94.8000,46300
1469457899,94.7700,94.7900,94.7500,94.7600,26000
1469457900,94.7910,94.8000,94.7750,94.7800,16300
1469457962,94.8000,94.8400,94.7900,94.7942,18100
1469458020,94.7700,94.8157,94.7700,94.8050,7700
1469458086,94.7600,94.7700,94.7528,94.7600,8900
1469458199,94.7600,94.7600,94.7400,94.7600,6700
1469458200,94.7500,94.7600,94.7350,94.7600,8900
1469458262,94.7699,94.7800,94.7200,94.7500,28500
1469458329,94.7500,94.7600,94.7500,94.7600,7800
1469458381,94.7500,94.7500,94.7200,94.7500,14100
1469458495,94.7308,94.7500,94.7200,94.7500,14600
1469458558,94.7300,94.7500,94.7300,94.7340,9000
1469458562,94.7240,94.7500,94.7240,94.7300,9400
1469458621,94.6200,94.7300,94.6100,94.7300,16200
1469458681,94.5950,94.6300,94.5950,94.6300,6600
1469458745,94.5900,94.6300,94.5900,94.6023,12200
1469458857,94.6299,94.6300,94.5900,94.5900,15300
1469458863,94.6300,94.6300,94.6200,94.6300,2500
1469458922,94.6300,94.6300,94.6200,94.6250,3000
1469458980,94.6300,94.6300,94.6100,94.6200,11000
1469459041,94.5800,94.6300,94.5800,94.6300,18800
1469459103,94.5450,94.5850,94.5400,94.5800,26900
1469459161,94.5800,94.5950,94.5300,94.5450,58800
1469459277,94.5801,94.6100,94.5800,94.6000,10900
1469459337,94.5574,94.5900,94.5500,94.5900,5700
1469459343,94.5500,94.5600,94.5400,94.5550,6300
1469459404,94.5500,94.5500,94.5300,94.5400,7900
1469459465,94.5410,94.5600,94.5400,94.5442,17400
1469459528,94.5600,94.5600,94.5400,94.5450,7400
1469459587,94.5400,94.5590,94.5250,94.5590,15400
1469459695,94.5400,94.5475,94.5300,94.5300,11100
1469459701,94.5090,94.5500,94.5000,94.5500,9100
1469459816,94.5300,94.5300,94.4900,94.5100,38200
1469459823,94.5300,94.5300,94.5000,94.5290,10900
1469459939,94.5400,94.5500,94.5100,94.5235,9900
1469459997,94.5450,94.5719,94.5400,94.5600,14600
1469460000,94.5200,94.5400,94.5200,94.5400,17600
1469460063,94.5400,94.5400,94.5200,94.5250,5100
1469460179,94.5200,94.5500,94.5100,94.5400,20400
1469460222,94.5500,94.5556,94.5200,94.5200,5000
1469460246,94.5800,94.6342,94.5500,94.5500,15600
1469460359,94.6200,94.6200,94.5645,94.5800,7300
1469460361,94.6000,94.6599,94.6000,94.6400,8600
1469460477,94.6100,94.6100,94.5900,94.6000,9300
1469460481,94.5600,94.6048,94.5600,94.6048,10200
1469460597,94.5190,94.5500,94.5100,94.5500,9500
1469460658,94.5500,94.5500,94.5200,94.5200,6900
1469460660,94.5200,94.5500,94.5200,94.5442,3600
1469460723,94.5380,94.5500,94.5200,94.5300,10500
1469460839,94.5300,94.5350,94.5200,94.5300,5500
1469460844,94.5500,94.5500,94.5200,94.5298,13300
1469460908,94.5200,94.5500,94.5200,94.5490,11700
1469460962,94.5500,94.5500,94.5100,94.5250,15700
1469461078,94.5200,94.5400,94.5110,94.5400,18900
1469461138,94.5000,94.5200,94.4902,94.5100,15200
1469461143,94.5500,94.5500,94.4900,94.5000,20600
1469461208,94.5200,94.5600,94.5200,94.5600,5100
1469461263,94.4905,94.5200,94.4900,94.5100,6200
1469461373,94.5000,94.5150,94.4800,94.4950,19300
1469461380,94.5000,94.5050,94.4800,94.5000,5400
1469461444,94.5000,94.5000,94.4900,94.5000,4000
1469461506,94.5000,94.5033,94.5000,94.5000,2100
1469461571,94.5050,94.5100,94.4800,94.5000,19000
1469461679,94.4300,94.5000,94.4200,94.5000,27000
1469461739,94.4210,94.4350,94.4200,94.4300,6300
1469461742,94.4050,94.4300,94.4000,94.4235,9400
1469461857,94.3340,94.4060,94.3200,94.4060,25900
1469461919,94.3515,94.3800,94.3200,94.3300,14600
1469461920,94.3410,94.3700,94.3410,94.3600,7400
1469462039,94.3600,94.3600,94.3400,94.3435,9700
1469462040,94.3600,94.3700,94.3500,94.3600,9600
1469462158,94.3700,94.3700,94.3500,94.3500,7800
1469462167,94.4200,94.4200,94.3689,94.3700,13000
1469462220,94.4093,94.4200,94.3901,94.4150,11300
1469462284,94.4100,94.4200,94.4000,94.4000,4600
1469462398,94.3900,94.4200,94.3800,94.4200,14900
1469462401,94.4200,94.4200,94.3800,94.3800,6100
1469462464,94.4650,94.4800,94.4001,94.4150,15800
1469462576,94.4650,94.4700,94.4535,94.4535,6500
1469462637,94.4900,94.5000,94.4607,94.4650,12100
1469462642,94.4650,94.4900,94.4650,94.4898,4600
1469462700,94.4000,94.4635,94.3900,94.4635,11900
1469462768,94.3700,94.3958,94.3500,94.3958,17900
1469462824,94.3800,94.3800,94.3600,94.3641,14000
1469462887,94.3500,94.3700,94.3500,94.3700,3000
1469462940,94.3909,94.4000,94.3400,94.3500,25300
1469463008,94.3975,94.4000,94.3850,94.4000,5600
1469463060,94.4200,94.4300,94.3800,94.4000,23900
1469463122,94.3400,94.4201,94.3400,94.4201,7000
1469463239,94.3200,94.3440,94.3200,94.3401,7700
1469463240,94.2900,94.3284,94.2900,94.3200,11700
1469463302,94.2794,94.2984,94.2742,94.2984,9400
1469463418,94.2400,94.2934,94.2300,94.2800,22900
1469463420,94.2600,94.2600,94.2000,94.2309,14200
1469463489,94.2545,94.2700,94.2500,94.2600,6700
1469463582,94.2500,94.2600,94.2500,94.2500,2000
1469463601,94.2398,94.2600,94.2398,94.2550,19300
1469463662,94.2010,94.2400,94.2000,94.2338,16200
1469463720,94.1890,94.2100,94.1860,94.2000,15100
1469463835,94.2350,94.2350,94.1700,94.1800,9300
1469463848,94.2058,94.2400,94.2000,94.2400,4300
1469463958,94.2050,94.2100,94.2000,94.2100,9000
1469463962,94.1800,94.2100,94.1600,94.2100,21400
1469464020,94.1897,94.1900,94.1800,94.1800,5700
1469464097,94.1900,94.1900,94.1800,94.1800,9200
1469464150,94.1700,94.2000,94.1600,94.1900,18800
1469464254,94.1851,94.1900,94.1600,94.1700,13700
1469464313,94.1650,94.1800,94.1550,94.1800,6500
1469464320,94.1600,94.1700,94.1550,94.1650,7900
1469464387,94.1510,94.1600,94.1500,94.1600,8500
1469464489,94.1600,94.1600,94.1300,94.1411,13400
1469464559,94.1900,94.1900,94.1600,94.1600,8900
1469464572,94.1700,94.1900,94.1700,94.1900,7400
1469464675,94.1610,94.1850,94.1610,94.1800,4200
1469464739,94.1100,94.1800,94.1000,94.1700,29500
1469464741,94.1200,94.1200,94.1000,94.1100,7600
1469464804,94.1100,94.1200,94.1100,94.1101,8200
1469464861,94.0800,94.1100,94.0800,94.1002,18900
1469464923,94.0400,94.0900,94.0400,94.0900,24200
1469465036,94.0200,94.0600,94.0200,94.0300,21300
1469465049,94.0275,94.0400,94.0200,94.0200,14400
1469465100,94.0300,94.0400,94.0200,94.0250,19500
1469465219,94.0200,94.0400,94.0200,94.0300,27600
1469465220,94.0400,94.0400,94.0200,94.0200,19100
1469465291,94.0436,94.0580,94.0300,94.0400,6500
1469465399,94.0400,94.0450,94.0300,94.0400,9600
1469465405,94.0500,94.0800,94.0450,94.0500,18900
1469465460,94.0300,94.0500,94.0300,94.0300,9900
1469465527,94.0545,94.0600,94.0300,94.0300,10300
1469465582,94.0600,94.0600,94.0439,94.0550,8200
1469465642,94.0500,94.0550,94.0400,94.0550,2600
1469465700,94.0500,94.0600,94.0500,94.0500,9200
1469465761,94.0500,94.0600,94.0500,94.0500,5300
1469465875,94.0500,94.0550,94.0401,94.0450,10700
1469465881,94.0450,94.0600,94.0450,94.0500,6500
1469465943,94.0500,94.0500,94.0400,94.0500,2000
1469466006,94.0600,94.0600,94.0450,94.0500,67600
1469466065,94.0750,94.0800,94.0600,94.0600,7900
1469466177,94.0400,94.1000,94.0200,94.0900,26500
1469466185,94.0250,94.0400,94.0200,94.0350,7700
1469466297,94.0000,94.0300,94.0000,94.0300,17900
1469466349,94.0100,94.0200,94.0100,94.0100,10600
1469466419,94.0200,94.0200,94.0100,94.0200,18500
1469466420,94.0200,94.0200,94.0100,94.0100,4300
1469466488,94.0500,94.0500,94.0200,94.0200,8800
1469466540,94.0300,94.0500,94.0200,94.0500,7600
1469466606,94.0345,94.0345,94.0220,94.0300,5000
1469466661,94.0300,94.0400,94.0300,94.0320,4400
1469466725,94.0400,94.0400,94.0350,94.0390,3700
1469466837,94.0600,94.0600,94.0350,94.0400,4700
1469466847,94.0300,94.0600,94.0300,94.0600,7800
1469466910,94.0241,94.0400,94.0200,94.0300,3900
1469467019,94.0400,94.0400,94.0200,94.0250,5100
1469467020,94.0200,94.0500,94.0200,94.0335,10700
1469467081,94.0201,94.0300,94.0100,94.0200,6100
1469467146,94.0200,94.0343,94.0100,94.0300,3700
1469467200,94.0250,94.0300,94.0200,94.0200,5700
1469467261,94.0200,94.0300,94.0200,94.0300,7800
1469467379,94.0350,94.0359,94.0200,94.0200,8500
1469467380,94.0150,94.0359,94.0100,94.0350,14900
1469467441,94.0000,94.0200,94.0000,94.0150,11400
1469467558,94.0000,94.0050,93.9600,94.0000,50500
1469467560,94.0100,94.0100,94.0000,94.0000,7600
1469467624,93.9600,94.0000,93.9400,94.0000,16600
1469467681,93.9500,93.9700,93.9500,93.9600,5700
1469467760,93.9800,93.9800,93.9600,93.9600,4200
1469467801,94.0200,94.0200,93.9740,93.9900,8900
1469467862,94.0300,94.0300,94.0100,94.0100,5300
1469467920,94.0000,94.0300,94.0000,94.0200,58500
1469467985,94.0330,94.0400,93.9900,94.0100,14400
1469468099,94.0300,94.0400,94.0300,94.0300,7200
1469468100,94.0490,94.0600,93.9950,94.0300,30600
1469468160,94.0400,94.0500,94.0400,94.0400,4400
1469468220,94.0400,94.0500,94.0300,94.0400,14000
1469468339,94.0500,94.0500,94.0400,94.0400,7800
1469468398,94.0200,94.0500,94.0200,94.0500,9500
1469468400,93.9900,94.0300,93.9900,94.0250,12100
1469468461,93.9939,93.9966,93.9900,93.9935,1200
1469468523,93.9900,94.0000,93.9800,94.0000,15900
1469468639,93.9800,93.9880,93.9800,93.9839,5100
1469468641,93.9850,93.9900,93.9800,93.9800,5000
1469468704,93.9850,93.9900,93.9800,93.9850,4400
1469468819,93.9450,93.9850,93.9400,93.9850,15300
1469468820,93.9000,94.0300,93.9000,93.9400,100000
1469468939,93.8500,93.9050,93.8400,93.9050,39400
1469468993,93.8400,93.8600,93.8350,93.8550,11700
1469469002,93.8550,93.8556,93.8310,93.8400,20200
