uri:/instrument/1.0/DD/chartdata;type=quote;range=1d/csv
ticker:dd
Company-Name:E.I. du Pont de Nemours and Com
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:67.6600
Timestamp:1471267800,1471291200
labels:1471269600,1471273200,1471276800,1471280400,1471284000,1471287600,1471291200
values:Timestamp,close,high,low,open,volume
close:67.8400,68.9800
high:67.8600,68.9900
low:67.8080,68.9500
open:67.8600,68.9900
volume:100,96400
1471267839,67.9600,67.9600,67.9000,67.9000,25900
1471267875,68.1000,68.1000,68.1000,68.1000,2600
1471267951,68.0100,68.0500,67.9900,68.0300,2400
1471267994,67.9300,67.9740,67.9300,67.9740,1300
1471268063,67.8600,67.8600,67.8600,67.8600,300
1471268105,68.0200,68.1000,67.9001,67.9695,2700
1471268197,67.9910,67.9910,67.9800,67.9900,900
1471268280,67.9600,68.0500,67.9500,68.0500,4300
1471268397,68.1500,68.1500,68.1000,68.1000,300
1471268400,68.0500,68.1500,68.0500,68.1500,96400
1471268519,68.0820,68.1200,68.0800,68.0900,4200
1471268522,68.0601,68.1000,68.0600,68.0800,2000
1471268608,68.0600,68.0900,68.0500,68.0900,1800
1471268700,68.0500,68.0600,67.9900,68.0400,1200
1471268795,68.0000,68.0100,67.9900,68.0000,800
1471268826,67.9700,68.0100,67.9700,68.0000,1200
1471268888,68.0600,68.0600,68.0050,68.0050,2000
1471268999,68.0600,68.0800,68.0300,68.0800,4000
1471269001,68.0300,68.0500,68.0100,68.0500,2400
1471269116,68.0100,68.0600,68.0000,68.0500,4700
1471269160,68.0000,68.0550,68.0000,68.0300,2400
1471269232,68.0300,68.0300,67.9900,68.0300,4500
1471269298,67.9400,68.0200,67.9200,68.0200,5300
1471269358,67.9600,67.9800,67.9400,67.9500,2600
1471269364,67.9000,67.9500,67.9000,67.9500,2900
1471269444,67.8400,67.9099,67.8080,67.9000,5200
1471269519,67.8500,67.8700,67.8500,67.8600,2400
1471269543,67.8900,67.9200,67.8899,67.8900,2300
1471269601,67.9100,67.9500,67.8900,67.9000,4000
1471269668,67.9500,67.9700,67.9400,67.9400,4100
1471269774,67.9800,67.9900,67.9700,67.9700,3600
1471269787,67.9600,67.9800,67.9500,67.9800,3800
1471269899,67.9900,68.0000,67.9600,67.9600,9100
1471269902,68.0200,68.0200,67.9800,67.9900,6200
1471270015,68.0600,68.0600,68.0000,68.0100,4700
1471270024,68.1400,68.1400,68.0690,68.0690,2600
1471270138,68.1919,68.2100,68.1300,68.1469,22800
1471270189,68.1900,68.2200,68.1800,68.1800,4200
1471270201,68.2100,68.2500,68.2000,68.2200,6000
1471270312,68.1500,68.2100,68.1300,68.2100,6800
1471270321,68.1900,68.2200,68.1700,68.1700,1600
1471270439,68.2250,68.2300,68.2000,68.2200,6900
1471270489,68.2100,68.2300,68.2100,68.2250,4500
1471270559,68.3000,68.3200,68.2300,68.2300,27000
1471270561,68.2900,68.3400,68.2900,68.3100,6000
1471270679,68.2875,68.3000,68.2875,68.2900,4500
1471270682,68.3000,68.3000,68.2800,68.2900,4100
1471270791,68.2901,68.3000,68.2601,68.3000,7200
1471270803,68.3100,68.3300,68.2901,68.3100,4300
1471270874,68.3400,68.3600,68.3400,68.3500,5700
1471270920,68.4200,68.4200,68.3500,68.3500,8400
1471270992,68.4200,68.4500,68.4000,68.4300,8500
1471271080,68.4200,68.4540,68.4200,68.4400,3100
1471271144,68.4300,68.4400,68.4200,68.4300,3800
1471271197,68.4700,68.4900,68.4300,68.4300,6900
1471271220,68.4500,68.4700,68.4400,68.4700,7100
1471271338,68.4900,68.5000,68.4600,68.4600,10700
1471271393,68.4800,68.4900,68.4700,68.4800,2500
1471271455,68.4800,68.4900,68.4700,68.4800,7400
1471271461,68.5000,68.5000,68.4800,68.4800,5100
1471271531,68.5100,68.5300,68.5100,68.5100,6000
1471271605,68.5500,68.5900,68.5300,68.5300,10400
1471271648,68.5500,68.5600,68.5500,68.5600,3800
1471271717,68.5700,68.5850,68.5600,68.5600,12600
1471271775,68.5300,68.5800,68.5300,68.5800,4900
1471271876,68.4800,68.5300,68.4800,68.5300,5100
1471271939,68.4500,68.4700,68.4400,68.4700,1300
1471271981,68.4200,68.4500,68.4200,68.4500,1600
1471272025,68.4100,68.4300,68.4100,68.4200,4800
1471272117,68.3700,68.4000,68.3600,68.4000,2800
1471272142,68.3900,68.4100,68.3650,68.3735,4500
1471272190,68.3900,68.4000,68.3900,68.3902,1300
1471272292,68.4000,68.4100,68.3800,68.3800,7400
1471272308,68.4200,68.4350,68.4100,68.4100,2800
1471272371,68.4500,68.4600,68.4300,68.4300,4200
1471272434,68.4600,68.4700,68.4500,68.4500,2200
1471272485,68.4500,68.4650,68.4500,68.4500,2000
1471272560,68.4600,68.4600,68.4231,68.4500,3100
1471272623,68.4900,68.5050,68.4800,68.4800,5000
1471272688,68.5000,68.5100,68.5000,68.5100,1500
1471272725,68.4800,68.5000,68.4800,68.5000,5600
