uri:/instrument/1.0/DNB/chartdata;type=quote;range=1d/csv
ticker:dnb
Company-Name:Dun & Bradstreet Corporation (T
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:121.8400
Timestamp:1467379800,1467403200
labels:1467381600,1467385200,1467388800,1467392400,1467396000,1467399600,1467403200
values:Timestamp,close,high,low,open,volume
close:121.3750,123.4200
high:121.5750,123.4200
low:121.3200,123.4100
open:121.5000,123.4100
volume:100,32000
1467380090,122.0600,122.0600,121.3400,121.8200,3700
1467380150,121.3750,122.2750,121.3750,122.0900,700
1467380256,121.4100,122.1600,121.3200,122.1600,600
1467380384,121.8900,122.2900,121.8650,122.2900,800
1467380414,121.8850,121.8850,121.8850,121.8850,300
1467380584,122.2200,122.2200,122.2200,122.2200,100
1467380658,122.2400,122.2400,122.2400,122.2400,100
1467380707,122.1300,122.1300,122.1300,122.1300,100
1467380792,122.1300,122.3000,122.1300,122.3000,1800
1467381011,121.9200,122.0200,121.9200,122.0200,900
1467381251,121.9400,121.9400,121.9400,121.9400,100
1467381348,121.9350,122.1900,121.9350,122.1900,900
1467381372,121.9300,122.0600,121.5900,121.9100,1500
1467381478,121.6850,121.6850,121.6850,121.6850,300
1467381537,121.5500,121.5750,121.5500,121.5700,500
1467381569,121.7100,121.7100,121.5600,121.6500,1700
1467381719,121.5300,121.8000,121.5300,121.8000,3100
1467381722,121.6100,121.9400,121.5000,121.5000,3800
1467381831,121.7550,121.8300,121.5300,121.5300,3100
1467381867,121.9400,121.9400,121.8200,121.9350,1200
1467381929,122.2800,122.2800,121.9700,122.0200,1600
1467382040,122.1800,122.2500,122.0000,122.2200,1800
1467382097,122.1700,122.1700,122.1700,122.1700,100
1467382214,122.6000,122.6000,122.3100,122.3400,3400
1467382299,122.7300,122.7300,122.6000,122.6000,600
1467382321,122.7100,122.7100,122.7100,122.7100,600
1467382447,122.8350,122.8350,122.8350,122.8350,100
1467382509,122.8300,122.8300,122.8300,122.8300,100
1467382596,122.8500,122.8500,122.7350,122.7350,200
1467382704,122.8900,122.8900,122.7600,122.7600,600
1467382762,122.9900,122.9900,122.9900,122.9900,100
1467382836,122.9700,122.9700,122.8700,122.8700,200
1467382943,122.6600,122.7900,122.6600,122.7900,1700
1467382983,122.6100,122.6100,122.5700,122.5700,600
1467383098,122.2600,122.2600,122.2600,122.2600,100
1467383159,122.3800,122.3800,122.3100,122.3100,200
1467383162,122.5550,122.5550,122.3900,122.3900,1000
1467383336,122.6800,122.6800,122.6800,122.6800,500
1467383454,122.6300,122.6300,122.5350,122.5350,300
1467383533,122.4900,122.5100,122.4500,122.5100,1400
1467383744,122.5050,122.5500,122.5050,122.5500,800
1467383767,122.6500,122.6500,122.6500,122.6500,400
1467384055,122.7100,122.7100,122.7100,122.7100,200
1467384136,122.4800,122.5500,122.4800,122.5500,2400
1467384209,122.5300,122.5300,122.5300,122.5300,200
1467384291,122.6300,122.6300,122.6000,122.6000,200
1467384314,122.6930,122.6930,122.6930,122.6930,500
1467384475,122.7400,122.8100,122.7400,122.8100,200
1467384656,122.7950,122.8600,122.7950,122.8600,200
1467384676,122.9500,122.9500,122.9500,122.9500,100
1467384772,123.0100,123.0100,123.0100,123.0100,100
1467385000,123.0700,123.0700,122.9600,122.9600,1600
1467385069,123.2800,123.2800,123.1900,123.1900,600
1467385082,123.2700,123.2700,123.2700,123.2700,100
1467385232,123.2800,123.2800,123.2800,123.2800,200
1467385274,123.2350,123.2350,123.2350,123.2350,100
1467385343,123.3200,123.3200,123.3200,123.3200,200
1467385502,123.4200,123.4200,123.4100,123.4100,1000
1467385568,123.2000,123.3700,123.2000,123.3450,2000
1467385620,123.1600,123.1800,123.1300,123.1700,1700
1467385792,123.0000,123.1000,123.0000,123.0700,900
1467385822,122.9300,122.9600,122.9300,122.9600,1200
1467386201,122.9000,122.9000,122.9000,122.9000,700
1467386408,122.9600,122.9600,122.9400,122.9400,200
1467386476,122.9550,122.9700,122.9550,122.9700,500
1467386644,122.7900,122.9400,122.7900,122.8900,4800
1467386758,122.7900,122.7900,122.7900,122.7900,300
1467386860,122.8500,122.8500,122.8500,122.8500,200
1467387175,122.7700,122.7700,122.7700,122.7700,100
1467387232,122.7700,122.7700,122.7700,122.7700,100
1467387255,122.9900,122.9900,122.8300,122.8300,800
1467387430,122.9150,122.9150,122.9150,122.9150,400
1467387775,122.9200,122.9400,122.9200,122.9400,300
1467387827,123.1000,123.1000,122.9600,122.9600,1100
1467387931,123.0800,123.0800,123.0800,123.0800,200
1467387960,122.9200,123.1000,122.9200,123.0900,3000
1467388077,122.9400,122.9800,122.9300,122.9700,700
1467388135,122.8800,122.9650,122.8800,122.9000,700
1467388198,122.7950,122.8950,122.7300,122.8950,900
1467388205,122.7600,122.7600,122.7600,122.7600,100
1467388265,122.6300,122.6300,122.6300,122.6300,200
1467388493,122.6800,122.6900,122.6800,122.6900,900
1467388615,122.7350,122.7350,122.7350,122.7350,100
1467388760,122.7600,122.7600,122.6800,122.7100,1000
1467388869,122.6200,122.7099,122.6200,122.7099,1500
1467388990,122.6400,122.6650,122.5900,122.6650,1100
1467389095,122.7600,122.7600,122.6750,122.7000,300
1467389124,122.6200,122.6200,122.6200,122.6200,200
1467389197,122.6700,122.6700,122.6700,122.6700,200
1467389239,122.7200,122.7200,122.7200,122.7200,300
1467389452,122.7600,122.7600,122.7600,122.7600,100
1467389491,122.6850,122.7599,122.6850,122.7599,300
1467389545,122.6200,122.6800,122.6200,122.6300,1400
1467389590,122.6100,122.6300,122.5800,122.6300,1300
1467389653,122.6600,122.6600,122.6600,122.6600,200
1467389879,122.6900,122.6900,122.6900,122.6900,100
1467389931,122.6900,122.6900,122.6900,122.6900,100
1467390030,122.6800,122.6800,122.6800,122.6800,300
1467390156,122.6500,122.6500,122.6500,122.6500,300
1467390193,122.5200,122.5200,122.5200,122.5200,600
1467390348,122.5700,122.6050,122.5700,122.5700,800
1467390367,122.5600,122.5900,122.5600,122.5900,1000
1467390891,122.5200,122.5200,122.5200,122.5200,300
1467390916,122.5900,122.5900,122.5800,122.5800,300
1467391179,122.6350,122.7000,122.5800,122.5800,300
1467391201,122.6300,122.6400,122.5600,122.5700,2400
1467391496,122.7400,122.7500,122.6600,122.6600,1500
1467391528,122.8000,122.8000,122.7700,122.7700,1300
1467391741,122.8000,122.8000,122.7600,122.7600,400
1467391814,122.7650,122.8300,122.7300,122.8000,1700
1467391867,122.7400,122.7500,122.7200,122.7350,1900
1467392155,122.9100,122.9100,122.8100,122.8100,500
1467392327,122.8900,122.8900,122.8900,122.8900,100
1467392478,122.8900,122.8900,122.8900,122.8900,500
1467392668,122.8850,122.9000,122.8600,122.8600,2000
1467392824,122.9100,122.9100,122.8600,122.8600,1900
1467393231,122.8400,122.8400,122.8400,122.8400,100
1467393431,122.7700,122.7800,122.7700,122.7800,300
1467393525,122.7850,122.7850,122.7850,122.7850,200
1467393572,122.7800,122.7800,122.7800,122.7800,100
1467393610,122.8100,122.8500,122.8000,122.8000,2900
1467393685,122.8000,122.8000,122.7900,122.7900,300
1467393732,122.7950,122.7950,122.7950,122.7950,200
1467393960,122.7500,122.8400,122.7400,122.8400,1300
1467394203,122.5950,122.6600,122.5700,122.6600,600
1467394279,122.5300,122.5300,122.5300,122.5300,500
1467394338,122.7000,122.7000,122.7000,122.7000,100
1467394496,122.5900,122.5900,122.5900,122.5900,100
1467394607,122.6100,122.6100,122.6100,122.6100,300
1467394671,122.5500,122.5500,122.5100,122.5100,400
1467394688,122.5250,122.5250,122.4800,122.5100,400
1467394750,122.5150,122.5150,122.5005,122.5005,300
1467394848,122.5000,122.5200,122.5000,122.5100,1000
1467394958,122.7200,122.7200,122.6250,122.6300,700
1467395112,122.7700,122.8500,122.7700,122.7900,1100
1467395162,122.7400,122.7950,122.7400,122.7950,400
1467395486,122.9100,122.9100,122.9100,122.9100,300
1467395639,122.8450,122.8750,122.8300,122.8300,1400
1467395688,122.7500,122.7500,122.7500,122.7500,100
1467395820,122.8000,122.8000,122.8000,122.8000,100
1467395932,122.7950,122.7950,122.7950,122.7950,700
1467396050,122.8200,122.8200,122.8200,122.8200,100
1467396086,122.7800,122.7800,122.7800,122.7800,500
1467396125,122.7050,122.7200,122.6600,122.6800,1200
1467396265,122.7426,122.7600,122.7426,122.7600,600
1467396378,122.7150,122.7900,122.7150,122.7900,200
1467396595,122.7500,122.7500,122.7000,122.7500,700
1467396614,122.8200,122.8200,122.8200,122.8200,200
1467396775,122.7550,122.7550,122.7550,122.7550,100
1467396794,122.7500,122.7500,122.6900,122.7000,1400
1467396994,122.6700,122.6700,122.6200,122.6200,500
1467397097,122.7700,122.7700,122.7600,122.7600,300
1467397360,122.8100,122.8100,122.8100,122.8100,900
1467397555,122.7300,122.7650,122.7300,122.7650,1500
1467397780,122.8050,122.8050,122.7500,122.7500,800
1467397849,122.7400,122.7700,122.7400,122.7700,700
1467398082,122.7800,122.7800,122.7000,122.7400,1700
1467398468,122.6800,122.6800,122.6700,122.6700,400
1467398599,122.6600,122.6600,122.6600,122.6600,100
1467398687,122.6600,122.6600,122.6600,122.6600,100
1467398715,122.6600,122.6600,122.6600,122.6600,400
1467398802,122.6550,122.6550,122.6550,122.6550,100
1467398862,122.6550,122.7000,122.6550,122.7000,300
1467398936,122.6150,122.6150,122.6150,122.6150,200
1467398987,122.6700,122.6700,122.6700,122.6700,100
1467399094,122.6800,122.6800,122.6500,122.6500,300
1467399285,122.6150,122.6350,122.6000,122.6100,1800
1467399411,122.6300,122.6700,122.6200,122.6200,1000
1467399576,122.6550,122.6550,122.6500,122.6500,200
1467399651,122.8300,122.8300,122.6550,122.6550,800
1467399706,122.7800,122.7800,122.7300,122.7300,200
1467399775,122.7500,122.7900,122.7300,122.7700,1700
1467399796,122.8000,122.8000,122.7900,122.7900,900
1467399923,122.7600,122.7700,122.7600,122.7700,600
1467400006,122.8150,122.8150,122.8150,122.8150,900
1467400176,122.9425,122.9425,122.9425,122.9425,300
1467400252,123.0400,123.0400,123.0400,123.0400,100
1467400314,122.9900,123.0400,122.9800,123.0200,800
1467400530,123.0250,123.0700,123.0250,123.0700,1900
1467400670,123.0050,123.0050,123.0050,123.0050,700
1467400729,123.0800,123.0800,123.0300,123.0300,800
1467400820,123.1600,123.1600,123.1300,123.1300,800
1467400896,123.1600,123.1600,123.1600,123.1600,300
1467400993,123.1000,123.1100,123.1000,123.1100,600
1467401073,123.0600,123.1600,123.0600,123.1600,1100
1467401230,123.0000,123.0450,123.0000,123.0450,700
1467401310,123.0900,123.0900,123.0600,123.0600,1200
1467401380,123.1100,123.1100,123.1100,123.1100,100
1467401415,123.0800,123.0800,123.0800,123.0800,100
1467401487,123.1000,123.1300,123.0550,123.0800,1200
1467401542,123.0820,123.1500,123.0820,123.1500,200
1467401596,123.0700,123.1500,123.0700,123.1500,1000
1467401696,123.0900,123.1200,123.0900,123.0900,1200
1467401709,123.1400,123.1400,123.0975,123.0975,800
1467401766,123.1700,123.1700,123.1700,123.1700,400
1467401846,123.1400,123.1500,123.1200,123.1500,1500
1467401931,123.0800,123.1050,123.0700,123.0700,1200
1467401978,122.9400,123.0200,122.9400,123.0200,2800
1467402075,122.9500,122.9500,122.9100,122.9100,1400
1467402210,122.9800,122.9900,122.9500,122.9600,900
1467402276,123.0100,123.0100,123.0100,123.0100,200
1467402353,122.9300,122.9400,122.9200,122.9300,4100
1467402419,122.8650,122.9400,122.8500,122.9350,1800
1467402454,122.9000,122.9000,122.9000,122.9000,200
1467402523,122.8300,122.8700,122.8300,122.8700,1400
1467402599,122.8200,122.8300,122.8200,122.8300,200
1467402607,122.8400,122.8400,122.8000,122.8000,2000
1467402767,122.9100,122.9200,122.9100,122.9200,1000
1467402783,122.8600,122.9500,122.8600,122.9500,700
1467402844,122.9000,122.9200,122.9000,122.9000,2200
1467402906,123.0000,123.0000,122.9100,122.9100,2000
1467403007,123.0000,123.0000,122.9600,122.9600,300
1467403069,122.9550,122.9550,122.9300,122.9300,1000
1467403082,123.0500,123.0600,122.9700,122.9700,8400
1467403145,123.1000,123.1000,123.0500,123.0500,17200
1467403200,123.0700,123.0700,123.0700,123.0700,32000
