uri:/instrument/1.0/EMN/chartdata;type=quote;range=1d/csv
ticker:emn
Company-Name:Eastman Chemical Company Common
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:65.8100
Timestamp:1467120600,1467144000
labels:1467122400,1467126000,1467129600,1467133200,1467136800,1467140400,1467144000
values:Timestamp,close,high,low,open,volume
close:65.5400,66.8500
high:65.5600,66.8750
low:65.5100,66.8500
open:65.5400,66.8750
volume:100,75200
1467120839,66.8500,66.8750,66.8500,66.8750,25700
1467120897,66.7900,66.7900,66.6500,66.7200,2500
1467120916,66.5000,66.7000,66.5000,66.7000,6000
1467121018,66.2900,66.4450,66.2900,66.4450,3400
1467121077,66.2900,66.3400,66.2900,66.3000,2200
1467121138,66.5800,66.6000,66.3000,66.3100,8400
1467121198,66.6450,66.6650,66.6100,66.6400,7500
1467121258,66.6850,66.6900,66.6400,66.6700,6100
1467121272,66.6300,66.7100,66.5600,66.6300,7700
1467121378,66.4300,66.4700,66.4200,66.4200,2600
1467121439,66.5300,66.6175,66.4600,66.4900,10700
1467121457,66.5300,66.5300,66.4200,66.5100,4700
1467121550,66.6100,66.6100,66.4800,66.4800,5000
1467121567,66.4150,66.6000,66.3600,66.5900,9600
1467121663,66.5700,66.5700,66.4750,66.5200,1600
1467121735,66.4950,66.4950,66.4950,66.4950,2000
1467121742,66.3800,66.4800,66.3800,66.4200,7300
1467121810,66.3600,66.4000,66.3600,66.3900,5000
1467121909,66.3000,66.4000,66.2800,66.4000,8300
1467121978,66.3000,66.3400,66.3000,66.3200,3100
1467122025,66.3700,66.3800,66.3300,66.3300,1300
1467122086,66.3800,66.3800,66.3600,66.3800,1100
1467122153,66.3750,66.3750,66.2600,66.2900,5300
1467122160,66.3400,66.3800,66.3200,66.3800,3400
1467122240,66.2600,66.3000,66.2600,66.2900,800
1467122307,66.2200,66.2600,66.2200,66.2500,1000
1467122356,66.3400,66.3400,66.2800,66.3300,6200
1467122406,66.3400,66.3500,66.3200,66.3300,2000
1467122462,66.3300,66.3700,66.3200,66.3300,6000
1467122524,66.3500,66.3850,66.3500,66.3850,7700
1467122581,66.3500,66.4000,66.3500,66.3600,5200
1467122692,66.3200,66.3500,66.2900,66.3500,2400
1467122745,66.3050,66.3899,66.3050,66.3899,2000
1467122780,66.2400,66.2400,66.2400,66.2400,2500
1467122876,66.1100,66.2360,66.1100,66.2360,1800
1467122902,66.0600,66.1250,66.0400,66.1250,1400
1467123058,66.1024,66.1550,66.0593,66.0593,4300
1467123117,66.1500,66.1700,66.1200,66.1200,2300
1467123177,66.1600,66.1800,66.1400,66.1500,2800
1467123186,66.1000,66.1312,66.0800,66.1300,1400
1467123240,66.0800,66.1300,66.0700,66.1300,700
1467123359,66.1800,66.1900,66.1400,66.1400,1000
1467123408,66.1725,66.2200,66.1500,66.1800,3700
1467123425,66.1217,66.1500,66.0800,66.1500,2000
1467123514,66.0800,66.1100,66.0800,66.1000,1000
