uri:/instrument/1.0/ESS/chartdata;type=quote;range=1d/csv
ticker:ess
Company-Name:Essex Property Trust, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:226.4000
Timestamp:1469539800,1469563200
labels:1469541600,1469545200,1469548800,1469552400,1469556000,1469559600,1469563200
values:Timestamp,close,high,low,open,volume
close:222.0400,225.0000
high:222.2600,225.1500
low:222.0400,224.9100
open:222.2600,224.9250
volume:100,27300
1469539986,224.5500,224.8400,224.5500,224.7100,9000
1469540166,225.0000,225.0000,224.6100,224.6100,700
1469540253,224.8900,224.8900,224.8000,224.8000,800
1469540303,224.7500,225.1500,224.7500,224.9250,2300
1469540554,224.4100,224.4300,224.4100,224.4300,1000
1469540863,224.4300,224.4300,224.4300,224.4300,200
1469540921,224.5500,224.5500,224.5500,224.5500,600
1469541013,224.6000,224.6000,224.4100,224.4100,500
1469541093,224.2100,224.4000,224.2100,224.2100,500
1469541168,224.2900,224.5800,224.2900,224.5800,400
1469541199,224.6500,224.7700,224.4500,224.5800,1600
1469541318,224.5300,224.5300,224.3000,224.3200,1200
1469541544,224.4000,224.4000,224.1700,224.3750,3100
1469541607,224.4800,224.4800,224.4800,224.4800,600
1469541769,224.5600,224.5600,224.5600,224.5600,300
1469541953,224.3200,224.3200,224.3200,224.3200,200
1469541974,224.3100,224.3100,224.3100,224.3100,200
1469542026,224.3800,224.4300,224.2800,224.2900,3100
1469542146,224.6300,224.7500,224.5300,224.5300,2300
1469542610,224.5801,224.5801,224.5801,224.5801,200
1469542632,224.6000,224.6700,224.6000,224.6700,600
1469542836,224.8200,224.8200,224.8200,224.8200,300
1469543020,224.7260,224.7471,224.6527,224.7471,700
1469543114,224.5000,224.7790,224.5000,224.7790,800
1469543295,224.6100,224.6300,224.6100,224.6300,600
1469543347,224.7900,224.7900,224.7900,224.7900,100
1469543582,224.9100,224.9100,224.9100,224.9100,100
1469543649,224.9000,224.9000,224.8700,224.8700,1700
1469543712,224.9100,224.9100,224.8400,224.8400,400
1469543828,224.8300,224.8300,224.8300,224.8300,200
1469544040,224.8600,224.8800,224.7300,224.7300,1000
1469544093,224.6100,224.8500,224.6100,224.8500,500
1469544418,224.7012,224.7012,224.7012,224.7012,200
1469544507,224.7900,224.7900,224.7900,224.7900,100
1469544580,224.6001,224.6001,224.6001,224.6001,100
1469544663,224.6300,224.6300,224.6300,224.6300,200
1469544830,224.6300,224.6900,224.6300,224.6900,200
1469544858,224.5900,224.5900,224.5900,224.5900,800
1469544957,224.4300,224.4500,224.4300,224.4500,700
1469545000,224.4900,224.4900,224.4700,224.4700,300
1469545037,224.5400,224.5400,224.4600,224.4600,500
1469545175,224.2900,224.3400,224.2900,224.3400,1700
1469545499,224.2950,224.2950,224.2950,224.2950,300
1469545521,224.4800,224.4800,224.3500,224.4000,2500
1469545612,224.4100,224.4400,224.4100,224.4200,1300
