uri:/instrument/1.0/FB/chartdata;type=quote;range=1d/csv
ticker:fb
Company-Name:Facebook, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:131.0500
Timestamp:1473341400,1473364800
labels:1473343200,1473346800,1473350400,1473354000,1473357600,1473361200,1473364800
values:Timestamp,close,high,low,open,volume
close:129.8620,130.8600
high:129.9100,131.0800
low:129.8100,130.7550
open:129.8560,130.8800
volume:3400,787600
1473341423,130.7601,130.8400,130.7500,130.8300,326300
1473341519,130.6848,130.9200,130.6700,130.7600,80800
1473341520,130.7200,130.7299,130.5900,130.6700,81900
1473341580,130.7002,130.7500,130.6000,130.6900,82300
1473341699,130.7567,130.7700,130.6300,130.7000,107200
1473341700,130.8600,131.0800,130.7550,130.7600,197300
1473341819,130.6400,130.9297,130.6400,130.8800,87000
1473341879,130.6500,130.7099,130.6000,130.6697,88500
1473341880,130.3400,130.6500,130.3100,130.6500,139300
1473341999,130.0600,130.3700,130.0600,130.3200,154700
1473342059,130.0700,130.1000,130.0200,130.0600,158200
1473342119,130.1999,130.2300,130.0700,130.0700,158900
1473342179,130.3220,130.3511,130.1900,130.1941,297600
1473342180,130.4408,130.4500,130.3100,130.3100,110500
1473342240,130.4700,130.4800,130.3700,130.4300,86800
1473342302,130.4800,130.5200,130.4000,130.4400,67200
1473342419,130.4864,130.5100,130.4500,130.4799,50100
1473342479,130.4900,130.5600,130.4700,130.4900,56300
1473342480,130.3760,130.5000,130.3400,130.4900,78100
1473342599,130.2050,130.3800,130.2000,130.3800,72100
1473342600,130.2200,130.2390,130.1200,130.2041,132800
1473342663,130.0718,130.2500,130.0600,130.2300,102800
1473342778,130.1600,130.1600,130.0800,130.0800,43100
1473342839,130.2000,130.2300,130.0800,130.1507,57200
1473342899,130.1100,130.2400,130.1100,130.2000,45300
1473342900,130.1080,130.1464,130.0900,130.1000,47200
1473343019,130.1600,130.1800,130.0900,130.1100,31500
1473343020,130.2500,130.2900,130.1700,130.1700,102500
1473343080,130.2700,130.2800,130.2000,130.2500,42100
1473343140,130.2200,130.2800,130.2000,130.2641,29300
1473343200,130.2100,130.2300,130.1300,130.2300,45800
1473343263,130.1700,130.2000,130.1600,130.1900,20200
1473343320,130.2437,130.2700,130.1700,130.1800,49000
1473343380,130.2500,130.3399,130.2200,130.2693,38900
1473343499,130.3100,130.3100,130.2010,130.2482,39900
1473343500,130.2600,130.3100,130.2000,130.3000,57700
1473343619,130.1900,130.2664,130.1900,130.2600,32400
1473343620,130.2200,130.3100,130.1900,130.1900,76800
1473343680,130.2100,130.2400,130.2000,130.2100,27200
1473343799,130.2000,130.2265,130.1300,130.2100,36900
1473343859,130.0600,130.2000,130.0600,130.2000,61900
1473343860,130.0500,130.0600,130.0000,130.0600,112800
1473343920,130.0499,130.0880,130.0300,130.0500,32100
1473343980,130.0350,130.0500,130.0150,130.0400,58500
1473344040,129.9700,130.0400,129.8610,130.0390,177200
1473344100,130.0430,130.0700,129.9500,129.9663,82500
1473344160,130.1100,130.1400,130.0100,130.0400,63900
1473344279,130.0200,130.1197,130.0000,130.1197,42100
1473344280,129.9700,130.0499,129.9600,130.0200,52200
1473344343,129.9900,129.9920,129.9300,129.9664,72600
1473344400,129.9500,130.0100,129.9300,129.9966,52700
1473344462,129.9700,130.0000,129.8800,129.9300,91000
1473344523,129.9150,129.9800,129.9100,129.9700,64800
1473344582,130.0100,130.0400,129.9102,129.9102,68500
1473344640,129.8860,130.0100,129.8700,130.0000,71500
1473344700,129.8620,129.9100,129.8300,129.8779,107900
1473344760,129.9200,129.9500,129.8100,129.8560,90400
1473344821,130.0759,130.0998,129.9200,129.9200,111100
1473344884,130.0802,130.1200,130.0600,130.0700,35200
1473344999,130.0340,130.1100,130.0340,130.0900,30000
1473345058,130.0670,130.0800,130.0250,130.0400,26900
1473345060,130.0000,130.0650,130.0000,130.0600,17000
1473345178,130.0200,130.0300,129.9700,130.0000,22700
1473345180,130.0600,130.0800,130.0200,130.0200,32300
1473345240,130.1100,130.1600,130.0350,130.0500,81200
1473345300,130.2000,130.2800,130.1100,130.1100,89400
1473345419,130.3200,130.3200,130.1800,130.1900,64400
1473345479,130.3300,130.3800,130.3100,130.3200,85400
1473345480,130.3900,130.3900,130.3200,130.3400,40200
1473345599,130.4100,130.4210,130.3660,130.3900,70400
1473345600,130.2800,130.4100,130.2750,130.4100,59100
1473345661,130.2400,130.2821,130.2250,130.2821,29100
1473345721,130.2300,130.2600,130.2100,130.2500,21900
1473345784,130.1999,130.2300,130.1956,130.2200,27100
1473345899,130.1100,130.2000,130.1100,130.2000,29300
1473345901,130.1700,130.2100,130.1200,130.1200,49900
1473346017,130.2100,130.2200,130.1750,130.1750,31600
1473346021,130.1800,130.2100,130.1600,130.2000,33300
1473346080,130.2100,130.2300,130.1700,130.1700,23600
1473346142,130.2300,130.2400,130.1700,130.2060,35700
1473346202,130.2090,130.2594,130.1700,130.2400,30600
1473346319,130.2450,130.2600,130.2000,130.2099,33700
1473346321,130.2500,130.2700,130.2100,130.2400,18900
1473346383,130.2083,130.2900,130.2050,130.2500,24700
1473346440,130.2973,130.3000,130.2059,130.2059,25700
1473346556,130.2900,130.3000,130.2500,130.2900,28700
1473346560,130.2100,130.2900,130.2100,130.2800,14600
1473346679,130.2800,130.2800,130.2000,130.2100,23400
1473346680,130.2800,130.2900,130.2500,130.2860,15400
1473346740,130.2300,130.2700,130.2300,130.2700,14000
1473346858,130.3300,130.3400,130.2400,130.2400,44900
1473346860,130.3300,130.3700,130.3100,130.3300,43700
1473346922,130.2600,130.3692,130.2550,130.3400,43800
1473347039,130.2660,130.2800,130.2200,130.2600,33800
1473347041,130.2500,130.3200,130.2400,130.2700,23000
1473347158,130.3500,130.3500,130.2600,130.2700,20200
1473347160,130.3412,130.3900,130.3400,130.3500,27600
1473347223,130.4300,130.4300,130.3300,130.3600,32100
1473347280,130.3900,130.4576,130.3600,130.4400,37200
1473347340,130.5000,130.5100,130.3900,130.4000,86600
