uri:/instrument/1.0/FFIV/chartdata;type=quote;range=1d/csv
ticker:ffiv
Company-Name:F5 Networks, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:122.9100
Timestamp:1470231000,1470254400
labels:1470232800,1470236400,1470240000,1470243600,1470247200,1470250800,1470254400
values:Timestamp,close,high,low,open,volume
close:122.7000,123.9500
high:122.7000,123.9800
low:122.3447,123.9400
open:122.3447,123.9700
volume:0,33300
1470231097,122.7000,122.7000,122.3447,122.3447,16100
1470231159,123.0000,123.0000,122.7900,122.7900,3300
1470231199,122.8300,123.2400,122.8300,123.2400,900
1470231300,122.9600,122.9600,122.8100,122.8600,1900
1470231362,122.9700,123.0000,122.7900,122.7900,800
1470231471,123.0900,123.1500,123.0900,123.1500,600
1470231511,123.1900,123.3300,123.1600,123.2500,2000
1470231599,123.1800,123.4000,123.1100,123.3800,3000
1470231651,123.0600,123.3150,123.0500,123.0650,3500
1470231711,123.0000,123.1100,123.0000,123.0550,2600
1470231725,123.0000,123.0600,122.9800,123.0000,1500
1470231784,123.1600,123.1600,123.0250,123.0900,1200
1470231849,123.3348,123.3348,123.1310,123.1310,600
1470231913,123.2500,123.4300,123.2300,123.4300,1300
1470231999,123.2200,123.2200,123.2200,123.2200,500
1470232026,123.2259,123.2259,123.2259,123.2259,300
1470232110,123.1300,123.1800,123.1300,123.1800,1700
1470232144,123.2000,123.2200,123.0300,123.0300,1500
1470232202,123.1900,123.1900,123.1900,123.1900,600
1470232308,123.2100,123.2600,123.1510,123.2050,500
1470232332,123.2080,123.2080,123.1600,123.1600,1700
1470232380,123.2370,123.2800,123.2000,123.2000,800
1470232493,123.2717,123.2717,123.2500,123.2500,200
1470232514,123.1300,123.2200,123.1300,123.2200,1400
1470232639,123.1600,123.2000,123.0900,123.0900,1700
1470232798,123.2610,123.2700,123.2500,123.2700,1000
1470232818,123.1600,123.2300,123.1600,123.2300,700
1470232860,123.1600,123.1600,123.1600,123.1600,200
1470232993,123.1700,123.2500,123.1700,123.2300,1900
1470233051,123.2300,123.2300,123.1700,123.2050,4400
1470233159,123.2250,123.2500,123.2000,123.2200,3700
1470233213,123.1600,123.2500,123.1600,123.2250,1500
1470233228,123.1300,123.1300,123.1300,123.1300,100
1470233300,123.1100,123.1500,123.1100,123.1400,1100
1470233389,123.1500,123.1800,123.1400,123.1800,900
1470233403,123.1700,123.1700,123.1100,123.1100,700
1470233475,123.1600,123.1900,123.1300,123.1300,1800
1470233524,123.1750,123.1900,123.1650,123.1650,1100
1470233581,123.1800,123.1900,123.1700,123.1800,4200
1470233643,123.3200,123.3200,123.1800,123.1800,1400
1470233736,123.2900,123.2900,123.2900,123.2900,100
1470233897,123.2100,123.2700,123.2100,123.2300,2100
1470234067,123.3000,123.3000,123.2550,123.2700,1300
1470234214,123.2500,123.2900,123.2500,123.2900,800
1470234256,123.2200,123.2700,123.2200,123.2400,3100
1470234336,123.2700,123.2700,123.2100,123.2100,1200
1470234362,123.2000,123.2300,123.2000,123.2200,1100
1470234467,123.1800,123.1800,123.1800,123.1800,500
1470234542,123.2500,123.2500,123.1870,123.1870,700
1470234656,123.2500,123.2500,123.1900,123.2000,3500
1470234661,123.2500,123.2500,123.2300,123.2400,700
1470234758,123.2500,123.2500,123.2410,123.2410,600
1470234811,123.2700,123.3400,123.2500,123.2500,2800
1470234897,123.3300,123.3300,123.2900,123.3200,1900
1470234900,123.2900,123.3000,123.2800,123.2800,700
1470235003,123.3100,123.3400,123.3100,123.3400,400
1470235020,123.3000,123.3600,123.2500,123.3600,2400
1470235094,123.2900,123.2900,123.2700,123.2700,300
1470235146,123.2500,123.2700,123.2500,123.2700,600
1470235251,123.3400,123.3400,123.3200,123.3200,500
1470235293,123.2900,123.2900,123.2900,123.2900,100
1470235321,123.2900,123.3000,123.2900,123.3000,1000
1470235447,123.3300,123.3400,123.3100,123.3400,1300
1470235559,123.3350,123.3350,123.3350,123.3350,600
1470235563,123.3100,123.3100,123.2900,123.2900,800
1470235626,123.2860,123.3500,123.2600,123.3500,1400
1470235726,123.3300,123.3300,123.3300,123.3300,100
1470235767,123.2690,123.2690,123.2600,123.2600,800
1470235911,123.2700,123.2900,123.2600,123.2600,1800
1470236045,123.1600,123.2400,123.1600,123.2200,1500
1470236136,123.3100,123.3100,123.2200,123.2300,500
1470236198,123.2700,123.2800,123.2700,123.2800,500
1470236274,123.2500,123.2600,123.2200,123.2600,1800
1470236295,123.2200,123.2200,123.2041,123.2041,400
1470236371,123.1800,123.1900,123.1800,123.1900,800
1470236450,123.2600,123.2600,123.2400,123.2400,500
