uri:/instrument/1.0/FIS/chartdata;type=quote;range=1d/csv
ticker:fis
Company-Name:Fidelity National Information S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:76.0100
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:76.0450,77.0600
high:76.0900,77.0700
low:76.0000,77.0500
open:76.0000,77.0600
volume:100,68300
1468330200,76.3600,76.3600,76.3600,76.3600,12100
1468330385,76.2500,76.2500,76.2500,76.2500,3500
1468330551,76.1950,76.3500,76.1500,76.2900,1700
1468330569,76.0450,76.1400,76.0450,76.1400,1800
1468330632,76.1299,76.1299,76.0100,76.0200,300
1468330733,76.0900,76.0900,76.0000,76.0000,900
1468330740,76.1600,76.1600,76.0200,76.0900,4000
1468330813,76.2500,76.2500,76.2200,76.2200,1000
1468330903,76.3000,76.3000,76.2500,76.2800,1900
1468330921,76.2700,76.3800,76.2700,76.3000,11900
1468331158,76.3400,76.3500,76.1900,76.1900,13100
1468331163,76.3000,76.3700,76.3000,76.3200,4100
1468331294,76.2800,76.3200,76.2700,76.2850,4100
1468331396,76.4100,76.4100,76.3100,76.3300,9600
1468331400,76.3700,76.4200,76.3450,76.4200,20500
1468331517,76.5100,76.5200,76.3700,76.3700,68300
1468331560,76.5800,76.5800,76.4600,76.5000,3500
1468331581,76.5900,76.6000,76.5700,76.6000,1700
1468331674,76.5650,76.5705,76.5650,76.5700,8200
1468331708,76.5900,76.6000,76.5400,76.5600,7600
1468331762,76.5800,76.5800,76.5600,76.5700,3300
1468331820,76.5800,76.6100,76.5500,76.5700,7600
1468331938,76.5800,76.6500,76.5800,76.6100,1700
1468331995,76.6700,76.6700,76.5800,76.5900,8100
1468332059,76.6600,76.6750,76.6100,76.6705,13400
1468332119,76.6600,76.7075,76.6500,76.6800,10200
1468332173,76.6400,76.6600,76.6275,76.6600,3300
1468332236,76.7000,76.7000,76.6500,76.6500,8200
1468332240,76.7000,76.7300,76.6700,76.7100,7600
1468332359,76.6900,76.7300,76.6800,76.7300,4100
1468332397,76.6900,76.7100,76.6700,76.6850,2400
1468332423,76.7150,76.7400,76.7100,76.7200,42100
1468332492,76.7700,76.7800,76.7000,76.7100,10000
1468332596,76.7200,76.7600,76.7200,76.7600,9100
1468332643,76.7500,76.7550,76.6800,76.6800,9400
1468332718,76.8285,76.8300,76.7400,76.7500,7500
1468332720,76.8300,76.9100,76.8200,76.8300,30600
1468332898,76.8300,76.8500,76.8150,76.8200,9900
1468332954,76.7700,76.8300,76.7600,76.8300,1400
1468333019,76.6700,76.7850,76.6700,76.7850,2400
1468333071,76.5400,76.6600,76.5400,76.6600,5700
1468333087,76.5400,76.5900,76.5400,76.5650,1700
1468333148,76.5200,76.5300,76.5100,76.5300,3100
1468333210,76.4400,76.5200,76.4400,76.5200,1600
1468333315,76.4300,76.4600,76.4300,76.4400,7000
1468333339,76.4100,76.4500,76.4100,76.4500,1500
1468333384,76.3700,76.4000,76.3700,76.4000,300
1468333444,76.3600,76.3700,76.3100,76.3400,6600
1468333547,76.3000,76.3300,76.3000,76.3100,900
1468333562,76.3600,76.3600,76.2500,76.2750,12100
1468333675,76.4700,76.4900,76.3699,76.3699,5300
1468333702,76.5000,76.5100,76.4600,76.4600,9600
1468333795,76.5099,76.5100,76.4900,76.5000,11100
1468333802,76.5500,76.5500,76.5000,76.5100,6600
1468333865,76.5000,76.5500,76.4900,76.5500,3100
1468333925,76.5100,76.5300,76.5100,76.5200,2000
1468333983,76.5400,76.5400,76.5000,76.5100,2700
1468334099,76.5200,76.5600,76.5200,76.5600,5200
1468334102,76.5000,76.5200,76.4800,76.5150,2800
1468334218,76.4900,76.5000,76.4500,76.5000,2800
1468334220,76.4800,76.5100,76.4800,76.5000,2500
1468334304,76.5150,76.5150,76.4700,76.4700,3000
1468334393,76.5200,76.5300,76.5000,76.5000,2800
1468334457,76.5100,76.5500,76.5100,76.5300,7900
1468334519,76.5100,76.5200,76.5000,76.5200,1600
1468334520,76.5200,76.5200,76.4700,76.5000,6300
1468334586,76.5400,76.5400,76.5100,76.5200,6600
