uri:/instrument/1.0/GD/chartdata;type=quote;range=1d/csv
ticker:gd
Company-Name:General Dynamics Corporation Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:152.6800
Timestamp:1472218200,1472241600
labels:1472220000,1472223600,1472227200,1472230800,1472234400,1472238000,1472241600
values:Timestamp,close,high,low,open,volume
close:150.9600,153.1700
high:151.0212,153.1900
low:150.9600,153.0400
open:150.9900,153.1900
volume:100,24500
1472218220,152.7300,152.7300,152.7300,152.7300,9300
1472218309,152.7700,152.7700,152.7700,152.7700,1300
1472218378,152.8200,153.0000,152.8100,152.8150,4400
1472218387,152.9600,152.9800,152.8500,152.8500,1200
1472218452,153.1000,153.1000,153.0400,153.0850,1600
1472218500,153.0000,153.1900,153.0000,153.1900,1900
1472218570,153.0600,153.0800,153.0300,153.0800,800
1472218632,153.1700,153.1900,153.0001,153.0001,2200
1472218684,153.0200,153.1800,152.9500,153.1200,2500
1472218798,153.1300,153.1300,153.0200,153.0200,1400
1472218807,153.0400,153.0800,153.0300,153.0700,700
1472218916,153.0000,153.0400,152.9100,152.9400,2500
1472218977,153.0500,153.0600,153.0100,153.0100,3400
1472219020,152.9100,153.0100,152.9100,153.0100,1000
1472219048,152.8500,152.9000,152.8500,152.9000,600
1472219101,152.8100,152.8650,152.8050,152.8050,800
1472219205,152.8650,152.8650,152.8650,152.8650,100
1472219223,152.8400,152.9100,152.8300,152.8700,1200
1472219355,152.7900,152.8790,152.7900,152.8790,3100
1472219409,152.7500,152.7900,152.7500,152.7900,800
1472219467,152.8100,152.8700,152.7400,152.7400,1800
1472219529,152.7200,152.8100,152.7200,152.8100,600
1472219605,152.7800,152.7800,152.7300,152.7450,1100
1472219669,152.7700,152.7700,152.7600,152.7600,500
1472219749,152.7100,152.7300,152.7100,152.7300,500
1472219762,152.6800,152.7300,152.6800,152.7300,2000
1472219879,152.5100,152.6000,152.5100,152.6000,1300
1472219899,152.5200,152.5200,152.5200,152.5200,200
1472219946,152.6500,152.6600,152.5100,152.5100,2300
1472220059,152.4400,152.5700,152.4100,152.5100,5000
1472220068,152.3200,152.4301,152.2000,152.4301,2300
1472220131,152.4700,152.4700,152.2700,152.2700,1600
1472220219,152.7000,152.7500,152.6400,152.6400,900
1472220241,152.8400,152.9300,152.7600,152.7600,1600
1472220300,152.7300,152.8400,152.7300,152.8400,2200
1472220417,152.7499,152.7600,152.6000,152.7600,1300
1472220421,152.6100,152.6300,152.5700,152.6300,1000
1472220482,152.6526,152.6900,152.5800,152.5800,1500
1472220548,152.6000,152.7400,152.6000,152.6300,1600
1472220659,152.5800,152.6500,152.5800,152.6500,2000
1472220661,152.6100,152.6300,152.6000,152.6000,1000
1472220732,152.6300,152.6800,152.6300,152.6800,1000
1472220784,152.5800,152.7000,152.5500,152.6300,6200
1472220898,152.5601,152.6300,152.5435,152.5435,2200
1472220917,152.7800,152.7800,152.7400,152.7500,1500
1472221022,152.9700,153.0900,152.9700,152.9700,4000
1472221116,153.0300,153.0300,153.0300,153.0300,200
1472221154,153.0100,153.0300,152.9585,153.0300,1400
1472221200,152.9200,152.9300,152.8400,152.9300,1600
1472221264,152.8900,152.8900,152.8100,152.8400,2400
1472221422,152.7900,152.8700,152.7900,152.8700,1400
1472221450,152.7800,152.8300,152.7400,152.7800,2100
1472221516,152.8700,152.8700,152.7700,152.8400,1800
1472221637,152.8200,152.8466,152.8200,152.8466,1300
1472221695,152.8200,152.8500,152.7900,152.8000,1200
1472221751,152.8700,152.8700,152.8100,152.8500,1400
1472221801,152.8700,152.9100,152.8300,152.9000,5000
1472221919,152.6550,152.7800,152.6500,152.7800,7900
1472221925,152.7050,152.7100,152.6600,152.7000,1300
1472221983,152.6700,152.7000,152.6600,152.7000,800
1472222045,152.6500,152.7200,152.6500,152.6805,4300
1472222108,152.7300,152.7600,152.6500,152.6500,2900
1472222200,152.6900,152.7500,152.6900,152.7500,600
1472222317,152.8100,152.8100,152.7800,152.7800,1800
1472222345,152.8300,152.8300,152.8300,152.8300,400
1472222419,152.7300,152.7800,152.7300,152.7800,2400
1472222638,152.6500,152.7050,152.6500,152.6900,4700
1472222688,152.6500,152.6700,152.6500,152.6500,2900
1472222759,152.6600,152.7100,152.6500,152.6603,3000
1472222816,152.7199,152.7200,152.6200,152.6500,5200
1472222833,152.7300,152.7850,152.7200,152.7200,2000
1472222934,152.7350,152.7400,152.7200,152.7200,600
1472222950,152.7100,152.7300,152.6700,152.7200,2000
1472223049,152.7200,152.7200,152.7200,152.7200,400
1472223075,152.7000,152.7000,152.6500,152.6700,1400
1472223131,152.6780,152.7000,152.6780,152.7000,400
1472223207,152.7100,152.7500,152.7100,152.7300,1200
1472223269,152.7000,152.7100,152.7000,152.7100,600
1472223303,152.7432,152.7600,152.7100,152.7100,2600
1472223366,152.7300,152.7300,152.7300,152.7300,600
1472223450,152.8000,152.8000,152.7700,152.7700,1700
1472223483,152.7100,152.7600,152.7100,152.7600,2100
1472223560,152.6844,152.6850,152.6844,152.6850,200
1472223651,152.6500,152.6600,152.6250,152.6600,3500
1472223662,152.6600,152.6700,152.6550,152.6700,500
1472223735,152.6200,152.6450,152.5900,152.6300,2600
1472223794,152.6099,152.6100,152.5950,152.5950,600
