uri:/instrument/1.0/GNW/chartdata;type=quote;range=1d/csv
ticker:gnw
Company-Name:Genworth Financial Inc
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.9300
Timestamp:1472563800,1472587200
labels:1472565600,1472569200,1472572800,1472576400,1472580000,1472583600,1472587200
values:Timestamp,close,high,low,open,volume
close:5.0200,5.1400
high:5.0300,5.1400
low:5.0100,5.1350
open:5.0250,5.1400
volume:100,1338100
1472563817,5.0250,5.0400,5.0200,5.0250,582600
1472563918,5.0850,5.1150,5.0500,5.0500,377500
1472563975,5.0863,5.1150,5.0700,5.0710,162700
1472564034,5.0950,5.1100,5.0700,5.0800,158700
1472564099,5.0600,5.0850,5.0500,5.0850,97400
1472564157,5.0816,5.0900,5.0608,5.0608,145800
1472564160,5.0885,5.0900,5.0700,5.0800,85300
1472564279,5.1100,5.1200,5.0820,5.0880,119000
1472564338,5.1000,5.1180,5.1000,5.1165,82000
1472564341,5.0877,5.1100,5.0800,5.1077,102100
1472564456,5.0650,5.0830,5.0508,5.0800,101000
1472564515,5.0600,5.0762,5.0600,5.0700,43000
1472564578,5.0568,5.0600,5.0500,5.0599,89700
1472564639,5.0500,5.0756,5.0500,5.0580,218900
1472564646,5.0210,5.0500,5.0100,5.0500,171700
1472564759,5.0200,5.0300,5.0200,5.0300,38100
1472564769,5.0250,5.0300,5.0200,5.0300,27700
1472564877,5.0350,5.0499,5.0300,5.0300,54700
1472564889,5.0474,5.0500,5.0300,5.0370,16800
1472564995,5.0700,5.0800,5.0450,5.0450,75400
1472565004,5.0700,5.0700,5.0600,5.0700,75500
1472565116,5.0850,5.0899,5.0630,5.0650,26100
1472565179,5.0800,5.0900,5.0800,5.0850,39800
1472565181,5.0850,5.0900,5.0800,5.0800,23100
1472565247,5.0900,5.1000,5.0830,5.0858,52500
1472565308,5.0950,5.1000,5.0900,5.0999,12700
1472565418,5.0900,5.1000,5.0900,5.0995,9700
1472565475,5.0950,5.1000,5.0900,5.0920,46600
1472565533,5.0750,5.0967,5.0700,5.0900,88500
1472565540,5.0863,5.0870,5.0704,5.0800,30000
1472565654,5.0800,5.0850,5.0750,5.0800,26500
1472565665,5.0701,5.0900,5.0700,5.0770,38200
1472565779,5.0800,5.0800,5.0700,5.0800,25000
1472565837,5.0850,5.0950,5.0700,5.0800,96800
1472565894,5.0986,5.1000,5.0800,5.0890,24800
1472565957,5.1100,5.1100,5.0935,5.1000,68900
1472566011,5.1390,5.1400,5.1099,5.1099,178400
1472566075,5.1330,5.1400,5.1300,5.1320,45200
1472566136,5.1150,5.1300,5.1001,5.1300,90200
1472566198,5.1260,5.1300,5.1150,5.1200,35000
1472566257,5.1350,5.1399,5.1201,5.1201,27900
1472566319,5.1386,5.1386,5.1300,5.1350,6500
1472566320,5.1400,5.1400,5.1301,5.1336,17600
1472566439,5.1385,5.1400,5.1336,5.1350,3100
1472566497,5.1200,5.1350,5.1200,5.1310,18000
1472566556,5.1200,5.1300,5.1200,5.1200,30800
1472566569,5.1101,5.1350,5.1100,5.1237,69300
1472566670,5.1270,5.1300,5.1150,5.1199,35200
1472566739,5.1100,5.1265,5.1100,5.1220,15500
1472566798,5.1000,5.1190,5.1000,5.1100,27600
1472566858,5.0850,5.1100,5.0850,5.1000,108400
1472566892,5.0701,5.0850,5.0700,5.0813,81700
1472566968,5.0901,5.1000,5.0855,5.0900,49700
1472567038,5.0950,5.1000,5.0900,5.0900,72200
1472567096,5.0950,5.1000,5.0950,5.1000,18600
1472567157,5.0950,5.1000,5.0900,5.1000,2300
1472567216,5.0950,5.0950,5.0900,5.0900,10800
1472567229,5.1050,5.1100,5.0900,5.0990,42000
1472567336,5.1165,5.1165,5.1030,5.1100,49400
1472567391,5.1150,5.1200,5.1104,5.1200,21100
1472567453,5.1100,5.1164,5.1100,5.1100,8500
1472567466,5.1000,5.1184,5.1000,5.1100,51200
1472567532,5.0950,5.1000,5.0900,5.1000,34700
1472567598,5.0865,5.1000,5.0800,5.1000,79500
1472567698,5.0800,5.0850,5.0750,5.0810,37300
1472567702,5.0800,5.0800,5.0700,5.0701,20200
1472567804,5.0850,5.0885,5.0800,5.0810,11300
1472567874,5.0763,5.0800,5.0700,5.0800,23400
1472567882,5.0450,5.0700,5.0450,5.0700,104700
1472567946,5.0400,5.0400,5.0300,5.0400,31600
1472568058,5.0565,5.0600,5.0433,5.0433,23000
1472568108,5.0550,5.0650,5.0500,5.0550,35100
1472568133,5.0600,5.0600,5.0500,5.0550,36200
1472568188,5.0501,5.0699,5.0500,5.0699,83700
1472568299,5.0600,5.0600,5.0450,5.0550,75500
1472568359,5.0500,5.0501,5.0450,5.0500,33800
1472568418,5.0300,5.0500,5.0242,5.0500,87900
1472568433,5.0300,5.0500,5.0300,5.0327,49300
1472568527,5.0320,5.0399,5.0300,5.0350,15000
1472568551,5.0400,5.0500,5.0250,5.0348,62500
1472568657,5.0500,5.0500,5.0400,5.0400,5300
1472568719,5.0300,5.0488,5.0300,5.0488,24200
1472568778,5.0300,5.0400,5.0227,5.0300,33700
1472568829,5.0250,5.0300,5.0250,5.0300,57600
1472568897,5.0240,5.0300,5.0200,5.0250,27200
1472568951,5.0300,5.0300,5.0201,5.0250,37700
1472568969,5.0400,5.0400,5.0300,5.0365,8400
1472569066,5.0400,5.0400,5.0300,5.0350,2000
1472569133,5.0500,5.0550,5.0350,5.0350,34400
1472569143,5.0600,5.0600,5.0500,5.0600,1600
1472569209,5.0552,5.0552,5.0500,5.0550,3800
1472569310,5.0600,5.0800,5.0500,5.0550,41100
1472569379,5.0650,5.0700,5.0650,5.0699,3300
1472569431,5.0750,5.0800,5.0700,5.0796,40800
1472569471,5.0899,5.0900,5.0799,5.0800,9800
1472569556,5.1001,5.1100,5.0800,5.0950,216200
