uri:/instrument/1.0/GWW/chartdata;type=quote;range=1d/csv
ticker:gww
Company-Name:W.W. Grainger, Inc. Common Stoc
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:227.6500
Timestamp:1473341400,1473364800
labels:1473343200,1473346800,1473350400,1473354000,1473357600,1473361200,1473364800
values:Timestamp,close,high,low,open,volume
close:226.1800,229.7600
high:226.2577,229.7900
low:226.0100,229.5800
open:226.0100,229.7300
volume:100,13800
1473341440,226.3100,227.4000,226.3100,227.4000,3300
1473341515,227.0700,227.0700,227.0700,227.0700,400
1473341624,226.5600,226.5600,226.5600,226.5600,100
1473341661,226.9600,226.9600,226.5100,226.5100,1400
1473341702,226.7500,227.6750,226.6800,227.2400,1700
1473341828,226.7550,226.7650,226.5100,226.5100,500
1473341906,226.4950,226.7350,226.4000,226.7350,1100
1473342015,226.2000,226.8600,226.2000,226.4400,2700
1473342117,226.4900,226.6000,226.0700,226.3000,5300
1473342133,226.7300,226.8500,226.5000,226.8500,600
1473342181,226.6200,226.7300,226.5000,226.7200,2900
1473342245,226.9100,227.2050,226.7800,226.7800,1900
1473342353,226.5800,227.1300,226.5800,227.1300,1100
1473342414,226.3300,226.5700,226.3300,226.5700,600
1473342430,226.3371,226.3371,226.3371,226.3371,200
1473342532,226.2300,226.3500,226.2300,226.2300,1200
1473342563,226.1800,226.2577,226.1800,226.2577,1100
1473342614,226.2100,226.2600,226.0100,226.2600,1700
1473342675,226.4250,226.4400,226.0100,226.0100,13800
1473342777,226.4500,226.5400,226.3900,226.4400,8700
1473342780,226.3300,226.5800,226.3100,226.5800,600
1473342898,226.6300,226.7800,226.3100,226.3400,3100
1473342954,226.8550,226.9800,226.7700,226.7700,1900
1473342974,227.1100,227.1100,226.9800,226.9800,300
1473343024,227.3100,227.3100,226.9800,226.9800,400
1473343104,227.3200,227.3200,227.3200,227.3200,100
1473343149,227.3900,227.3900,227.3900,227.3900,300
1473343231,227.6200,227.6200,227.5500,227.5500,200
1473343291,227.4800,227.4800,227.4350,227.4350,700
1473343351,227.6350,227.6350,227.6350,227.6350,200
1473343416,227.7000,227.7000,227.7000,227.7000,700
1473343513,227.4000,227.7600,227.4000,227.7600,2200
1473343639,227.3600,227.3600,227.3600,227.3600,200
1473343680,227.1500,227.3800,227.1500,227.3800,600
1473343764,227.1200,227.1200,227.1200,227.1200,100
1473343837,227.0300,227.2100,227.0300,227.2100,1000
1473343928,227.3000,227.3600,227.1365,227.1800,1500
1473343987,227.4900,227.4900,227.4000,227.4000,600
1473344104,227.4100,227.5000,227.4100,227.5000,900
1473344182,227.5000,227.5000,227.4900,227.4900,200
1473344268,227.6300,227.6300,227.6300,227.6300,500
1473344459,227.6100,227.6600,227.6100,227.6600,500
1473344482,227.3200,227.5000,227.3200,227.5000,600
1473344584,227.7200,227.7200,227.4400,227.4400,900
1473344682,227.6800,227.6800,227.5900,227.5900,200
1473344731,227.5000,227.5100,227.5000,227.5100,300
1473344780,227.4700,227.4700,227.4700,227.4700,100
1473344820,227.8400,227.8400,227.5700,227.5700,300
1473345022,227.8300,227.8300,227.8000,227.8000,700
1473345110,227.8205,227.8205,227.7100,227.8000,500
1473345174,227.8100,227.8100,227.7600,227.8100,700
1473345181,227.8300,227.8800,227.7110,227.7110,800
1473345301,228.1000,228.1000,227.9300,227.9300,1500
1473345386,228.1600,228.1600,228.1600,228.1600,400
1473345488,227.6000,228.0300,227.6000,228.0300,1500
1473345604,227.6700,227.6700,227.6700,227.6700,100
1473345779,227.6500,227.7400,227.6500,227.6600,1500
1473345780,227.8400,227.8400,227.6400,227.6400,500
1473345897,227.7400,227.7400,227.7400,227.7400,100
1473345900,227.6200,227.7700,227.6100,227.7503,2200
1473346093,227.5850,227.6600,227.5850,227.6500,600
1473346240,227.4500,227.6000,227.4500,227.5900,1500
1473346260,227.4550,227.6300,227.3910,227.3910,1000
1473346382,227.5200,227.6100,227.5200,227.5400,300
1473346442,227.6400,227.6400,227.5810,227.5810,800
1473346800,227.8950,227.8950,227.7100,227.7300,700
1473346893,227.7401,227.9150,227.7401,227.9150,1700
1473346966,227.6500,227.6800,227.6500,227.6800,800
1473346984,227.7000,227.7200,227.5800,227.6200,1300
1473347055,227.8700,227.8700,227.7300,227.7400,400
1473347112,228.0600,228.0600,227.7900,227.7900,700
1473347167,228.0700,228.0700,228.0700,228.0700,300
1473347331,228.0300,228.0800,228.0300,228.0800,400
1473347354,228.0300,228.0300,228.0300,228.0300,100
1473347414,228.2400,228.2400,228.2400,228.2400,100
1473347489,228.2399,228.2400,228.2200,228.2400,300
1473347581,228.1967,228.2400,228.1967,228.2100,400
1473347657,228.2025,228.2950,228.1600,228.2950,700
1473347759,228.1900,228.2250,228.1900,228.2250,800
1473347770,228.0800,228.1500,228.0500,228.1500,700
1473347889,228.1800,228.1800,228.0500,228.0500,900
1473347954,228.1200,228.1200,228.1200,228.1200,100
1473348053,228.2100,228.2100,228.2100,228.2100,100
1473348076,228.3500,228.3800,228.2900,228.2900,1200
1473348135,228.4900,228.4900,228.4600,228.4600,700
1473348216,228.5000,228.5000,228.4200,228.4500,1800
1473348290,228.4800,228.4800,228.4800,228.4800,100
1473348310,228.5200,228.5200,228.4900,228.4900,400
1473348379,228.5200,228.5600,228.5000,228.5000,300
1473348469,228.6000,228.6400,228.5200,228.5700,1400
1473348539,228.6200,228.6200,228.5800,228.5900,500
1473348542,228.7300,228.7300,228.6400,228.6600,800
1473348601,228.3600,228.7600,228.3600,228.7600,2000
1473348707,228.3650,228.3650,228.3650,228.3650,100
1473348746,228.2600,228.3100,228.2600,228.3100,400
1473348782,228.0800,228.1300,228.0800,228.0900,500
1473348958,228.0700,228.0800,228.0500,228.0500,1700
1473349018,228.1400,228.2400,228.0500,228.0650,4100
1473349024,227.9900,228.1300,227.9300,228.1300,2500
1473349128,228.0600,228.0600,227.9100,227.9975,800
1473349196,228.2750,228.2750,227.9700,227.9700,2300
1473349258,228.0400,228.1600,228.0400,228.1600,1600
1473349265,228.1350,228.1350,228.1350,228.1350,100
1473349385,228.0000,228.0000,228.0000,228.0000,200
1473349557,228.1100,228.1100,228.1100,228.1100,100
1473349570,228.0350,228.2700,227.9500,228.1000,4800
1473349735,227.9300,227.9300,227.9300,227.9300,100
1473349746,227.7200,227.8010,227.7200,227.8010,300
1473349869,228.0400,228.0700,227.9600,227.9800,700
1473350118,228.0400,228.0400,228.0400,228.0400,300
1473350315,227.8600,227.8900,227.8500,227.8710,1100
1473350358,227.9700,227.9700,227.9700,227.9700,200
1473350592,228.0500,228.0500,227.9200,227.9300,700
1473350650,228.0000,228.0950,228.0000,228.0950,500
1473350765,228.0900,228.0900,227.9800,228.0700,2100
1473350831,228.0900,228.1000,228.0600,228.1000,800
1473350911,228.0600,228.0600,228.0200,228.0200,200
1473350946,227.9200,227.9800,227.9200,227.9800,300
1473351149,227.9750,228.0500,227.8600,227.8600,500
1473351380,227.8900,227.8900,227.8900,227.8900,400
1473351516,227.9750,228.0300,227.9550,228.0200,800
1473351639,228.1600,228.1600,227.9900,227.9900,2100
1473351665,228.1600,228.1600,228.1600,228.1600,200
1473351759,228.1000,228.1600,228.1000,228.1600,200
1473351799,228.1600,228.1600,228.1600,228.1600,400
1473351848,228.2400,228.2400,228.2400,228.2400,300
1473351927,228.4900,228.4900,228.3100,228.3500,600
1473351961,228.4200,228.5000,228.3600,228.5000,800
1473352021,228.3900,228.4850,228.3900,228.4850,1800
1473352136,228.2600,228.4300,228.2600,228.3600,1800
1473352194,228.4200,228.4200,228.3250,228.3250,1000
1473352200,228.4600,228.5000,228.3350,228.3350,800
1473352271,228.3100,228.3800,228.2900,228.3100,1300
1473352366,228.4100,228.4400,228.4000,228.4400,500
1473352435,228.3775,228.3775,228.3775,228.3775,100
1473352444,228.4500,228.4500,228.3700,228.3700,300
1473352557,228.5000,228.5000,228.4200,228.4900,1200
1473352561,228.4500,228.4500,228.4500,228.4500,100
1473352655,228.5200,228.5200,228.4800,228.4800,200
1473352701,228.5700,228.6300,228.5700,228.6300,500
1473352795,228.6300,228.6300,228.4800,228.5000,2500
1473352802,228.5300,228.6400,228.5300,228.6100,4000
1473352919,228.4400,228.5900,228.4110,228.4900,1600
1473352945,228.4500,228.4500,228.4500,228.4500,200
1473353014,228.5050,228.5400,228.4800,228.4800,700
1473353049,228.5000,228.5000,228.4800,228.4800,500
1473353100,228.6800,228.6800,228.4900,228.5400,3600
1473353196,228.7600,228.7600,228.6600,228.7300,800
1473353264,228.9000,228.9000,228.7800,228.7800,900
1473353309,228.8110,228.9300,228.8110,228.9300,200
1473353340,228.9550,228.9550,228.9550,228.9550,100
1473353427,228.8700,228.9750,228.8700,228.9200,1200
1473353478,228.9300,228.9300,228.8700,228.9150,1500
1473353542,228.9725,229.0600,228.9150,228.9650,1800
1473353592,229.0000,229.0000,229.0000,229.0000,100
1473353753,228.9850,228.9900,228.9850,228.9900,300
1473353794,228.9050,228.9350,228.9000,228.9350,1500
1473353848,228.9000,228.9100,228.9000,228.9100,400
1473353883,228.9300,228.9400,228.8900,228.9100,1400
1473353947,229.0100,229.0100,228.8900,228.9250,1700
1473354003,228.8900,229.0200,228.8300,229.0000,3300
1473354068,228.8900,228.9500,228.8900,228.8900,1500
1473354177,228.8750,228.9400,228.8500,228.8800,1600
1473354183,228.9200,228.9200,228.8750,228.9000,600
1473354244,228.9100,228.9100,228.9100,228.9100,100
1473354322,228.9500,228.9500,228.8700,228.9200,1500
1473354365,228.9550,228.9550,228.8400,228.8400,300
1473354470,228.9450,228.9450,228.9450,228.9450,200
1473354489,228.9600,228.9600,228.8500,228.8500,600
1473354573,228.9500,228.9500,228.8800,228.8800,300
1473354668,228.8900,228.9800,228.8550,228.8550,2000
1473354774,228.9400,228.9500,228.9399,228.9399,300
1473354786,228.9700,229.0500,228.9010,228.9010,2200
1473354844,228.9700,228.9700,228.9600,228.9600,600
1473354935,228.9800,228.9800,228.9800,228.9800,200
1473355012,228.9100,228.9100,228.8600,228.8800,600
1473355069,228.8200,228.8300,228.8200,228.8300,200
1473355089,228.9000,228.9000,228.9000,228.9000,200
1473355188,228.8950,228.8950,228.8900,228.8900,300
1473355228,228.9400,228.9400,228.8800,228.8800,900
1473355284,228.8700,228.9800,228.8700,228.9800,300
1473355383,229.0200,229.0200,228.9300,228.9300,1700
1473355461,228.9800,228.9800,228.9800,228.9800,100
1473355549,228.9650,229.0200,228.9650,228.9900,600
1473355570,228.9800,228.9800,228.9800,228.9800,300
1473355647,229.0600,229.0600,228.9950,228.9950,1800
1473355681,228.9100,229.0000,228.9100,228.9900,2000
1473355747,228.9100,228.9450,228.9100,228.9450,900
1473355850,228.9400,228.9400,228.8975,228.9000,1000
1473355873,228.9900,228.9900,228.9000,228.9300,1000
1473355972,228.9800,228.9800,228.9800,228.9800,100
1473356074,228.9700,228.9700,228.9700,228.9700,200
1473356124,228.9500,228.9500,228.9500,228.9500,100
1473356216,229.0000,229.0000,228.9700,228.9700,500
1473356277,228.9600,228.9900,228.9600,228.9900,400
1473356308,228.9700,228.9700,228.9600,228.9600,800
1473356387,229.0100,229.0100,228.9700,228.9700,900
1473356455,228.9800,228.9800,228.9700,228.9700,600
1473356463,229.0400,229.0400,229.0000,229.0100,800
1473356587,229.0400,229.0700,228.9600,229.0400,4400
1473356644,229.0800,229.0800,229.0700,229.0700,200
1473356738,229.0000,229.0000,229.0000,229.0000,100
1473356766,229.0100,229.0100,228.9300,228.9500,300
1473356907,228.8700,228.9650,228.8600,228.9200,2800
1473357059,228.7625,228.8300,228.7625,228.8300,1000
1473357065,228.8800,228.8900,228.7575,228.7575,1600
1473357125,228.9100,228.9700,228.9100,228.9700,300
1473357234,228.8875,228.8875,228.8875,228.8875,100
1473357247,228.8210,228.8210,228.8210,228.8210,100
1473357323,228.9500,228.9500,228.9450,228.9450,300
1473357563,229.0300,229.0300,228.9600,229.0300,600
1473357606,229.0550,229.0550,228.9000,228.9000,300
1473357683,229.0100,229.0150,228.9200,228.9800,1800
1473357755,228.9400,228.9600,228.9400,228.9500,600
1473357792,228.9200,228.9500,228.9200,228.9500,500
1473357859,228.9300,228.9300,228.9300,228.9300,200
1473357905,228.8800,228.9000,228.8800,228.9000,400
1473358044,228.8400,228.8400,228.8400,228.8400,200
1473358089,228.9200,228.9200,228.8600,228.8600,1600
1473358142,228.9000,228.9300,228.8900,228.8900,900
1473358216,228.8500,228.9300,228.8400,228.9100,2800
1473358314,228.8600,228.8700,228.6900,228.8700,3100
1473358374,228.8600,228.8600,228.7100,228.8000,4000
1473358381,228.9100,228.9950,228.6900,228.7550,6700
1473358450,228.8200,228.8700,228.8000,228.8700,1900
1473358558,228.8900,228.9500,228.8000,228.8500,3700
1473358563,228.9700,228.9700,228.7700,228.8600,3100
1473358641,229.0400,229.0400,228.8500,228.9400,2200
1473358681,229.0000,229.0700,228.9400,228.9800,4800
1473358799,229.0600,229.1100,229.0150,229.1100,300
1473358804,229.1100,229.1500,229.0500,229.0500,1000
1473358905,229.2500,229.2500,229.2500,229.2500,300
1473358988,229.4000,229.4000,229.2600,229.2900,3000
1473359104,229.3400,229.3400,229.3400,229.3400,100
1473359218,229.3800,229.3800,229.3300,229.3300,700
1473359221,229.3400,229.4699,229.3400,229.4699,800
1473359284,229.3100,229.3400,229.3000,229.3400,1900
1473359411,229.2100,229.2200,229.2100,229.2200,600
1473359480,229.2700,229.2700,229.2100,229.2100,1100
1473359583,229.2300,229.3500,229.2300,229.3500,1300
1473359702,229.2400,229.3200,229.2400,229.2700,2600
1473359864,229.3200,229.3200,229.3200,229.3200,600
1473359903,229.2100,229.2900,229.2100,229.2900,1600
1473360023,229.1600,229.1600,229.1300,229.1300,600
1473360139,229.1693,229.2100,229.1693,229.2100,300
1473360189,229.3000,229.3000,229.2500,229.2500,500
1473360240,229.4500,229.4500,229.4500,229.4500,700
1473360309,229.4700,229.4700,229.3600,229.4100,2700
1473360382,229.3700,229.3700,229.3300,229.3300,700
1473360505,229.2300,229.2300,229.2200,229.2200,200
1473360696,229.2200,229.2500,229.2200,229.2500,600
1473360776,229.2400,229.2600,229.1900,229.2600,1300
1473360822,229.1450,229.2600,229.0300,229.1550,5400
1473360859,229.2950,229.2950,229.1600,229.1600,5300
1473360954,229.3400,229.3450,229.2200,229.2200,4800
1473360961,229.3800,229.4400,229.2700,229.3450,6800
1473361020,229.3500,229.4100,229.2800,229.3800,3400
1473361085,229.5000,229.5300,229.3900,229.3900,3400
1473361197,229.5100,229.5800,229.4300,229.4900,4100
1473361209,229.6000,229.7000,229.4850,229.4850,3700
1473361377,229.5800,229.5800,229.5000,229.5000,1000
1473361380,229.5200,229.5800,229.5000,229.5800,1300
1473361487,229.5100,229.5500,229.5000,229.5000,1100
1473361548,229.4010,229.5250,229.4010,229.5000,4000
1473361566,229.5500,229.5600,229.4900,229.4900,8100
1473361632,229.6200,229.6600,229.5500,229.5500,2500
1473361727,229.5800,229.5800,229.5800,229.5800,200
1473361763,229.5000,229.6200,229.5000,229.5700,2600
1473361855,229.5500,229.6000,229.5000,229.5000,3800
1473361860,229.7600,229.7600,229.5500,229.5500,10000
1473361930,229.5600,229.7900,229.5100,229.7300,13600
1473362050,229.5200,229.6300,229.5000,229.5120,3700
1473362139,229.5200,229.6000,229.5200,229.5600,1600
1473362177,229.5300,229.5300,229.5000,229.5000,500
1473362224,229.5000,229.5600,229.5000,229.5600,3000
1473362285,229.4200,229.4500,229.3700,229.3700,1800
1473362397,229.4100,229.4700,229.3900,229.4000,1600
1473362441,229.4010,229.4900,229.4010,229.4900,1400
1473362460,229.4100,229.4500,229.4100,229.4500,600
