uri:/instrument/1.0/HCP/chartdata;type=quote;range=1d/csv
ticker:hcp
Company-Name:HCP, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:39.7800
Timestamp:1472045400,1472068800
labels:1472047200,1472050800,1472054400,1472058000,1472061600,1472065200,1472068800
values:Timestamp,close,high,low,open,volume
close:39.2300,39.8700
high:39.2500,39.9100
low:39.2300,39.8300
open:39.2361,39.9100
volume:0,48500
1472045521,39.8700,39.9100,39.8300,39.9100,36200
1472045626,39.8000,39.8250,39.7900,39.8000,1300
1472045656,39.7300,39.8000,39.7300,39.7700,2500
1472045759,39.6080,39.7900,39.6080,39.7900,6000
1472045811,39.6500,39.6700,39.6000,39.6000,5400
1472045870,39.6200,39.6800,39.6200,39.6800,3400
1472045882,39.6500,39.6500,39.6400,39.6400,1200
1472045993,39.6400,39.6500,39.6400,39.6400,1100
1472046053,39.6400,39.6400,39.6300,39.6400,700
1472046116,39.6000,39.6300,39.5700,39.6200,3400
1472046175,39.6000,39.6300,39.5900,39.6100,4200
1472046239,39.5900,39.6100,39.5800,39.5900,1300
1472046278,39.5900,39.6200,39.5700,39.5800,1900
1472046311,39.5300,39.5900,39.5300,39.5900,2400
1472046379,39.5400,39.5400,39.5100,39.5200,4200
1472046432,39.5500,39.5500,39.5400,39.5400,800
1472046531,39.5800,39.6100,39.5600,39.5600,3700
1472046556,39.5700,39.5900,39.5700,39.5900,700
1472046600,39.5300,39.5650,39.5300,39.5650,2600
1472046660,39.5000,39.5300,39.4950,39.5300,4900
1472046725,39.4800,39.5000,39.4800,39.5000,900
1472046781,39.5000,39.5000,39.4700,39.4700,2000
1472046899,39.5100,39.5100,39.4700,39.5000,4000
1472046910,39.5100,39.5300,39.4900,39.5100,5100
1472047018,39.4959,39.5400,39.4900,39.5200,4700
1472047079,39.4700,39.5000,39.4700,39.5000,3600
1472047100,39.4200,39.4600,39.4200,39.4600,1900
1472047140,39.4650,39.4700,39.4200,39.4200,9000
1472047256,39.4800,39.5000,39.4700,39.4774,30900
1472047301,39.4750,39.4900,39.4600,39.4900,2700
1472047325,39.5000,39.5000,39.4600,39.4700,1900
1472047382,39.4700,39.4850,39.4700,39.4800,1400
1472047497,39.4950,39.4950,39.4700,39.4700,2100
1472047500,39.4700,39.4900,39.4700,39.4900,3100
1472047563,39.4200,39.4700,39.4200,39.4700,3500
1472047678,39.3900,39.4300,39.3900,39.4300,2100
1472047730,39.3900,39.4100,39.3800,39.3800,3300
1472047748,39.3700,39.3950,39.3700,39.3801,3400
1472047802,39.3900,39.3900,39.3700,39.3700,3200
1472047870,39.4000,39.4042,39.3800,39.3900,5500
1472047970,39.3800,39.3950,39.3700,39.3900,2300
1472048039,39.3755,39.3900,39.3735,39.3900,2800
1472048049,39.3600,39.3750,39.3500,39.3750,3100
1472048154,39.3500,39.3900,39.3500,39.3500,11800
1472048162,39.3400,39.3500,39.3400,39.3500,5000
1472048240,39.3550,39.3550,39.3400,39.3400,1000
1472048284,39.3400,39.3600,39.3250,39.3550,3000
1472048393,39.3450,39.3600,39.3258,39.3300,8500
1472048400,39.3350,39.3500,39.3300,39.3400,3600
1472048462,39.3500,39.3500,39.3300,39.3300,2400
1472048579,39.3600,39.3799,39.3300,39.3500,5700
1472048580,39.3400,39.3650,39.3400,39.3630,2200
1472048696,39.3450,39.3450,39.3300,39.3300,3100
1472048702,39.3700,39.3700,39.3500,39.3500,2500
1472048765,39.3601,39.3800,39.3601,39.3700,1500
1472048821,39.3646,39.3700,39.3646,39.3700,600
1472048880,39.3650,39.3700,39.3600,39.3600,900
1472048996,39.3750,39.3900,39.3700,39.3700,5100
1472049003,39.3800,39.3800,39.3750,39.3800,2000
1472049111,39.3800,39.3900,39.3800,39.3900,800
1472049178,39.4150,39.4150,39.3900,39.3900,3300
1472049200,39.4344,39.4344,39.4200,39.4200,2400
1472049244,39.4100,39.4400,39.4000,39.4400,6700
1472049356,39.4000,39.4200,39.4000,39.4200,1600
1472049362,39.3900,39.4000,39.3900,39.4000,1400
1472049473,39.3899,39.4000,39.3800,39.3900,3400
1472049481,39.3900,39.3950,39.3800,39.3810,1100
1472049542,39.4100,39.4100,39.4000,39.4000,3900
1472049601,39.4200,39.4200,39.4100,39.4200,1400
1472049719,39.4100,39.4200,39.4100,39.4100,2400
1472049764,39.3900,39.4150,39.3800,39.4100,4600
1472049793,39.3700,39.4000,39.3700,39.3900,3900
1472049899,39.3600,39.3800,39.3600,39.3800,1100
1472049901,39.3600,39.3600,39.3600,39.3600,1700
1472049987,39.3400,39.3550,39.3400,39.3500,1200
1472050020,39.3400,39.3400,39.3400,39.3400,1500
1472050080,39.3350,39.3450,39.3300,39.3400,2800
1472050195,39.3400,39.3400,39.3300,39.3400,3600
1472050202,39.3400,39.3400,39.3400,39.3400,1200
1472050270,39.3500,39.3560,39.3400,39.3500,3800
1472050327,39.3600,39.3600,39.3500,39.3500,1400
1472050385,39.3900,39.3900,39.3600,39.3600,3400
1472050496,39.3700,39.3900,39.3700,39.3900,2000
1472050502,39.3800,39.3800,39.3799,39.3800,500
1472050568,39.3700,39.3800,39.3600,39.3750,6400
1472050621,39.3800,39.3900,39.3700,39.3700,3200
1472050707,39.3800,39.3850,39.3700,39.3800,3000
1472050798,39.3900,39.4000,39.3800,39.3900,1400
1472050817,39.3700,39.3850,39.3650,39.3802,4800
1472050871,39.3650,39.3650,39.3500,39.3600,4100
1472050975,39.3700,39.3800,39.3600,39.3650,2900
1472050988,39.3500,39.3750,39.3500,39.3700,800
1472051041,39.3300,39.3600,39.3300,39.3500,2300
1472051103,39.3300,39.3400,39.3300,39.3390,900
