uri:/instrument/1.0/HD/chartdata;type=quote;range=1d/csv
ticker:hd
Company-Name:Home Depot, Inc. (The) Common S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:131.1600
Timestamp:1467984600,1468008000
labels:1467986400,1467990000,1467993600,1467997200,1468000800,1468004400,1468008000
values:Timestamp,close,high,low,open,volume
close:132.4400,134.3400
high:132.4600,134.3600
low:132.3800,134.3400
open:132.4500,134.3400
volume:1600,434100
1467984626,132.4400,132.4600,132.3800,132.4600,105600
1467984667,132.7153,132.8700,132.4000,132.4500,31600
1467984724,132.8101,132.9700,132.7200,132.7200,29100
1467984839,133.0150,133.1300,132.8400,132.8400,82000
1467984899,132.9600,133.0100,132.8500,132.9766,18800
1467984901,132.9800,133.1120,132.9300,132.9700,50200
1467984965,133.0200,133.0400,132.9000,132.9400,42500
1467985078,133.0250,133.0900,132.9801,133.0000,8400
1467985085,133.0201,133.1000,132.9800,133.0400,28700
1467985140,133.2400,133.2400,133.0550,133.0899,59300
1467985202,133.1300,133.3000,133.0750,133.2500,24600
1467985319,133.1399,133.3000,133.0600,133.1160,19900
1467985379,133.1780,133.1900,133.0700,133.0900,11900
1467985380,133.2300,133.2300,133.1600,133.1700,14900
1467985440,133.1800,133.2600,133.1700,133.2100,15100
1467985500,133.1801,133.2700,133.1800,133.2100,9900
1467985618,133.2500,133.2900,133.1800,133.1800,17900
1467985679,133.2280,133.2700,133.1700,133.2500,22000
1467985683,133.2900,133.2900,133.2100,133.2500,10500
1467985740,133.3180,133.4200,133.2600,133.2900,20200
1467985800,133.2300,133.3100,133.1800,133.3100,25400
1467985919,133.2900,133.2900,133.2200,133.2500,9700
1467985920,133.1900,133.2900,133.1300,133.2700,13900
1467986039,133.1750,133.1900,133.1300,133.1700,8200
1467986042,133.0580,133.1858,133.0200,133.1750,15800
1467986157,133.0503,133.0800,133.0000,133.0500,10800
1467986160,133.0400,133.0600,132.9700,133.0400,7500
1467986221,133.0000,133.0500,132.9700,133.0100,14000
1467986282,132.9500,133.0200,132.9300,132.9700,11000
1467986398,132.9940,133.0100,132.9000,132.9300,13900
1467986400,132.9300,132.9700,132.9000,132.9700,7200
1467986464,132.9000,132.9799,132.8750,132.9799,9400
1467986525,132.9000,132.9200,132.8400,132.8700,8900
1467986639,132.9000,132.9400,132.8500,132.9000,12100
1467986643,132.9400,132.9600,132.9100,132.9300,9600
1467986703,133.0600,133.0900,132.9380,132.9380,8500
1467986760,133.0800,133.1800,133.0600,133.0700,12300
1467986821,133.0100,133.1000,132.9900,133.0800,13700
1467986880,133.1500,133.1600,132.9800,133.0200,21900
1467986941,133.2500,133.2500,133.1400,133.1400,12300
1467987057,133.2600,133.3000,133.2300,133.2500,11800
1467987060,133.2800,133.2800,133.2100,133.2600,5200
1467987178,133.2400,133.2500,133.2200,133.2400,6800
1467987181,133.2000,133.2499,133.2000,133.2200,4800
1467987299,133.1275,133.2400,133.1275,133.2100,8800
1467987300,133.1300,133.1500,133.1000,133.1200,9200
1467987362,133.0900,133.1700,133.0900,133.1500,9700
1467987428,133.1456,133.1800,133.1200,133.1500,3000
1467987538,133.1300,133.1600,133.1000,133.1200,4100
1467987540,133.1300,133.1500,133.0900,133.1300,7100
1467987601,133.1500,133.1600,133.1000,133.1100,4500
1467987665,133.1600,133.2400,133.1600,133.1650,5700
1467987721,133.1900,133.1900,133.1300,133.1500,7300
1467987781,133.1500,133.2000,133.1300,133.1700,9600
1467987898,133.2600,133.2600,133.1600,133.1600,10400
1467987900,133.2200,133.2500,133.1700,133.2500,10300
1467987961,133.1900,133.2200,133.1700,133.1900,7900
1467988023,133.2100,133.2600,133.1800,133.1800,4500
1467988080,133.2700,133.2900,133.2000,133.2000,8400
1467988145,133.2900,133.3400,133.2300,133.2500,5000
1467988206,133.2700,133.3100,133.2700,133.2900,13000
1467988261,133.2400,133.2900,133.2200,133.2800,6200
1467988322,133.2700,133.2700,133.2200,133.2301,6800
1467988436,133.1200,133.2600,133.1200,133.2500,6400
1467988441,133.1100,133.1500,133.0900,133.1400,5300
1467988559,133.0700,133.1100,133.0650,133.0900,10300
1467988562,133.2400,133.2500,133.0800,133.0800,25200
1467988626,133.2287,133.2500,133.2100,133.2500,8000
1467988739,133.2500,133.2850,133.2200,133.2300,7300
1467988740,133.1900,133.2500,133.1900,133.2500,3600
1467988800,133.2100,133.2600,133.1900,133.2000,8400
1467988879,133.2300,133.2501,133.1900,133.2000,4200
1467988926,133.2200,133.2600,133.2200,133.2404,2600
1467988983,133.2200,133.2400,133.1900,133.2200,7000
1467989098,133.2877,133.3100,133.2200,133.2300,3400
1467989159,133.3500,133.3500,133.2800,133.3100,8900
1467989165,133.3800,133.3800,133.3200,133.3200,11300
1467989225,133.3001,133.3600,133.2900,133.3600,3900
1467989287,133.3600,133.3700,133.3096,133.3096,4100
1467989344,133.2800,133.3500,133.2800,133.3500,5900
1467989405,133.3200,133.3200,133.2600,133.2700,3700
1467989518,133.3114,133.3300,133.2900,133.3150,5000
1467989522,133.3400,133.3400,133.2900,133.3399,2300
1467989581,133.3300,133.3600,133.3100,133.3400,6700
1467989641,133.3800,133.4100,133.2700,133.3200,16100
1467989702,133.3358,133.3700,133.3300,133.3600,7000
1467989819,133.3900,133.4000,133.3400,133.3400,3900
1467989821,133.3800,133.4097,133.3400,133.3900,5500
1467989938,133.3600,133.4000,133.3400,133.4000,4200
1467989940,133.3400,133.3700,133.3400,133.3600,6400
