uri:/instrument/1.0/ICE/chartdata;type=quote;range=1d/csv
ticker:ice
Company-Name:Intercontinental Exchange Inc. 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:257.9400
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:259.2500,261.1500
high:259.3850,261.1700
low:259.2300,261.0500
open:259.2300,261.1600
volume:100,67100
1468330322,259.2500,259.3850,259.2300,259.2300,10100
1468330422,259.6300,259.6300,259.6300,259.6300,400
1468330460,259.7800,259.7800,259.7800,259.7800,500
1468330543,259.9950,259.9950,259.9950,259.9950,100
1468330624,260.1700,260.3700,259.9300,259.9300,5900
1468330741,260.4400,260.4400,260.3000,260.3000,1100
1468330823,260.4300,260.4300,260.1700,260.1900,900
1468330927,260.4300,260.4300,260.4200,260.4200,700
1468331037,260.5100,260.5100,260.5100,260.5100,100
1468331070,260.5200,260.5200,260.3800,260.3800,500
1468331124,260.3550,260.4000,260.2600,260.2700,2600
1468331231,260.1900,260.2650,260.1300,260.2650,2100
1468331282,260.4300,260.4300,260.1750,260.2600,2000
1468331346,260.4000,260.4700,260.3000,260.4500,1600
1468331400,260.3050,260.5200,260.3050,260.5200,2000
1468331488,260.1500,260.3500,260.1500,260.3400,2900
1468331521,260.1300,260.2600,260.1300,260.2500,1600
1468331638,260.2100,260.2100,260.2100,260.2100,100
1468331681,260.2900,260.3900,260.2600,260.2600,2100
1468331759,260.4600,260.4600,260.2800,260.2900,2600
1468331766,260.5000,260.5000,260.3800,260.3800,1500
1468331848,260.4500,260.5100,260.4400,260.5100,2500
1468331883,260.4800,260.5700,260.4550,260.4550,2200
1468332010,260.7200,260.7700,260.5900,260.7100,5000
1468332062,260.4700,260.6200,260.4700,260.6200,2600
1468332135,260.4550,260.5250,260.3900,260.5200,1900
1468332253,260.5700,260.5700,260.4600,260.4600,2800
1468332349,260.7500,260.7500,260.4995,260.5000,1700
1468332363,260.6400,260.6900,260.5500,260.6500,1300
1468332432,260.6600,260.6600,260.5300,260.5300,800
1468332484,260.7000,260.7000,260.5400,260.5400,2000
1468332595,260.9200,260.9200,260.7050,260.7050,1700
1468332602,260.9500,260.9500,260.7100,260.9000,3200
1468332717,260.7000,260.8200,260.7000,260.7800,1400
1468332725,260.6900,260.6900,260.6900,260.6900,300
1468332823,260.8900,260.9800,260.8100,260.8100,2300
1468332898,261.1500,261.1500,260.9300,260.9400,3100
1468332912,261.0100,261.1700,261.0100,261.1600,6800
1468332993,260.6600,260.7000,260.6600,260.7000,3400
1468333064,260.6200,260.8000,260.5700,260.7500,2500
1468333086,260.7600,260.7600,260.6350,260.6350,3100
