uri:/instrument/1.0/IFF/chartdata;type=quote;range=1d/csv
ticker:iff
Company-Name:Internationa Flavors & Fragranc
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:125.9300
Timestamp:1466170200,1466193600
labels:1466172000,1466175600,1466179200,1466182800,1466186400,1466190000,1466193600
values:Timestamp,close,high,low,open,volume
close:124.2600,125.9700
high:124.3100,126.0000
low:124.2600,125.9350
open:124.3100,125.9900
volume:100,107400
1466170379,125.3100,125.3200,125.3100,125.3200,46600
1466170496,125.5200,125.6225,125.5200,125.6225,900
1466170574,125.2000,125.4300,125.2000,125.3900,3200
1466170719,124.7500,124.7600,124.7500,124.7600,2400
1466170748,124.3700,124.3800,124.3700,124.3800,1200
1466170839,124.6800,124.6800,124.6000,124.6200,2100
1466170925,125.1000,125.1000,125.0600,125.0800,1700
1466171045,125.2200,125.3600,125.1000,125.2200,2500
1466171156,125.0200,125.1100,124.9900,125.1100,2300
1466171183,124.9300,124.9600,124.8400,124.9600,1300
1466171238,125.0350,125.1300,125.0200,125.0700,1400
1466171317,125.1750,125.1750,125.1750,125.1750,100
1466171385,125.0300,125.0400,125.0000,125.0200,1400
1466171407,125.0400,125.0400,125.0400,125.0400,600
1466171471,125.0900,125.0900,125.0400,125.0900,1000
1466171564,125.3700,125.3700,125.1600,125.1600,1400
1466171595,125.2200,125.2200,125.2000,125.2000,2800
1466171698,125.0300,125.0300,125.0300,125.0300,100
1466171706,124.9600,124.9600,124.9600,124.9600,800
1466171794,125.0850,125.0850,125.0100,125.0100,800
1466171905,125.0400,125.0400,125.0200,125.0400,1900
1466171980,125.0650,125.1200,125.0600,125.0900,700
1466172054,125.0300,125.0300,125.0300,125.0300,600
1466172063,124.9000,124.9100,124.9000,124.9000,800
1466172121,125.0900,125.0900,124.8750,124.8750,2900
1466172233,124.9400,124.9700,124.9100,124.9600,2200
1466172305,124.9050,124.9050,124.9050,124.9050,1600
1466172385,125.0700,125.0700,125.0400,125.0400,2500
1466172472,125.1000,125.1000,125.0600,125.0600,800
1466172530,125.0250,125.0250,124.9400,124.9400,700
1466172545,125.0100,125.0300,125.0100,125.0300,1400
1466172656,125.1950,125.1950,125.1950,125.1950,1300
