uri:/instrument/1.0/ISRG/chartdata;type=quote;range=1d/csv
ticker:isrg
Company-Name:Intuitive Surgical, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:673.7000
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:674.4500,678.7761
high:674.5700,678.7761
low:673.5100,678.7761
open:674.5700,678.7761
volume:0,20700
1468330319,677.2050,677.2050,677.2050,677.2050,4100
1468330506,676.8450,677.9500,676.8450,677.9500,400
1468330644,678.7761,678.7761,678.7761,678.7761,100
1468330739,676.6400,676.6400,676.6400,676.6400,600
1468330744,676.2700,676.9000,673.5100,676.6300,5100
1468330886,676.1200,676.3800,676.1200,676.3800,200
1468330925,675.8812,675.9466,675.8812,675.9466,300
1468331099,675.5700,676.2600,674.8800,676.2600,500
1468331110,675.7550,676.0500,675.7550,676.0000,700
1468331201,675.6600,676.0600,674.7550,675.3000,2100
1468331228,676.0000,676.0000,676.0000,676.0000,100
1468331295,676.0100,676.0300,675.3950,675.5490,1300
1468331342,675.6227,675.7000,675.6227,675.7000,1000
1468331489,676.2100,676.5000,675.3500,675.7000,800
1468331524,676.7700,676.7700,675.9600,675.9600,400
1468331624,676.0700,676.0700,674.9500,674.9500,500
1468331648,675.6600,676.4500,675.6600,676.0000,400
1468331753,675.6400,675.6400,675.5900,675.5900,500
1468331760,676.0600,676.0600,676.0600,676.0600,100
1468331832,674.4500,675.5500,674.4500,675.5500,1000
1468331901,674.7100,674.7100,674.4200,674.7100,900
1468331945,674.5250,675.6100,674.5250,675.6100,700
1468332237,675.9800,675.9800,675.9800,675.9800,100
1468332295,675.1700,675.1700,675.1700,675.1700,200
1468332373,676.9200,676.9200,676.6400,676.6400,200
1468332424,676.3600,676.3600,676.3600,676.3600,200
1468332505,676.0550,676.1700,676.0550,676.1700,1100
1468332600,675.1500,676.8900,675.1500,676.8900,800
1468332661,676.0700,676.0900,675.6100,676.0900,1000
1468332752,675.8800,677.1000,675.8800,676.0200,1000
1468332880,677.1100,677.1100,677.1100,677.1100,100
1468332916,676.8900,676.8900,676.8900,676.8900,100
1468332985,677.4400,677.4400,677.4400,677.4400,100
1468333072,676.4500,676.4500,676.4500,676.4500,1300
1468333127,676.9500,676.9500,676.9500,676.9500,100
1468333175,677.2500,677.2500,677.2500,677.2500,400
1468333363,677.4500,677.4500,677.4500,677.4500,100
1468333412,677.1200,677.1200,677.0700,677.0700,300
1468333475,676.2200,677.5100,676.1000,677.4400,3900
1468333529,676.5300,676.7600,676.5300,676.7600,400
1468333689,677.1150,677.1150,676.8500,676.8500,1400
1468333763,677.2400,677.2400,677.2400,677.2400,400
1468333825,677.4800,677.4900,677.4800,677.4900,1200
1468334001,677.8150,678.2000,677.8100,677.8100,2800
1468334067,678.3800,678.5200,677.8500,678.2000,1400
1468334159,677.3100,678.1100,677.1100,678.1000,4300
1468334166,677.2100,677.2200,677.2100,677.2200,1000
1468334318,677.0950,677.0950,676.8500,676.8500,500
1468334430,676.7700,677.2900,676.7700,677.2900,3500
1468334489,676.5300,676.5300,676.5300,676.5300,200
1468334545,676.0000,676.5100,676.0000,676.5100,600
1468334682,675.6500,675.6500,675.6500,675.6500,100
1468334812,676.2200,676.2200,676.2200,676.2200,100
1468334969,675.9100,675.9100,675.5500,675.6900,800
1468335058,675.0200,675.3900,674.6400,675.3300,900
1468335066,676.0000,676.0000,675.3200,675.3200,1300
1468335157,674.9400,676.0000,674.9400,676.0000,300
1468335193,675.9000,675.9000,675.9000,675.9000,100
1468335267,675.6500,675.6500,675.6100,675.6100,800
1468335469,676.1920,676.2000,676.1920,676.2000,1000
1468335906,676.8800,677.5000,676.2600,676.4700,2600
1468336020,677.0400,677.0400,677.0400,677.0400,600
1468336139,676.5000,676.7500,676.2500,676.7500,1800
1468336141,675.9100,676.4300,675.9100,676.4300,500
1468336212,676.4400,676.4499,675.9000,675.9500,1500
1468336447,675.8600,676.9062,675.8600,676.0700,2200
1468336573,676.3100,676.3100,676.3100,676.3100,100
1468336744,676.4050,676.5575,676.4050,676.4500,1500
1468337000,676.1800,676.2675,675.8000,676.1800,2000
1468337102,676.3825,676.3825,676.1600,676.1600,2500
1468337170,676.8500,676.8500,676.8500,676.8500,400
1468337279,677.4950,677.8000,677.4300,677.4500,700
1468337319,677.2000,677.9350,677.2000,677.7825,1700
1468337347,676.7900,676.7995,676.4950,676.4950,1500
1468337405,676.9400,676.9400,676.1200,676.3000,2800
1468337519,676.8000,677.2000,675.9350,676.9300,9400
1468337522,676.2000,676.6200,675.8850,676.6200,3900
1468337648,676.0600,676.0800,676.0600,676.0800,200
1468337751,676.5500,676.5500,676.5500,676.5500,400
1468337877,676.6500,676.7700,676.3000,676.3000,1000
1468337890,676.9300,676.9300,676.9100,676.9100,300
1468337978,676.7250,676.7250,676.7250,676.7250,400
1468338059,676.7025,676.7500,676.7025,676.7500,200
1468338086,676.7350,676.7350,676.6600,676.6800,1300
1468338174,676.9400,676.9400,676.9400,676.9400,200
1468338184,676.3500,676.9100,676.3500,676.8200,1900
1468338428,675.8200,675.8200,675.8200,675.8200,100
1468338549,675.8600,675.8600,675.8600,675.8600,400
1468338869,676.2295,676.2295,676.2295,676.2295,400
1468339024,676.0600,676.0600,676.0600,676.0600,300
1468339353,676.1100,676.4900,676.1100,676.4900,1000
1468339518,676.7500,676.7500,676.4100,676.4100,800
1468339613,676.6350,676.6350,676.6350,676.6350,200
1468339630,676.3000,676.8700,676.3000,676.8700,1900
1468339725,676.4400,676.6300,676.4400,676.6000,1600
1468339772,676.4000,676.4000,676.4000,676.4000,200
1468339832,676.5799,676.5799,676.4500,676.4500,200
1468339919,676.5700,676.5700,676.4725,676.5700,500
1468339920,676.3500,676.5700,676.3500,676.5700,1800
1468339983,675.8500,676.0000,675.7700,675.7700,3100
1468340131,676.0650,676.0650,676.0050,676.0200,1100
1468340467,675.8450,676.4700,675.8300,676.4700,1500
1468340551,675.8500,675.8500,675.8500,675.8500,100
1468340649,675.8600,675.8600,675.8500,675.8500,500
1468340858,676.2700,676.2700,676.2700,676.2700,1300
1468341132,676.1301,676.1301,676.1301,676.1301,200
1468341289,676.8900,676.9600,676.8400,676.9600,600
1468341300,676.8700,676.8700,676.8700,676.8700,400
1468341362,676.6800,676.6800,676.5800,676.5800,300
1468341564,676.8500,677.0000,676.8500,677.0000,1100
1468341650,676.3825,676.7000,676.3825,676.7000,600
1468341694,676.1500,676.5000,676.1500,676.5000,2600
1468341722,676.3900,676.3900,676.0700,676.1370,5000
1468341823,676.1800,676.4900,676.1800,676.4900,800
1468342250,676.1300,676.2950,676.0300,676.2950,1400
1468342264,676.2650,676.2650,675.9805,675.9805,1400
1468342321,676.2000,676.5600,676.2000,676.5500,2700
1468342608,676.5200,676.5200,676.5200,676.5200,200
1468342817,676.5500,676.7200,676.5500,676.7100,600
1468342876,676.5300,676.6900,676.5300,676.6900,2400
1468342967,676.2600,676.3300,676.1400,676.3300,1500
1468343029,676.2700,676.2700,676.2500,676.2500,200
1468343046,676.4000,676.4000,676.4000,676.4000,1200
1468343268,676.3500,676.4700,676.3500,676.4700,700
1468343334,676.2300,676.2300,676.2300,676.2300,100
1468343394,676.4600,676.4600,676.4600,676.4600,200
1468343435,676.4500,676.4800,676.4400,676.4800,800
1468343618,676.2600,676.5400,676.2500,676.4900,1700
1468343956,676.5300,676.6000,676.5300,676.5300,600
1468344176,676.7800,676.7875,676.7800,676.7875,400
1468344180,676.5200,676.7100,676.3200,676.7100,2200
1468344381,676.7000,676.7500,676.6000,676.6000,1400
1468344452,676.7450,676.7450,676.7450,676.7450,100
1468344480,676.7000,676.7800,676.7000,676.7800,400
1468344653,677.3100,677.3100,676.7200,676.9800,2200
1468344663,677.4600,677.4600,677.4600,677.4600,100
1468344837,676.6300,677.1350,676.6300,676.9003,1200
1468344845,676.7200,676.7200,676.6400,676.6900,700
1468345003,676.4400,676.4400,676.4400,676.4400,200
1468345046,676.5700,676.5700,676.5700,676.5700,100
1468345080,676.7500,676.7500,676.7500,676.7500,100
1468345155,676.6000,676.6000,676.6000,676.6000,200
1468345337,676.5100,676.9500,676.5100,676.9500,200
1468345458,676.8500,676.8600,676.8500,676.8600,700
1468345520,677.1300,677.1300,676.9800,676.9875,300
1468345590,676.2900,676.9400,676.2900,676.9400,700
1468345624,676.5050,676.5050,676.4700,676.4700,600
1468345800,676.5500,676.5500,676.5500,676.5500,300
1468345995,676.5500,676.5500,676.5500,676.5500,200
1468346188,676.5500,676.5500,676.5500,676.5500,400
1468346247,676.1900,676.8000,676.1700,676.8000,2200
1468346370,676.0000,676.3100,676.0000,676.3100,400
1468346418,676.2800,676.5050,676.2800,676.3700,1200
1468346469,676.5830,676.5830,676.5830,676.5830,5100
1468346579,676.8500,676.8500,676.7300,676.8100,700
1468346638,676.5000,676.5000,676.5000,676.5000,200
1468346652,676.5000,676.5000,676.5000,676.5000,200
1468346759,676.6000,676.6300,676.6000,676.6000,600
1468346767,677.0800,677.0800,676.8250,676.9300,1900
1468346837,676.5500,677.0200,676.5000,677.0200,1000
1468346956,676.5700,676.5700,676.5700,676.5700,700
1468347185,676.5600,676.5900,676.5600,676.5900,700
1468347473,676.9900,676.9900,676.8675,676.9900,600
1468347488,676.7275,677.3000,676.7275,676.9900,6600
1468347590,677.0000,677.0000,676.6500,676.6600,5500
1468347615,677.2500,677.2500,677.2500,677.2500,300
1468347784,676.7400,676.9500,676.7400,676.8800,600
1468347950,676.5000,676.8500,676.3700,676.5600,2800
1468348011,676.5000,676.5000,676.4900,676.4900,500
1468348027,676.5000,676.5000,676.0300,676.0300,500
1468348189,675.9800,676.0800,675.9800,676.0800,900
1468348443,676.8200,676.8200,676.8200,676.8200,100
1468348543,676.1802,676.1802,676.1802,676.1802,600
1468348785,676.9900,676.9900,676.9900,676.9900,400
1468348810,677.0200,677.0200,677.0200,677.0200,100
1468348918,677.3100,677.5300,677.3100,677.4200,900
1468348920,677.5399,677.5399,676.8100,677.2600,600
1468349045,677.0800,677.5200,677.0800,677.5200,700
1468349299,677.4800,677.4800,677.4800,677.4800,200
1468349378,677.3900,677.3900,677.3900,677.3900,100
1468349411,677.3903,677.3903,677.1300,677.3903,1600
1468349469,677.6500,677.6500,677.6500,677.6500,100
1468349538,677.3506,677.3506,677.2000,677.2000,1300
1468349599,677.0500,677.0500,677.0500,677.0500,600
1468349674,677.1300,677.1400,676.8400,677.0500,1300
1468349721,677.6000,677.6000,677.6000,677.6000,100
1468349762,677.3400,677.4250,677.3400,677.4250,600
1468349833,677.0800,677.0800,677.0800,677.0800,200
1468349892,677.0000,677.1500,676.9700,677.1500,700
1468350271,676.5400,676.9800,676.5400,676.9800,1600
1468350401,676.9500,676.9500,676.9500,676.9500,100
1468350457,676.7800,676.7800,676.7800,676.7800,500
1468350507,676.3800,676.6700,676.3800,676.6700,1000
1468350555,676.5700,676.5700,676.5700,676.5700,300
1468350616,676.2200,676.2200,676.2200,676.2200,100
1468350768,676.8000,676.8000,676.4203,676.4800,1400
1468350782,676.5900,676.5900,676.5900,676.5900,1200
1468350964,676.2201,676.5700,676.2201,676.5100,600
1468351096,676.2200,676.2200,676.2200,676.2200,200
1468351205,676.6500,676.6600,676.4500,676.6300,1700
1468351284,676.6100,676.6100,676.6100,676.6100,300
1468351325,676.6100,676.6700,676.4100,676.6700,400
1468351389,676.5100,676.5100,676.3503,676.4300,300
1468351454,676.8000,676.8000,676.6700,676.6700,500
1468351510,676.4803,676.8400,676.4803,676.8400,800
1468351565,676.0000,676.8750,675.8100,676.8000,5500
1468351627,675.8200,676.3200,675.8200,676.3200,500
1468351727,675.4900,675.8800,675.4900,675.8800,1300
1468351752,674.4501,675.5100,674.4501,675.4700,900
1468351812,674.5700,674.5700,674.5700,674.5700,100
1468351870,675.1173,675.5000,675.1173,675.5000,1500
1468351925,675.3450,675.4900,674.9900,675.4900,1500
1468352046,675.3050,675.6900,675.2500,675.6900,2100
1468352109,675.5300,675.9800,675.3400,675.3855,1700
1468352178,676.0400,676.3800,675.4800,675.4800,1300
1468352259,676.0400,676.3300,676.0400,676.3300,1200
1468352310,675.7100,676.3700,675.7100,676.3700,600
1468352373,676.2300,676.2300,676.2300,676.2300,200
1468352450,676.2600,676.2600,676.2600,676.2600,100
1468352495,676.2500,676.2500,676.2500,676.2500,500
1468352521,676.2100,676.2100,676.2100,676.2100,400
1468352681,676.3100,676.3100,676.3100,676.3100,200
1468352701,675.7200,676.0200,675.4100,676.0200,3300
1468352795,675.8300,675.8300,675.8300,675.8300,300
1468352876,675.6800,676.1500,675.6800,676.1500,500
1468352905,675.7100,676.1500,675.7100,676.1500,300
1468352947,675.7100,676.1650,675.7000,675.9400,2900
1468353028,675.9800,676.1500,675.6100,675.6100,500
1468353077,675.5000,675.8800,675.5000,675.8800,1800
1468353164,675.4300,675.6535,675.4300,675.6535,600
1468353181,675.0800,675.5200,675.0800,675.4800,1300
1468353252,675.0000,675.0000,674.9100,674.9900,2300
1468353312,675.6200,675.6200,675.3800,675.4000,1100
1468353394,675.6103,675.8000,675.5454,675.5454,1100
1468353424,675.7000,675.9400,675.6800,675.8200,3100
1468353487,674.9400,675.4500,674.9400,675.1200,3000
1468353545,675.3400,675.3500,674.6300,675.2000,20700
1468353600,675.3100,675.3100,675.3100,675.3100,0
