uri:/instrument/1.0/JBHT/chartdata;type=quote;range=1d/csv
ticker:jbht
Company-Name:J.B. Hunt Transport Services, I
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:82.3100
Timestamp:1471354200,1471377600
labels:1471356000,1471359600,1471363200,1471366800,1471370400,1471374000,1471377600
values:Timestamp,close,high,low,open,volume
close:82.1000,82.6900
high:82.1000,82.6900
low:82.1000,82.6600
open:82.1000,82.6800
volume:100,37000
1471354325,82.1000,82.1000,82.1000,82.1000,3600
1471354491,82.5100,82.5300,82.1301,82.1301,400
1471354545,82.4600,82.4600,82.4600,82.4600,400
1471354590,82.3800,82.4400,82.3800,82.4400,500
1471354664,82.4500,82.4500,82.4100,82.4100,700
1471354690,82.4500,82.4900,82.4400,82.4400,2700
1471354740,82.5700,82.5700,82.5000,82.5000,1700
1471354859,82.4500,82.5000,82.4000,82.4800,6300
1471354883,82.3700,82.4850,82.3700,82.4800,1200
1471354934,82.4000,82.4200,82.4000,82.4000,500
1471354995,82.4200,82.4200,82.4200,82.4200,600
1471355072,82.4200,82.4200,82.4100,82.4100,200
1471355158,82.4000,82.4200,82.3500,82.4200,2900
1471355169,82.4350,82.4800,82.4300,82.4300,600
1471355244,82.3950,82.4150,82.3900,82.4150,500
1471355322,82.4200,82.4500,82.4100,82.4100,700
1471355395,82.5400,82.5400,82.4301,82.4500,1100
1471355423,82.5300,82.5300,82.5300,82.5300,400
1471355474,82.6000,82.6200,82.5500,82.6200,1200
1471355523,82.6500,82.6500,82.6100,82.6200,2000
1471355621,82.6600,82.6600,82.6600,82.6600,100
1471355661,82.6700,82.6800,82.6600,82.6800,300
1471355750,82.6900,82.6900,82.6300,82.6700,1600
1471355783,82.6350,82.6600,82.6200,82.6600,700
1471355822,82.6200,82.6200,82.6200,82.6200,400
1471355931,82.5400,82.5600,82.4860,82.5600,1700
1471355997,82.5550,82.5550,82.5300,82.5300,1100
1471356038,82.4500,82.5250,82.4300,82.5250,1200
1471356063,82.4900,82.4900,82.4600,82.4800,1000
1471356129,82.5000,82.5000,82.4500,82.4650,1600
1471356201,82.5100,82.5100,82.5100,82.5100,100
1471356250,82.5200,82.5300,82.4950,82.5100,700
1471356330,82.5500,82.5600,82.5500,82.5600,900
1471356414,82.5400,82.5600,82.5300,82.5600,1100
1471356481,82.4800,82.5400,82.4800,82.5400,500
1471356544,82.5200,82.5200,82.4800,82.4800,1600
1471356620,82.5100,82.5100,82.4600,82.4900,1100
1471356669,82.4975,82.5100,82.4975,82.5100,800
1471356771,82.4900,82.5200,82.4900,82.5000,3300
1471356780,82.5100,82.5100,82.4900,82.4900,500
1471356895,82.4900,82.5100,82.4900,82.4900,1000
1471356940,82.4600,82.5100,82.4600,82.5100,1200
1471356978,82.4650,82.4650,82.4600,82.4600,400
1471357070,82.4000,82.4800,82.3850,82.4750,1800
1471357127,82.4100,82.4100,82.3900,82.3900,200
1471357191,82.2700,82.3850,82.2400,82.3850,2400
1471357218,82.2800,82.2800,82.2700,82.2700,700
1471357315,82.3100,82.3250,82.3100,82.3200,500
1471357373,82.2900,82.3100,82.2700,82.3100,800
1471357420,82.3300,82.3300,82.3200,82.3200,300
1471357497,82.2800,82.3300,82.2800,82.3300,500
1471357513,82.2600,82.3000,82.2600,82.3000,1000
1471357609,82.2500,82.2800,82.2500,82.2750,1500
1471357624,82.2500,82.2500,82.2500,82.2500,400
1471357723,82.2300,82.2300,82.2300,82.2300,300
1471357767,82.2200,82.2300,82.2200,82.2300,900
1471357804,82.2200,82.2300,82.2100,82.2300,1000
1471357876,82.2300,82.2300,82.2200,82.2200,400
1471357977,82.2100,82.2100,82.2000,82.2000,600
1471357980,82.2100,82.2100,82.2100,82.2100,200
1471358099,82.2300,82.2400,82.2300,82.2400,1300
1471358100,82.2700,82.2700,82.2500,82.2500,900
1471358266,82.3500,82.3500,82.3200,82.3200,600
1471358291,82.2900,82.3600,82.2900,82.3600,1700
1471358394,82.3300,82.3300,82.2800,82.3100,1000
1471358419,82.3300,82.3300,82.3300,82.3300,100
1471358500,82.3100,82.3300,82.3100,82.3300,900
1471358530,82.3200,82.3300,82.3100,82.3200,2100
1471358621,82.3300,82.3400,82.3200,82.3200,400
1471358685,82.3000,82.3000,82.2900,82.2900,600
1471358767,82.2700,82.2700,82.2400,82.2400,1200
1471358891,82.2300,82.2300,82.2300,82.2300,100
1471358949,82.2500,82.2600,82.2500,82.2600,300
1471359014,82.2400,82.2400,82.2400,82.2400,600
1471359068,82.2400,82.2400,82.2300,82.2300,500
1471359123,82.2400,82.2400,82.2400,82.2400,1000
1471359230,82.2000,82.2200,82.2000,82.2200,500
1471359277,82.2300,82.2300,82.2300,82.2300,100
1471359303,82.2200,82.2400,82.2200,82.2400,1000
1471359406,82.2200,82.2200,82.2000,82.2100,700
1471359427,82.2000,82.2200,82.1900,82.1900,1100
1471359535,82.2200,82.2200,82.2100,82.2100,900
1471359548,82.2800,82.2800,82.2300,82.2300,1900
1471359602,82.2900,82.3400,82.2800,82.2800,400
1471359775,82.3800,82.3800,82.3400,82.3400,2500
1471359780,82.3800,82.3800,82.3800,82.3800,300
1471359926,82.4050,82.4200,82.3800,82.4050,2700
1471360068,82.3900,82.4200,82.3900,82.4200,1600
1471360098,82.4000,82.4000,82.3900,82.3950,700
1471360167,82.4000,82.4000,82.4000,82.4000,500
1471360203,82.3900,82.3950,82.3800,82.3950,800
1471360315,82.3900,82.3950,82.3700,82.3800,800
1471360344,82.3600,82.3700,82.3600,82.3600,500
1471360387,82.3700,82.3800,82.3500,82.3800,1100
