uri:/instrument/1.0/JNJ/chartdata;type=quote;range=1d/csv
ticker:jnj
Company-Name:Johnson & Johnson Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:125.0300
Timestamp:1469453400,1469476800
labels:1469455200,1469458800,1469462400,1469466000,1469469600,1469473200,1469476800
values:Timestamp,close,high,low,open,volume
close:124.1400,124.8900
high:124.2200,124.9000
low:124.1400,124.8900
open:124.1500,124.8900
volume:1200,110500
1469453465,124.7800,124.8250,124.7800,124.7900,110500
1469453578,124.8100,124.8700,124.7800,124.8300,21700
1469453582,124.8650,124.8800,124.7800,124.7900,18000
1469453697,124.6400,124.8700,124.6400,124.8500,12600
1469453759,124.6150,124.7100,124.6100,124.6800,19700
1469453760,124.6300,124.6300,124.5300,124.6131,15900
1469453826,124.6500,124.6600,124.6000,124.6100,11600
1469453882,124.6399,124.6900,124.5810,124.6900,9900
1469453995,124.5900,124.6400,124.5800,124.6400,6600
1469454000,124.5200,124.6600,124.5100,124.6200,20200
1469454119,124.4400,124.5300,124.4300,124.5300,20100
1469454177,124.5000,124.5000,124.4310,124.4310,24200
1469454185,124.4550,124.5400,124.4550,124.5000,27300
1469454240,124.5000,124.5800,124.4400,124.4500,14700
1469454358,124.3811,124.5000,124.3500,124.4900,18200
1469454360,124.4000,124.4000,124.3600,124.3900,11500
1469454421,124.3800,124.4500,124.3800,124.4400,11800
1469454484,124.2970,124.3769,124.2750,124.3769,19400
1469454541,124.1400,124.3000,124.1400,124.2900,30200
1469454659,124.2800,124.2900,124.1450,124.1500,16100
1469454661,124.3000,124.3050,124.2800,124.2900,10000
1469454722,124.2950,124.3000,124.2800,124.2900,10200
1469454839,124.2400,124.3000,124.2000,124.3000,16700
1469454840,124.1700,124.2400,124.1700,124.2400,11900
1469454902,124.2200,124.2600,124.1650,124.1700,14200
1469454962,124.2200,124.2800,124.1900,124.2100,14000
1469455021,124.2040,124.2200,124.1900,124.2200,7300
1469455138,124.3300,124.3700,124.2100,124.2100,20000
1469455197,124.2410,124.3200,124.2300,124.3200,15500
1469455200,124.2400,124.2800,124.1700,124.2200,12500
1469455261,124.2900,124.3000,124.2600,124.2600,6800
1469455324,124.3700,124.3950,124.2910,124.2910,12800
1469455382,124.3000,124.3700,124.2510,124.3646,16600
1469455440,124.3401,124.3600,124.3100,124.3200,8200
1469455506,124.3300,124.3570,124.3200,124.3400,12600
1469455560,124.3100,124.3300,124.2900,124.3200,14600
1469455628,124.3300,124.3300,124.2961,124.3200,10700
1469455680,124.3100,124.3400,124.2900,124.3346,13000
1469455748,124.2940,124.3100,124.2900,124.3000,3900
1469455859,124.3100,124.3150,124.2800,124.2900,10000
1469455860,124.3150,124.3300,124.2900,124.3100,11500
1469455921,124.2900,124.3200,124.2900,124.3122,8300
1469455982,124.2900,124.3100,124.2700,124.3000,14400
1469456042,124.3400,124.3550,124.2850,124.2950,12900
1469456157,124.3100,124.3500,124.2800,124.3500,9200
1469456163,124.2746,124.3060,124.2600,124.2900,7100
1469456220,124.2100,124.2700,124.2100,124.2700,10300
1469456285,124.2650,124.2700,124.2100,124.2200,5800
1469456352,124.2468,124.2700,124.2400,124.2700,8300
1469456401,124.2800,124.3100,124.2500,124.2500,6800
1469456462,124.3110,124.3200,124.2800,124.2800,2800
1469456520,124.2850,124.3150,124.2700,124.3100,6200
1469456582,124.2700,124.2965,124.2600,124.2965,5100
1469456699,124.3100,124.3150,124.2767,124.2800,6400
1469456701,124.3120,124.3200,124.3100,124.3150,6900
1469456819,124.3150,124.3200,124.2800,124.3200,12700
1469456821,124.3100,124.3250,124.3100,124.3100,3300
1469456881,124.3200,124.3250,124.3000,124.3100,10200
1469456946,124.3000,124.3350,124.2900,124.3300,12200
1469457001,124.3200,124.3300,124.3010,124.3010,15600
1469457060,124.3100,124.3300,124.3000,124.3150,9800
1469457179,124.3200,124.3300,124.3100,124.3200,5500
1469457180,124.3550,124.3550,124.3100,124.3200,5600
1469457241,124.3600,124.3800,124.3600,124.3600,7100
1469457304,124.3850,124.3850,124.3400,124.3600,8700
1469457364,124.3900,124.3900,124.3600,124.3850,12400
1469457422,124.3950,124.4100,124.3800,124.3850,10900
1469457539,124.3540,124.3900,124.3400,124.3900,10400
1469457540,124.3300,124.3700,124.3250,124.3600,9700
1469457658,124.3100,124.3500,124.3100,124.3254,9300
1469457719,124.3300,124.3300,124.3099,124.3100,7700
1469457727,124.3100,124.3300,124.3000,124.3200,8200
1469457837,124.3150,124.3200,124.3000,124.3010,17000
1469457842,124.3099,124.3300,124.3099,124.3150,12900
1469457901,124.2900,124.3200,124.2900,124.3100,4100
1469457960,124.3050,124.3100,124.2900,124.2900,12000
1469458021,124.3000,124.3100,124.2900,124.3100,7800
1469458139,124.3050,124.3150,124.2900,124.2990,9000
1469458141,124.3200,124.3200,124.2900,124.3041,16500
1469458200,124.3200,124.3300,124.3100,124.3100,9500
1469458319,124.3100,124.3200,124.2800,124.3100,20500
1469458322,124.3000,124.3100,124.3000,124.3100,8600
1469458380,124.2900,124.3200,124.2800,124.3000,19100
1469458441,124.2850,124.2900,124.2800,124.2850,8900
1469458507,124.2850,124.2900,124.2700,124.2800,4600
1469458619,124.3300,124.3400,124.3000,124.3050,21500
1469458620,124.3601,124.3650,124.3250,124.3350,16800
