uri:/instrument/1.0/K/chartdata;type=quote;range=1d/csv
ticker:k
Company-Name:Kellogg Company Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:82.4200
Timestamp:1473168600,1473192000
labels:1473170400,1473174000,1473177600,1473181200,1473184800,1473188400,1473192000
values:Timestamp,close,high,low,open,volume
close:82.1600,82.7700
high:82.1700,82.7790
low:82.1500,82.7000
open:82.1600,82.7400
volume:100,129600
1473168669,82.6150,82.6150,82.5500,82.5600,18300
1473168774,82.6300,82.6300,82.6000,82.6250,2400
1473168786,82.7700,82.7790,82.6500,82.7000,3000
1473168899,82.7000,82.7400,82.7000,82.7400,800
1473168915,82.5150,82.7000,82.4800,82.6200,7000
1473168987,82.5000,82.5400,82.4500,82.4500,6300
1473169079,82.5500,82.5950,82.5500,82.5950,900
1473169081,82.5800,82.5800,82.5200,82.5500,1800
1473169142,82.6050,82.6200,82.5800,82.5800,5100
1473169203,82.4600,82.6100,82.4600,82.5900,5200
1473169271,82.4700,82.4700,82.4700,82.4700,200
1473169347,82.4150,82.4400,82.3800,82.4200,2900
1473169428,82.4200,82.4204,82.4100,82.4100,500
1473169440,82.4050,82.4800,82.3900,82.4600,5300
1473169550,82.4600,82.4650,82.4200,82.4200,1600
1473169566,82.4600,82.4800,82.4600,82.4650,500
1473169674,82.4500,82.4600,82.4000,82.4600,3500
1473169682,82.4800,82.4900,82.4500,82.4800,2700
1473169754,82.4800,82.5200,82.4700,82.4900,2200
1473169807,82.4000,82.4000,82.3604,82.4000,700
1473169894,82.4000,82.4600,82.3900,82.4000,2700
1473170028,82.4000,82.4000,82.4000,82.4000,100
1473170043,82.4600,82.4600,82.3700,82.3800,4300
1473170157,82.4400,82.4500,82.4250,82.4500,1300
1473170208,82.4100,82.4600,82.3900,82.4400,1200
1473170266,82.3500,82.3600,82.3202,82.3600,900
1473170339,82.3700,82.3700,82.3370,82.3370,900
1473170360,82.4100,82.4100,82.4100,82.4100,100
1473170400,82.4100,82.4100,82.3600,82.3600,2300
1473170461,82.4001,82.4300,82.4001,82.4300,2500
1473170524,82.3700,82.4000,82.3500,82.3900,1500
1473170585,82.4000,82.4200,82.3800,82.3800,2300
1473170646,82.4400,82.4400,82.3900,82.4200,1300
1473170700,82.3700,82.4700,82.3700,82.4300,2700
1473170775,82.2900,82.3200,82.2900,82.3200,700
1473170821,82.2500,82.3000,82.2500,82.2700,3300
1473170903,82.2700,82.2700,82.2600,82.2600,1100
1473170948,82.3000,82.3000,82.2650,82.2650,600
1473171043,82.3400,82.3400,82.3200,82.3200,1200
1473171108,82.3000,82.3292,82.3000,82.3292,1800
1473171178,82.2200,82.2700,82.1950,82.2700,3800
1473171192,82.2500,82.2500,82.2150,82.2200,1500
1473171241,82.2300,82.2400,82.2300,82.2300,1200
1473171306,82.3000,82.3000,82.2300,82.2300,1400
1473171410,82.3100,82.3100,82.2500,82.2500,1900
1473171430,82.2800,82.2800,82.2650,82.2800,1200
1473171480,82.2800,82.3000,82.2800,82.3000,200
1473171550,82.2600,82.2700,82.2600,82.2700,500
1473171621,82.2800,82.3000,82.2600,82.2600,3200
1473171670,82.2800,82.2800,82.2800,82.2800,200
1473171733,82.3000,82.3000,82.2700,82.2800,1000
1473171803,82.2400,82.2700,82.2400,82.2700,1600
1473171864,82.2200,82.2200,82.2200,82.2200,100
1473171930,82.2100,82.2200,82.1900,82.2000,3100
1473171968,82.2200,82.2300,82.1600,82.1900,2100
1473172039,82.2000,82.2000,82.2000,82.2000,200
1473172086,82.1891,82.2000,82.1800,82.2000,2400
1473172164,82.1600,82.2000,82.1600,82.2000,1000
1473172258,82.2000,82.2000,82.1600,82.1600,2800
1473172318,82.1700,82.2100,82.1700,82.2000,4200
1473172325,82.1800,82.2000,82.1500,82.1900,2200
1473172394,82.1800,82.1800,82.1800,82.1800,200
1473172453,82.2200,82.2300,82.1700,82.1700,6800
1473172553,82.2300,82.2300,82.2200,82.2200,800
