uri:/instrument/1.0/KMB/chartdata;type=quote;range=1d/csv
ticker:kmb
Company-Name:Kimberly-Clark Corporation Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:128.1200
Timestamp:1472823000,1472846400
labels:1472824800,1472828400,1472832000,1472835600,1472839200,1472842800,1472846400
values:Timestamp,close,high,low,open,volume
close:128.3600,129.4200
high:128.3600,129.4590
low:128.3600,129.3800
open:128.3600,129.4100
volume:100,137100
1472823100,128.3600,128.3600,128.3600,128.3600,21900
1472823172,128.5500,128.5500,128.3704,128.4300,1100
1472823205,128.8000,128.8000,128.6400,128.6700,3000
1472823297,128.8500,128.9200,128.7500,128.7500,1000
1472823312,128.9900,128.9900,128.7900,128.7900,3800
1472823362,129.0100,129.0900,128.9900,128.9900,3100
1472823426,128.9700,129.0400,128.9040,129.0400,3800
1472823480,129.0200,129.0200,128.8900,128.8900,4700
1472823547,129.0700,129.0700,128.9900,129.0400,7800
1472823603,129.3700,129.3800,129.1300,129.1500,4400
1472823711,129.3600,129.4100,129.2900,129.4100,4000
1472823775,129.4200,129.4590,129.3800,129.4100,2600
1472823783,129.3200,129.3500,129.2200,129.3500,2600
1472823887,129.2800,129.3900,129.2600,129.3200,700
1472823951,129.2400,129.3200,129.2400,129.3200,2300
1472824007,129.3178,129.3500,129.3000,129.3000,1100
1472824038,129.2900,129.3600,129.2800,129.3600,1800
1472824133,129.3700,129.3700,129.3250,129.3250,1500
1472824152,129.3100,129.3700,129.2700,129.3600,2500
1472824208,129.0600,129.2900,129.0600,129.2900,4900
1472824294,129.0000,129.0600,129.0000,129.0600,1900
1472824385,129.0200,129.0200,128.9699,128.9699,1000
1472824452,129.1000,129.1000,129.0656,129.0800,800
1472824507,129.2100,129.2100,129.1100,129.1400,3800
1472824561,129.2500,129.2900,129.2050,129.2175,1000
1472824625,129.2000,129.2900,129.1800,129.2300,4300
1472824682,129.2699,129.2699,129.2000,129.2000,3400
1472824785,129.2800,129.2900,129.1800,129.2300,3800
1472824811,129.1700,129.3000,129.1700,129.2200,4100
1472824864,129.0600,129.1200,129.0600,129.1200,1500
1472824944,129.0500,129.0800,129.0000,129.0800,2000
1472824990,128.9900,129.0200,128.9600,129.0000,1300
1472825050,128.9500,129.0100,128.9500,128.9700,2200
1472825111,128.8900,128.9755,128.8700,128.9400,2300
1472825176,128.8350,128.8700,128.7701,128.8200,2900
1472825230,128.8800,128.8800,128.8100,128.8100,1300
1472825288,129.0100,129.0500,128.8500,128.8500,2700
1472825340,128.8600,129.0000,128.8600,129.0000,5200
1472825425,128.8400,129.0000,128.8400,128.8502,3200
1472825472,128.8500,128.8500,128.8100,128.8400,900
1472825578,128.8000,128.8400,128.7600,128.8000,2300
1472825591,128.8300,128.8900,128.8300,128.8900,1800
1472825657,128.7200,128.8200,128.7200,128.8200,900
1472825707,128.7600,128.7900,128.7000,128.7000,1700
1472825770,128.8300,128.8300,128.7300,128.7300,900
1472825833,128.8000,128.8100,128.7800,128.7900,1000
1472825910,128.9100,128.9800,128.8000,128.8000,7600
1472825953,129.0100,129.0100,128.9800,128.9800,1900
1472826005,128.8800,128.9900,128.8700,128.9900,1400
1472826078,128.8200,128.8800,128.8000,128.8800,1700
1472826170,128.8700,128.8700,128.8200,128.8400,2500
1472826188,128.8300,128.8800,128.8200,128.8500,2100
1472826253,128.8892,128.8892,128.8200,128.8200,900
1472826313,128.9294,128.9294,128.8501,128.8501,1100
1472826364,128.9000,128.9400,128.9000,128.9400,500
1472826478,128.9500,128.9800,128.8900,128.8900,3500
1472826489,128.9800,128.9999,128.9600,128.9800,700
1472826550,129.0250,129.0250,129.0000,129.0000,700
1472826601,128.9700,129.0300,128.9500,129.0300,3200
1472826669,128.9700,128.9700,128.9300,128.9500,700
1472826728,128.9550,128.9800,128.9500,128.9534,1700
1472826804,128.8800,128.9200,128.8700,128.9200,1600
1472826887,128.8000,128.8400,128.7500,128.8400,3000
1472826956,128.7700,128.7800,128.7700,128.7800,1000
1472826962,128.8600,128.8700,128.7800,128.7800,1500
1472827033,128.8800,128.8900,128.8700,128.8800,1400
1472827084,128.8500,128.8800,128.8000,128.8800,1400
1472827199,128.7800,128.8292,128.7800,128.8200,800
1472827202,128.8000,128.8000,128.7800,128.8000,1100
1472827275,128.8199,128.8199,128.7700,128.7900,1100
1472827373,128.7856,128.8000,128.7800,128.7900,700
1472827386,128.7400,128.7700,128.7200,128.7700,1900
1472827454,128.7100,128.7300,128.6933,128.7200,3000
1472827503,128.7800,128.8200,128.7400,128.7400,1300
1472827590,128.7800,128.7800,128.7400,128.7600,1300
1472827673,128.8800,128.8800,128.7800,128.7800,2300
1472827682,128.9000,128.9000,128.8800,128.8900,1700
1472827744,128.9400,128.9600,128.8800,128.9200,4800
1472827836,128.9500,128.9600,128.9500,128.9500,900
1472827869,128.9195,128.9400,128.9195,128.9400,1200
1472827942,128.9000,128.9000,128.9000,128.9000,600
1472827994,128.8800,128.9000,128.8800,128.9000,1400
1472828063,128.8604,128.8700,128.8500,128.8700,900
1472828151,128.8300,128.8500,128.8300,128.8500,2100
1472828163,128.8900,128.8900,128.8300,128.8300,1000
1472828229,128.8400,128.8900,128.8400,128.8700,1100
1472828280,128.7400,128.8300,128.7300,128.8300,2500
1472828389,128.7000,128.7100,128.7000,128.7100,300
1472828401,128.7300,128.7600,128.7100,128.7100,3100
1472828473,128.7400,128.7400,128.7100,128.7400,1800
1472828579,128.7700,128.8000,128.7400,128.7600,1000
1472828598,128.8000,128.8300,128.8000,128.8000,1500
1472828658,128.8300,128.8700,128.8300,128.8600,800
1472828758,128.8700,128.9000,128.8400,128.8500,2400
1472828801,128.8400,128.8700,128.8300,128.8700,3800
1472828834,128.9100,128.9300,128.9100,128.9100,600
1472828881,128.8700,128.8800,128.8600,128.8800,1700
1472828942,128.8300,128.8800,128.8300,128.8800,1500
1472829042,128.8100,128.8100,128.8100,128.8100,200
1472829118,128.8600,128.8600,128.8200,128.8300,1300
1472829121,128.9094,128.9094,128.8900,128.8900,800
1472829231,128.8800,128.9000,128.8800,128.9000,500
1472829240,128.8800,128.9000,128.8600,128.9000,3000
1472829314,128.9000,128.9000,128.8700,128.8700,1000
1472829367,128.9200,128.9400,128.9000,128.9400,2100
1472829420,128.9000,128.9300,128.9000,128.9300,1600
1472829484,128.9200,128.9200,128.8600,128.9100,3600
1472829545,128.8600,128.9400,128.8600,128.9200,1500
1472829652,128.7900,128.8700,128.7900,128.8700,1400
1472829662,128.8000,128.8100,128.7800,128.7800,1600
1472829734,128.8041,128.8100,128.8000,128.8100,800
1472829788,128.7800,128.8000,128.7700,128.8000,1700
1472829849,128.7400,128.7800,128.7390,128.7800,4300
1472829902,128.7400,128.7500,128.7400,128.7400,1900
1472829964,128.8400,128.8400,128.7600,128.7600,700
1472830028,128.8100,128.8400,128.8100,128.8400,1000
1472830081,128.7900,128.8000,128.7900,128.8000,900
1472830199,128.8253,128.8253,128.8100,128.8100,700
1472830208,128.7700,128.8200,128.7700,128.8200,1500
1472830316,128.7500,128.7700,128.7500,128.7700,500
1472830340,128.8100,128.8100,128.7581,128.7581,800
1472830382,128.8150,128.8200,128.8100,128.8100,1400
1472830443,128.8100,128.8550,128.8000,128.8550,1600
1472830513,128.8150,128.8150,128.7900,128.8100,500
1472830585,128.8300,128.8400,128.8300,128.8300,500
1472830620,128.8400,128.8600,128.8300,128.8400,2100
1472830694,128.8500,128.8500,128.8300,128.8500,600
1472830756,128.7900,128.8100,128.7900,128.8100,1000
1472830830,128.7900,128.8000,128.7803,128.8000,500
1472830877,128.7900,128.8000,128.7900,128.8000,600
1472830925,128.8110,128.8110,128.7900,128.8000,500
1472831019,128.8000,128.8000,128.8000,128.8000,400
1472831091,128.8500,128.8600,128.8400,128.8400,700
1472831114,128.8600,128.8600,128.8400,128.8400,1200
1472831231,128.9000,128.9000,128.9000,128.9000,900
1472831293,128.8300,128.8800,128.8300,128.8800,2400
1472831387,128.8500,128.8500,128.8500,128.8500,100
1472831459,128.8240,128.8600,128.8240,128.8600,600
1472831477,128.8600,128.8600,128.8600,128.8600,100
1472831576,128.8600,128.8700,128.8500,128.8700,700
1472831581,128.8800,128.8800,128.8700,128.8700,800
1472831654,128.8800,128.9100,128.8700,128.8800,600
1472831742,128.9000,128.9000,128.9000,128.9000,400
1472831765,128.9200,128.9290,128.9200,128.9290,700
1472831844,128.8900,128.8900,128.8900,128.8900,400
1472831943,128.9300,128.9300,128.9000,128.9300,2200
1472832000,128.9100,128.9300,128.9100,128.9300,500
1472832063,128.9000,128.9200,128.8900,128.9000,5100
1472832137,128.8600,128.9000,128.8600,128.9000,1400
1472832196,128.8000,128.8600,128.8000,128.8600,1000
1472832288,128.8000,128.8000,128.8000,128.8000,100
1472832301,128.8200,128.8200,128.7900,128.7900,1400
1472832417,128.7600,128.8200,128.7400,128.8200,900
1472832420,128.7400,128.7600,128.7400,128.7600,600
1472832483,128.7500,128.7500,128.7300,128.7400,1700
1472832546,128.7600,128.7700,128.7600,128.7700,700
1472832601,128.7400,128.7600,128.7400,128.7600,600
1472832700,128.7300,128.7300,128.7300,128.7300,400
1472832764,128.7500,128.7500,128.7500,128.7500,100
1472832810,128.7800,128.7800,128.7600,128.7600,700
1472832843,128.7800,128.7800,128.7700,128.7700,600
1472832904,128.6800,128.7800,128.6800,128.7800,2100
1472832992,128.6580,128.6580,128.6400,128.6500,700
1472833032,128.6400,128.6500,128.6300,128.6300,600
1472833094,128.6400,128.6400,128.6300,128.6400,300
1472833146,128.5700,128.6200,128.5600,128.6200,3100
1472833211,128.5830,128.5900,128.5700,128.5700,1100
1472833280,128.5600,128.5700,128.5400,128.5700,700
1472833338,128.5600,128.5796,128.5500,128.5500,1200
1472833388,128.5400,128.5400,128.5200,128.5400,700
1472833447,128.5300,128.5400,128.5300,128.5400,300
1472833567,128.6000,128.6000,128.5700,128.5700,800
1472833642,128.6500,128.6500,128.6192,128.6192,800
1472833692,128.6400,128.6584,128.6400,128.6584,1200
1472833791,128.6500,128.6500,128.6500,128.6500,300
1472833802,128.6500,128.6800,128.6500,128.6644,1300
1472833906,128.6700,128.6800,128.6700,128.6800,300
1472833935,128.6900,128.7199,128.6800,128.6800,1900
1472834059,128.7400,128.7400,128.6900,128.7000,1100
1472834105,128.7600,128.7800,128.7216,128.7216,1800
1472834160,128.7700,128.7700,128.7700,128.7700,400
1472834257,128.7900,128.7900,128.7900,128.7900,400
1472834324,128.7746,128.7746,128.7500,128.7500,700
1472834384,128.8000,128.8100,128.8000,128.8100,400
1472834400,128.8100,128.8190,128.7800,128.7800,1400
1472834539,128.7600,128.8100,128.7600,128.8100,200
1472834604,128.8200,128.8200,128.8200,128.8200,400
1472834661,128.8300,128.8300,128.8120,128.8203,1400
1472834702,128.8300,128.8300,128.8300,128.8300,1200
1472834802,128.8275,128.8300,128.8200,128.8200,500
1472834878,128.8100,128.8300,128.8100,128.8300,1000
1472834930,128.8299,128.8299,128.7900,128.7900,300
1472834941,128.8400,128.8400,128.8400,128.8400,200
1472835022,128.8395,128.8395,128.8300,128.8300,800
1472835106,128.8500,128.8700,128.8500,128.8700,300
1472835167,128.8201,128.8600,128.8201,128.8600,300
1472835206,128.8700,128.8700,128.8500,128.8500,300
1472835256,128.8600,128.8700,128.8500,128.8700,600
1472835308,128.8200,128.8700,128.8200,128.8700,1300
1472835364,128.8400,128.8400,128.8400,128.8400,400
1472835450,128.7000,128.7700,128.7000,128.7700,400
1472835484,128.7600,128.7700,128.7300,128.7300,900
1472835554,128.7284,128.7284,128.7200,128.7200,400
1472835609,128.7500,128.7600,128.7500,128.7500,1100
1472835676,128.6900,128.7000,128.6800,128.6900,1100
1472835771,128.7319,128.7319,128.7000,128.7000,2700
1472835801,128.7200,128.7200,128.7200,128.7200,800
1472835888,128.7500,128.7500,128.7500,128.7500,400
1472835946,128.7990,128.7990,128.7990,128.7990,100
1472835989,128.7800,128.8000,128.7700,128.8000,1200
1472836033,128.8000,128.8000,128.7740,128.7740,400
1472836101,128.7900,128.7900,128.7900,128.7900,400
1472836230,128.7900,128.8100,128.7900,128.8100,800
1472836275,128.8100,128.8100,128.8100,128.8100,400
1472836320,128.7800,128.7900,128.7500,128.7900,2300
1472836433,128.7800,128.8000,128.7800,128.8000,600
1472836440,128.7700,128.7700,128.7700,128.7700,200
1472836505,128.7500,128.7500,128.7200,128.7500,1900
1472836581,128.7500,128.7500,128.7500,128.7500,400
1472836633,128.7700,128.7700,128.7500,128.7700,500
1472836797,128.7200,128.7592,128.7100,128.7592,700
1472836803,128.6900,128.7290,128.6900,128.7200,1400
1472836861,128.6600,128.6700,128.6600,128.6700,800
1472836920,128.6600,128.6700,128.6300,128.6700,1800
1472836984,128.7000,128.7000,128.7000,128.7000,200
1472837041,128.7100,128.7100,128.7100,128.7100,600
1472837100,128.7249,128.7249,128.7100,128.7100,300
1472837167,128.6700,128.7100,128.6500,128.7100,1700
1472837221,128.7100,128.7100,128.6700,128.6800,700
1472837396,128.7000,128.7000,128.6900,128.6900,200
1472837400,128.7000,128.7100,128.6800,128.7000,1800
1472837508,128.6900,128.6939,128.6900,128.6939,400
1472837534,128.6800,128.6800,128.6700,128.6800,1500
1472837629,128.6444,128.6444,128.6444,128.6444,400
1472837642,128.5800,128.6400,128.5800,128.6400,1000
1472837722,128.6100,128.6100,128.6100,128.6100,600
1472837768,128.5800,128.6100,128.5800,128.5924,700
1472837821,128.5800,128.5900,128.5505,128.5505,800
1472837935,128.5956,128.6000,128.5691,128.5800,3900
1472837944,128.6000,128.6000,128.5700,128.5700,6700
1472838024,128.5900,128.6200,128.5900,128.6100,1900
1472838067,128.6000,128.6100,128.5900,128.5900,1100
1472838138,128.5900,128.6000,128.5900,128.5900,800
1472838236,128.5600,128.5900,128.5600,128.5900,1000
1472838241,128.5400,128.5500,128.5400,128.5500,200
1472838358,128.6000,128.6000,128.5499,128.5499,1600
1472838360,128.6400,128.6400,128.6100,128.6100,1500
1472838433,128.6400,128.6500,128.6400,128.6500,400
1472838482,128.6700,128.6700,128.6240,128.6240,800
1472838562,128.6492,128.6700,128.6492,128.6700,1300
1472838610,128.6450,128.6600,128.6400,128.6600,600
