uri:/instrument/1.0/KORS/chartdata;type=quote;range=1d/csv
ticker:kors
Company-Name:Michael Kors Holdings Limited O
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:50.0400
Timestamp:1466515800,1466539200
labels:1466517600,1466521200,1466524800,1466528400,1466532000,1466535600,1466539200
values:Timestamp,close,high,low,open,volume
close:49.9050,50.7200
high:49.9200,50.7400
low:49.8900,50.7000
open:49.9000,50.7100
volume:100,199300
1466515826,50.3950,50.3950,50.3950,50.3950,35400
1466515870,50.2650,50.2650,50.2650,50.2650,500
1466515920,50.1900,50.2600,50.1900,50.2600,2900
1466515987,50.3750,50.3750,50.1000,50.1400,5500
1466516097,50.2500,50.3196,50.2283,50.2900,1400
1466516107,50.2275,50.2900,50.2200,50.2500,3500
1466516218,50.2900,50.3150,50.2200,50.2200,5200
1466516255,50.4000,50.4000,50.3400,50.3400,2800
1466516328,50.4264,50.4900,50.3900,50.3900,4400
1466516394,50.3600,50.4200,50.3100,50.4200,3100
1466516456,50.3699,50.4000,50.2800,50.3466,2900
1466516518,50.4100,50.4400,50.3550,50.3550,6200
1466516579,50.4200,50.4400,50.3999,50.4400,52500
1466516580,50.3000,50.4200,50.3000,50.4200,3400
1466516695,50.3100,50.3100,50.2000,50.2700,11700
1466516701,50.2700,50.3500,50.2300,50.3300,5300
1466516802,50.3250,50.3250,50.1800,50.2201,13500
1466516837,50.4400,50.4800,50.3500,50.3500,9900
1466516895,50.4400,50.4700,50.4257,50.4257,4400
1466516997,50.5900,50.5900,50.3800,50.4200,3200
1466517051,50.6000,50.6300,50.5900,50.6100,5600
1466517060,50.5500,50.6200,50.5500,50.6200,3700
1466517179,50.4000,50.5100,50.4000,50.5000,2600
1466517180,50.4400,50.4650,50.4200,50.4400,4100
1466517246,50.4700,50.4700,50.4400,50.4400,1000
1466517300,50.3975,50.4800,50.3975,50.4750,4700
1466517370,50.3500,50.3950,50.3500,50.3950,1200
1466517428,50.2500,50.3100,50.2400,50.3100,14500
1466517534,50.2350,50.2700,50.2250,50.2350,8400
1466517544,50.2700,50.2700,50.2300,50.2600,9900
1466517601,50.2300,50.2625,50.2300,50.2600,4600
1466517660,50.1450,50.2300,50.1200,50.2200,7400
1466517727,50.0800,50.1400,50.0400,50.1400,7700
1466517783,49.9400,50.0700,49.9300,50.0700,16900
1466517898,49.9500,50.0100,49.9500,49.9600,7100
1466517903,49.9700,49.9900,49.9400,49.9650,11800
1466518009,49.9800,50.0100,49.9800,49.9800,5400
1466518029,50.0400,50.1000,50.0000,50.0000,13100
1466518089,49.9375,50.0300,49.9350,50.0300,3900
1466518197,49.9050,49.9450,49.9000,49.9450,7000
1466518210,49.9100,49.9200,49.8900,49.9000,9200
1466518319,50.0100,50.0100,49.9000,49.9100,11600
1466518372,50.0700,50.0700,49.9600,50.0100,9000
1466518387,50.1300,50.1532,50.0500,50.0600,3500
1466518495,50.1900,50.1900,50.1200,50.1300,3500
1466518555,50.1500,50.2300,50.1500,50.2300,3800
1466518607,50.1700,50.1700,50.1600,50.1600,500
1466518673,50.0800,50.1700,50.0800,50.1500,5200
1466518685,50.1100,50.1100,50.0400,50.0600,3000
1466518741,50.1100,50.1100,50.1000,50.1000,300
1466518855,50.0600,50.1100,50.0400,50.1100,6400
1466518893,50.0200,50.0600,50.0200,50.0600,900
1466518976,49.9400,50.0000,49.9400,50.0000,3000
1466519035,50.0500,50.0600,49.9400,49.9400,6500
1466519093,50.0700,50.0700,50.0600,50.0600,800
1466519115,50.0800,50.0900,50.0600,50.0600,1600
1466519166,50.1200,50.1200,50.0995,50.1000,1400
1466519223,50.1900,50.1900,50.1300,50.1300,1300
1466519281,50.1300,50.2100,50.0900,50.1900,8100
1466519343,50.1600,50.1600,50.1387,50.1400,700
1466519423,50.1500,50.2300,50.1500,50.1790,14000
1466519496,50.1600,50.1600,50.1300,50.1400,800
1466519570,50.2200,50.2500,50.1450,50.1450,5000
1466519634,50.2300,50.2600,50.1900,50.2100,8700
1466519684,50.1800,50.2200,50.1800,50.2200,9600
1466519753,50.1900,50.2100,50.1900,50.1900,2100
1466519773,50.2010,50.2010,50.1300,50.1800,9300
1466519874,50.1400,50.2300,50.1400,50.2200,7400
1466519901,50.1600,50.1800,50.1600,50.1600,800
1466519982,50.1600,50.1800,50.1500,50.1800,1400
1466520007,50.1800,50.1800,50.1300,50.1500,9300
1466520116,50.1700,50.1800,50.1700,50.1800,300
1466520121,50.1400,50.1500,50.0700,50.1400,9400
1466520237,50.1500,50.1900,50.1500,50.1600,4000
1466520289,50.2000,50.2000,50.0900,50.1600,6100
1466520303,50.1600,50.2000,50.1600,50.1900,1400
1466520374,50.1766,50.1800,50.1267,50.1700,4500
1466520421,50.1650,50.1900,50.1650,50.1800,700
1466520537,50.1600,50.1700,50.1600,50.1700,1100
1466520540,50.1000,50.1500,50.0600,50.1500,4800
1466520659,50.1200,50.1200,50.0800,50.0800,3100
1466520716,50.1300,50.1300,50.1000,50.1100,1500
1466520720,50.1200,50.1200,50.1200,50.1200,200
1466520837,50.1400,50.1400,50.1200,50.1200,1800
1466520859,50.1300,50.1650,50.1200,50.1500,3600
1466520900,50.1585,50.1600,50.1200,50.1300,2900
1466521006,50.1700,50.1900,50.1500,50.1800,1500
1466521020,50.1200,50.1700,50.1200,50.1700,1600
1466521104,50.0700,50.1400,50.0700,50.1100,4000
1466521198,50.0600,50.0900,50.0577,50.0800,1500
1466521220,50.0500,50.0600,50.0500,50.0500,400
1466521261,50.0900,50.1300,50.0700,50.0700,16000
1466521362,50.1100,50.1600,50.0900,50.0901,10100
1466521394,50.1200,50.1200,49.9700,50.1100,32900
1466521495,50.2100,50.2100,50.1300,50.1600,5400
1466521555,50.1900,50.2100,50.1800,50.1900,10000
1466521560,50.1800,50.2000,50.1800,50.1900,2000
1466521678,50.2500,50.2500,50.1900,50.1900,2800
1466521692,50.2400,50.2800,50.2400,50.2400,3500
1466521750,50.2300,50.2999,50.1600,50.2300,18200
1466521857,50.1900,50.2300,50.1800,50.1900,3500
1466521864,50.1600,50.2100,50.1492,50.2100,10700
1466521928,50.2000,50.2100,50.1700,50.1900,2200
1466522008,50.1900,50.2100,50.1900,50.2100,2500
1466522044,50.3300,50.3300,50.2100,50.2100,3600
1466522149,50.2700,50.3200,50.2500,50.3200,6500
1466522162,50.3700,50.3900,50.2700,50.2700,3900
1466522222,50.3100,50.4100,50.2901,50.3500,11100
1466522335,50.3300,50.3300,50.2600,50.3000,3900
1466522344,50.3400,50.3400,50.3100,50.3200,1000
1466522451,50.3500,50.3800,50.3000,50.3300,5600
1466522461,50.2980,50.3400,50.2700,50.3400,9500
1466522583,50.2900,50.3000,50.2700,50.2800,2900
1466522640,50.3500,50.3500,50.2900,50.3000,70900
1466522759,50.3500,50.4000,50.3300,50.3700,13200
1466522811,50.4185,50.4185,50.3500,50.3500,4800
1466522825,50.4100,50.4400,50.3500,50.4200,10500
1466522936,50.4100,50.4400,50.3500,50.4400,12000
1466522940,50.3500,50.4050,50.3400,50.4050,4700
1466523026,50.3500,50.3600,50.3150,50.3300,4700
1466523104,50.3500,50.3500,50.3100,50.3400,3500
1466523178,50.3400,50.3750,50.3400,50.3600,2900
1466523182,50.3200,50.3500,50.3200,50.3500,700
1466523297,50.3400,50.3600,50.2900,50.3200,11300
1466523357,50.3000,50.3300,50.3000,50.3300,3600
1466523416,50.3000,50.3100,50.2800,50.2900,6200
1466523426,50.3100,50.3400,50.2900,50.3100,7000
1466523537,50.2900,50.3100,50.2900,50.3100,1500
1466523548,50.3600,50.3600,50.2700,50.2900,3200
1466523638,50.3500,50.3500,50.3200,50.3500,1700
1466523660,50.3100,50.3200,50.2800,50.2900,3500
1466523728,50.3000,50.3100,50.2900,50.2900,3900
1466523828,50.3000,50.3000,50.3000,50.3000,400
1466523899,50.3120,50.3200,50.2900,50.3000,9700
1466523955,50.3600,50.3800,50.3030,50.3150,5100
1466523973,50.3200,50.3700,50.3000,50.3700,11200
1466524074,50.3200,50.3700,50.3000,50.3200,10700
1466524134,50.3000,50.3200,50.3000,50.3000,2300
1466524154,50.3000,50.3000,50.3000,50.3000,400
1466524205,50.2600,50.3200,50.2500,50.3200,1900
1466524307,50.2500,50.2600,50.2300,50.2600,1700
1466524371,50.2100,50.2300,50.1900,50.2300,5800
1466524387,50.1500,50.2000,50.1500,50.2000,1300
1466524474,50.1600,50.1600,50.1200,50.1500,6800
1466524533,50.1650,50.1700,50.1500,50.1500,500
1466524562,50.2200,50.2200,50.1600,50.1600,3600
1466524630,50.1900,50.2100,50.1900,50.2000,3100
1466524696,50.2100,50.2100,50.2100,50.2100,100
1466524743,50.2400,50.2400,50.2199,50.2199,1300
1466524815,50.2300,50.2400,50.1800,50.2100,3700
1466524918,50.2000,50.2000,50.2000,50.2000,200
1466524978,50.1500,50.2200,50.1500,50.1700,4500
1466525037,50.1480,50.1700,50.1400,50.1700,1500
1466525095,50.0900,50.1300,50.0800,50.1300,1400
1466525129,50.0900,50.0900,50.0500,50.0800,3400
1466525213,50.1400,50.1700,50.1000,50.1000,4500
1466525235,50.1300,50.1300,50.1300,50.1300,800
1466525280,50.1600,50.1700,50.1400,50.1400,1700
1466525390,50.1100,50.1600,50.1100,50.1600,2200
1466525400,50.1100,50.1200,50.0900,50.1069,1100
1466525503,50.1000,50.1000,50.1000,50.1000,600
1466525579,50.0700,50.1000,50.0700,50.0800,2700
1466525580,50.1000,50.1200,50.0650,50.0700,3000
