uri:/instrument/1.0/L/chartdata;type=quote;range=1d/csv
ticker:l
Company-Name:Loews Corporation Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:40.0400
Timestamp:1466429400,1466452800
labels:1466431200,1466434800,1466438400,1466442000,1466445600,1466449200,1466452800
values:Timestamp,close,high,low,open,volume
close:40.0200,40.6700
high:40.0300,40.7200
low:40.0100,40.6300
open:40.0100,40.7200
volume:100,20100
1466429488,40.6700,40.6700,40.6000,40.6000,12800
1466429538,40.6400,40.7200,40.6300,40.7200,1200
1466429631,40.6100,40.6400,40.6100,40.6100,1300
1466429645,40.6100,40.6200,40.5900,40.5900,1400
1466429705,40.6100,40.6400,40.6100,40.6200,1500
1466429776,40.5700,40.5900,40.5500,40.5500,3900
1466429841,40.5300,40.6225,40.5300,40.6225,2000
1466429884,40.6200,40.6200,40.5300,40.5300,800
1466429949,40.5500,40.6100,40.5500,40.6000,1000
1466430059,40.5900,40.6100,40.5700,40.5800,3000
1466430060,40.6200,40.6400,40.5800,40.6000,4200
1466430136,40.6100,40.6400,40.5900,40.6400,1100
1466430198,40.5800,40.6100,40.5800,40.6000,2300
1466430240,40.5700,40.6100,40.5700,40.6100,2800
1466430322,40.5800,40.5900,40.5800,40.5800,700
1466430361,40.5700,40.5900,40.5637,40.5800,1600
1466430423,40.5100,40.5800,40.5000,40.5800,4000
1466430485,40.5600,40.5600,40.5100,40.5100,1300
1466430548,40.5900,40.6300,40.5800,40.5800,1500
1466430607,40.5900,40.6100,40.5800,40.5800,2400
1466430668,40.5800,40.6052,40.5800,40.6000,3000
1466430744,40.5800,40.5900,40.5800,40.5900,2200
1466430836,40.5500,40.6100,40.5500,40.5900,3800
1466430841,40.5200,40.5700,40.5200,40.5400,2400
1466430912,40.5100,40.5300,40.5100,40.5300,1300
1466430967,40.5100,40.5200,40.5100,40.5200,600
1466431069,40.4800,40.5300,40.4800,40.5100,1500
1466431138,40.5178,40.5178,40.4700,40.4800,1300
1466431199,40.5100,40.5300,40.5100,40.5300,1000
1466431204,40.4900,40.5000,40.4700,40.5000,900
1466431319,40.5100,40.5100,40.5000,40.5000,1500
1466431322,40.5300,40.5400,40.5100,40.5100,1600
1466431494,40.5800,40.5800,40.5300,40.5300,1600
1466431553,40.5900,40.5900,40.5600,40.5700,1500
1466431566,40.6000,40.6000,40.6000,40.6000,600
1466431676,40.5350,40.5800,40.5350,40.5800,4300
1466431734,40.5000,40.5400,40.5000,40.5300,4200
1466431743,40.4800,40.5050,40.4700,40.5000,11700
1466431817,40.5250,40.5250,40.4800,40.4800,3500
1466431884,40.5100,40.5300,40.5100,40.5300,700
1466432036,40.4500,40.4700,40.4500,40.4700,600
1466432095,40.4200,40.4500,40.4200,40.4500,1900
1466432115,40.4500,40.4600,40.4500,40.4500,1800
1466432160,40.4600,40.4600,40.4600,40.4600,600
1466432279,40.4600,40.4600,40.4300,40.4500,4300
1466432292,40.4800,40.4900,40.4600,40.4600,3500
1466432383,40.5100,40.5100,40.5000,40.5100,2000
1466432438,40.4900,40.5000,40.4900,40.5000,500
1466432497,40.4750,40.4800,40.4700,40.4800,1300
1466432574,40.4550,40.4650,40.4550,40.4600,1300
1466432623,40.4650,40.4700,40.4650,40.4650,1000
1466432679,40.4526,40.4650,40.4500,40.4600,1200
1466432714,40.4500,40.4500,40.4500,40.4500,1100
1466432818,40.4300,40.4500,40.4300,40.4500,1000
1466432866,40.4100,40.4350,40.4100,40.4300,2400
1466432939,40.4200,40.4200,40.4150,40.4200,1600
1466432947,40.4500,40.4700,40.4250,40.4250,7800
1466433051,40.4350,40.4400,40.4350,40.4400,1700
1466433117,40.4500,40.4500,40.4350,40.4350,2000
1466433145,40.4500,40.4500,40.4400,40.4400,300
1466433180,40.4350,40.4500,40.4100,40.4500,4500
1466433263,40.4200,40.4350,40.4200,40.4300,2700
1466433351,40.4200,40.4400,40.4200,40.4400,3000
1466433387,40.3900,40.4220,40.3900,40.4220,1000
1466433457,40.3950,40.4000,40.3900,40.3900,700
1466433484,40.4100,40.4200,40.3950,40.3950,1900
1466433598,40.4085,40.4200,40.4085,40.4100,2000
1466433603,40.4300,40.4300,40.4061,40.4061,1800
1466433719,40.4300,40.4400,40.4300,40.4300,600
1466433741,40.4250,40.4300,40.4250,40.4300,200
1466433783,40.4500,40.4500,40.4300,40.4300,1700
1466433844,40.4400,40.4400,40.4350,40.4400,2000
1466433952,40.4500,40.4500,40.4401,40.4401,900
1466434018,40.4350,40.4400,40.4350,40.4400,600
1466434069,40.4450,40.4600,40.4400,40.4400,3000
1466434086,40.4450,40.4500,40.4401,40.4401,600
1466434178,40.4400,40.4400,40.4400,40.4400,800
1466434232,40.4285,40.4372,40.4285,40.4325,1100
1466434309,40.4400,40.4400,40.4150,40.4200,2100
1466434379,40.4400,40.4400,40.4200,40.4400,800
1466434393,40.4400,40.4400,40.4400,40.4400,300
1466434449,40.4400,40.4400,40.4350,40.4400,800
1466434559,40.4300,40.4500,40.4300,40.4500,2600
1466434561,40.4400,40.4400,40.4400,40.4400,100
1466434677,40.4000,40.4350,40.4000,40.4350,1500
1466434738,40.4000,40.4100,40.4000,40.4000,900
1466434740,40.4100,40.4100,40.3900,40.4000,2600
1466434843,40.4300,40.4300,40.4150,40.4200,1200
1466434889,40.4200,40.4200,40.4200,40.4200,200
1466434939,40.4100,40.4100,40.4000,40.4100,1500
1466435021,40.3850,40.3900,40.3850,40.3900,400
1466435078,40.3850,40.4000,40.3850,40.4000,1000
1466435117,40.3850,40.3850,40.3850,40.3850,700
1466435162,40.4000,40.4000,40.3900,40.3900,1700
1466435236,40.4050,40.4100,40.4050,40.4100,600
1466435339,40.4300,40.4300,40.4050,40.4050,1800
1466435387,40.4100,40.4350,40.4050,40.4350,3700
1466435455,40.3850,40.4050,40.3850,40.4050,6100
1466435519,40.3800,40.3850,40.3750,40.3850,2400
1466435522,40.3800,40.3850,40.3800,40.3800,1100
1466435611,40.3800,40.3850,40.3700,40.3750,3700
1466435690,40.3550,40.3750,40.3550,40.3750,5100
1466435756,40.3750,40.3750,40.3700,40.3700,1300
1466435798,40.3800,40.3900,40.3700,40.3750,3800
1466435821,40.3800,40.3900,40.3800,40.3900,1300
1466435889,40.3900,40.3900,40.3850,40.3850,1100
1466435964,40.4000,40.4050,40.4000,40.4000,3600
1466436004,40.4050,40.4100,40.4000,40.4000,3500
1466436090,40.3950,40.4050,40.3950,40.4050,1000
1466436132,40.3950,40.3950,40.3950,40.3950,200
1466436235,40.3900,40.4000,40.3750,40.3950,2300
1466436273,40.3600,40.3900,40.3600,40.3900,2700
1466436316,40.3800,40.3800,40.3650,40.3700,1000
