uri:/instrument/1.0/LH/chartdata;type=quote;range=1d/csv
ticker:lh
Company-Name:Laboratory Corporation of Ameri
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:127.5100
Timestamp:1466515800,1466539200
labels:1466517600,1466521200,1466524800,1466528400,1466532000,1466535600,1466539200
values:Timestamp,close,high,low,open,volume
close:127.2800,128.8400
high:127.2850,128.8400
low:127.1300,128.7900
open:127.1300,128.7900
volume:100,52300
1466515853,127.2800,127.2850,127.1300,127.1300,10100
1466515862,127.6500,128.1600,127.4300,127.4500,2800
1466515923,127.9050,127.9050,127.9000,127.9000,700
1466516026,127.7000,127.8800,127.7000,127.8800,3300
1466516080,127.9100,127.9700,127.8400,127.9200,1900
1466516155,128.0900,128.1500,127.9500,127.9500,4300
1466516160,128.1000,128.1700,128.0000,128.0400,4900
1466516273,128.1180,128.1800,128.0800,128.1200,1500
1466516338,128.3200,128.3200,128.1050,128.1700,52300
1466516383,128.3400,128.3400,128.2200,128.2200,1500
1466516454,127.9100,128.3400,127.9100,128.3400,3300
1466516493,127.9350,127.9350,127.9200,127.9200,500
1466516526,128.1200,128.1200,127.9450,127.9450,1500
1466516612,128.1750,128.1900,128.1750,128.1900,200
1466516699,128.0250,128.2500,128.0000,128.2500,1800
1466516711,127.7000,128.0150,127.7000,128.0150,1800
1466516760,128.0000,128.0000,127.8200,127.8200,1000
1466516837,127.9800,128.0700,127.9800,128.0700,800
1466516881,128.0200,128.1300,127.9100,127.9500,11800
1466516941,127.8500,127.9800,127.8300,127.9800,1500
1466517055,128.1600,128.1600,127.9700,128.0800,6600
1466517066,128.0100,128.1200,127.9800,128.1200,4900
1466517168,127.8500,127.8900,127.8500,127.8900,800
1466517182,127.8250,127.8500,127.7800,127.8500,3100
1466517290,127.9350,127.9500,127.8950,127.9100,1300
1466517358,127.8400,127.9650,127.8300,127.9400,6100
1466517376,127.7900,127.8600,127.7900,127.8600,300
1466517429,127.9000,127.9400,127.8000,127.8000,1200
1466517485,127.8500,127.8800,127.8000,127.8800,500
1466517559,127.9300,127.9300,127.8100,127.8400,5100
1466517601,127.9600,127.9600,127.7700,127.9000,8100
1466517667,127.8910,127.9000,127.8800,127.9000,700
1466517731,127.6100,127.8400,127.6100,127.8400,5000
1466517837,127.5750,127.5800,127.5500,127.5700,800
1466517842,127.6100,127.6100,127.5550,127.5650,10800
1466517901,127.6850,127.7500,127.5600,127.5700,6300
1466518018,127.6100,127.7200,127.6100,127.6500,2500
1466518046,127.8400,127.8400,127.6400,127.6400,1600
1466518128,127.6200,127.7300,127.6200,127.6900,800
1466518191,127.6100,127.6100,127.6100,127.6100,200
1466518253,127.7900,127.7900,127.5900,127.6100,1100
1466518289,127.8600,127.8600,127.8600,127.8600,200
1466518350,127.8900,127.9318,127.8900,127.9288,2900
1466518421,128.0000,128.0000,128.0000,128.0000,500
1466518480,128.2300,128.2300,128.1600,128.1600,600
1466518558,128.0700,128.1900,128.0700,128.1900,1400
1466518564,127.9850,128.0500,127.9850,128.0500,800
1466518673,127.9400,127.9400,127.8600,127.8600,600
1466518697,128.0100,128.0100,127.9680,127.9800,500
1466518744,128.0200,128.0700,128.0200,128.0700,400
1466518859,127.9600,128.0300,127.9600,127.9801,1700
1466518864,127.9200,127.9300,127.9200,127.9300,500
1466518945,127.9000,127.9100,127.7000,127.8200,4100
1466518997,127.8300,127.8300,127.7700,127.8100,1100
1466519092,127.8000,127.8800,127.8000,127.8800,500
1466519101,127.8600,127.8600,127.8000,127.8000,500
1466519189,127.8800,127.9600,127.8600,127.8700,1700
1466519242,127.8900,127.8900,127.7800,127.7900,1100
1466519331,127.9900,127.9900,127.9900,127.9900,100
1466519451,127.9500,127.9500,127.9500,127.9500,500
1466519485,127.9000,127.9350,127.8900,127.8900,900
1466519548,127.9400,127.9700,127.9100,127.9100,1900
1466519625,127.9300,127.9300,127.9300,127.9300,100
1466519641,127.9600,127.9600,127.9100,127.9100,700
1466519701,128.0000,128.1400,127.9101,127.9101,3500
1466519765,128.0200,128.0900,127.9610,128.0000,4800
1466519916,128.0200,128.1119,128.0200,128.1119,1300
1466519953,127.9700,128.0500,127.9700,128.0500,300
1466520029,128.0500,128.0500,128.0400,128.0400,700
1466520078,128.0400,128.0400,128.0400,128.0400,100
1466520122,128.0800,128.0800,127.9900,127.9900,3700
1466520186,128.1384,128.1384,128.1384,128.1384,200
1466520315,128.0200,128.1500,128.0100,128.1500,2700
1466520376,128.0100,128.0100,127.9350,127.9350,1000
1466520510,128.1300,128.1300,128.1300,128.1300,200
1466520542,128.0200,128.0800,128.0200,128.0800,1000
