uri:/instrument/1.0/MKC/chartdata;type=quote;range=1d/csv
ticker:mkc
Company-Name:McCormick & Company, Incorporat
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:105.0200
Timestamp:1468848600,1468872000
labels:1468850400,1468854000,1468857600,1468861200,1468864800,1468868400,1468872000
values:Timestamp,close,high,low,open,volume
close:104.5650,105.5600
high:104.5800,105.5700
low:104.5600,105.5043
open:104.5700,105.5400
volume:100,11500
1468848668,105.1700,105.1700,105.0891,105.0891,7000
1468848875,105.1910,105.2500,105.1800,105.1800,600
1468848900,105.3400,105.3900,105.3200,105.3200,2000
1468849006,105.4800,105.4800,105.4600,105.4600,500
1468849072,105.5600,105.5600,105.4300,105.4300,1700
1468849084,105.4700,105.5700,105.4500,105.5400,1400
1468849207,105.4200,105.4200,105.4000,105.4000,1100
1468849414,105.2800,105.3200,105.2800,105.3200,400
1468849453,105.3600,105.3600,105.3300,105.3300,600
1468849513,105.4300,105.4300,105.4300,105.4300,200
1468849612,105.4400,105.4528,105.4400,105.4400,500
1468849625,105.5200,105.5200,105.5043,105.5100,800
1468849731,105.4500,105.4800,105.4500,105.4800,300
1468849781,105.3700,105.4400,105.3700,105.4400,300
1468849849,105.3100,105.3900,105.3100,105.3900,500
1468849868,105.3300,105.3300,105.3300,105.3300,100
1468849977,105.3700,105.3900,105.3200,105.3200,800
1468850022,105.3200,105.3400,105.3200,105.3400,700
1468850045,105.2700,105.2700,105.2700,105.2700,100
1468850121,105.3000,105.3000,105.3000,105.3000,300
1468850164,105.2968,105.3200,105.2900,105.3200,400
1468850250,105.3200,105.3200,105.3000,105.3000,700
1468850310,105.3100,105.3400,105.3100,105.3400,300
1468850357,105.2600,105.2900,105.2600,105.2800,1000
1468850408,105.3000,105.3100,105.2700,105.2700,1300
1468850474,105.2900,105.3000,105.2800,105.3000,300
1468850562,105.3700,105.3700,105.3200,105.3200,800
1468850605,105.3900,105.4000,105.3600,105.3600,1600
1468850674,105.4900,105.5100,105.4300,105.4550,1900
1468850732,105.5000,105.5100,105.4800,105.4964,1000
1468850808,105.5000,105.5000,105.5000,105.5000,200
1468850832,105.4600,105.5000,105.4600,105.5000,500
1468850926,105.4600,105.4600,105.4600,105.4600,200
1468850943,105.4602,105.4602,105.4602,105.4602,200
1468851047,105.3400,105.4100,105.3400,105.4100,900
1468851063,105.4000,105.4000,105.3700,105.3700,900
1468851128,105.3700,105.4000,105.3700,105.4000,200
1468851187,105.2900,105.3300,105.2900,105.3300,500
1468851279,105.3400,105.3400,105.3400,105.3400,200
1468851310,105.3301,105.3400,105.3301,105.3400,400
