uri:/instrument/1.0/MLM/chartdata;type=quote;range=1d/csv
ticker:mlm
Company-Name:Martin Marietta Materials, Inc.
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:183.9100
Timestamp:1466688600,1466712000
labels:1466690400,1466694000,1466697600,1466701200,1466704800,1466708400,1466712000
values:Timestamp,close,high,low,open,volume
close:185.0100,187.9400
high:185.0200,187.9500
low:184.9200,187.9400
open:184.9400,187.9400
volume:100,58100
1466688801,185.8450,185.9800,185.4000,185.8100,8200
1466688857,185.7500,185.7500,184.9300,185.6500,2000
1466688905,186.0600,186.0600,185.5380,185.8200,2600
1466689008,185.6500,185.8650,185.6500,185.8650,400
1466689020,185.6500,186.1200,185.6500,186.0600,1700
1466689080,185.4100,185.6500,185.4100,185.6500,1800
1466689195,185.6400,185.8340,185.2500,185.8340,4200
1466689202,185.7350,185.9100,185.4700,185.8000,5100
1466689314,185.7850,185.7850,185.3800,185.6750,1300
1466689337,185.3800,185.8000,185.3800,185.5800,700
1466689437,185.7850,185.7850,185.4300,185.5550,900
1466689440,185.7700,185.7700,185.4500,185.7600,1000
1466689501,185.6500,185.8750,185.5900,185.7800,6600
1466689617,185.5100,185.7500,185.5100,185.7400,12100
1466689678,185.4500,185.7200,185.4450,185.7200,700
1466689733,185.4650,185.6600,185.4650,185.6600,400
1466689761,185.5000,185.6600,185.4700,185.5950,400
1466689820,185.5900,185.8000,185.4900,185.4900,4400
1466689912,185.2600,185.6200,185.2500,185.5200,1400
1466689968,185.3400,185.4400,185.2700,185.3000,2300
1466689993,185.7500,185.7500,185.2101,185.3950,3900
1466690085,185.5650,185.5650,185.5650,185.5650,100
1466690114,185.4600,185.7250,185.4600,185.5600,400
1466690172,185.5100,185.5100,185.5100,185.5100,200
1466690231,185.5400,185.7100,185.4901,185.7100,1600
1466690324,185.3998,185.5000,185.2900,185.5000,1600
1466690347,185.2700,185.3900,185.2700,185.3840,900
1466690408,185.3600,185.5200,185.3600,185.4300,2100
1466690467,185.3300,185.3400,185.3300,185.3400,200
1466690556,185.4100,185.4700,185.3500,185.3500,300
1466690586,185.3600,185.6400,185.3600,185.5000,2100
1466690644,185.0300,185.5600,184.9800,185.2200,58100
1466690758,185.7250,185.7250,185.0000,185.1100,5600
1466690760,185.4000,185.7350,185.4000,185.7350,900
1466690868,185.4801,185.5500,185.4801,185.5500,1100
1466690880,185.6700,185.7400,185.3200,185.4700,3500
1466690997,185.8500,185.9063,185.7100,185.7500,8800
1466691056,185.7500,185.8400,185.6400,185.7500,3400
1466691075,185.6150,185.7400,185.6150,185.6900,1600
1466691179,185.7000,185.8350,185.6600,185.6800,3300
1466691231,185.7000,185.7000,185.6200,185.6200,200
1466691240,185.5300,185.7600,185.4450,185.7500,3300
1466691357,185.8000,185.8600,185.5700,185.5700,4600
1466691362,185.4800,185.8525,185.4800,185.8500,3100
1466691472,185.7000,185.7900,185.5250,185.6600,4600
1466691532,185.7550,185.7900,185.6100,185.7200,4500
1466691543,185.5060,185.6600,185.4300,185.6000,3700
1466691621,185.6500,185.6500,185.6000,185.6000,400
1466691720,185.7900,185.7900,185.5200,185.6850,1400
1466691790,185.6600,185.8200,185.6600,185.7650,4700
1466691841,185.6700,185.7500,185.6600,185.7500,17300
1466691905,185.9950,186.0900,185.6900,185.6900,2900
1466691984,185.5800,185.9100,185.5800,185.9100,1600
1466692074,185.4500,185.6200,185.4500,185.6100,800
1466692100,185.4200,185.6060,185.4200,185.5600,1800
1466692147,185.3200,185.5300,185.3200,185.4900,1300
1466692251,185.0500,185.1901,185.0500,185.1901,1300
1466692265,185.2100,185.3900,185.1200,185.1200,1000
1466692372,185.3000,185.3000,185.2401,185.2401,300
1466692415,185.1800,185.2400,185.1800,185.2400,1100
1466692454,185.0100,185.0200,185.0100,185.0200,400
1466692518,185.1900,185.1900,184.9200,184.9400,4100
1466692589,185.1800,185.2000,185.1800,185.2000,500
1466692635,185.2600,185.2600,185.1800,185.1800,200
1466692688,185.3523,185.3523,185.1801,185.1801,300
1466692767,185.4500,185.4500,185.2300,185.2300,500
1466692843,185.4300,185.4300,185.3200,185.3580,300
1466692884,185.3300,185.3300,185.3300,185.3300,100
1466692942,185.3800,185.4100,185.3500,185.3500,400
1466692991,185.2900,185.4100,185.2900,185.3700,1000
1466693058,185.5100,185.5100,185.5100,185.5100,100
1466693126,185.3000,185.3100,185.3000,185.3100,500
1466693200,185.1800,185.2900,185.1300,185.2600,2700
1466693229,185.4300,185.6000,185.2700,185.3400,1100
1466693307,185.2800,185.2800,185.2800,185.2800,200
1466693384,185.2700,185.2700,185.2700,185.2700,100
1466693414,185.4100,185.6000,185.2400,185.2400,1200
1466693498,185.4600,185.4600,185.4600,185.4600,200
1466693544,185.3700,185.4900,185.3700,185.4900,1400
1466693615,185.4300,185.4300,185.4300,185.4300,100
1466693645,185.2300,185.4600,185.2300,185.4600,900
1466693709,185.2500,185.4200,185.2500,185.4200,200
1466693766,185.0501,185.2500,185.0501,185.2500,1000
1466693849,185.1000,185.1000,185.0800,185.0800,200
1466693901,185.4900,185.4900,185.1100,185.1100,3000
1466694036,185.4100,185.5600,185.4100,185.5000,400
1466694068,185.3200,185.3300,185.2700,185.3300,500
1466694127,185.2900,185.2900,185.2900,185.2900,100
1466694228,185.2800,185.5500,185.2800,185.3710,500
1466694290,185.2900,185.5700,185.2900,185.5700,300
1466694359,185.5300,185.5300,185.3100,185.5200,1800
1466694384,185.4800,185.5000,185.4200,185.5000,600
1466694439,185.1900,185.5600,185.1900,185.5600,1700
1466694531,185.2200,185.2400,185.1900,185.1900,600
1466694585,185.4100,185.4100,185.2100,185.2100,2000
1466694651,185.4100,185.4100,185.2700,185.3200,300
1466694672,185.3450,185.3450,185.3450,185.3450,100
1466694724,185.4200,185.4200,185.3000,185.3100,2100
1466694807,185.4601,185.5050,185.4601,185.5000,400
1466694840,185.3900,185.4900,185.3900,185.4900,1200
1466694942,185.5000,185.5400,185.4900,185.5200,1100
1466695001,185.6200,185.7100,185.5800,185.5800,1300
1466695062,185.5300,185.6000,185.5300,185.6000,1300
1466695104,185.5400,185.5400,185.5400,185.5400,400
1466695192,185.4300,185.5100,185.4300,185.5000,300
1466695209,185.4300,185.5750,185.4300,185.5750,3400
1466695288,185.3800,185.5500,185.3800,185.5500,300
1466695339,185.5000,185.5000,185.3700,185.3900,1200
1466695413,185.5200,185.5200,185.5200,185.5200,100
1466695441,185.3600,185.4200,185.3600,185.4200,1000
1466695566,185.2600,185.3700,185.2300,185.3200,1800
1466695730,185.5000,185.5900,185.3033,185.3033,6000
1466695742,185.4400,185.6600,185.3800,185.5200,11500
1466695866,185.4500,185.5000,185.4500,185.5000,1000
1466695968,185.3500,185.4400,185.2940,185.3650,8400
1466695990,185.4600,185.4600,185.4600,185.4600,100
1466696060,185.5800,185.6450,185.4400,185.4700,2000
1466696154,185.4300,185.5700,185.4300,185.5450,2000
1466696161,185.5000,185.5899,185.3800,185.4400,2500
1466696247,185.5200,185.5200,185.5100,185.5100,500
1466696308,185.5200,185.5400,185.5000,185.5300,800
1466696372,185.5000,185.5000,185.5000,185.5000,100
1466696453,185.5855,185.5855,185.5855,185.5855,200
1466696480,185.4400,185.4500,185.4300,185.4500,1200
1466696545,185.3800,185.6494,185.3800,185.6494,900
1466696633,185.4900,185.5399,185.2800,185.3900,5500
1466696671,185.3900,185.4800,185.3200,185.4800,2200
1466696705,185.2600,185.3200,185.2600,185.3200,300
1466696815,185.3000,185.3000,185.3000,185.3000,100
1466696857,185.2500,185.2900,185.2500,185.2900,800
1466696902,185.1700,185.2800,185.1700,185.1700,700
1466696961,185.3500,185.3500,185.2000,185.2300,2400
1466697002,185.3800,185.4500,185.3350,185.3350,1100
1466697138,185.4800,185.5000,185.4700,185.5000,700
1466697209,185.4900,185.5850,185.4800,185.4800,700
1466697294,185.3300,185.5800,185.3300,185.5800,1100
1466697305,185.2500,185.2500,185.2301,185.2301,200
1466697415,185.2000,185.2200,185.2000,185.2150,600
1466697432,185.1500,185.1500,185.1500,185.1500,400
1466697609,185.3900,185.4700,185.3700,185.3700,2000
1466697786,185.4000,185.4000,185.2200,185.3900,1500
1466698072,185.4500,185.4500,185.2700,185.2950,2700
1466698120,185.4200,185.5231,185.4200,185.4600,1000
1466698153,185.3700,185.3700,185.3700,185.3700,100
1466698251,185.3900,185.3900,185.3900,185.3900,100
1466698275,185.4550,185.4550,185.4500,185.4500,300
1466698347,185.3800,185.3900,185.3600,185.3800,1100
1466698430,185.3700,185.4000,185.3550,185.3800,900
1466698489,185.4025,185.4400,185.3100,185.3750,31200
1466698545,185.5450,185.5700,185.4300,185.4300,3800
1466698565,185.5200,185.5500,185.5200,185.5500,400
1466698620,185.5300,185.6100,185.5150,185.5150,4600
1466698715,185.6300,185.6600,185.4700,185.5300,3200
1466698782,185.6800,185.6800,185.5792,185.6100,1400
1466698800,185.6500,185.7800,185.6500,185.6900,1300
1466698919,185.7800,185.7800,185.6500,185.6500,500
1466698932,185.7600,185.7600,185.7600,185.7600,400
1466699001,185.7884,185.7884,185.7884,185.7884,100
1466699079,185.7200,185.7600,185.7100,185.7550,600
1466699155,185.8800,185.8800,185.7300,185.7400,1900
1466699211,185.8800,185.8800,185.8800,185.8800,100
1466699372,185.8144,185.8144,185.7500,185.7600,1600
1466699517,185.8000,185.8000,185.7600,185.7600,200
1466699567,185.8900,185.9000,185.8300,185.8800,1000
1466699580,186.0600,186.0600,185.9800,185.9800,1900
1466699647,186.1200,186.1200,185.9500,186.0900,1300
1466699720,186.1500,186.1500,186.0800,186.0800,900
1466699869,186.0500,186.0900,186.0500,186.0900,400
1466699988,185.9700,186.0500,185.9700,186.0500,200
1466700088,186.0100,186.1200,186.0075,186.0100,1100
1466700124,185.7900,186.1400,185.7900,186.1400,1100
1466700211,185.9050,185.9050,185.8100,185.8100,300
1466700315,185.7900,185.7900,185.7900,185.7900,100
1466700418,185.7100,185.7600,185.6500,185.7600,1600
1466700422,185.8600,185.8700,185.6600,185.6600,2000
1466700536,185.9500,185.9500,185.9100,185.9200,400
1466700561,185.9750,186.0700,185.9400,186.0500,700
1466700712,186.0500,186.0500,185.8700,185.8700,1500
1466700777,185.9400,186.1400,185.9400,186.1400,500
1466700783,186.1300,186.1300,186.1300,186.1300,200
1466700845,186.1700,186.1700,186.0100,186.0100,1100
1466700953,186.3400,186.3400,186.1700,186.1900,400
1466701009,186.3500,186.3700,186.3400,186.3400,300
1466701066,186.3450,186.4300,186.3450,186.3700,800
1466701135,186.2200,186.5000,186.2200,186.4300,28900
1466701160,186.3300,186.4400,186.2200,186.2200,800
1466701238,186.3200,186.3200,186.3200,186.3200,100
1466701315,186.2400,186.3200,186.1600,186.3200,2100
1466701378,186.3200,186.3200,186.1600,186.1600,900
1466701438,186.4500,186.4500,186.3200,186.3200,2000
1466701470,186.5500,186.5500,186.4000,186.4000,700
1466701500,186.5650,186.6500,186.5650,186.6400,1600
1466701612,186.5000,186.5100,186.5000,186.5100,300
1466701639,186.6100,186.6100,186.4500,186.6100,300
1466701732,186.6300,186.6400,186.5500,186.6000,1400
1466701753,186.7550,186.8400,186.6300,186.6400,3400
1466701826,186.8500,186.8500,186.8500,186.8500,100
1466701872,186.8600,186.8600,186.8500,186.8500,400
1466701964,186.9400,186.9500,186.8300,186.8400,2000
1466701984,186.9300,186.9300,186.8700,186.9100,1200
1466702084,186.9400,186.9500,186.8541,186.8541,1200
1466702101,186.9050,186.9500,186.8700,186.9500,600
1466702209,186.9400,186.9400,186.9000,186.9000,300
1466702225,186.9600,186.9600,186.8800,186.8800,700
1466702305,187.0000,187.0000,186.9600,186.9600,1100
1466702342,187.0600,187.0600,186.9900,187.0200,1200
1466702407,187.1300,187.1300,187.0500,187.0500,200
1466702494,187.1800,187.1800,187.1000,187.1000,400
1466702541,187.2000,187.2000,187.2000,187.2000,100
1466702644,187.2099,187.2099,187.0400,187.1400,1800
1466702864,187.1050,187.1050,187.1050,187.1050,100
1466702934,186.8800,187.0200,186.8800,187.0200,900
1466702994,187.0700,187.0700,186.9300,186.9700,800
1466703023,187.0700,187.0700,186.9100,186.9100,300
1466703070,186.7200,186.9400,186.7200,186.9300,600
1466703203,186.7200,186.7400,186.7200,186.7400,200
1466703285,186.6900,186.6900,186.6900,186.6900,100
1466703323,186.5100,186.6400,186.5100,186.6400,1600
1466703401,186.5550,186.6400,186.5000,186.5000,600
1466703425,186.4700,186.5450,186.4700,186.4900,400
1466703497,186.4300,186.4400,186.4300,186.4400,400
1466703588,186.4400,186.5400,186.3400,186.4100,2900
1466703651,186.4400,186.4400,186.4400,186.4400,100
1466703731,186.4050,186.4562,186.4050,186.4562,400
1466703786,186.4049,186.4049,186.4049,186.4049,200
1466703852,186.3300,186.3300,186.3300,186.3300,300
1466703938,186.3500,186.3500,186.2900,186.3100,1700
1466703969,186.4100,186.4100,186.3699,186.3699,1300
1466704126,186.5100,186.5200,186.4300,186.4300,1000
1466704198,186.5000,186.5300,186.4600,186.5200,600
1466704236,186.4100,186.5000,186.3900,186.5000,1400
1466704284,186.4334,186.4334,186.4334,186.4334,100
1466704375,186.3000,186.3000,186.3000,186.3000,100
1466704438,186.2650,186.3800,186.1900,186.2900,22500
1466704446,186.2350,186.2650,186.1600,186.2650,500
1466704556,186.3000,186.3100,186.3000,186.3100,2300
1466704606,186.3000,186.3000,186.2950,186.2950,600
1466704675,186.2650,186.4000,186.1800,186.3000,5700
1466704685,186.2650,186.2700,186.2000,186.2700,700
1466704779,186.2001,186.2950,186.2000,186.2500,1200
1466704836,186.3100,186.3100,186.1700,186.2200,4000
1466704888,186.1700,186.3100,186.1700,186.3100,900
1466704992,186.1900,186.1900,186.1900,186.1900,100
1466705103,186.3650,186.4400,186.1900,186.1900,2700
1466705200,186.2800,186.3650,186.2700,186.3000,700
1466705223,186.2200,186.3800,186.2200,186.3800,200
1466705380,186.2200,186.2200,186.2200,186.2200,100
1466705416,186.4200,186.4300,186.3500,186.3500,1500
1466705509,186.3000,186.4200,186.3000,186.4200,400
1466705582,186.4500,186.4500,186.4400,186.4400,200
1466705657,186.3200,186.3700,186.3200,186.3700,300
1466705751,186.5400,186.5400,186.4400,186.4500,1200
1466705764,186.5300,186.5300,186.4750,186.4800,500
1466705927,186.5000,186.5450,186.5000,186.5100,600
1466706060,186.4900,186.4900,186.4900,186.4900,100
1466706120,186.4500,186.4600,186.4500,186.4600,600
1466706192,186.3900,186.4525,186.3600,186.4200,1000
1466706269,186.4300,186.4300,186.3700,186.3900,2400
1466706341,186.4800,186.4800,186.4300,186.4300,1000
1466706412,186.6200,186.6200,186.5110,186.5110,1100
1466706421,186.6700,186.6700,186.6280,186.6300,600
1466706502,186.6500,186.6500,186.6100,186.6400,700
1466706551,186.7000,186.7000,186.7000,186.7000,300
1466706625,186.7300,186.7300,186.7300,186.7300,200
1466706683,186.7400,186.7400,186.7300,186.7300,300
1466706776,186.7200,186.7500,186.6600,186.7500,1500
1466706790,186.7000,186.7000,186.7000,186.7000,100
1466706845,186.7700,186.7700,186.7700,186.7700,200
1466706946,186.7200,186.7200,186.7200,186.7200,200
1466707047,186.7600,186.7600,186.7600,186.7600,100
1466707152,186.7400,186.7400,186.7400,186.7400,400
1466707215,186.5801,186.7000,186.5801,186.7000,2800
1466707280,186.7100,186.7100,186.6700,186.6700,1800
1466707362,186.7900,186.7900,186.6650,186.6650,2000
1466707435,186.8200,186.8200,186.7100,186.7100,200
1466707467,186.8499,186.8499,186.7700,186.8150,1200
1466707504,186.8000,186.8000,186.8000,186.8000,100
1466707617,186.9600,186.9600,186.8500,186.8500,1600
1466707635,187.0700,187.0700,187.0499,187.0499,700
1466707740,187.0300,187.1200,187.0300,187.0800,2200
1466707912,187.1500,187.1500,187.1500,187.1500,100
1466707974,187.1100,187.1500,187.1100,187.1500,300
1466708031,187.1650,187.2100,187.1000,187.1167,3800
1466708045,187.1650,187.2100,187.1650,187.2100,700
1466708242,187.1250,187.1800,187.0900,187.1550,1400
1466708337,187.1300,187.1300,187.0700,187.1250,600
1466708395,187.2400,187.2600,187.1300,187.1800,3400
1466708413,187.2550,187.2600,187.2025,187.2025,1500
1466708506,187.2800,187.3000,187.2450,187.2700,900
1466708547,187.3400,187.3400,187.3000,187.3000,200
1466708633,187.3200,187.3200,187.3200,187.3200,200
1466708641,187.3000,187.3600,187.2650,187.3600,2900
1466708758,187.3600,187.3600,187.2608,187.2608,200
1466708765,187.4000,187.4000,187.3490,187.3600,800
1466708825,187.3800,187.4200,187.3400,187.4000,2600
1466708931,187.4200,187.4500,187.4100,187.4100,500
1466708953,187.4150,187.4800,187.4150,187.4800,300
1466709026,187.4600,187.4600,187.4600,187.4600,100
1466709068,187.5800,187.6100,187.5100,187.5100,1200
1466709126,187.6600,187.6600,187.5200,187.6000,3600
1466709228,187.6700,187.6700,187.6700,187.6700,100
1466709248,187.6200,187.6500,187.5900,187.6000,2300
1466709315,187.5800,187.6200,187.5800,187.6150,900
1466709396,187.5900,187.6000,187.5700,187.5900,1000
1466709433,187.5599,187.5900,187.5400,187.5900,2100
1466709594,187.4850,187.4850,187.4850,187.4850,200
1466709657,187.5100,187.5100,187.4400,187.4850,400
1466709663,187.4118,187.5300,187.4118,187.5200,2100
1466709839,187.4300,187.4700,187.4300,187.4450,300
1466709853,187.3200,187.4200,187.3200,187.4100,1400
1466709928,187.3800,187.3800,187.2500,187.2500,2700
1466709962,187.3400,187.3600,187.3300,187.3300,500
1466710087,187.3700,187.3900,187.3100,187.3700,900
1466710140,187.4200,187.4200,187.3700,187.3700,200
1466710209,187.2700,187.4000,187.2700,187.3800,1700
1466710307,187.3200,187.3200,187.3200,187.3200,100
1466710339,187.3350,187.3500,187.2900,187.3100,2800
1466710426,187.4200,187.4200,187.2600,187.3519,2800
1466710443,187.4200,187.4500,187.4200,187.4500,400
1466710560,187.4150,187.4150,187.4150,187.4150,100
1466710678,187.3000,187.4600,187.3000,187.4600,2300
1466710680,187.2500,187.3100,187.2500,187.3100,1400
1466710796,187.2300,187.2550,187.2000,187.2550,1200
1466710805,187.2400,187.2600,187.2300,187.2300,1000
1466710876,187.1200,187.1600,187.1200,187.1600,200
1466710926,187.1750,187.1750,187.0700,187.1200,700
1466711038,187.1500,187.2142,187.1100,187.1300,2400
1466711098,187.3400,187.3400,187.1250,187.1250,4300
1466711102,187.5000,187.5000,187.3900,187.3900,1500
1466711184,187.5200,187.5200,187.3700,187.4100,2800
1466711230,187.5000,187.5300,187.4500,187.5300,1400
1466711341,187.4500,187.5300,187.4400,187.5000,2700
1466711458,187.6450,187.6450,187.5100,187.5200,1300
1466711463,187.6100,187.6800,187.6000,187.6700,1400
1466711521,187.6500,187.6500,187.5600,187.5800,3900
1466711639,187.7600,187.7600,187.6400,187.6400,1600
1466711698,187.7000,187.7900,187.6500,187.7450,3800
1466711700,187.7800,187.7800,187.6900,187.7400,4200
1466711819,187.8000,187.8000,187.6900,187.7450,3400
1466711820,187.8350,187.8500,187.7600,187.7900,6900
1466711936,187.8500,187.8500,187.7700,187.8200,4300
1466711998,187.9300,187.9500,187.8200,187.8600,16400
