uri:/instrument/1.0/MON/chartdata;type=quote;range=1d/csv
ticker:mon
Company-Name:Monsanto Company Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:99.7100
Timestamp:1467811800,1467835200
labels:1467813600,1467817200,1467820800,1467824400,1467828000,1467831600,1467835200
values:Timestamp,close,high,low,open,volume
close:99.4000,101.2050
high:99.4000,101.2600
low:99.3900,101.1700
open:99.4000,101.2000
volume:200,154300
1467811823,99.5700,99.7050,99.5300,99.5400,67900
1467811918,99.6300,99.6700,99.5000,99.5200,9200
1467811920,99.5750,99.6900,99.5000,99.5600,11500
1467812039,99.7300,99.8300,99.5750,99.6400,7500
1467812042,99.6900,99.7900,99.6400,99.7900,9700
1467812103,99.5900,99.7600,99.5000,99.7600,16300
1467812216,99.6450,99.7600,99.5600,99.6200,14000
1467812268,99.7250,99.7500,99.5600,99.6800,7000
1467812339,99.7200,99.7600,99.6400,99.7100,11900
1467812395,99.7300,99.8000,99.6600,99.6600,26200
1467812402,99.6200,99.7399,99.6200,99.7100,21100
1467812461,99.6100,99.6899,99.5750,99.6250,6700
1467812521,99.7000,99.7100,99.6000,99.6900,44000
1467812639,99.6400,99.7000,99.5700,99.6550,20300
1467812640,99.7000,99.7100,99.6250,99.6400,17600
1467812758,99.6450,99.7050,99.6000,99.7000,37300
1467812819,99.6500,99.6900,99.5575,99.6450,15300
1467812821,99.6150,99.7000,99.6100,99.6800,4800
1467812881,99.6400,99.6500,99.5700,99.6200,22800
1467812941,99.6050,99.6900,99.5700,99.6900,8200
1467813004,99.6650,99.7500,99.6400,99.6400,17100
1467813060,99.7000,99.7400,99.6800,99.6900,4900
1467813127,99.7350,99.7700,99.6200,99.7000,32900
1467813180,99.7250,99.7600,99.6600,99.7500,23100
1467813295,99.7750,99.7750,99.6600,99.7500,54900
1467813359,99.7000,99.7900,99.6900,99.7800,8500
1467813418,99.7500,99.7500,99.6499,99.7100,39300
1467813479,99.7850,99.7900,99.7251,99.7400,9400
1467813480,99.8050,99.8200,99.7500,99.7850,4700
1467813553,99.7950,99.8150,99.7600,99.7800,6200
1467813600,99.8100,99.8300,99.7700,99.8050,17600
1467813661,99.8200,99.8300,99.7800,99.8200,9100
1467813779,99.8050,99.8300,99.7700,99.8200,9200
1467813838,99.7900,99.8300,99.7500,99.8230,7400
1467813842,99.7700,99.8000,99.7600,99.7900,7000
1467813958,99.7800,99.8000,99.7300,99.8000,15900
1467813960,99.7500,99.8000,99.7500,99.7800,7300
1467814068,99.7500,99.7500,99.7000,99.7300,4700
1467814081,99.7400,99.7500,99.7200,99.7500,9500
1467814148,99.7700,99.8000,99.7150,99.7300,6900
1467814258,99.8000,99.8100,99.7500,99.7900,5000
1467814264,99.7900,99.8100,99.7800,99.8100,4100
1467814379,99.8100,99.8550,99.7500,99.7900,6600
1467814380,99.8350,99.8550,99.7900,99.8550,5600
1467814499,99.8100,99.8500,99.8100,99.8350,5900
1467814500,99.8100,99.8200,99.8000,99.8000,3600
1467814561,99.8000,99.8200,99.7800,99.8100,4200
1467814676,99.8100,99.8400,99.7800,99.7800,4600
1467814683,99.7700,99.7900,99.7200,99.7900,6600
1467814775,99.7000,99.7700,99.7000,99.7700,2800
1467814801,99.7200,99.7500,99.6900,99.7000,8600
1467814919,99.7500,99.7700,99.7200,99.7400,3600
1467814978,99.7300,99.7500,99.7000,99.7500,7100
1467815039,99.6974,99.7295,99.6600,99.7250,7500
1467815040,99.7100,99.7200,99.6900,99.7000,5100
1467815100,99.7100,99.7200,99.7100,99.7100,2700
1467815218,99.7200,99.7500,99.6900,99.7100,29000
1467815220,99.7150,99.7200,99.7050,99.7200,3600
1467815333,99.7000,99.7200,99.7000,99.7000,10700
1467815398,99.6700,99.7050,99.6600,99.6800,7000
1467815403,99.7000,99.7000,99.6400,99.6700,13800
1467815461,99.7050,99.7200,99.6500,99.7000,5100
1467815572,99.7150,99.7200,99.6900,99.7000,9400
1467815631,99.7250,99.7250,99.7150,99.7150,3400
1467815641,99.7100,99.7250,99.7000,99.7250,3000
1467815757,99.7150,99.7150,99.6750,99.7000,6300
1467815762,99.7150,99.7150,99.6800,99.7100,9500
1467815821,99.7050,99.7200,99.6700,99.7150,6200
1467815880,99.6800,99.7000,99.6600,99.7000,2100
1467815998,99.6600,99.7200,99.6600,99.7000,1900
1467816004,99.6900,99.6900,99.6700,99.6800,2500
1467816110,99.6500,99.6750,99.6500,99.6700,4400
1467816125,99.7600,99.7700,99.6700,99.6700,4000
1467816236,99.7900,99.7900,99.7479,99.7700,1600
1467816261,99.7500,99.8000,99.7500,99.7900,2100
1467816350,99.7700,99.7800,99.7400,99.7400,500
1467816416,100.0250,100.1000,99.7800,99.7800,14500
1467816424,99.9350,100.0900,99.8900,99.9812,4800
1467816483,100.0000,100.0400,99.9350,99.9350,2900
1467816597,100.0694,100.0694,99.9800,99.9800,3000
1467816632,100.0900,100.0900,100.0200,100.0500,1300
1467816660,100.0500,100.1065,100.0500,100.0600,9000
1467816775,100.0800,100.0800,100.0500,100.0600,3600
1467816838,100.0700,100.1000,100.0200,100.0850,20800
1467816897,100.0700,100.0700,100.0100,100.0500,3100
1467816900,100.0800,100.0900,100.0700,100.0700,18300
1467817019,100.0200,100.0900,100.0200,100.0800,15600
1467817078,100.0200,100.0500,100.0000,100.0300,3700
1467817135,100.0500,100.0700,100.0000,100.0200,3000
1467817193,100.0500,100.0600,100.0200,100.0300,5000
1467817201,100.0400,100.0800,100.0100,100.0550,3600
1467817295,100.0500,100.0500,100.0400,100.0400,900
1467817322,99.9700,100.0300,99.9600,100.0100,6100
1467817383,99.9700,100.0099,99.9700,100.0000,1100
1467817499,99.9400,100.0050,99.9400,99.9800,15100
1467817550,99.9800,100.0100,99.9550,99.9550,3800
1467817560,99.9550,100.0050,99.9500,100.0000,2100
1467817672,99.9800,100.0000,99.9400,99.9600,2500
1467817734,100.0000,100.0200,99.9500,99.9900,5600
1467817741,100.0000,100.0380,100.0000,100.0100,14900
1467817859,100.0000,100.0300,99.9900,99.9900,17300
1467817917,100.0400,100.0500,100.0000,100.0100,22800
1467817979,100.0100,100.0316,100.0000,100.0300,5400
1467818038,100.0600,100.0800,100.0100,100.0150,7800
1467818094,100.2150,100.2300,100.0700,100.0700,9600
1467818159,100.3600,100.4300,100.2300,100.2300,23500
1467818164,100.4300,100.4600,100.3500,100.3500,9800
1467818279,100.3850,100.4600,100.3800,100.4400,5100
1467818335,100.3600,100.4000,100.3600,100.3900,3600
1467818398,100.3300,100.4000,100.3300,100.3500,2800
1467818453,100.3450,100.4100,100.3200,100.3300,3900
1467818469,100.2950,100.3500,100.2700,100.3500,6500
1467818578,100.2600,100.3300,100.2600,100.3200,5000
1467818589,100.3100,100.3100,100.2300,100.2410,1900
1467818645,100.2900,100.3200,100.2600,100.2620,2300
1467818753,100.3000,100.3000,100.2900,100.2900,1700
1467818761,100.3200,100.3300,100.3000,100.3000,3900
1467818870,100.2792,100.3200,100.2600,100.3150,2000
1467818886,100.3100,100.3800,100.2750,100.3000,7700
1467818998,100.2700,100.3000,100.2700,100.3000,300
1467819059,100.3000,100.3400,100.2720,100.2720,2200
1467819062,100.3900,100.4000,100.3200,100.3200,6100
1467819151,100.3900,100.4100,100.3600,100.3600,5200
1467819184,100.3350,100.3800,100.3275,100.3500,1900
1467819248,100.2100,100.3200,100.2100,100.3200,3300
1467819328,100.2300,100.2300,100.1800,100.2000,1900
1467819417,100.2300,100.2400,100.1800,100.1800,2600
1467819420,100.2400,100.2400,100.1700,100.1700,1000
1467819537,100.2700,100.2800,100.2550,100.2700,700
1467819596,100.2900,100.2900,100.2600,100.2900,1800
1467819653,100.3000,100.3100,100.2900,100.2900,2400
1467819686,100.2500,100.3000,100.2500,100.3000,2800
1467819771,100.3000,100.3200,100.2984,100.3000,10000
1467819781,100.3200,100.3200,100.2800,100.3000,4300
1467819844,100.3660,100.3660,100.2900,100.2900,3100
1467819947,100.3700,100.3800,100.3400,100.3800,2100
1467819965,100.3600,100.3800,100.3600,100.3700,700
1467820028,100.3000,100.3500,100.3000,100.3400,10800
1467820080,100.3300,100.3600,100.2700,100.3200,1500
1467820190,100.3300,100.3700,100.3300,100.3300,14700
1467820212,100.3700,100.3700,100.2900,100.3700,400
1467820308,100.3300,100.3500,100.3300,100.3300,600
1467820321,100.3200,100.3600,100.3100,100.3450,5300
1467820433,100.4000,100.4000,100.3000,100.3300,2700
1467820444,100.4000,100.4250,100.3500,100.3750,12800
1467820501,100.4150,100.4150,100.3900,100.4150,2000
1467820610,100.4000,100.4150,100.3900,100.4150,2100
1467820626,100.3500,100.4000,100.3500,100.3700,2500
1467820699,100.3700,100.3900,100.3400,100.3900,1000
1467820741,100.3600,100.4000,100.3600,100.3800,7300
1467820857,100.4050,100.4050,100.3500,100.3500,25000
1467820919,100.3800,100.4100,100.3800,100.4000,7100
1467820978,100.4000,100.4200,100.3800,100.4000,4200
1467820980,100.4200,100.4300,100.3900,100.4000,2800
1467821040,100.4000,100.4100,100.3900,100.4100,4200
1467821156,100.3400,100.4000,100.3400,100.3800,2500
1467821162,100.3700,100.3800,100.3500,100.3500,2400
1467821229,100.4000,100.4050,100.3800,100.3800,6800
1467821333,100.3800,100.4050,100.3800,100.4000,6900
