uri:/instrument/1.0/MUR/chartdata;type=quote;range=1d/csv
ticker:mur
Company-Name:Murphy Oil Corporation Common S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:31.9700
Timestamp:1468589400,1468612800
labels:1468591200,1468594800,1468598400,1468602000,1468605600,1468609200,1468612800
values:Timestamp,close,high,low,open,volume
close:31.5352,32.4800
high:31.5400,32.4800
low:31.5301,32.4600
open:31.5301,32.4700
volume:100,98000
1468589490,32.3599,32.3599,32.3599,32.3599,62600
1468589601,32.1300,32.1301,32.1300,32.1301,800
1468589644,32.1700,32.1800,32.1150,32.1700,3200
1468589736,32.1700,32.1700,32.1300,32.1400,400
1468589779,32.0900,32.1900,32.0800,32.1500,2400
1468589867,32.1900,32.1900,32.0500,32.0500,4500
1468589887,32.2100,32.2300,32.1300,32.1500,2100
1468589994,32.1583,32.1800,32.1583,32.1800,800
1468590003,32.2200,32.2200,32.0800,32.1300,5300
1468590066,32.1699,32.1699,32.1200,32.1680,700
1468590137,32.0800,32.1600,32.0800,32.1200,2400
1468590188,32.1600,32.1600,32.1200,32.1200,300
1468590240,32.1306,32.1600,32.1306,32.1600,900
1468590318,32.1600,32.1700,32.1200,32.1200,1000
1468590364,32.2500,32.2600,32.1900,32.2300,4600
1468590539,32.2900,32.3100,32.1800,32.2100,29600
1468590598,32.3100,32.3157,32.2900,32.2900,3900
1468590602,32.4200,32.4200,32.3300,32.3300,4000
1468590714,32.4690,32.4700,32.4500,32.4700,4300
1468590777,32.4600,32.4800,32.4600,32.4600,2200
1468590784,32.3900,32.4500,32.3800,32.4500,2800
1468590899,32.3850,32.4500,32.3850,32.4000,2200
1468590903,32.4400,32.4500,32.3700,32.3700,1800
1468591016,32.3500,32.4300,32.3400,32.4300,2400
1468591022,32.3500,32.3600,32.3500,32.3500,900
1468591135,32.3500,32.3800,32.3200,32.3600,2600
1468591164,32.3500,32.3800,32.3500,32.3500,1900
1468591257,32.3600,32.3600,32.3200,32.3400,2900
1468591315,32.4800,32.4800,32.3700,32.3700,7400
1468591373,32.4300,32.4600,32.4200,32.4600,5000
1468591382,32.3800,32.4300,32.3600,32.4300,4000
