uri:/instrument/1.0/NE/chartdata;type=quote;range=1d/csv
ticker:ne
Company-Name:Noble Corporation Ordinary Shar
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.2400
Timestamp:1467379800,1467403200
labels:1467381600,1467385200,1467388800,1467392400,1467396000,1467399600,1467403200
values:Timestamp,close,high,low,open,volume
close:8.2200,8.9800
high:8.2400,8.9800
low:8.2100,8.9700
open:8.2100,8.9701
volume:600,250200
1467379918,8.2200,8.2400,8.2200,8.2200,69300
1467379976,8.2900,8.2900,8.2100,8.2100,18300
1467379990,8.3500,8.3500,8.2980,8.3000,33800
1467380095,8.3800,8.3800,8.3430,8.3500,23300
1467380159,8.4000,8.4300,8.3600,8.3800,35400
1467380214,8.4300,8.4500,8.3864,8.4000,24600
1467380221,8.4100,8.4400,8.3800,8.4400,18700
1467380339,8.4100,8.4200,8.3950,8.4200,21700
1467380340,8.4400,8.4400,8.4000,8.4100,14200
1467380457,8.4500,8.4800,8.4400,8.4400,28700
1467380461,8.4600,8.4800,8.4500,8.4500,19500
1467380528,8.4900,8.4900,8.4600,8.4700,4200
1467380638,8.5100,8.5200,8.4800,8.5000,19800
1467380646,8.4900,8.5200,8.4900,8.5150,10200
1467380758,8.5100,8.5200,8.4800,8.4900,26200
1467380816,8.5500,8.5500,8.5000,8.5100,22700
1467380875,8.5250,8.5500,8.5200,8.5450,46400
1467380933,8.5200,8.5415,8.5200,8.5300,13700
1467380997,8.5100,8.5202,8.5100,8.5200,15800
1467381059,8.5100,8.5300,8.5100,8.5150,10400
1467381062,8.5000,8.5185,8.4900,8.5000,31000
1467381121,8.5100,8.5100,8.4900,8.5000,21300
1467381186,8.5250,8.5300,8.5100,8.5100,24000
1467381299,8.5300,8.5400,8.5200,8.5200,8800
1467381356,8.5200,8.5300,8.5199,8.5200,8300
1467381363,8.5100,8.5250,8.5100,8.5200,7700
1467381478,8.5450,8.5500,8.5100,8.5100,23700
1467381480,8.5300,8.5600,8.5250,8.5499,15800
1467381599,8.5300,8.5700,8.5250,8.5300,41900
1467381600,8.5900,8.5900,8.5400,8.5400,39200
1467381715,8.5850,8.6050,8.5700,8.6000,29300
1467381775,8.6100,8.6100,8.5900,8.6100,18800
1467381834,8.6230,8.6300,8.6000,8.6000,18800
1467381894,8.6330,8.6500,8.6250,8.6300,22000
1467381956,8.6450,8.6600,8.6450,8.6500,37300
1467382017,8.6400,8.6600,8.6400,8.6500,33300
1467382079,8.6450,8.6450,8.6300,8.6450,19800
1467382133,8.6600,8.6600,8.6350,8.6400,95700
1467382199,8.6700,8.6800,8.6500,8.6510,26500
1467382212,8.6600,8.6750,8.6500,8.6750,26900
1467382319,8.6900,8.7000,8.6800,8.6800,21800
1467382379,8.6950,8.7000,8.6800,8.6900,23200
1467382385,8.6950,8.7000,8.6900,8.6900,5800
1467382489,8.7050,8.7100,8.6900,8.6901,8900
