uri:/instrument/1.0/NFLX/chartdata;type=quote;range=1d/csv
ticker:nflx
Company-Name:Netflix, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:97.0300
Timestamp:1470663000,1470686400
labels:1470664800,1470668400,1470672000,1470675600,1470679200,1470682800,1470686400
values:Timestamp,close,high,low,open,volume
close:94.0562,95.6658
high:94.1100,95.9300
low:94.0000,95.5200
open:94.0600,95.8000
volume:1600,263600
1470663059,95.6658,95.7100,95.5100,95.5200,263600
1470663119,95.5200,95.9300,95.5200,95.8000,93700
1470663179,95.3900,95.7000,95.2000,95.5200,129800
1470663180,95.4900,95.5200,95.3000,95.3900,68200
1470663299,95.2900,95.5300,95.2500,95.4900,76500
1470663358,95.4000,95.4600,95.2700,95.2900,53600
1470663361,95.1300,95.4890,95.1200,95.3750,95000
1470663424,95.2001,95.2300,95.1050,95.1500,106000
1470663539,95.1350,95.4200,95.1200,95.2000,87400
1470663599,94.6664,95.1340,94.6500,95.1340,188200
1470663659,94.7800,94.9300,94.6432,94.6770,113500
1470663719,94.6700,94.9400,94.6500,94.7700,95500
1470663720,94.6100,94.7200,94.6100,94.6650,71900
1470663780,94.8092,94.9000,94.5600,94.6300,109100
1470663840,95.1900,95.3300,94.7500,94.7800,110200
1470663900,94.9050,95.2100,94.8900,95.1900,43200
1470664019,94.8474,94.9199,94.8100,94.9199,32200
1470664020,94.8700,94.9400,94.8200,94.8300,34600
1470664138,94.9300,94.9590,94.8000,94.8800,30400
1470664140,94.7500,94.8800,94.7500,94.8750,79300
1470664259,94.7000,94.8300,94.7000,94.7600,73100
1470664260,94.7800,94.8400,94.7030,94.7100,30200
1470664320,94.6300,94.8400,94.6300,94.7900,48000
1470664439,94.5000,94.7000,94.3800,94.6690,150300
1470664440,94.6600,94.6690,94.4700,94.5200,42200
1470664559,94.7000,94.7699,94.6501,94.6700,24700
1470664619,94.7200,94.7500,94.6625,94.7200,40500
1470664620,94.5900,94.7400,94.5700,94.7300,36800
1470664739,94.5356,94.6000,94.5100,94.6000,37900
1470664799,94.5401,94.5800,94.5000,94.5350,41600
1470664859,94.4550,94.5500,94.4300,94.5500,63800
1470664919,94.2400,94.4578,94.2200,94.4499,71500
1470664979,94.2702,94.4000,94.2400,94.2478,71000
1470664983,94.2500,94.3900,94.2500,94.2700,32400
1470665099,94.1890,94.2800,94.1700,94.2650,83600
1470665100,94.1000,94.1900,94.0000,94.1890,162600
1470665219,94.0800,94.1300,94.0500,94.1000,38500
1470665220,94.1600,94.2500,94.0700,94.0819,47200
1470665280,94.2500,94.3400,94.1700,94.1800,86800
1470665399,94.2700,94.3600,94.2500,94.2700,63900
1470665400,94.4900,94.4900,94.2600,94.2600,61300
1470665519,94.6600,94.6700,94.4800,94.4900,87300
1470665579,94.5900,94.6500,94.5400,94.6399,78200
1470665637,94.7200,94.7200,94.5700,94.5900,56300
1470665640,94.5900,94.7200,94.5600,94.7200,50700
1470665700,94.6500,94.7000,94.6000,94.6100,35700
1470665760,94.6504,94.7100,94.6010,94.6800,44700
1470665879,94.6610,94.8190,94.6300,94.6500,40300
1470665939,94.4600,94.6670,94.4500,94.6600,46700
1470665997,94.4960,94.5600,94.4500,94.4700,19200
1470666001,94.4800,94.4990,94.4000,94.4700,31700
1470666119,94.4025,94.4700,94.3810,94.4600,22500
1470666121,94.3500,94.4900,94.2800,94.3900,24000
1470666238,94.2800,94.3600,94.2300,94.3410,26400
1470666240,94.2500,94.3100,94.2500,94.2640,21200
1470666300,94.2200,94.2840,94.2000,94.2500,23600
1470666419,94.2734,94.3179,94.2200,94.2300,35200
1470666479,94.2710,94.2800,94.2500,94.2800,17300
1470666535,94.3600,94.4100,94.2700,94.2750,44700
1470666598,94.4000,94.4000,94.3200,94.3599,15100
1470666658,94.3683,94.3927,94.2800,94.3900,55600
1470666666,94.2900,94.3900,94.2800,94.3800,24200
1470666724,94.3200,94.3600,94.2801,94.2904,13600
1470666839,94.4000,94.4300,94.3500,94.3500,25100
1470666895,94.3000,94.4170,94.2900,94.4000,43300
