uri:/instrument/1.0/NFX/chartdata;type=quote;range=1d/csv
ticker:nfx
Company-Name:Newfield Exploration Company Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:42.8800
Timestamp:1466688600,1466712000
labels:1466690400,1466694000,1466697600,1466701200,1466704800,1466708400,1466712000
values:Timestamp,close,high,low,open,volume
close:42.6450,43.9800
high:42.6700,44.0800
low:42.6400,43.9200
open:42.6450,43.9999
volume:0,89300
1466688644,43.5300,43.9600,43.5300,43.9600,84500
1466688718,43.9200,43.9800,43.7300,43.8800,49200
1466688722,43.9500,44.0800,43.8900,43.9800,18600
1466688836,43.9800,43.9999,43.9200,43.9999,1700
1466688840,43.8100,43.9600,43.8000,43.9300,6900
1466688909,43.7299,43.8200,43.7299,43.8000,8500
1466688967,43.6600,43.8300,43.6000,43.7200,56100
1466689020,43.7700,43.8300,43.6300,43.6400,7800
1466689139,43.6750,43.7800,43.6500,43.7500,10700
1466689197,43.6800,43.7450,43.6100,43.6999,24800
1466689201,43.7350,43.7350,43.6600,43.7000,10200
1466689306,43.7400,43.7700,43.7200,43.7300,4400
1466689377,43.7200,43.7400,43.6700,43.7300,9300
1466689380,43.6200,43.7300,43.6200,43.7100,4400
1466689445,43.5200,43.6300,43.5200,43.5900,5700
1466689502,43.5900,43.6400,43.5200,43.5200,6400
1466689618,43.4400,43.6000,43.4300,43.5700,12000
1466689621,43.4800,43.5300,43.4200,43.4300,8000
1466689737,43.5300,43.5500,43.4600,43.4700,5600
1466689742,43.4600,43.5600,43.4500,43.5200,14000
1466689855,43.4000,43.4600,43.3800,43.4300,9500
1466689919,43.2800,43.3912,43.2500,43.3912,18000
1466689978,43.2500,43.2800,43.2200,43.2800,19100
1466690037,43.1929,43.2300,43.1200,43.2300,13900
1466690042,43.2300,43.2400,43.1950,43.1950,6200
1466690153,43.2200,43.2400,43.1600,43.2200,7500
1466690163,43.2400,43.2598,43.2100,43.2200,2400
1466690279,43.2400,43.3100,43.2300,43.2600,8100
1466690284,43.2500,43.2600,43.2000,43.2200,4400
1466690398,43.2400,43.2600,43.2200,43.2200,3800
1466690400,43.2100,43.2700,43.1800,43.2450,9400
1466690518,43.3000,43.3200,43.2400,43.2400,7100
1466690520,43.3400,43.3500,43.3000,43.3000,6400
1466690637,43.2300,43.3500,43.2300,43.3500,14500
1466690694,43.3000,43.3100,43.2500,43.2700,4500
1466690758,43.3100,43.3500,43.2700,43.3000,6800
1466690762,43.2600,43.3500,43.2300,43.3200,5200
1466690873,43.1900,43.2500,43.1600,43.2500,13500
1466690932,43.1300,43.1900,43.1200,43.1900,6700
1466690999,43.0900,43.1200,43.0800,43.1200,11500
1466691059,43.1100,43.1200,43.0700,43.0900,8100
1466691060,43.1300,43.1300,43.0900,43.1100,4300
1466691129,43.1300,43.1400,43.1000,43.1300,8300
1466691231,43.1200,43.1400,43.1100,43.1200,2600
1466691290,43.1400,43.1400,43.1100,43.1100,2300
1466691303,43.1800,43.2000,43.1400,43.1400,11800
1466691411,43.0670,43.1800,43.0670,43.1800,6900
1466691477,43.0999,43.1100,43.0800,43.0900,7900
1466691534,43.0900,43.1300,43.0800,43.1000,23600
1466691595,43.0600,43.0800,43.0300,43.0800,8600
1466691659,42.9700,43.0900,42.9600,43.0700,21300
1466691660,42.9900,43.0000,42.9800,42.9800,30900
1466691776,42.9800,42.9950,42.9600,42.9950,7800
1466691780,42.9600,42.9800,42.9300,42.9800,6500
1466691842,42.9700,42.9700,42.9500,42.9700,3000
1466691901,43.0300,43.0400,42.9650,42.9700,19200
1466692018,43.0000,43.0400,42.9800,43.0300,6400
1466692075,43.0100,43.0100,42.9800,43.0000,18900
1466692126,43.0200,43.0300,42.9900,43.0100,31800
1466692147,43.0600,43.0800,43.0100,43.0200,6500
1466692259,42.9000,43.0600,42.8700,43.0600,9900
1466692298,42.9500,42.9500,42.9000,42.9000,3200
1466692374,43.0999,43.0999,42.9500,42.9500,7400
1466692382,43.1100,43.1200,43.0800,43.0850,10500
1466692499,43.0600,43.1000,43.0200,43.1000,5500
1466692501,42.9800,43.0600,42.9800,43.0500,6500
1466692613,43.0400,43.0400,42.9800,43.0000,6600
1466692679,43.0900,43.1050,43.0350,43.0400,11900
1466692737,43.1250,43.1297,43.0800,43.0900,8200
1466692742,43.1310,43.1500,43.1200,43.1200,12000
1466692857,43.1900,43.2100,43.1300,43.1400,18800
1466692914,43.1597,43.2000,43.1400,43.2000,12800
1466692960,43.1600,43.1700,43.1400,43.1500,4300
1466693039,43.2250,43.2499,43.1750,43.1800,7600
1466693095,43.2100,43.2300,43.1900,43.2250,10200
1466693101,43.1300,43.2150,43.1300,43.2150,9200
1466693219,43.0900,43.1400,43.0900,43.1200,4600
1466693279,43.1800,43.1800,43.0700,43.0700,9900
1466693338,43.1400,43.1800,43.1400,43.1800,12400
1466693399,43.1300,43.1500,43.1250,43.1350,6900
1466693456,43.1100,43.1400,43.1100,43.1400,7000
1466693461,43.1200,43.1300,43.0950,43.1150,8000
1466693537,43.1900,43.2150,43.1200,43.1300,6100
1466693628,43.1700,43.2100,43.1500,43.2100,6100
1466693692,43.1500,43.1800,43.1500,43.1750,6800
1466693753,43.1100,43.1600,43.1100,43.1500,5400
1466693762,43.0899,43.1100,43.0700,43.1100,4700
1466693821,43.1225,43.1500,43.0800,43.0800,4900
1466693890,43.1600,43.1699,43.1300,43.1300,2700
1466693993,43.1300,43.1400,43.1200,43.1400,3000
1466694058,43.1800,43.1800,43.1400,43.1400,15500
1466694116,43.1700,43.2000,43.1400,43.1900,18400
1466694174,43.1250,43.1750,43.1200,43.1700,18800
1466694232,43.1500,43.1500,43.1150,43.1200,5700
1466694299,43.2075,43.2200,43.1500,43.1500,13800
1466694358,43.1500,43.2000,43.1500,43.2000,8800
1466694417,43.1300,43.1550,43.1300,43.1500,9200
1466694478,43.0899,43.1400,43.0899,43.1300,15000
1466694539,43.1000,43.1050,43.0700,43.0800,6800
1466694599,43.0900,43.1100,43.0900,43.1100,7200
1466694658,43.0901,43.1000,43.0900,43.0900,11300
1466694719,43.0700,43.1000,43.0500,43.0900,12600
1466694775,43.1000,43.1000,43.0650,43.0650,4600
1466694839,43.1000,43.1200,43.0900,43.0900,10700
1466694899,43.1100,43.1100,43.0900,43.1000,6600
1466694958,43.1000,43.1100,43.0950,43.1000,9000
1466695018,43.1200,43.1200,43.1000,43.1000,3900
1466695079,43.0600,43.1150,43.0600,43.1100,8700
1466695081,43.0800,43.0800,43.0400,43.0650,8400
1466695199,43.0900,43.1000,43.0800,43.0900,7000
1466695259,43.1000,43.1050,43.0700,43.0900,10400
1466695313,43.1300,43.1400,43.1100,43.1100,8500
1466695379,43.1200,43.1300,43.1000,43.1200,6900
1466695439,43.1100,43.1400,43.1000,43.1200,6300
1466695441,43.1100,43.1400,43.1000,43.1200,8900
1466695559,43.1350,43.1350,43.0800,43.1000,8200
1466695609,43.1210,43.1400,43.0700,43.1400,14400
1466695676,43.1800,43.1800,43.1200,43.1200,6600
1466695739,43.2000,43.2200,43.1800,43.1800,11800
1466695740,43.1700,43.2000,43.1500,43.2000,8500
1466695859,43.2000,43.2100,43.1600,43.1690,15300
1466695918,43.2200,43.2301,43.2010,43.2010,11200
1466695973,43.2200,43.2250,43.2029,43.2150,6800
1466696039,43.2200,43.2200,43.2000,43.2150,6700
1466696098,43.1900,43.2100,43.1800,43.2100,10600
1466696150,43.1500,43.1900,43.1400,43.1900,8600
1466696160,43.1700,43.1700,43.1300,43.1400,8500
1466696220,43.1700,43.1900,43.1600,43.1700,8800
1466696339,43.1400,43.1800,43.1400,43.1750,4800
1466696342,43.1600,43.1750,43.1400,43.1400,7300
1466696459,43.1350,43.1750,43.1300,43.1600,15900
1466696461,43.1300,43.1350,43.1100,43.1200,4100
1466696525,43.1200,43.1350,43.1100,43.1300,2900
1466696638,43.1300,43.1500,43.1100,43.1100,15300
1466696691,43.1300,43.1400,43.1000,43.1300,8700
1466696759,43.1400,43.1400,43.1000,43.1200,6600
1466696813,43.1100,43.1600,43.1000,43.1400,15500
1466696873,43.0200,43.1100,43.0200,43.1100,11100
1466696883,43.0100,43.0400,42.9900,43.0200,11900
1466696990,43.0400,43.0400,42.9600,43.0100,8500
1466697054,43.0400,43.0500,43.0100,43.0300,8000
1466697062,43.0900,43.1000,43.0100,43.0400,6300
1466697179,43.0900,43.0900,43.0800,43.0800,1000
1466697228,43.0900,43.1000,43.0899,43.1000,5500
1466697298,43.0600,43.0900,43.0500,43.0900,4400
1466697359,43.0200,43.0700,43.0200,43.0600,5700
1466697417,42.9600,43.0150,42.9600,43.0150,4500
1466697420,42.9800,42.9800,42.9400,42.9500,3600
1466697497,42.9900,43.0000,42.9850,42.9900,1900
1466697599,43.0100,43.0200,42.9800,42.9900,10600
1466697658,43.0200,43.0250,43.0000,43.0100,7300
1466697664,43.0600,43.0600,43.0100,43.0200,2800
1466697777,43.0300,43.0900,43.0300,43.0600,5800
1466697818,43.0300,43.0300,43.0100,43.0200,2600
1466697893,42.9900,43.0300,42.9700,43.0300,3100
1466697944,43.0150,43.0162,42.9800,42.9900,2900
1466697960,43.0400,43.0450,43.0100,43.0100,3600
1466698031,43.1000,43.1000,43.0400,43.0400,2900
1466698134,43.1000,43.1200,43.1000,43.1200,1300
1466698193,43.1400,43.1500,43.1050,43.1050,6600
1466698257,43.0900,43.1500,43.0900,43.1500,29700
1466698319,43.1000,43.1300,43.0800,43.0900,12300
1466698322,43.1400,43.1500,43.0900,43.1000,5600
1466698437,43.1300,43.1400,43.1300,43.1300,2700
1466698498,43.1000,43.1350,43.0900,43.1300,4500
1466698555,43.1050,43.1050,43.0900,43.0900,4400
1466698560,43.0800,43.1000,43.0700,43.1000,6600
1466698636,43.0800,43.0850,43.0700,43.0800,2200
1466698716,43.0700,43.0800,43.0600,43.0700,2000
1466698799,43.1150,43.1200,43.0800,43.0800,5300
1466698802,43.0900,43.1200,43.0800,43.1200,6300
1466698908,43.0900,43.0900,43.0900,43.0900,2300
1466698976,43.1000,43.1200,43.0950,43.1000,4400
1466699026,43.1350,43.1375,43.1000,43.1000,2800
1466699048,43.1700,43.1700,43.1400,43.1400,3100
1466699100,43.1500,43.1900,43.1500,43.1800,9500
1466699211,43.1450,43.1500,43.1400,43.1500,2900
1466699269,43.0800,43.1450,43.0800,43.1400,5600
1466699326,43.1000,43.1050,43.0900,43.0900,4600
1466699383,43.0900,43.1000,43.0900,43.0950,500
1466699427,43.0800,43.0900,43.0700,43.0900,4900
1466699464,43.0900,43.0900,43.0800,43.0800,2100
1466699525,43.1000,43.1050,43.0900,43.0900,2700
1466699623,43.1850,43.1850,43.1200,43.1200,2100
1466699687,43.2100,43.2200,43.1800,43.1900,4600
1466699753,43.1919,43.2200,43.1900,43.2100,6100
1466699760,43.1900,43.2000,43.1900,43.2000,2500
1466699820,43.1900,43.2200,43.1900,43.1900,3300
1466699933,43.2100,43.2100,43.2000,43.2000,3300
1466699998,43.2700,43.2700,43.2100,43.2100,3800
1466700049,43.2650,43.2800,43.2600,43.2800,6600
1466700107,43.2300,43.2700,43.2300,43.2700,5400
1466700134,43.1300,43.2300,43.1200,43.2300,4700
1466700186,43.1500,43.1500,43.1300,43.1400,1600
1466700280,43.1400,43.1550,43.1400,43.1500,2000
1466700308,43.1400,43.1500,43.1300,43.1400,2300
1466700416,43.1000,43.1450,43.0900,43.1450,5000
1466700424,43.1050,43.1100,43.0900,43.1000,3500
1466700501,43.1300,43.1300,43.1100,43.1100,1100
1466700588,43.1400,43.1629,43.1400,43.1400,3000
1466700650,43.1200,43.1400,43.1100,43.1300,4800
1466700668,43.1500,43.1500,43.1200,43.1200,2100
1466700732,43.1400,43.1550,43.1300,43.1500,3600
1466700809,43.1400,43.1450,43.1250,43.1400,3200
1466700841,43.1900,43.2000,43.1450,43.1450,1700
1466700957,43.1800,43.2100,43.1700,43.2000,3800
1466700979,43.1700,43.1800,43.1650,43.1700,6100
1466701079,43.1199,43.1700,43.0900,43.1700,8000
1466701138,43.0800,43.1350,43.0800,43.1200,4400
1466701199,43.0100,43.0800,43.0100,43.0800,6200
1466701251,42.9700,43.0100,42.9700,43.0000,5000
1466701316,42.9200,42.9800,42.9200,42.9800,5500
