uri:/instrument/1.0/NOC/chartdata;type=quote;range=1d/csv
ticker:noc
Company-Name:Northrop Grumman Corporation Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:221.7300
Timestamp:1467898200,1467921600
labels:1467900000,1467903600,1467907200,1467910800,1467914400,1467918000,1467921600
values:Timestamp,close,high,low,open,volume
close:219.8999,221.9500
high:219.9100,222.0300
low:219.8100,221.5200
open:219.8300,221.7400
volume:100,91600
1467898253,221.6700,222.0300,221.5200,221.7400,8400
1467898294,221.4200,221.4200,221.4200,221.4200,200
1467898320,221.3600,221.6700,221.3600,221.6700,1500
1467898380,220.8800,221.3400,220.8800,221.3400,1600
1467898503,221.3700,221.5100,221.0300,221.0600,3400
1467898569,221.4700,221.9700,221.4000,221.5200,1300
1467898645,221.3900,221.3900,221.3745,221.3745,600
1467898688,221.4300,221.4300,221.4300,221.4300,700
1467898804,221.2700,221.3300,221.2300,221.3300,1600
1467898886,221.3585,221.5100,221.3585,221.5100,1500
1467898950,221.5000,221.5100,221.3200,221.5000,2400
1467899039,221.9500,221.9500,221.4500,221.4600,6200
1467899040,221.4000,221.5600,221.4000,221.5500,900
1467899100,221.6000,221.6000,221.4900,221.5200,500
1467899172,221.4800,221.5600,221.3300,221.5000,5500
1467899258,221.2700,221.3500,221.2700,221.3500,1200
1467899291,221.2200,221.3500,221.2200,221.2700,1300
1467899349,221.3900,221.5700,221.3500,221.3500,2000
1467899413,221.2400,221.2400,221.2400,221.2400,200
1467899512,221.0900,221.2700,220.9900,221.2700,2000
1467899542,220.9400,220.9900,220.9000,220.9100,1600
1467899632,220.8100,220.9946,220.8100,220.9946,1200
1467899642,221.0200,221.0200,220.8167,220.8600,1500
1467899706,221.1599,221.2500,221.0050,221.0400,1400
1467899810,220.9400,221.0000,220.9400,221.0000,1000
1467899840,221.1600,221.1600,220.9400,220.9400,1500
1467899891,221.0900,221.0900,221.0900,221.0900,1000
1467899969,220.9700,220.9700,220.9700,220.9700,100
1467900000,220.9200,221.0361,220.9200,220.9700,4600
1467900080,221.1100,221.1100,220.9570,220.9570,3000
1467900156,221.2000,221.3160,221.2000,221.3160,400
1467900202,221.0400,221.0900,221.0400,221.0900,1800
1467900296,221.0500,221.0500,221.0500,221.0500,200
1467900309,221.1600,221.1600,221.0300,221.0500,1400
1467900366,221.0000,221.1100,221.0000,221.1100,1800
1467900421,221.0100,221.0700,221.0100,221.0700,2300
1467900493,220.9700,221.0700,220.9500,221.0700,2000
1467900600,220.9000,220.9300,220.9000,220.9300,700
1467900695,220.8600,220.9000,220.8600,220.9000,900
1467900738,220.9600,220.9600,220.8800,220.9300,1900
1467900814,221.0000,221.0000,221.0000,221.0000,800
1467900852,220.9000,220.9500,220.8800,220.9500,1600
1467900935,220.8450,220.8500,220.8050,220.8300,5000
1467900995,220.6200,220.7600,220.6200,220.7600,2400
1467901133,220.6400,220.7100,220.6400,220.7100,900
1467901150,220.5500,220.5500,220.5500,220.5500,900
1467901285,220.4600,220.4600,220.4600,220.4600,300
1467901375,220.5800,220.6000,220.4600,220.4600,2700
1467901393,220.3580,220.4800,220.3580,220.4800,1800
1467901485,220.3500,220.3500,220.3500,220.3500,300
1467901507,220.4100,220.4100,220.3500,220.3500,600
1467901576,220.5350,220.5350,220.4100,220.4600,3700
1467901644,220.6000,220.6200,220.5700,220.6200,1000
1467901707,220.6050,220.6050,220.6050,220.6050,100
1467901740,220.5500,220.6320,220.5200,220.6320,2300
1467901877,220.8100,220.8100,220.8100,220.8100,900
1467902026,220.8100,220.8100,220.8100,220.8100,200
1467902048,220.8100,220.8100,220.8100,220.8100,800
1467902101,220.7400,220.8000,220.7400,220.8000,1100
1467902218,220.8000,220.8000,220.7400,220.7400,1100
1467902244,220.6900,220.8600,220.6900,220.7550,5400
1467902285,220.7450,220.7450,220.7450,220.7450,800
1467902371,220.8300,220.8350,220.7900,220.7900,1200
1467902462,220.7500,220.8000,220.7400,220.8000,5400
1467902525,220.8500,220.8500,220.7000,220.7000,2200
1467902657,220.8250,220.8800,220.8100,220.8700,2400
1467902762,220.9700,220.9700,220.9400,220.9400,700
1467902873,220.9500,220.9500,220.9300,220.9400,1200
1467902952,221.0300,221.0300,220.9700,221.0200,1800
1467903006,220.9500,220.9500,220.9500,220.9500,300
1467903118,221.2000,221.2000,220.9400,220.9400,2100
1467903130,221.1900,221.1900,221.1900,221.1900,200
1467903209,221.1100,221.1750,221.1100,221.1750,1500
1467903252,221.0700,221.1000,221.0700,221.0800,1200
1467903324,221.0200,221.0200,220.9700,221.0100,1200
1467903384,220.8500,220.9500,220.8500,220.9500,900
1467903427,221.0250,221.1300,220.8700,220.8700,2200
1467903537,221.2000,221.2000,221.2000,221.2000,200
1467903554,221.0900,221.1800,221.0900,221.1800,1700
1467903601,221.2750,221.2750,220.9600,220.9600,3000
1467903729,221.2700,221.2800,221.1400,221.2000,4100
1467903831,221.2001,221.2900,221.2001,221.2900,300
1467903860,221.1400,221.3800,221.1400,221.3700,4100
1467903907,221.0900,221.0900,221.0900,221.0900,1200
1467904028,221.1250,221.1850,221.1250,221.1850,3200
1467904113,220.9300,221.0100,220.9300,221.0100,400
1467904185,220.9900,220.9900,220.9100,220.9200,1000
1467904232,220.9500,220.9500,220.9100,220.9100,1200
1467904271,220.9200,220.9500,220.8600,220.9100,2700
1467904323,220.8900,220.9100,220.8900,220.9100,300
1467904385,220.7700,220.8600,220.7700,220.8600,1600
1467904485,220.6200,220.6500,220.6200,220.6400,600
1467904502,220.8000,220.8000,220.6100,220.6100,1600
1467904673,220.6600,220.6700,220.5200,220.6100,1700
1467904803,220.5050,220.6100,220.5050,220.6100,1600
1467904984,220.5300,220.7200,220.5300,220.7200,300
1467905051,220.4000,220.5700,220.4000,220.5700,2500
1467905125,220.5350,220.5800,220.4700,220.5500,2700
1467905204,220.7000,220.7000,220.7000,220.7000,500
1467905320,220.7200,220.7200,220.7100,220.7100,600
1467905343,220.7500,220.7500,220.7300,220.7300,600
1467905450,220.8300,220.8300,220.7750,220.7750,300
1467905483,220.6700,220.7750,220.6700,220.7139,2000
1467905530,220.6400,220.7304,220.6400,220.7304,800
1467905590,220.7300,220.7300,220.6600,220.7000,1200
1467905652,220.8000,220.8486,220.6300,220.6300,1700
1467905736,220.7700,220.8300,220.7700,220.8300,1300
1467905762,220.6500,220.6657,220.6500,220.6657,1100
1467905896,220.5600,220.6500,220.5600,220.6500,1700
1467906054,220.5400,220.5400,220.5400,220.5400,100
1467906093,220.6800,220.6800,220.5400,220.5400,2300
1467906120,220.6671,220.7200,220.6500,220.6500,1400
1467906263,220.7800,220.7800,220.7200,220.7200,1000
1467906301,220.7300,220.7500,220.7300,220.7500,1100
1467906414,220.6700,220.6700,220.6700,220.6700,800
1467906484,220.7600,220.8000,220.7150,220.7900,3100
1467906617,220.6600,220.6600,220.6600,220.6600,300
1467906692,220.6405,220.6405,220.6405,220.6405,700
1467906739,220.6300,220.6800,220.6300,220.6400,700
1467906817,220.5400,220.5400,220.5400,220.5400,400
1467906880,220.5400,220.5700,220.5150,220.5700,1100
1467906934,220.4700,220.5400,220.4400,220.5200,1500
1467906965,220.4750,220.4750,220.4700,220.4700,700
1467907106,220.5500,220.5500,220.4300,220.4800,700
1467907177,220.4300,220.4300,220.4300,220.4300,100
1467907220,220.5000,220.5200,220.5000,220.5200,1400
1467907260,220.5800,220.5800,220.5150,220.5150,91600
1467907368,220.4100,220.4600,220.4100,220.4600,900
1467907421,220.3800,220.3800,220.3800,220.3800,100
1467907440,220.4850,220.5500,220.4300,220.4700,1900
1467907500,220.5900,220.5900,220.5499,220.5500,700
1467907624,220.5500,220.5500,220.5400,220.5400,4700
1467907680,220.6200,220.6200,220.4600,220.5000,2300
1467907742,220.6100,220.6100,220.6100,220.6100,200
1467907800,220.7100,220.7100,220.5800,220.6000,3000
1467907923,220.7100,220.7100,220.7100,220.7100,700
1467908062,220.7600,220.8200,220.7600,220.8200,1000
1467908166,220.7300,220.8100,220.7300,220.8100,1600
1467908334,220.7100,220.7100,220.7100,220.7100,300
1467908386,220.8600,220.9000,220.7900,220.7900,1800
1467908417,220.8700,220.9300,220.8700,220.9200,1300
1467908503,220.9500,220.9500,220.9500,220.9500,300
1467908536,221.0308,221.0700,220.8800,220.8800,600
1467908581,220.9700,220.9800,220.9600,220.9600,1700
1467908645,221.0100,221.0100,220.9900,220.9900,500
1467908726,220.9400,221.0500,220.9400,221.0400,3300
1467908782,221.0000,221.0000,220.9600,220.9600,600
1467908886,221.0650,221.1300,221.0100,221.0700,1800
1467908979,221.1700,221.1700,221.1700,221.1700,100
1467909051,220.9500,221.1400,220.9500,221.1400,1900
1467909095,220.9300,220.9400,220.9300,220.9300,900
1467909143,220.9600,220.9600,220.9600,220.9600,500
1467909190,220.8900,220.9400,220.8900,220.9400,1200
1467909370,220.8200,220.8300,220.8200,220.8300,200
1467909461,220.7600,220.8100,220.7215,220.8100,2500
1467909493,220.8500,220.8500,220.8500,220.8500,500
1467909574,220.7700,220.8200,220.7700,220.8200,400
1467909628,220.7667,220.7700,220.7667,220.7700,200
1467909662,220.7500,220.8032,220.7500,220.7900,1300
1467909733,220.7000,220.7000,220.7000,220.7000,100
1467909877,220.6200,220.7300,220.6200,220.6200,600
1467909994,220.7500,220.7500,220.6800,220.6800,800
1467910045,220.7600,220.8000,220.7600,220.7648,1100
1467910200,220.6200,220.7750,220.6200,220.7701,3300
1467910442,220.5500,220.6400,220.5500,220.6400,1400
1467910595,220.6700,220.6700,220.5400,220.5400,800
1467910769,220.5300,220.6300,220.5300,220.6300,1000
1467910820,220.6900,220.6900,220.6100,220.6300,1400
1467910945,220.5900,220.5900,220.5900,220.5900,1200
1467911105,220.4600,220.4600,220.4300,220.4300,800
1467911165,220.5200,220.5700,220.4800,220.4800,1300
1467911233,220.5450,220.5450,220.4700,220.4700,500
1467911362,220.6499,220.6499,220.6200,220.6300,1200
1467911416,220.5700,220.5900,220.5700,220.5900,700
1467911489,220.5750,220.5750,220.5750,220.5750,200
1467911558,220.7200,220.7200,220.5750,220.6200,1500
1467911620,220.8700,220.8700,220.8700,220.8700,100
1467911641,220.9200,220.9200,220.8915,220.8915,200
1467911744,220.7700,220.7900,220.7600,220.7900,900
1467911783,220.6700,220.8000,220.6700,220.8000,200
1467911943,220.7800,220.7800,220.6800,220.6800,900
1467912014,220.6900,220.7500,220.6600,220.6800,500
1467912132,220.5700,220.6800,220.5700,220.6800,1600
1467912254,220.5100,220.6100,220.5000,220.5900,4500
1467912319,220.5700,220.5700,220.5300,220.5300,400
1467912367,220.4900,220.6200,220.4900,220.6100,1200
1467912491,220.4000,220.4500,220.4000,220.4500,700
1467912567,220.2900,220.4400,220.2900,220.4400,2200
1467912600,220.4800,220.4800,220.3300,220.3300,2000
1467912682,220.4700,220.4700,220.3800,220.4300,900
1467912745,220.5900,220.6097,220.4350,220.4900,800
1467912863,220.7299,220.7299,220.5450,220.5450,1600
1467912920,220.6700,220.7499,220.6300,220.7400,1200
1467913002,220.7599,220.7599,220.6400,220.6800,1900
1467913050,220.7044,220.7044,220.7044,220.7044,200
1467913093,220.5700,220.6500,220.5600,220.6500,1600
1467913143,220.5950,220.6100,220.5950,220.6100,700
1467913211,220.6000,220.6450,220.5800,220.5900,900
1467913375,220.5050,220.5550,220.4800,220.5500,1500
1467913389,220.5050,220.5500,220.4500,220.4500,600
1467913463,220.6800,220.6800,220.5450,220.5600,900
1467913513,220.6600,220.7300,220.6300,220.7300,900
1467913561,220.5500,220.5700,220.5500,220.5700,1300
1467913677,220.6400,220.6400,220.5200,220.5200,19100
1467913683,220.5409,220.6297,220.5409,220.5900,700
1467913798,220.6200,220.6300,220.5500,220.5500,1400
1467913805,220.5900,220.6800,220.5900,220.6350,1300
1467913921,220.4600,220.6100,220.4600,220.5500,1100
1467914019,220.5500,220.5600,220.4700,220.4700,2600
1467914109,220.4300,220.5800,220.4200,220.5800,1200
1467914160,220.5600,220.6300,220.4300,220.4300,3400
1467914278,220.5700,220.6500,220.5700,220.6500,400
1467914288,220.6000,220.6600,220.5600,220.6600,1800
