uri:/instrument/1.0/ORLY/chartdata;type=quote;range=1d/csv
ticker:orly
Company-Name:O'Reilly Automotive, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:286.0100
Timestamp:1471613400,1471636800
labels:1471615200,1471618800,1471622400,1471626000,1471629600,1471633200,1471636800
values:Timestamp,close,high,low,open,volume
close:284.6700,287.5700
high:284.6700,287.5700
low:284.6600,287.5500
open:284.6600,287.5500
volume:100,32300
1471613535,286.0700,286.2700,286.0200,286.2700,32300
1471613584,286.0200,286.0200,285.9700,285.9700,600
1471613738,286.1700,286.1700,285.9300,285.9300,1200
1471613878,286.2000,286.2000,286.1400,286.1400,500
1471613914,286.1400,286.2200,286.1400,286.2200,1500
1471613980,286.3100,286.3100,286.3000,286.3100,1200
1471614037,285.8500,285.8500,285.8500,285.8500,100
1471614073,285.8500,285.8500,285.8500,285.8500,100
1471614169,286.4500,286.4500,285.8900,285.8900,500
1471614181,286.4100,286.4900,286.4100,286.4600,1300
1471614274,286.3250,286.3900,286.3250,286.3900,500
1471614332,286.1600,286.1600,286.1600,286.1600,500
1471614364,286.2300,286.2800,286.0600,286.2600,2000
1471614433,286.6350,286.6350,286.2100,286.4900,2500
1471614499,286.6000,286.7200,286.4700,286.5400,2200
1471614545,286.8200,286.8200,286.6000,286.6600,800
1471614601,286.7400,286.8700,286.5800,286.7560,2900
1471614668,286.8800,286.8800,286.7400,286.7400,900
1471614778,287.2330,287.2330,287.2330,287.2330,400
1471614804,287.2700,287.2700,287.2500,287.2500,400
1471614842,286.9575,287.1950,286.9100,287.1950,800
1471614913,286.9050,286.9800,286.8200,286.9700,1100
1471614981,286.8000,286.8100,286.8000,286.8100,300
1471615060,287.0950,287.1400,286.8850,286.9500,1300
1471615084,286.9000,287.2500,286.8200,287.2500,1000
1471615146,286.7000,286.7200,286.7000,286.7200,600
1471615210,286.8150,286.9700,286.7000,286.7000,1200
1471615278,286.8300,286.8700,286.8300,286.8700,300
1471615339,286.9350,286.9350,286.6500,286.6500,1700
1471615411,286.7500,286.9200,286.7500,286.8000,900
1471615507,286.8000,286.8000,286.8000,286.8000,400
1471615580,286.5500,286.5800,286.5500,286.5800,800
1471615646,286.6500,286.7500,286.5800,286.5900,1700
1471615687,286.7750,286.7750,286.6550,286.7300,900
1471615786,287.0300,287.0300,287.0300,287.0300,100
1471615859,287.1200,287.1200,287.1200,287.1200,100
1471615864,286.6300,286.9600,286.6300,286.9600,1800
1471615947,286.7000,286.7000,286.5100,286.5100,1700
1471616066,286.9000,286.9000,286.7800,286.7800,400
1471616146,286.8400,286.9000,286.8400,286.8900,1000
1471616249,286.8850,286.8850,286.8850,286.8850,400
1471616308,286.7300,286.7300,286.7300,286.7300,100
1471616383,286.7300,286.7300,286.7300,286.7300,300
1471616417,287.1700,287.1700,286.7900,286.7900,2800
1471616487,287.1000,287.1000,286.9700,287.0300,400
1471616520,287.0484,287.1000,287.0484,287.1000,800
1471616631,287.1500,287.1500,287.0900,287.0900,1800
1471616646,287.4400,287.4400,287.1400,287.1400,1300
1471616742,287.5200,287.5200,287.5200,287.5200,100
1471616772,287.3900,287.3900,287.3800,287.3800,800
1471616929,287.3350,287.4500,287.3350,287.4500,400
1471616960,287.5700,287.5700,287.5000,287.5000,1600
1471617051,287.5500,287.5500,287.5500,287.5500,400
1471617085,287.3800,287.4100,287.3600,287.3800,900
1471617237,287.3500,287.4900,287.3500,287.4900,400
1471617249,287.2700,287.4150,287.2000,287.4150,2500
1471617355,287.4400,287.4400,287.4400,287.4400,400
1471617381,287.4100,287.4800,287.4100,287.4800,400
1471617433,287.3000,287.3900,287.2450,287.3900,600
1471617494,287.1600,287.4000,287.1600,287.4000,400
1471617665,287.1200,287.2740,287.1200,287.2300,600
1471617721,287.2300,287.3000,287.1200,287.1800,3200
1471617789,287.1500,287.2700,287.1100,287.2400,3200
1471617877,287.3000,287.3000,287.3000,287.3000,100
1471617960,286.9800,287.2200,286.9800,287.2200,4800
1471618023,286.9900,287.1100,286.9800,286.9800,1300
1471618082,286.9350,286.9350,286.9350,286.9350,800
1471618201,286.6500,286.8400,286.6500,286.8400,800
1471618320,286.5400,286.7200,286.5400,286.7200,500
1471618395,286.6150,286.6150,286.6150,286.6150,1000
1471618443,286.9300,286.9300,286.6700,286.6700,2000
1471618512,286.8500,287.0000,286.8500,287.0000,500
1471618725,286.9400,286.9400,286.9400,286.9400,200
1471618809,286.8400,286.9200,286.8400,286.9000,1800
1471618867,286.7900,286.7900,286.7900,286.7900,300
1471618990,286.7600,286.7600,286.6775,286.7500,1100
1471619086,286.6900,286.6900,286.6900,286.6900,200
1471619106,286.6500,286.6600,286.6500,286.6600,800
1471619170,286.8400,286.8700,286.7300,286.7300,2200
1471619252,286.7800,286.7800,286.7800,286.7800,100
