uri:/instrument/1.0/PEP/chartdata;type=quote;range=1d/csv
ticker:pep
Company-Name:Pepsico, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:106.7500
Timestamp:1472736600,1472760000
labels:1472738400,1472742000,1472745600,1472749200,1472752800,1472756400,1472760000
values:Timestamp,close,high,low,open,volume
close:106.3000,107.2900
high:106.3500,107.3200
low:106.2900,107.2900
open:106.3000,107.2900
volume:700,229800
1472736640,106.5966,106.6780,106.5200,106.6780,90000
1472736671,106.6100,106.6899,106.6100,106.6550,11400
1472736720,106.8000,106.8000,106.6600,106.6600,15800
1472736785,106.8400,106.8700,106.8250,106.8300,6800
1472736840,106.9100,106.9400,106.8444,106.8500,5900
1472736905,106.7900,106.9500,106.7900,106.9300,20600
1472737019,106.8500,106.8600,106.7800,106.8200,2800
1472737026,106.7749,106.8400,106.7749,106.8300,5300
1472737138,106.7200,106.8100,106.7200,106.8000,8600
1472737197,106.6900,106.7400,106.6800,106.7250,6200
1472737202,106.7400,106.7400,106.6700,106.6900,8100
1472737260,106.7100,106.7500,106.6800,106.7400,11500
1472737324,106.7200,106.7300,106.6900,106.7200,8200
1472737437,106.7000,106.7500,106.7000,106.7500,4200
1472737440,106.7000,106.7300,106.7000,106.7075,5000
1472737554,106.6100,106.7000,106.6100,106.6900,4700
1472737564,106.6500,106.6900,106.6100,106.6100,6900
1472737678,106.6800,106.6900,106.6400,106.6550,10600
1472737680,106.7350,106.7400,106.6700,106.6750,12200
1472737799,106.6900,106.7600,106.6700,106.7600,15800
1472737800,106.6200,106.7000,106.6000,106.7000,20500
1472737916,106.5778,106.6500,106.5600,106.6100,24400
1472737920,106.5600,106.5900,106.5600,106.5660,10300
1472737989,106.6300,106.6400,106.5600,106.5700,15500
1472738054,106.6800,106.6887,106.6400,106.6500,9800
1472738108,106.6550,106.6600,106.6359,106.6600,16200
1472738163,106.6500,106.6900,106.6450,106.6500,13400
1472738231,106.5700,106.6500,106.5600,106.6450,12000
1472738285,106.5700,106.6000,106.5500,106.5500,10200
1472738391,106.5800,106.6000,106.5700,106.5900,5600
1472738459,106.5600,106.6400,106.4800,106.4800,16600
1472738461,106.5300,106.6000,106.5100,106.5400,9600
1472738530,106.6300,106.6600,106.5400,106.5600,16600
1472738582,106.6200,106.6800,106.6200,106.6300,9000
1472738697,106.5300,106.6500,106.5300,106.6200,9700
1472738703,106.5400,106.5800,106.5400,106.5600,13800
1472738818,106.6462,106.6462,106.5400,106.5400,9500
1472738873,106.6700,106.6700,106.6000,106.6500,5800
1472738883,106.6400,106.6910,106.6400,106.6700,5100
1472738941,106.7000,106.7000,106.6300,106.6300,3800
1472739017,106.7100,106.7400,106.7000,106.7100,5900
1472739067,106.6600,106.7300,106.6500,106.7200,5800
