uri:/instrument/1.0/PPG/chartdata;type=quote;range=1d/csv
ticker:ppg
Company-Name:PPG Industries, Inc. Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:106.3900
Timestamp:1472131800,1472155200
labels:1472133600,1472137200,1472140800,1472144400,1472148000,1472151600,1472155200
values:Timestamp,close,high,low,open,volume
close:106.2000,107.1850
high:106.2000,107.1900
low:106.0500,107.1700
open:106.0500,107.1800
volume:100,27700
1472131835,106.2000,106.2000,106.0500,106.0500,13800
1472132024,106.5800,106.6000,106.5800,106.6000,800
1472132078,106.4950,106.5000,106.4950,106.5000,300
1472132101,106.5850,106.6500,106.5700,106.5800,1000
1472132165,106.8300,106.8300,106.6400,106.6500,1600
1472132275,106.9000,106.9000,106.8200,106.8200,1000
1472132335,106.7550,106.9100,106.7550,106.9100,2500
1472132343,106.7900,106.8000,106.7450,106.7450,1500
1472132446,106.6600,106.8200,106.6000,106.7700,4300
1472132462,106.6400,106.7200,106.6210,106.6700,1900
1472132534,106.6500,106.6500,106.6100,106.6200,1300
1472132604,106.6001,106.6400,106.6001,106.6400,800
1472132695,106.7100,106.7100,106.7100,106.7100,500
1472132758,106.6300,106.8100,106.6300,106.7100,3800
1472132771,106.6600,106.6600,106.6000,106.6600,2100
1472132866,106.6500,106.6900,106.6400,106.6700,1900
1472132937,106.5700,106.6500,106.5700,106.6400,1500
1472132991,106.6900,106.6900,106.5900,106.5900,2000
1472133041,106.6500,106.6850,106.6500,106.6850,1200
1472133113,106.6611,106.6611,106.6611,106.6611,100
1472133166,106.6590,106.7100,106.6100,106.6700,3500
1472133185,106.6600,106.6600,106.6200,106.6200,600
1472133299,106.6600,106.7200,106.6600,106.6600,3600
1472133358,106.6800,106.6800,106.6300,106.6300,1800
1472133363,106.6400,106.6800,106.6400,106.6800,2000
1472133479,106.6500,106.6500,106.6500,106.6500,900
1472133488,106.7000,106.7300,106.6700,106.6900,1100
1472133601,106.6550,106.6900,106.6550,106.6700,700
1472133668,106.7600,106.8100,106.6700,106.6700,3800
1472133724,106.7700,106.8100,106.7700,106.7800,1400
1472133787,106.7500,106.7800,106.7400,106.7800,1300
1472133861,106.8200,106.8200,106.7800,106.7800,700
1472133934,106.7900,106.8200,106.7900,106.8000,800
1472134007,106.7600,106.7700,106.7400,106.7700,1700
