uri:/instrument/1.0/REGN/chartdata;type=quote;range=1d/csv
ticker:regn
Company-Name:Regeneron Pharmaceuticals, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:441.3700
Timestamp:1470317400,1470340800
labels:1470319200,1470322800,1470326400,1470330000,1470333600,1470337200,1470340800
values:Timestamp,close,high,low,open,volume
close:417.5200,439.8250
high:418.1800,443.2900
low:417.5000,439.3650
open:417.6700,443.2900
volume:0,216600
1470317400,439.3650,443.2900,439.3650,443.2900,22400
1470317472,439.8250,442.1990,436.9100,439.3750,14800
1470317522,434.7604,437.7200,433.1200,437.7200,14000
1470317584,436.2900,436.6200,435.0400,436.6200,3800
1470317652,434.1500,436.3000,434.1400,436.3000,7200
1470317759,434.1100,435.4900,433.4200,434.3000,6500
1470317762,432.4600,434.2000,430.8100,434.1900,11600
1470317820,428.5390,432.0300,426.9440,431.2700,22900
1470317881,422.2600,427.8250,422.0200,427.3600,20600
1470317999,426.8125,427.9900,422.3100,423.1450,22300
1470318000,425.4350,427.2133,425.0000,426.6250,10300
1470318061,426.3050,426.6400,424.9700,425.5200,7300
1470318121,427.8000,428.0000,426.0101,426.5000,8900
1470318182,428.5800,429.5800,426.9700,427.7400,11900
1470318241,431.1250,431.2900,428.1933,429.0799,5600
1470318300,430.7800,432.5900,430.0000,431.8100,15900
1470318419,429.4450,430.4300,428.8701,430.4300,3900
1470318424,430.4400,431.2100,429.2720,429.2720,5900
1470318487,429.8700,431.3000,429.0310,430.7389,25700
1470318599,429.9000,430.7400,429.2000,429.7900,11100
1470318601,429.3135,430.6000,429.1732,429.8750,13400
1470318682,426.3900,429.3050,426.3600,429.3050,8300
1470318721,425.6671,426.3200,425.0000,426.3200,7200
1470318783,423.2100,425.9900,422.0550,425.6500,10900
1470318899,422.4950,423.8500,422.0300,423.5800,5800
1470318901,423.4200,423.6500,422.2500,422.6354,8000
1470318964,422.5000,423.2900,422.5000,422.9200,8400
