uri:/instrument/1.0/ROK/chartdata;type=quote;range=1d/csv
ticker:rok
Company-Name:Rockwell Automation, Inc. Commo
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:111.6200
Timestamp:1467293400,1467316800
labels:1467295200,1467298800,1467302400,1467306000,1467309600,1467313200,1467316800
values:Timestamp,close,high,low,open,volume
close:111.5900,114.8200
high:111.5900,114.8300
low:111.5300,114.8200
open:111.5300,114.8200
volume:100,128600
1467293478,112.1200,112.1200,112.1200,112.1200,8100
1467293579,112.7200,112.7600,112.0850,112.1700,6700
1467293580,112.6700,112.7500,112.6700,112.7300,2100
1467293738,112.7500,112.8200,112.6200,112.7300,2700
1467293807,112.5000,112.5100,112.3101,112.4200,2200
1467293831,112.7350,112.7900,112.6200,112.6200,2200
1467293938,112.7200,112.7200,112.7200,112.7200,200
1467293988,112.5501,112.7850,112.5500,112.7200,2500
1467294001,112.6800,112.6800,112.6800,112.6800,1400
1467294074,112.1900,112.4500,112.1900,112.4500,700
1467294169,112.3700,112.4300,112.3700,112.3800,1500
1467294288,112.3600,112.3600,112.1101,112.2101,5500
1467294317,112.2750,112.2800,112.2700,112.2800,800
1467294375,112.2650,112.3200,112.2650,112.2750,3500
1467294468,112.2000,112.2000,112.2000,112.2000,100
1467294480,112.3300,112.3300,112.2300,112.2300,3300
1467294655,112.2450,112.2450,112.2450,112.2450,300
1467294672,112.3000,112.3000,112.3000,112.3000,900
1467294725,112.4100,112.4100,112.2600,112.2600,4800
1467294804,112.4300,112.4300,112.4300,112.4300,1500
1467294849,112.3200,112.3800,112.2600,112.2600,1700
1467294959,112.3100,112.3699,112.3100,112.3699,900
1467294960,112.1600,112.3100,112.1600,112.2700,7500
1467295032,112.0600,112.1000,112.0600,112.1000,900
1467295138,111.7800,111.9800,111.7700,111.9700,2600
1467295143,111.9100,111.9100,111.7100,111.8599,4100
1467295206,111.8200,111.8800,111.8200,111.8800,700
1467295302,111.8950,111.9500,111.8250,111.8250,1100
1467295370,111.8200,111.8600,111.8200,111.8600,1700
1467295388,111.8500,111.8900,111.7700,111.7700,3000
1467295455,111.6100,111.8200,111.6100,111.8200,1000
1467295538,111.6000,111.6200,111.6000,111.6100,900
1467295575,111.5900,111.5900,111.5300,111.5300,2100
1467295661,111.7800,111.7800,111.6000,111.6100,2000
1467295694,111.7569,111.7569,111.7569,111.7569,800
1467295761,111.7200,111.7800,111.7100,111.7600,3000
1467295815,111.8400,111.8400,111.7300,111.7300,1200
1467295918,111.6900,111.8575,111.6900,111.8575,1700
1467295975,111.6400,111.7100,111.5700,111.7100,2300
1467296036,111.7300,111.7300,111.6300,111.6350,1300
1467296086,111.7400,111.7900,111.7300,111.7900,1700
1467296121,111.7950,111.8400,111.7400,111.7400,3000
1467296169,111.6500,111.7300,111.6500,111.7300,1000
1467296233,111.6500,111.6600,111.6450,111.6600,2300
1467296390,111.6500,111.6800,111.6500,111.6800,2400
1467296432,111.6700,111.7050,111.6700,111.7050,500
1467296468,111.6500,111.6900,111.6500,111.6700,2400
1467296529,111.7300,111.7300,111.5500,111.6000,3100
1467296607,111.7550,111.7550,111.7550,111.7550,800
1467296670,111.6900,111.6900,111.6300,111.6700,1500
1467296738,111.8300,111.8300,111.7500,111.7500,2600
1467296781,111.8000,111.8000,111.7800,111.8000,1700
1467296877,111.6700,111.7800,111.6700,111.7800,2900
1467296880,111.8100,111.8500,111.6800,111.7700,2600
1467296985,111.8200,111.8200,111.8200,111.8200,100
1467297054,111.9500,111.9800,111.9100,111.9200,3000
1467297072,111.8400,111.9722,111.8400,111.9722,1400
1467297179,111.9800,111.9800,111.9500,111.9800,5100
1467297203,111.8900,111.9700,111.8900,111.9700,1600
1467297246,111.8950,111.9100,111.8600,111.9100,900
1467297336,111.8800,111.9400,111.8800,111.9400,2300
1467297390,111.9300,111.9300,111.9000,111.9000,1700
1467297478,111.9400,111.9400,111.9300,111.9300,400
1467297529,112.0500,112.0500,111.9450,111.9450,3400
1467297545,112.0525,112.0900,112.0300,112.0900,1700
1467297619,111.9800,112.0004,111.9800,111.9900,1200
1467297715,111.9700,111.9800,111.9500,111.9500,1000
1467297728,112.0500,112.0500,112.0500,112.0500,1800
1467297917,112.2500,112.2500,112.2500,112.2500,100
1467297978,112.2000,112.2500,112.1600,112.2500,1500
1467298021,112.2000,112.2300,112.1500,112.2000,3300
1467298137,112.1800,112.2000,112.1500,112.2000,2300
1467298144,112.2000,112.2200,112.1900,112.1900,6500
1467298212,112.3000,112.3000,112.2500,112.2500,600
1467298273,112.3700,112.3800,112.3100,112.3100,1400
1467298329,112.3700,112.3700,112.3400,112.3700,1400
1467298401,112.3500,112.3961,112.2900,112.3961,1300
1467298461,112.4600,112.4800,112.3900,112.3900,2600
1467298535,112.6300,112.6300,112.5000,112.5000,1300
1467298649,112.7000,112.7000,112.7000,112.7000,500
1467298738,112.8300,112.8300,112.7548,112.7548,1000
1467298748,112.8300,112.8300,112.8300,112.8300,100
1467298829,112.9200,112.9500,112.8600,112.8700,10600
1467298875,112.9100,112.9100,112.9000,112.9000,1500
1467298979,112.9300,112.9450,112.9100,112.9450,1800
1467299015,112.9700,112.9700,112.9700,112.9700,300
1467299052,112.8800,112.9550,112.8500,112.9100,11300
1467299136,112.8250,112.8600,112.8126,112.8500,6000
1467299160,112.9100,112.9400,112.8500,112.8500,2800
1467299239,112.9800,112.9800,112.8950,112.9100,1500
1467299280,112.9200,112.9250,112.9100,112.9250,700
1467299356,112.9400,112.9400,112.9400,112.9400,800
1467299428,113.0900,113.1900,113.0900,113.1800,2000
1467299518,113.0300,113.0300,112.9900,112.9900,1800
1467299565,113.0300,113.0300,113.0200,113.0200,300
1467299590,113.0300,113.0800,113.0100,113.0200,1900
1467299686,113.1600,113.1600,113.1600,113.1600,1000
1467299786,113.1000,113.2600,113.0900,113.2600,1300
1467299889,113.0700,113.0700,113.0700,113.0700,200
1467299940,113.0000,113.0100,113.0000,113.0100,1300
1467300010,113.1216,113.1216,113.1216,113.1216,200
1467300082,113.1400,113.1600,113.1400,113.1600,300
1467300178,113.1000,113.1700,113.1000,113.1600,1000
1467300225,113.1600,113.1600,113.0500,113.0500,800
1467300311,113.2500,113.2500,113.2400,113.2480,400
1467300370,113.2000,113.2600,113.1500,113.2300,1900
1467300454,113.1800,113.1800,113.1100,113.1100,1100
1467300489,113.2200,113.2200,113.1420,113.1420,2800
1467300541,113.1700,113.2200,113.1700,113.2200,2800
1467300603,113.2600,113.3800,113.2000,113.2200,8800
1467300682,113.3800,113.3800,113.3800,113.3800,500
1467300729,113.3244,113.3900,113.3200,113.3900,1900
1467300820,113.3600,113.3600,113.3600,113.3600,200
1467300856,113.3300,113.3400,113.3300,113.3400,1500
1467300900,113.3300,113.3300,113.3000,113.3000,800
1467301012,113.3300,113.3400,113.2900,113.3400,1400
1467301036,113.2800,113.2900,113.2700,113.2900,1200
1467301128,113.3000,113.3200,113.3000,113.3200,300
1467301150,113.3350,113.3350,113.3350,113.3350,100
1467301228,113.3700,113.3700,113.3700,113.3700,1500
1467301307,113.3100,113.3700,113.3100,113.3100,1000
1467301324,113.1900,113.3200,113.1800,113.3200,2100
1467301391,113.2600,113.2600,113.2100,113.2100,800
1467301497,113.1550,113.2900,113.1550,113.2900,1300
1467301509,113.1800,113.1800,113.1800,113.1800,1000
1467301738,113.3700,113.3900,113.3500,113.3500,2100
1467301743,113.2900,113.3700,113.2400,113.3500,2200
1467301846,113.2800,113.2800,113.2700,113.2700,500
