uri:/instrument/1.0/ROP/chartdata;type=quote;range=1d/csv
ticker:rop
Company-Name:Roper Technologies, Inc. Common
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:169.9200
Timestamp:1467725400,1467748800
labels:1467727200,1467730800,1467734400,1467738000,1467741600,1467745200,1467748800
values:Timestamp,close,high,low,open,volume
close:166.6100,168.5800
high:166.6400,168.5800
low:166.6100,168.5300
open:166.6300,168.5700
volume:100,18900
1467725469,168.1930,168.1930,168.1930,168.1930,4800
1467725541,168.0250,168.1800,168.0000,168.0700,2000
1467725623,167.5200,168.0200,167.5200,168.0200,1100
1467725643,166.8750,167.5200,166.7800,167.5200,1400
1467725740,166.6600,167.0000,166.6300,166.6300,1000
1467725775,166.8400,166.9600,166.7000,166.7000,500
1467725870,167.7500,168.2400,166.9770,166.9770,2100
1467725919,167.8400,167.8400,167.8400,167.8400,100
1467725977,167.5550,167.8800,167.4000,167.4000,500
1467726047,167.8700,167.8900,167.7400,167.7400,800
1467726121,168.1700,168.1700,167.7850,167.8800,1400
1467726236,168.4500,168.4500,168.4500,168.4500,100
1467726245,168.4600,168.4600,168.4300,168.4300,200
1467726343,168.1300,168.3000,167.7800,168.2400,2800
1467726404,167.7800,167.7800,167.7800,167.7800,100
1467726524,168.0200,168.0200,168.0200,168.0200,300
1467726565,168.1300,168.1300,167.8750,168.0100,1700
1467726648,167.8850,168.0800,167.8850,167.9900,2100
1467726695,167.7900,168.0100,167.7900,168.0100,500
1467726727,168.1300,168.1300,167.8000,167.8000,2600
1467726793,167.9000,168.0900,167.9000,168.0100,4400
1467726886,167.8900,167.8900,167.8900,167.8900,100
1467726926,167.7900,167.8900,167.7900,167.8900,2400
1467726966,167.7900,167.7900,167.7400,167.7500,800
1467727069,167.7900,167.7900,167.7900,167.7900,100
1467727089,167.8500,167.8700,167.8100,167.8100,900
1467727160,167.7500,167.8000,167.7300,167.7400,1500
1467727237,167.4650,167.6900,167.4650,167.6900,1400
1467727433,167.9300,167.9300,167.6000,167.6000,1600
1467727485,167.9800,167.9800,167.9300,167.9300,700
1467727590,167.8700,167.8800,167.8700,167.8800,500
1467727712,167.8800,167.8800,167.8500,167.8500,300
1467727803,167.6100,167.8099,167.6100,167.8099,2100
1467727912,167.5000,167.5100,167.5000,167.5100,500
1467727953,167.5600,167.5600,167.4400,167.4900,2100
1467727998,167.5900,167.6200,167.4550,167.5600,2000
1467728055,167.7100,167.7100,167.5100,167.6000,800
1467728318,167.8100,167.8100,167.6650,167.7100,1800
1467728379,167.6000,167.7400,167.6000,167.7400,1100
1467728424,167.4300,167.5400,167.4300,167.5400,500
1467728486,167.5500,167.5500,167.4500,167.5400,1700
1467728546,167.5600,167.5600,167.5500,167.5500,300
1467728580,167.7150,167.7150,167.5800,167.5800,1100
1467728727,167.8000,167.8800,167.8000,167.8600,300
1467728825,167.5600,167.8100,167.5600,167.7300,2400
1467728888,167.6800,167.6800,167.6700,167.6700,400
1467728943,167.7150,167.8300,167.7150,167.8200,700
1467729012,167.9325,167.9325,167.8100,167.8200,1700
1467729097,167.9500,167.9500,167.9500,167.9500,200
1467729151,167.9000,167.9600,167.9000,167.9600,2500
1467729187,167.8600,168.0200,167.8500,168.0000,900
1467729284,168.1700,168.1700,168.0800,168.0800,400
1467729319,168.0500,168.2500,168.0500,168.2500,1200
1467729427,168.0400,168.0400,168.0400,168.0400,100
1467729492,168.1500,168.1800,168.1500,168.1800,600
1467729573,168.2000,168.2000,168.1100,168.1600,1000
1467729603,168.3900,168.3900,168.3900,168.3900,100
1467729701,168.5100,168.5100,168.4200,168.4200,400
1467729839,168.4900,168.5800,168.4700,168.5700,1600
1467729840,168.4700,168.5000,168.4300,168.4600,1600
1467729944,168.2700,168.3900,168.2700,168.3900,1800
1467729962,168.2500,168.2500,168.2500,168.2500,100
1467730022,168.3600,168.3600,168.3100,168.3100,1000
1467730192,168.2200,168.3600,168.2100,168.3500,1100
1467730225,168.1400,168.2300,168.1400,168.2300,600
1467730281,168.1200,168.1200,168.1200,168.1200,1400
1467730364,168.0400,168.0400,168.0400,168.0400,200
1467730435,167.9700,168.0400,167.9700,167.9900,1600
1467730633,168.1800,168.1800,168.1100,168.1100,1000
1467730704,168.3100,168.3100,168.2200,168.2600,1200
1467730774,168.2600,168.2600,168.2100,168.2300,1500
1467730820,168.3100,168.3100,168.1400,168.1900,2500
1467730868,168.2850,168.4800,168.2850,168.3300,1700
1467731016,168.3800,168.3800,168.3800,168.3800,100
1467731063,168.3800,168.3900,168.3800,168.3900,1300
1467731103,168.2650,168.4000,168.2650,168.4000,2600
1467731213,168.2300,168.3000,168.2300,168.2800,1400
1467731266,168.2200,168.2200,168.2200,168.2200,100
1467731285,168.3750,168.3750,168.2200,168.2200,1300
1467731350,168.4500,168.4500,168.3800,168.3800,400
1467731414,168.2900,168.4050,168.2900,168.4050,1500
1467731483,168.1900,168.2100,168.1900,168.2100,700
1467731599,168.0700,168.1600,168.0500,168.1400,1000
1467731686,167.9500,168.0000,167.9500,168.0000,1400
1467731703,167.9900,168.1100,167.9900,168.1000,2100
1467731786,168.2350,168.2350,168.1800,168.1800,200
1467731834,168.3600,168.3600,168.2900,168.2900,900
1467731969,168.5800,168.5800,168.5300,168.5300,500
1467732058,168.2400,168.4900,168.2400,168.4800,2000
1467732060,168.2700,168.2900,168.2400,168.2400,1300
1467732124,168.3600,168.3600,168.3300,168.3300,300
1467732254,168.5100,168.5100,168.5100,168.5100,200
1467732320,168.4800,168.4800,168.4800,168.4800,100
1467732363,168.4800,168.4800,168.4800,168.4800,300
1467732420,168.1800,168.3900,168.1800,168.3900,2900
1467732517,168.1300,168.1300,168.1300,168.1300,100
1467732544,168.1300,168.1300,168.1300,168.1300,200
1467732600,168.0600,168.2000,168.0600,168.1800,1400
1467732699,168.1300,168.1900,168.1300,168.1900,500
1467732737,168.1800,168.1800,168.1000,168.1000,1200
1467732784,168.2600,168.2700,168.1896,168.2600,600
1467732848,168.2900,168.3700,168.2200,168.3700,2500
1467733110,168.2700,168.3800,168.2700,168.3800,300
1467733150,168.2800,168.2800,168.2100,168.2600,1000
1467733202,168.0300,168.2100,168.0300,168.2100,1800
1467733371,167.7650,167.8900,167.7600,167.8900,1400
1467733390,167.7640,167.8200,167.6750,167.7000,2400
1467733556,167.4600,167.6500,167.4600,167.6500,1300
1467733563,167.4900,167.4900,167.4600,167.4600,800
1467733681,167.6000,167.6300,167.4700,167.5000,2600
1467733778,167.7400,167.7400,167.7300,167.7300,200
1467733840,167.7250,167.7250,167.7250,167.7250,100
1467733914,167.6900,167.6900,167.6800,167.6900,300
1467734025,167.5300,167.6950,167.5300,167.6700,1600
1467734072,167.5800,167.5800,167.5600,167.5600,600
1467734109,167.6000,167.6000,167.5800,167.5800,300
1467734164,167.4900,167.4900,167.4900,167.4900,400
1467734300,167.5600,167.6400,167.5600,167.6000,700
1467734353,167.6250,167.7800,167.6250,167.7800,400
1467734400,167.8900,167.9500,167.6500,167.7899,3300
1467734460,167.7500,167.8400,167.6200,167.7700,6500
1467734533,167.6100,167.6100,167.6100,167.6100,400
1467734671,167.6100,167.6100,167.6100,167.6100,200
1467734933,167.3600,167.5000,167.3600,167.4900,500
1467734968,167.3500,167.3500,167.3500,167.3500,1700
1467735013,167.2700,167.2700,167.2700,167.2700,100
1467735082,167.3400,167.3400,167.2700,167.2700,2300
1467735203,167.3200,167.3200,167.3000,167.3000,600
1467735399,167.3500,167.3500,167.3500,167.3500,100
1467735451,167.3950,167.3950,167.3950,167.3950,100
1467735514,167.3900,167.3900,167.3900,167.3900,100
1467735627,167.5200,167.5200,167.4100,167.4100,500
1467735796,167.6100,167.6100,167.6100,167.6100,100
1467735890,167.6000,167.6000,167.6000,167.6000,100
1467735943,167.6200,167.6200,167.6200,167.6200,300
1467736043,167.6050,167.6050,167.6050,167.6050,100
1467736200,167.7400,167.7400,167.7300,167.7300,500
1467736305,167.8200,167.8200,167.7350,167.7350,400
1467736325,167.7650,167.7650,167.7650,167.7650,600
1467736393,167.7100,167.7200,167.7100,167.7200,700
1467736460,167.7020,167.7020,167.7020,167.7020,100
1467736546,167.6300,167.6800,167.6300,167.6800,1100
1467736569,167.7100,167.7100,167.6450,167.6600,1500
1467736661,167.6800,167.6800,167.6700,167.6800,300
1467736733,167.6000,167.6300,167.6000,167.6300,600
1467737115,167.6200,167.6700,167.6000,167.6000,600
1467737299,167.5900,167.5900,167.5900,167.5900,100
1467737359,167.5900,167.5900,167.5700,167.5700,400
1467737418,167.3500,167.5000,167.3500,167.5000,2400
1467737463,167.2600,167.3600,167.2400,167.3300,2500
1467737571,167.3450,167.3700,167.3350,167.3500,1400
1467737622,167.3400,167.3400,167.3400,167.3400,100
1467737683,167.3650,167.3650,167.3200,167.3300,1600
1467737757,167.4150,167.4300,167.3400,167.3400,1600
