uri:/instrument/1.0/SJM/chartdata;type=quote;range=1d/csv
ticker:sjm
Company-Name:J.M. Smucker Company (The) New 
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:145.3300
Timestamp:1467034200,1467057600
labels:1467036000,1467039600,1467043200,1467046800,1467050400,1467054000,1467057600
values:Timestamp,close,high,low,open,volume
close:144.6100,146.9100
high:144.6600,146.9100
low:144.5800,146.8000
open:144.6150,146.8000
volume:100,42500
1467034538,144.9350,144.9800,144.9050,144.9800,22700
1467034565,145.3600,145.3600,144.9800,144.9800,4100
1467034751,145.3200,145.3200,145.2707,145.2707,1600
1467034840,145.2100,145.2900,145.1600,145.2900,2000
1467034920,145.5200,145.5700,145.3400,145.3400,3700
1467035035,145.7799,145.7799,145.7200,145.7200,1100
1467035095,145.7960,145.8100,145.7500,145.7900,3000
1467035112,145.6900,145.7900,145.6900,145.7900,1800
1467035168,145.7600,145.7911,145.7020,145.7450,6100
1467035326,145.6100,145.6100,145.6100,145.6100,1300
1467035389,145.5100,145.5100,145.4300,145.4300,800
1467035487,145.4500,145.5600,145.4500,145.5200,2900
1467035559,145.4201,145.4201,145.4201,145.4201,400
1467035584,145.6100,145.6100,145.4650,145.4650,2300
1467035661,145.4200,145.6900,145.4200,145.6900,2200
1467035707,145.4600,145.4600,145.4600,145.4600,1500
1467035819,145.5200,145.5600,145.4700,145.5400,1500
1467035822,145.6400,145.6400,145.5100,145.5100,1400
1467035893,145.5700,145.6700,145.4200,145.6700,7800
1467036001,145.6200,145.6200,145.5300,145.5300,3300
1467036177,145.7600,145.7600,145.7600,145.7600,100
1467036187,145.7300,145.7300,145.7200,145.7200,4800
1467036279,145.7900,145.7900,145.7700,145.7700,1200
1467036303,145.6500,145.7150,145.5700,145.6600,2900
1467036417,145.6000,145.6000,145.6000,145.6000,3000
1467036475,145.5300,145.6400,145.5200,145.6400,800
1467036510,145.4000,145.4000,145.4000,145.4000,3100
1467036580,145.5700,145.5700,145.5700,145.5700,200
1467036621,145.6600,145.7000,145.6600,145.7000,1300
1467036667,145.5407,145.5700,145.5407,145.5600,1700
1467036728,145.5850,145.7300,145.5850,145.6600,1900
1467036806,145.6600,145.7800,145.5900,145.6100,2900
1467036867,145.5200,145.6472,145.5200,145.6472,3700
1467036931,145.4350,145.4350,145.4000,145.4100,400
1467036985,145.3700,145.5600,145.3700,145.4600,4600
1467037079,145.3900,145.4000,145.3800,145.3800,900
1467037081,145.3100,145.4200,145.3100,145.4200,3000
1467037254,145.5250,145.5250,145.4900,145.4900,1000
1467037262,145.5800,145.6300,145.5200,145.5300,2000
1467037379,145.5850,145.5850,145.5700,145.5700,1100
1467037380,145.4500,145.6200,145.4500,145.5850,3300
