uri:/instrument/1.0/SPLS/chartdata;type=quote;range=1d/csv
ticker:spls
Company-Name:Staples, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.1200
Timestamp:1468589400,1468612800
labels:1468591200,1468594800,1468598400,1468602000,1468605600,1468609200,1468612800
values:Timestamp,close,high,low,open,volume
close:9.0000,9.1450
high:9.0000,9.1500
low:9.0000,9.1400
open:9.0000,9.1400
volume:0,706800
1468589439,9.1100,9.1200,9.1100,9.1101,232300
1468589509,9.0900,9.1200,9.0850,9.1000,13200
1468589578,9.1000,9.1000,9.0750,9.0900,12300
1468589638,9.0900,9.1100,9.0800,9.1000,6100
1468589643,9.0900,9.1100,9.0900,9.0944,9600
1468589754,9.0800,9.1100,9.0800,9.0950,12600
1468589819,9.0800,9.0800,9.0700,9.0800,29700
1468589878,9.0700,9.0750,9.0700,9.0700,15800
1468589883,9.0700,9.0800,9.0700,9.0700,4600
1468589947,9.0900,9.0900,9.0700,9.0700,8100
1468590056,9.0900,9.1000,9.0869,9.0900,16500
1468590106,9.1000,9.1100,9.0900,9.0900,5600
1468590121,9.0900,9.1050,9.0900,9.1050,9500
1468590239,9.0850,9.1000,9.0800,9.0900,4900
1468590297,9.1000,9.1000,9.0900,9.0900,8400
1468590358,9.1300,9.1300,9.1080,9.1080,28000
1468590417,9.1200,9.1500,9.1200,9.1400,26100
1468590421,9.1200,9.1200,9.1200,9.1200,400
1468590538,9.1300,9.1400,9.1200,9.1299,10800
1468590598,9.1300,9.1400,9.1200,9.1350,10600
1468590602,9.1400,9.1500,9.1400,9.1400,6500
1468590715,9.1300,9.1400,9.1300,9.1400,14900
1468590779,9.1450,9.1500,9.1300,9.1350,9600
1468590783,9.1100,9.1400,9.1100,9.1400,10400
1468590845,9.1000,9.1100,9.1000,9.1100,5400
1468590944,9.1000,9.1100,9.1000,9.1082,2500
1468591015,9.0900,9.1050,9.0900,9.1000,8800
1468591029,9.0961,9.0961,9.0900,9.0900,400
1468591090,9.0900,9.1000,9.0900,9.0900,9700
1468591198,9.0900,9.1000,9.0900,9.0900,3700
1468591205,9.1200,9.1200,9.0900,9.1000,21800
1468591262,9.1399,9.1400,9.1200,9.1200,15700
1468591331,9.1300,9.1400,9.1200,9.1300,11200
1468591430,9.1101,9.1300,9.1101,9.1300,7500
1468591441,9.1200,9.1200,9.1000,9.1200,9900
1468591553,9.1000,9.1150,9.1000,9.1101,7300
1468591602,9.1100,9.1100,9.1100,9.1100,800
1468591662,9.1099,9.1099,9.1050,9.1050,300
1468591695,9.1150,9.1200,9.1000,9.1000,3200
1468591795,9.1100,9.1100,9.1000,9.1100,3900
1468591859,9.1100,9.1100,9.1000,9.1000,1200
1468591884,9.1000,9.1199,9.0900,9.1100,9900
1468591924,9.0850,9.0950,9.0850,9.0900,5500
1468592029,9.0800,9.0900,9.0800,9.0900,5400
1468592097,9.0900,9.0900,9.0850,9.0850,16000
1468592153,9.0700,9.0950,9.0700,9.0950,4800
1468592175,9.0750,9.0750,9.0750,9.0750,300
1468592270,9.0800,9.0850,9.0750,9.0800,25800
1468592325,9.0850,9.0850,9.0800,9.0800,1000
1468592398,9.0999,9.1000,9.0850,9.0850,6300
1468592400,9.0950,9.1000,9.0900,9.1000,5300
1468592517,9.0950,9.1000,9.0950,9.0950,800
1468592570,9.1000,9.1000,9.0950,9.0950,2800
1468592637,9.1050,9.1050,9.0910,9.0950,10000
1468592695,9.1100,9.1100,9.1050,9.1100,1900
1468592700,9.1050,9.1100,9.1050,9.1050,1500
1468592819,9.1050,9.1100,9.1050,9.1100,4700
1468592825,9.1100,9.1100,9.1050,9.1100,2400
1468592925,9.1050,9.1050,9.1000,9.1050,1800
1468592980,9.1000,9.1050,9.1000,9.1050,7600
1468593052,9.0900,9.0950,9.0900,9.0950,1600
1468593110,9.0900,9.0950,9.0900,9.0900,900
1468593173,9.0800,9.0900,9.0800,9.0900,6000
1468593233,9.0850,9.0899,9.0800,9.0899,3300
1468593283,9.0800,9.0850,9.0800,9.0800,1500
1468593311,9.1100,9.1100,9.0850,9.0850,30200
1468593417,9.0950,9.1100,9.0950,9.1100,10300
1468593425,9.0900,9.1050,9.0900,9.1000,61600
1468593539,9.0900,9.0950,9.0900,9.0950,1600
1468593598,9.0900,9.0950,9.0900,9.0900,3500
1468593617,9.0900,9.0945,9.0900,9.0900,2200
1468593660,9.0900,9.0900,9.0900,9.0900,1000
1468593776,9.0900,9.0900,9.0900,9.0900,4000
1468593838,9.0800,9.0950,9.0800,9.0900,4400
1468593889,9.0850,9.0850,9.0800,9.0800,2700
1468593959,9.0800,9.0900,9.0800,9.0850,4900
1468593965,9.0800,9.0850,9.0800,9.0850,6300
1468594034,9.0950,9.0950,9.0800,9.0800,23900
1468594081,9.0950,9.1000,9.0950,9.0950,1500
1468594143,9.1000,9.1000,9.0950,9.1000,1400
1468594255,9.1000,9.1000,9.0950,9.0950,3900
1468594307,9.0900,9.1000,9.0900,9.0940,1300
1468594370,9.0950,9.1000,9.0950,9.0999,4400
1468594437,9.0999,9.1000,9.0950,9.1000,500
1468594458,9.0950,9.0950,9.0950,9.0950,900
1468594502,9.0950,9.1000,9.0904,9.0950,5000
1468594619,9.0900,9.1000,9.0900,9.1000,6500
1468594672,9.0900,9.1000,9.0900,9.0900,1700
1468594732,9.0900,9.0950,9.0900,9.0900,1200
1468594793,9.0900,9.0950,9.0900,9.0900,2000
1468594809,9.0900,9.0950,9.0900,9.0900,3100
1468594911,9.0950,9.0950,9.0900,9.0950,700
1468594978,9.0800,9.0950,9.0800,9.0900,9700
1468594985,9.0700,9.0850,9.0700,9.0850,6900
1468595098,9.0700,9.0700,9.0700,9.0700,600
1468595153,9.0750,9.0750,9.0600,9.0700,21400
1468595168,9.0700,9.0700,9.0700,9.0700,1000
1468595260,9.0700,9.0780,9.0700,9.0780,700
1468595283,9.0750,9.0800,9.0700,9.0700,2100
1468595388,9.0700,9.0700,9.0700,9.0700,200
1468595418,9.0700,9.0700,9.0700,9.0700,1300
1468595509,9.0700,9.0750,9.0700,9.0736,2000
1468595526,9.0700,9.0783,9.0700,9.0750,600
1468595609,9.0750,9.0800,9.0700,9.0700,7100
1468595651,9.0700,9.0770,9.0700,9.0700,5700
1468595710,9.0650,9.0750,9.0600,9.0750,12900
1468595818,9.0600,9.0700,9.0600,9.0600,2100
1468595820,9.0600,9.0650,9.0600,9.0600,6300
1468595931,9.0600,9.0650,9.0600,9.0600,1200
1468595945,9.0644,9.0650,9.0600,9.0600,2100
1468596058,9.0650,9.0650,9.0600,9.0600,2700
1468596101,9.0600,9.0650,9.0600,9.0600,700
1468596124,9.0600,9.0665,9.0600,9.0600,2500
1468596238,9.0600,9.0600,9.0600,9.0600,1300
