uri:/instrument/1.0/STZ/chartdata;type=quote;range=1d/csv
ticker:stz
Company-Name:Constellation Brands, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:166.8500
Timestamp:1473255000,1473278400
labels:1473256800,1473260400,1473264000,1473267600,1473271200,1473274800,1473278400
values:Timestamp,close,high,low,open,volume
close:164.8550,166.8550
high:164.8800,166.8550
low:164.8350,166.8550
open:164.8350,166.8550
volume:100,25600
1473255065,166.8550,166.8550,166.8550,166.8550,14800
1473255127,166.5300,166.8500,166.3900,166.7800,2500
1473255233,166.3400,166.3500,166.3400,166.3400,300
1473255275,166.2400,166.2400,166.2400,166.2400,100
1473255357,166.1100,166.4125,166.1100,166.2900,1900
1473255407,165.8700,166.0900,165.7900,166.0900,1500
1473255473,166.0650,166.0750,165.8200,165.8400,1900
1473255489,166.1999,166.1999,166.1999,166.1999,200
1473255583,166.2052,166.2052,166.2052,166.2052,200
1473255608,166.2400,166.3000,166.2100,166.2100,1000
1473255690,166.0600,166.2900,166.0600,166.2900,1100
1473255725,166.0400,166.0400,166.0400,166.0400,600
1473255807,165.8700,166.0300,165.8700,166.0300,500
1473255847,165.9700,165.9700,165.9600,165.9600,900
1473255903,165.8700,165.9300,165.7800,165.9300,2700
1473255963,165.9300,165.9900,165.9000,165.9200,1400
1473256055,166.1500,166.2399,166.0400,166.0800,2100
1473256220,166.0100,166.1000,166.0100,166.1000,1000
1473256281,165.9500,165.9750,165.8300,165.8300,700
1473256328,165.9100,166.0300,165.9100,165.9500,600
1473256450,165.9600,165.9600,165.8600,165.8900,1300
1473256500,165.8900,166.0300,165.8900,165.9300,3200
1473256617,165.9200,165.9400,165.8500,165.9200,3900
1473256657,165.9600,165.9600,165.8600,165.9000,1900
1473256696,166.0299,166.0600,165.9700,166.0500,600
1473256760,165.9801,165.9900,165.9800,165.9800,700
1473256843,166.0150,166.0300,165.9500,166.0100,2100
1473256863,166.0050,166.0400,165.9600,165.9750,2700
1473256960,166.0500,166.0800,166.0100,166.0200,1300
1473256981,165.9600,166.0350,165.9600,166.0350,2100
1473257047,166.0000,166.0000,165.9700,165.9700,900
1473257101,165.8100,165.9800,165.7600,165.9800,4300
1473257201,165.8000,165.8200,165.8000,165.8200,600
1473257228,165.8000,165.8100,165.7800,165.8000,900
1473257328,165.8000,165.8000,165.7724,165.7900,900
1473257344,165.8400,165.9000,165.7900,165.7900,4200
1473257400,166.0000,166.0000,165.7750,165.8300,1500
1473257517,165.8400,166.0000,165.8400,166.0000,2000
1473257523,165.9000,165.9500,165.8700,165.8700,1300
1473257582,165.8600,165.9000,165.8600,165.9000,1400
1473257686,165.9800,165.9800,165.8050,165.8400,1700
1473257710,165.9400,165.9400,165.8950,165.9300,500
1473257796,165.9225,165.9225,165.9225,165.9225,200
1473257823,165.8300,165.9300,165.8005,165.9100,1400
1473257891,165.9000,165.9000,165.8200,165.8600,900
1473257953,165.9700,165.9900,165.9650,165.9900,500
1473258029,165.8650,165.9600,165.8650,165.9600,800
1473258129,165.7500,165.8500,165.7500,165.8500,1400
1473258191,165.7250,165.7250,165.7250,165.7250,200
1473258297,165.7400,165.7900,165.6650,165.7650,3700
1473258338,165.8100,165.8650,165.7450,165.7450,1500
1473258417,165.8250,165.8400,165.8000,165.8400,500
1473258440,165.8250,165.8430,165.8250,165.8430,200
1473258482,165.8250,165.8699,165.8250,165.8699,400
1473258607,165.7350,165.8350,165.7100,165.8007,3000
1473258673,165.7300,165.7700,165.7300,165.7300,3000
1473258772,165.6500,165.7100,165.6500,165.7100,1400
1473258822,165.6450,165.6900,165.6200,165.6700,6800
1473258886,165.6000,165.6450,165.5600,165.6450,1000
1473258900,165.6200,165.6600,165.5800,165.5800,3500
1473259017,165.6100,165.6300,165.6100,165.6300,1000
1473259020,165.5500,165.6100,165.5500,165.6100,1500
1473259100,165.5001,165.5650,165.5001,165.5650,2500
1473259142,165.5097,165.5097,165.5097,165.5097,300
1473259205,165.4900,165.5350,165.4900,165.5100,2000
1473259277,165.5050,165.5200,165.5000,165.5000,1000
1473259348,165.4800,165.4800,165.4800,165.4800,100
1473259380,165.4000,165.5000,165.3700,165.4800,3600
1473259452,165.3900,165.4200,165.3900,165.4200,700
