uri:/instrument/1.0/TGT/chartdata;type=quote;range=1d/csv
ticker:tgt
Company-Name:Target Corporation Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:72.5400
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:72.5600,73.5900
high:72.6100,73.6000
low:72.5000,73.5700
open:72.5700,73.5850
volume:100,152300
1468330223,72.6100,72.6150,72.5000,72.5700,112200
1468330284,72.7642,72.7642,72.6500,72.6900,19000
1468330321,72.6150,72.7600,72.5900,72.7500,10200
1468330439,72.6300,72.6800,72.6100,72.6520,9900
1468330496,72.8000,72.8000,72.5900,72.6100,15300
1468330559,72.6605,72.7700,72.6400,72.7700,8600
1468330567,72.5600,72.6100,72.5000,72.6100,10900
1468330679,72.7526,72.8000,72.6000,72.6000,13600
1468330688,72.8500,72.8600,72.7400,72.7400,17400
1468330798,72.9000,72.9122,72.8606,72.9000,17600
1468330800,72.9500,72.9500,72.8800,72.8900,13300
1468330878,72.9622,72.9622,72.9400,72.9500,8700
1468330979,72.9400,72.9750,72.9400,72.9500,23600
1468331039,73.0400,73.0500,72.9400,72.9400,39100
1468331099,73.0200,73.0700,73.0100,73.0400,14500
1468331158,72.9600,73.0200,72.9400,73.0100,14500
1468331162,72.9900,72.9950,72.9400,72.9500,17400
1468331279,73.0500,73.0600,72.9800,72.9800,22500
1468331283,73.0500,73.0700,73.0300,73.0500,24800
1468331340,73.1000,73.1000,73.0400,73.0550,38200
1468331406,73.1200,73.1600,73.0600,73.0800,29700
1468331519,73.2900,73.3000,73.1050,73.1050,51700
1468331573,73.3670,73.4300,73.2600,73.2800,60100
1468331639,73.3500,73.3800,73.3061,73.3800,20800
1468331699,73.4100,73.4300,73.3600,73.3600,13700
1468331700,73.3150,73.4000,73.3100,73.3950,14400
1468331764,73.2600,73.3550,73.2500,73.3000,18200
1468331877,73.2700,73.3000,73.2500,73.2700,14000
1468331939,73.3100,73.3450,73.2900,73.2993,11000
1468331999,73.3500,73.3800,73.3000,73.3100,38300
1468332057,73.2801,73.3800,73.2800,73.3400,30800
1468332060,73.3000,73.3100,73.1710,73.2900,46900
1468332120,73.2300,73.3290,73.2300,73.2950,30400
1468332239,73.1300,73.2000,73.0992,73.2000,30400
1468332241,73.0768,73.1400,73.0400,73.1400,25000
1468332359,73.1232,73.1600,73.0500,73.0600,23300
1468332419,73.1300,73.1525,73.0900,73.1000,7400
1468332479,73.1400,73.1500,73.0900,73.1300,37200
1468332481,73.1300,73.1500,73.1100,73.1352,24500
1468332599,73.1000,73.1700,73.0501,73.1400,19200
1468332601,73.0700,73.1300,73.0500,73.1000,30800
1468332663,73.1700,73.1900,73.0800,73.0800,25400
1468332720,73.1400,73.2030,73.1400,73.1650,30200
1468332839,73.1900,73.1900,73.1400,73.1400,24100
1468332899,73.2200,73.2600,73.1700,73.1800,27700
1468332959,73.2225,73.2400,73.1200,73.1900,29100
1468333019,73.2400,73.2400,73.1750,73.2100,34400
1468333078,73.1800,73.2400,73.1500,73.2350,25200
1468333138,73.1700,73.2100,73.1500,73.1800,20100
1468333141,73.0600,73.2400,73.0500,73.1600,43000
1468333201,73.0500,73.0800,72.9907,73.0600,19400
1468333317,73.0700,73.1100,73.0500,73.0600,14900
1468333379,73.0800,73.1000,73.0800,73.0800,11400
