uri:/instrument/1.0/THC/chartdata;type=quote;range=1d/csv
ticker:thc
Company-Name:Tenet Healthcare Corporation Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:27.8500
Timestamp:1467898200,1467921600
labels:1467900000,1467903600,1467907200,1467910800,1467914400,1467918000,1467921600
values:Timestamp,close,high,low,open,volume
close:27.7900,28.9000
high:27.8100,28.9100
low:27.7900,28.7800
open:27.8100,28.9100
volume:100,71100
1467898215,28.0800,28.0800,28.0800,28.0800,2600
1467898286,28.0466,28.0466,28.0466,28.0466,1600
1467898368,28.2838,28.3600,28.1625,28.1800,2700
1467898394,28.3500,28.3800,28.2250,28.2250,400
1467898498,28.3800,28.3800,28.3300,28.3300,1100
1467898501,28.5450,28.5500,28.3800,28.3800,4200
1467898571,28.6600,28.6600,28.6000,28.6000,500
1467898655,28.6400,28.7300,28.6300,28.6472,6100
1467898691,28.5900,28.6800,28.5900,28.6600,5600
1467898799,28.6200,28.6800,28.4750,28.5700,3900
1467898856,28.6800,28.7400,28.5700,28.6404,3500
1467898917,28.8099,28.8200,28.6250,28.7200,6200
1467898938,28.6100,28.8200,28.5350,28.8100,6700
1467899036,28.5800,28.6700,28.5700,28.6200,1200
1467899046,28.5881,28.7000,28.5400,28.5800,2200
1467899108,28.5000,28.6200,28.5000,28.6100,4100
1467899173,28.5400,28.5400,28.4800,28.5000,4400
1467899256,28.5300,28.6100,28.5000,28.5400,4500
1467899285,28.5381,28.5500,28.4500,28.5200,12300
1467899398,28.5200,28.5800,28.5200,28.5800,4800
1467899405,28.5450,28.5900,28.5200,28.5500,4900
1467899511,28.6100,28.6100,28.5400,28.5800,2500
1467899524,28.6100,28.6150,28.5700,28.6150,5300
1467899639,28.6150,28.6700,28.6000,28.6000,2400
1467899676,28.6400,28.6400,28.6200,28.6200,200
1467899707,28.6500,28.6500,28.6400,28.6400,700
1467899800,28.6400,28.6800,28.6300,28.6800,2100
1467899860,28.6800,28.6800,28.6700,28.6700,15900
1467899890,28.6800,28.6900,28.6800,28.6900,300
1467899954,28.7900,28.7900,28.7100,28.7100,3000
1467900058,28.7500,28.8000,28.7400,28.7900,3600
1467900062,28.9000,28.9000,28.7800,28.7800,3800
1467900177,28.7500,28.9100,28.7400,28.9100,3000
1467900181,28.7600,28.7900,28.7300,28.7450,2200
1467900283,28.7200,28.7200,28.7200,28.7200,100
1467900328,28.7000,28.7000,28.6700,28.6900,900
1467900400,28.6500,28.6900,28.6300,28.6800,1400
1467900450,28.6500,28.6500,28.6200,28.6500,1200
1467900520,28.6100,28.6800,28.6100,28.6800,1500
1467900547,28.5800,28.5900,28.5700,28.5800,1000
1467900623,28.6000,28.6000,28.6000,28.6000,700
1467900691,28.5900,28.5950,28.5801,28.5950,1300
1467900836,28.5800,28.5800,28.5600,28.5600,1600
1467900890,28.5300,28.5900,28.5300,28.5900,3700
1467900900,28.6900,28.6900,28.5400,28.5400,4300
1467901019,28.7100,28.7200,28.6600,28.6600,1700
1467901138,28.7100,28.7300,28.7100,28.7100,1700
1467901176,28.6500,28.7200,28.6500,28.7200,1300
1467901238,28.6300,28.6400,28.6200,28.6400,1200
1467901311,28.5800,28.6100,28.5800,28.6100,600
1467901328,28.5600,28.5700,28.5600,28.5700,300
1467901389,28.6300,28.6500,28.5800,28.5800,2500
1467901461,28.6000,28.6004,28.6000,28.6004,400
1467901557,28.6100,28.6700,28.6000,28.6200,3200
1467901613,28.5900,28.6400,28.5800,28.5900,1800
1467901678,28.5900,28.6200,28.5900,28.6200,1500
1467901735,28.5200,28.5900,28.5100,28.5900,7000
1467901770,28.5700,28.5700,28.5100,28.5100,1400
1467901859,28.5500,28.5900,28.5400,28.5750,16700
1467901918,28.5200,28.5700,28.5200,28.5650,2400
1467901923,28.4500,28.5100,28.4200,28.5000,6000
1467902021,28.5100,28.5100,28.4400,28.4500,9400
1467902085,28.5400,28.5400,28.5000,28.5000,3700
1467902149,28.5300,28.5600,28.5300,28.5400,9000
1467902161,28.5700,28.5700,28.5200,28.5200,13200
1467902245,28.5500,28.5600,28.5400,28.5600,2300
1467902285,28.5500,28.5700,28.5500,28.5700,800
1467902398,28.5750,28.5800,28.5700,28.5700,1000
1467902455,28.5900,28.6100,28.5700,28.5750,3300
1467902517,28.5900,28.5900,28.5850,28.5900,2200
1467902579,28.5500,28.5850,28.5400,28.5850,8500
1467902580,28.5400,28.5500,28.5400,28.5500,21100
1467902655,28.4600,28.5300,28.4600,28.5300,2600
1467902714,28.4100,28.4700,28.4100,28.4600,5800
1467902783,28.3900,28.4300,28.3900,28.4300,500
1467902868,28.3900,28.3900,28.3800,28.3800,500
1467902920,28.3900,28.4000,28.3900,28.4000,1500
1467902998,28.4500,28.4500,28.4200,28.4200,1500
1467903046,28.4700,28.4900,28.4500,28.4600,3100
1467903110,28.4800,28.4800,28.4400,28.4500,1900
1467903125,28.4600,28.4700,28.4600,28.4700,400
1467903242,28.3900,28.4600,28.3700,28.4600,3100
1467903352,28.3600,28.4100,28.3600,28.4000,1000
1467903361,28.3100,28.3600,28.3100,28.3553,1100
1467903470,28.3100,28.3100,28.3100,28.3100,200
1467903481,28.3100,28.3500,28.3100,28.3300,1800
1467903588,28.2400,28.3200,28.2400,28.3200,7600
1467903600,28.2200,28.2300,28.1898,28.2200,3100
1467903686,28.2350,28.2350,28.2300,28.2300,500
1467903774,28.2100,28.2525,28.1700,28.2500,5000
1467903826,28.1900,28.2100,28.1900,28.2100,1100
1467903846,28.0900,28.2000,28.0800,28.1700,6600
1467903950,28.0800,28.1100,28.0800,28.1000,3700
1467904019,28.1200,28.1200,28.0700,28.0800,2700
1467904075,28.1200,28.1200,28.1000,28.1100,4300
1467904139,28.1800,28.1800,28.1200,28.1300,5800
1467904197,28.1700,28.1900,28.1600,28.1700,1900
1467904223,28.1750,28.1900,28.1750,28.1750,4500
