uri:/instrument/1.0/TMO/chartdata;type=quote;range=1d/csv
ticker:tmo
Company-Name:Thermo Fisher Scientific Inc Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:157.0500
Timestamp:1468935000,1468958400
labels:1468936800,1468940400,1468944000,1468947600,1468951200,1468954800,1468958400
values:Timestamp,close,high,low,open,volume
close:155.5900,156.7600
high:155.5900,156.9400
low:155.5601,156.7600
open:155.5900,156.7700
volume:100,66900
1468935021,156.0900,156.0900,156.0400,156.0400,18500
1468935064,156.0700,156.0900,156.0700,156.0900,600
1468935124,156.3800,156.3800,156.0801,156.1600,2800
1468935204,156.3400,156.4700,156.3052,156.4100,1400
1468935272,156.5400,156.6200,156.4900,156.4900,2200
1468935347,156.5300,156.6300,156.5300,156.6300,1200
1468935368,156.7550,156.9400,156.7500,156.7500,3100
1468935454,156.7600,156.7600,156.7600,156.7600,400
1468935492,156.5500,156.7700,156.5400,156.7700,1700
1468935595,156.7100,156.7100,156.4700,156.5100,7200
1468935600,156.4150,156.6400,156.3900,156.6250,6000
1468935661,156.6200,156.6600,156.4500,156.4500,2000
1468935759,156.5200,156.5800,156.5200,156.5700,800
1468935787,156.4400,156.4700,156.4400,156.4700,600
1468935875,156.4300,156.4300,156.4100,156.4100,200
1468935911,156.4100,156.5300,156.4000,156.5300,700
1468936019,156.2500,156.2900,156.2500,156.2900,2000
1468936020,156.2600,156.2600,156.2100,156.2400,400
1468936080,156.2900,156.3500,156.2200,156.2200,1400
1468936187,156.4500,156.4500,156.2900,156.2900,600
1468936201,156.3600,156.3700,156.3100,156.3700,800
1468936262,156.4700,156.4700,156.3900,156.3900,1800
1468936323,156.3600,156.4800,156.3600,156.4800,2900
1468936423,156.5550,156.5550,156.3600,156.4100,1400
1468936483,156.6000,156.6000,156.5100,156.5100,1500
1468936503,156.5500,156.6300,156.5500,156.6000,1700
1468936563,156.5400,156.5950,156.5200,156.5950,1500
1468936670,156.4700,156.4700,156.4450,156.4600,2100
1468936739,156.5500,156.5700,156.3900,156.3900,1700
1468936743,156.6600,156.6600,156.5400,156.5700,2000
1468936800,156.4800,156.6600,156.4800,156.6550,1300
1468936914,156.3900,156.3900,156.3200,156.3900,2200
1468936929,156.3100,156.4000,156.3100,156.4000,400
1468936982,156.2900,156.3200,156.2900,156.3200,400
1468937049,156.3400,156.3400,156.2885,156.2885,700
1468937116,156.2951,156.3500,156.2951,156.3500,700
1468937181,156.3700,156.3900,156.3200,156.3200,1800
1468937236,156.3500,156.3500,156.3400,156.3400,500
1468937347,156.3200,156.4219,156.3100,156.3900,2100
1468937412,156.4200,156.4200,156.2500,156.3000,3700
1468937462,156.3000,156.4300,156.2900,156.4200,3800
1468937528,156.2300,156.2600,156.1600,156.2300,2300
1468937580,156.2000,156.2900,156.2000,156.2300,900
1468937655,156.1600,156.1800,156.1000,156.1800,1600
1468937757,156.1300,156.1500,156.0800,156.0800,1600
1468937809,156.1299,156.1400,156.1000,156.1400,700
1468937877,156.1100,156.1200,156.0300,156.1200,1400
1468937880,156.0500,156.1000,156.0200,156.1000,7000
1468937953,156.0350,156.0400,156.0200,156.0300,3900
1468938007,156.0100,156.0400,156.0100,156.0200,5000
1468938061,155.9600,156.0300,155.9300,156.0300,5000
1468938137,155.9000,155.9300,155.8600,155.9300,3400
1468938209,155.9200,155.9400,155.9200,155.9300,2000
1468938241,155.9900,155.9900,155.8900,155.8901,1200
1468938316,155.9150,155.9500,155.9000,155.9500,700
1468938370,155.9100,155.9100,155.9100,155.9100,800
1468938421,155.8101,155.8600,155.8100,155.8600,1700
1468938496,155.8100,155.8100,155.7700,155.8100,2200
1468938541,155.8600,155.8800,155.8001,155.8001,2500
1468938608,155.8800,155.8900,155.8301,155.8900,5000
1468938667,155.8600,155.8600,155.8600,155.8600,1300
1468938723,155.8100,155.8400,155.7950,155.8400,900
1468938788,155.7900,155.8200,155.7700,155.7900,3000
1468938843,155.7700,155.7900,155.7700,155.7800,1100
1468938903,155.8500,155.8500,155.7900,155.7900,2300
1468939016,155.8628,155.8800,155.8600,155.8600,1600
1468939079,155.8300,155.8900,155.8200,155.8900,3200
1468939081,155.8600,155.8722,155.8250,155.8400,3100
1468939179,155.8800,155.8800,155.8700,155.8700,200
1468939214,155.8600,155.8900,155.8600,155.8800,1100
1468939271,155.9200,155.9200,155.8600,155.8600,800
1468939327,155.8950,155.9100,155.8800,155.9100,1200
1468939386,155.8600,155.8900,155.8500,155.8900,1900
1468939440,155.8400,155.8800,155.8400,155.8400,1200
1468939548,155.8500,155.8500,155.8500,155.8500,200
1468939581,155.8600,155.8600,155.8600,155.8600,200
1468939625,155.7300,155.8200,155.7100,155.8200,2500
1468939760,155.7500,155.7500,155.6900,155.7200,1500
1468939838,155.7700,155.7700,155.7600,155.7600,300
1468939923,155.7300,155.7300,155.7300,155.7300,700
1468940035,155.8100,155.8100,155.8000,155.8000,1100
1468940095,155.7620,155.7800,155.7620,155.7800,300
1468940102,155.8000,155.8000,155.7800,155.7800,600
1468940195,155.8700,155.8700,155.8200,155.8200,1300
1468940220,155.8400,155.8600,155.8400,155.8600,600
1468940299,155.8500,155.8500,155.8200,155.8200,700
1468940354,155.9300,155.9300,155.8600,155.8600,1100
1468940422,155.9500,155.9500,155.9300,155.9300,400
1468940517,156.0400,156.0400,155.9700,155.9700,2200
1468940525,156.0900,156.0900,156.0576,156.0576,2500
1468940623,156.0800,156.1200,156.0800,156.1200,1400
1468940655,156.1350,156.1350,156.1100,156.1100,2400
1468940708,156.1200,156.1400,156.1101,156.1400,500
1468940768,156.1100,156.1300,156.1100,156.1200,1100
1468940848,156.1200,156.1200,156.1100,156.1200,500
1468940880,156.1400,156.1400,156.1200,156.1200,1500
1468940972,156.1000,156.1600,156.1000,156.1541,1300
1468941030,156.0700,156.1000,156.0700,156.1000,1300
1468941067,156.0200,156.0500,155.9900,155.9950,1700
1468941178,155.9487,156.0100,155.9487,156.0000,1100
1468941184,155.9801,155.9801,155.9600,155.9600,500
1468941250,155.9700,155.9700,155.9700,155.9700,100
1468941312,156.0400,156.0400,156.0100,156.0100,400
1468941417,156.0600,156.0600,156.0600,156.0600,300
1468941432,156.0900,156.0900,156.0900,156.0900,200
1468941502,156.0700,156.1000,156.0700,156.1000,500
1468941569,156.0655,156.0655,156.0564,156.0564,700
1468941615,156.0300,156.0300,156.0300,156.0300,700
1468941663,155.9600,155.9900,155.9000,155.9900,900
1468941769,156.0200,156.0200,156.0100,156.0100,300
1468941781,155.9900,156.0400,155.9900,156.0400,800
1468941859,156.0400,156.0400,156.0100,156.0100,1200
1468941943,156.0500,156.0700,156.0500,156.0500,500
1468941968,156.0400,156.0500,156.0200,156.0400,2500
1468942035,155.9500,156.0200,155.9300,156.0200,900
1468942081,155.8700,155.9300,155.8500,155.9300,1300
1468942153,155.9000,155.9000,155.9000,155.9000,500
1468942200,155.9500,155.9500,155.8900,155.8900,1100
1468942263,156.0000,156.0000,155.9700,155.9700,300
1468942325,156.0100,156.0100,156.0000,156.0000,600
1468942430,155.9400,156.0000,155.9400,156.0000,800
1468942495,155.8300,155.9200,155.8300,155.9200,1500
1468942513,155.8400,155.8700,155.8100,155.8100,2700
1468942578,155.7500,155.8500,155.7500,155.8200,1200
1468942631,155.8500,155.8500,155.7800,155.7800,1600
1468942735,155.8500,155.8700,155.8500,155.8550,500
1468942740,155.8200,155.8500,155.8000,155.8500,2800
1468942809,155.8400,155.8600,155.8200,155.8200,2700
1468942862,155.8100,155.8600,155.8000,155.8400,1400
1468942976,155.7700,155.8036,155.7700,155.8000,1300
1468942983,155.8400,155.8400,155.7400,155.7600,2700
1468943045,155.8100,155.8100,155.8100,155.8100,100
1468943106,155.7200,155.7900,155.7200,155.7900,500
1468943216,155.6100,155.6300,155.5700,155.6300,1400
1468943227,155.6000,155.6300,155.5601,155.6300,1600
1468943281,155.5900,155.5900,155.5900,155.5900,400
1468943361,155.6100,155.6100,155.6100,155.6100,400
1468943444,155.6200,155.6500,155.6200,155.6500,900
1468943466,155.6300,155.6500,155.6000,155.6000,2300
1468943535,155.6700,155.6700,155.6700,155.6700,100
1468943586,155.7600,155.7600,155.6490,155.6600,700
1468943668,155.7300,155.7300,155.7200,155.7300,400
1468943704,155.7200,155.7200,155.7200,155.7200,500
1468943819,155.7700,155.7700,155.6900,155.7100,900
1468943821,155.7500,155.7740,155.7500,155.7740,200
1468943890,155.7700,155.7800,155.7300,155.7300,1100
1468943949,155.7500,155.7600,155.7500,155.7600,400
1468944000,155.7500,155.8100,155.7500,155.7900,4600
1468944082,155.7500,155.7500,155.7500,155.7500,800
1468944125,155.7600,155.7600,155.7350,155.7600,1200
1468944208,155.7700,155.7770,155.7650,155.7770,1800
1468944269,155.7700,155.7700,155.7600,155.7700,500
1468944304,155.7700,155.8100,155.7700,155.7700,2800
1468944366,155.7700,155.7900,155.7600,155.7600,1500
1468944421,155.7900,155.7900,155.7700,155.7700,800
1468944490,155.8000,155.8300,155.8000,155.8000,700
1468944554,155.7800,155.8400,155.7800,155.8100,500
1468944652,155.8300,155.8500,155.8300,155.8400,1200
1468944712,155.8069,155.8600,155.8069,155.8300,2900
1468944729,155.8300,155.8300,155.8100,155.8100,1300
1468944781,155.8600,155.8700,155.8400,155.8400,1900
1468944861,155.8500,155.8700,155.8500,155.8600,900
1468944945,155.8400,155.8500,155.8400,155.8500,300
1468944982,155.8500,155.8500,155.8400,155.8400,1100
1468945075,155.8400,155.8400,155.8400,155.8400,300
1468945082,155.8200,155.8400,155.8200,155.8400,800
1468945143,155.8500,155.8500,155.8400,155.8400,900
1468945208,155.8400,155.8500,155.8400,155.8500,600
1468945309,155.8300,155.8400,155.8300,155.8400,500
1468945320,155.8000,155.8100,155.7900,155.8100,2400
1468945437,155.8100,155.8300,155.8100,155.8200,1100
1468945452,155.8100,155.8100,155.8100,155.8100,200
1468945511,155.7900,155.7900,155.7800,155.7900,1000
1468945563,155.7700,155.7900,155.7700,155.7900,1000
1468945621,155.7800,155.8200,155.7800,155.8000,700
1468945693,155.7400,155.7700,155.7100,155.7700,2600
1468945799,155.8000,155.8000,155.7300,155.7300,1100
1468945804,155.8200,155.8200,155.7800,155.8100,2700
1468945865,155.8700,155.8700,155.8200,155.8200,1900
1468945945,155.8400,155.8600,155.8400,155.8600,300
1468945995,155.8500,155.8500,155.8100,155.8300,1000
1468946083,155.8700,155.8700,155.8690,155.8690,400
1468946137,155.7900,155.8200,155.7900,155.8200,500
1468946217,155.7500,155.7800,155.7500,155.7500,600
1468946224,155.8000,155.8000,155.7450,155.7450,1400
1468946401,155.8300,155.8300,155.7800,155.7900,1600
1468946467,155.8641,155.8820,155.8500,155.8500,2400
1468946602,155.8400,155.8400,155.8300,155.8300,800
1468946689,155.8600,155.8700,155.8600,155.8600,600
1468946747,155.8800,155.8800,155.8800,155.8800,300
1468946857,155.8610,155.8610,155.8610,155.8610,100
1468946888,155.8900,155.8900,155.8900,155.8900,500
