uri:/instrument/1.0/TRV/chartdata;type=quote;range=1d/csv
ticker:trv
Company-Name:The Travelers Companies, Inc. C
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:118.3500
Timestamp:1472823000,1472846400
labels:1472824800,1472828400,1472832000,1472835600,1472839200,1472842800,1472846400
values:Timestamp,close,high,low,open,volume
close:118.1900,119.3000
high:118.2600,119.3200
low:118.1900,119.2500
open:118.2300,119.3000
volume:100,122900
1472823040,118.7700,118.7700,118.7200,118.7200,19200
1472823101,119.0000,119.0000,118.9300,119.0000,1300
1472823123,118.9000,118.9100,118.9000,118.9000,400
1472823191,118.8500,118.9300,118.8050,118.8050,2100
1472823240,118.9200,118.9200,118.8000,118.8100,3000
1472823358,118.9000,118.9400,118.8500,118.9050,1600
1472823409,118.9100,118.9900,118.8800,118.9900,2400
1472823420,118.8300,118.9351,118.8300,118.8700,7000
1472823595,119.0300,119.0400,118.9200,119.0000,4800
1472823654,119.0000,119.1200,119.0000,119.0500,3800
1472823680,119.0500,119.0500,118.9600,119.0200,1400
1472823733,118.9800,119.0200,118.9200,119.0200,3000
1472823820,119.0300,119.0400,119.0300,119.0300,1100
1472823892,119.1200,119.1200,119.0200,119.0500,1600
1472823902,119.1900,119.2500,119.1600,119.1600,4100
1472823970,119.1900,119.1900,119.1900,119.1900,3300
1472824043,119.1700,119.1900,119.1100,119.1900,2500
1472824109,119.1900,119.2300,119.1650,119.1650,1800
1472824144,119.3000,119.3000,119.2000,119.2000,1700
1472824201,119.2600,119.3200,119.2500,119.3000,3000
1472824319,119.2300,119.2550,119.2000,119.2300,2400
1472824377,119.2300,119.2335,119.2150,119.2150,1000
1472824385,119.2000,119.2150,119.1900,119.2000,4000
1472824451,119.1900,119.2500,119.1800,119.2400,3000
1472824551,119.1500,119.2400,119.1100,119.2400,5600
1472824564,119.1200,119.1600,119.1100,119.1400,3800
1472824673,119.2300,119.2300,119.1373,119.1373,2300
1472824680,119.1400,119.1700,119.1400,119.1700,1700
1472824796,119.1800,119.1800,119.1000,119.1100,1300
1472824850,119.1800,119.2700,119.1800,119.1800,2700
1472824867,119.1900,119.2100,119.1650,119.1700,1800
1472824926,119.1600,119.1699,119.1500,119.1500,1600
1472824981,119.2200,119.2400,119.1500,119.1600,5900
1472825044,119.1600,119.2200,119.1600,119.2000,2500
1472825114,119.1100,119.1600,119.1100,119.1600,3800
1472825171,119.1000,119.1300,119.1000,119.1200,2500
1472825223,119.0500,119.1200,119.0500,119.1100,1900
1472825289,119.1600,119.1600,119.0600,119.0600,4200
1472825343,119.1300,119.1600,119.1300,119.1600,1700
1472825436,119.0900,119.0900,119.0600,119.0800,800
