uri:/instrument/1.0/TXN/chartdata;type=quote;range=1d/csv
ticker:txn
Company-Name:Texas Instruments Incorporated
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:64.8500
Timestamp:1468848600,1468872000
labels:1468850400,1468854000,1468857600,1468861200,1468864800,1468868400,1468872000
values:Timestamp,close,high,low,open,volume
close:65.1500,65.4700
high:65.1550,65.4700
low:65.0992,65.4550
open:65.1200,65.4650
volume:100,91000
1468848613,65.2400,65.2400,65.2400,65.2400,91000
1468848666,65.1800,65.1800,65.1800,65.1800,8700
1468848796,65.1900,65.2000,65.0992,65.1200,4100
1468848841,65.1800,65.2100,65.1600,65.1600,24500
1468848957,65.2292,65.2500,65.1899,65.1899,56400
1468848960,65.2800,65.2800,65.2300,65.2500,22000
1468849020,65.3700,65.3800,65.2500,65.2900,26200
1468849081,65.3450,65.3800,65.3350,65.3800,13200
1468849143,65.3300,65.3500,65.3085,65.3500,6900
1468849201,65.2400,65.3300,65.2200,65.3200,15200
1468849260,65.2200,65.2600,65.2100,65.2400,14800
1468849379,65.2100,65.2500,65.2100,65.2300,14700
1468849439,65.3000,65.3000,65.2400,65.2400,12900
1468849499,65.2950,65.3190,65.2900,65.3000,9600
1468849500,65.2450,65.3150,65.2400,65.3100,10500
1468849617,65.2500,65.2700,65.2300,65.2400,10000
1468849678,65.2400,65.2700,65.2350,65.2500,5200
1468849739,65.2350,65.2500,65.2300,65.2500,8900
1468849743,65.2600,65.2600,65.2300,65.2350,9200
1468849855,65.2400,65.2700,65.2300,65.2700,7600
1468849860,65.2437,65.2500,65.2202,65.2300,8900
1468849976,65.2700,65.2700,65.2200,65.2400,6500
1468850039,65.2800,65.2800,65.2450,65.2600,25000
1468850098,65.2500,65.2900,65.2500,65.2800,22700
1468850101,65.2450,65.2700,65.2400,65.2550,7400
1468850169,65.2300,65.2400,65.2200,65.2400,7000
1468850221,65.2100,65.2400,65.2100,65.2300,15800
1468850325,65.2050,65.2100,65.1900,65.2100,4800
1468850399,65.2200,65.2400,65.1900,65.2100,13000
1468850459,65.2600,65.2600,65.2200,65.2200,9200
