uri:/instrument/1.0/UNH/chartdata;type=quote;range=1d/csv
ticker:unh
Company-Name:UnitedHealth Group Incorporated
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:142.0100
Timestamp:1472045400,1472068800
labels:1472047200,1472050800,1472054400,1472058000,1472061600,1472065200,1472068800
values:Timestamp,close,high,low,open,volume
close:139.5300,142.0000
high:139.5600,142.0800
low:139.5150,141.9600
open:139.5400,142.0500
volume:0,65600
1472045431,141.7600,141.9800,141.7600,141.9600,37900
1472045518,141.5600,141.7400,141.5500,141.7400,6700
1472045569,141.8500,141.9400,141.5500,141.5500,3800
1472045580,141.9800,142.0800,141.7100,141.7100,3500
1472045642,141.8500,141.9500,141.7000,141.9500,5800
1472045758,141.8700,141.9700,141.8400,141.8700,2600
1472045760,141.8600,141.9600,141.7400,141.8700,5900
1472045826,141.8900,141.8900,141.7700,141.8399,1400
1472045892,141.9000,141.9700,141.8500,141.8500,1900
1472045963,141.8700,141.9599,141.8700,141.9300,1800
1472046052,141.8700,141.9600,141.8600,141.9000,2400
1472046068,141.9500,141.9500,141.8700,141.8700,300
1472046126,141.9200,141.9600,141.8700,141.9200,1100
1472046239,141.8400,141.9400,141.8400,141.9150,2600
1472046245,141.7310,141.8500,141.7300,141.8100,3000
1472046308,141.7600,141.8000,141.7500,141.7600,2800
1472046370,141.7983,141.8400,141.7400,141.7900,5800
1472046427,141.8200,141.8300,141.7800,141.7800,3100
1472046487,141.7700,141.8200,141.7700,141.8000,2700
1472046544,141.8000,141.8800,141.7700,141.7900,9000
1472046603,141.7599,141.8400,141.7000,141.8400,4400
1472046660,141.7600,141.8000,141.6900,141.7000,4500
1472046720,141.7700,141.8600,141.7550,141.7800,2300
1472046781,141.7300,141.8100,141.7300,141.8100,3000
1472046871,141.6800,141.7300,141.6800,141.7300,1500
1472046911,141.6800,141.7050,141.6200,141.7050,4300
1472046965,141.6700,141.7000,141.6200,141.6936,7200
1472047036,141.6600,141.6600,141.6400,141.6550,2200
1472047080,141.6900,141.7000,141.6600,141.6600,2100
1472047140,141.9700,141.9700,141.6800,141.6800,8300
1472047202,142.0000,142.0400,141.9600,142.0100,2600
1472047312,141.9950,142.0500,141.9100,142.0500,3500
1472047324,141.8800,142.0000,141.8800,141.9800,5700
1472047400,141.8701,141.9100,141.8700,141.9000,1600
1472047444,141.7800,141.8900,141.7800,141.8700,2000
1472047500,141.6945,141.7900,141.6900,141.7800,4400
1472047569,141.5400,141.6750,141.5400,141.6600,1400
1472047670,141.4650,141.5500,141.4500,141.5500,2800
1472047684,141.4790,141.4800,141.4300,141.4550,3900
1472047743,141.4200,141.4850,141.4200,141.4700,2000
1472047816,141.4056,141.4300,141.3815,141.4200,2500
1472047915,141.4600,141.4750,141.4000,141.4200,2200
1472047974,141.5599,141.5600,141.4500,141.4500,3100
1472047983,141.5036,141.5400,141.5000,141.5400,2900
1472048099,141.4900,141.5250,141.4400,141.5000,2100
1472048158,141.4000,141.4865,141.4000,141.4865,3500
1472048160,141.4100,141.4100,141.3700,141.4000,2300
1472048221,141.4700,141.4800,141.3800,141.3999,5200
1472048284,141.4700,141.5200,141.4500,141.4800,4700
1472048344,141.4300,141.4700,141.4300,141.4700,900
1472048458,141.4200,141.4450,141.3800,141.4450,4500
1472048461,141.4400,141.4400,141.3900,141.4200,2800
1472048541,141.4000,141.4300,141.3900,141.4300,2200
1472048587,141.3900,141.4100,141.3700,141.3950,3000
1472048642,141.3600,141.3950,141.3310,141.3702,1600
1472048701,141.5000,141.5000,141.3600,141.3700,13300
1472048765,141.5200,141.5900,141.5000,141.5000,3000
1472048824,141.6250,141.6300,141.5500,141.5500,5900
1472048898,141.6800,141.7100,141.6450,141.6500,1100
1472048940,141.6100,141.7100,141.6000,141.7100,4900
1472049000,141.5950,141.6500,141.5800,141.6350,4200
1472049062,141.6000,141.6300,141.5500,141.5768,5100
1472049128,141.6400,141.6800,141.6400,141.6400,2200
1472049180,141.6500,141.6900,141.6500,141.6700,1300
1472049260,141.6100,141.6500,141.6000,141.6100,2200
1472049301,141.6200,141.6500,141.6200,141.6400,3300
1472049417,141.5800,141.6400,141.5800,141.6300,2700
1472049422,141.5700,141.6000,141.5500,141.5700,3900
1472049484,141.5000,141.5600,141.5000,141.5450,5900
1472049550,141.5250,141.5400,141.4800,141.5000,5300
1472049649,141.4601,141.5150,141.4601,141.5150,800
1472049660,141.4000,141.4600,141.4000,141.4600,3200
1472049726,141.3900,141.3900,141.3600,141.3900,3100
1472049838,141.3300,141.3900,141.3200,141.3900,3800
1472049840,141.3500,141.3600,141.3200,141.3400,1700
1472049900,141.2868,141.3400,141.2700,141.3400,7500
1472049966,141.2100,141.3100,141.2100,141.3100,8900
1472050067,141.2900,141.2900,141.2200,141.2300,6100
1472050138,141.3200,141.3200,141.2900,141.2900,4600
1472050190,141.3600,141.4000,141.3300,141.3300,4200
1472050200,141.3700,141.3700,141.3458,141.3458,2600
1472050267,141.3500,141.3800,141.3500,141.3550,3200
1472050377,141.3600,141.3900,141.3500,141.3850,1900
1472050436,141.3500,141.3600,141.3300,141.3600,2800
1472050442,141.4100,141.4100,141.3500,141.3600,1700
1472050500,141.3700,141.4100,141.3600,141.4000,1700
1472050578,141.3200,141.3550,141.3100,141.3500,2700
1472050620,141.2750,141.3300,141.2700,141.3200,2400
1472050706,141.2650,141.2800,141.2300,141.2800,3400
1472050749,141.2950,141.2950,141.2500,141.2633,3900
1472050856,141.3200,141.3400,141.3050,141.3100,2100
1472050864,141.3500,141.3500,141.3150,141.3200,2300
1472050979,141.3400,141.3700,141.3400,141.3400,4800
1472051035,141.3800,141.3900,141.3450,141.3600,2800
1472051097,141.4050,141.4100,141.3800,141.3800,3200
1472051102,141.4350,141.4400,141.3951,141.4000,2600
1472051160,141.4600,141.4800,141.4600,141.4600,3200
1472051222,141.4700,141.4800,141.4600,141.4700,2300
1472051294,141.4500,141.4600,141.4300,141.4500,1200
1472051353,141.4400,141.4414,141.4300,141.4400,3000
1472051459,141.4200,141.4400,141.4200,141.4350,2200
1472051518,141.4300,141.4500,141.3850,141.4200,4600
1472051577,141.3300,141.4300,141.3300,141.4100,3100
1472051580,141.3250,141.3500,141.3250,141.3300,2900
1472051641,141.3600,141.3600,141.3100,141.3100,3700
1472051701,141.4000,141.4000,141.3700,141.3800,3300
1472051800,141.4400,141.4400,141.3950,141.3950,1600
1472051835,141.4600,141.4600,141.3900,141.4400,3300
1472051886,141.4200,141.4500,141.4150,141.4500,1900
1472051970,141.3701,141.4100,141.3700,141.4000,2200
1472052057,141.4000,141.4100,141.3850,141.3850,1800
1472052062,141.3700,141.4000,141.3700,141.3950,1100
1472052121,141.3600,141.3800,141.3600,141.3600,2200
1472052184,141.4000,141.4100,141.3700,141.3700,2400
1472052296,141.3900,141.4299,141.3800,141.4100,3100
1472052300,141.3900,141.3900,141.3800,141.3900,2100
1472052395,141.3800,141.3900,141.3800,141.3800,1800
1472052423,141.4100,141.4200,141.3700,141.3800,4800
1472052484,141.4800,141.5000,141.4200,141.4200,1600
1472052545,141.4800,141.4900,141.4450,141.4600,3500
1472052612,141.4800,141.5099,141.4800,141.4900,2700
1472052714,141.5000,141.5000,141.4600,141.4750,2900
1472052779,141.4201,141.4900,141.4200,141.4811,5500
1472052835,141.4100,141.4200,141.4000,141.4200,3700
1472052842,141.4100,141.4100,141.3700,141.4000,5300
1472052922,141.3900,141.3911,141.3800,141.3911,3700
1472052963,141.3600,141.3900,141.3600,141.3800,3100
1472053078,141.3299,141.3400,141.3150,141.3300,4900
1472053081,141.4100,141.4100,141.3300,141.3300,3000
1472053159,141.4036,141.4350,141.4000,141.4300,900
1472053257,141.3800,141.4100,141.3800,141.4050,1800
1472053317,141.3500,141.3900,141.3500,141.3900,1400
1472053324,141.3500,141.3600,141.3500,141.3550,1800
1472053391,141.3200,141.3700,141.3200,141.3500,5700
1472053443,141.3200,141.3200,141.2800,141.3200,2900
1472053503,141.2900,141.3100,141.2700,141.3000,3100
1472053567,141.3100,141.3105,141.3000,141.3000,1000
1472053625,141.3000,141.3199,141.2900,141.3050,2100
1472053688,141.2966,141.3300,141.2966,141.3100,2400
1472053779,141.2900,141.2900,141.2900,141.2900,200
1472053804,141.2700,141.2900,141.2700,141.2900,1900
1472053909,141.3000,141.3000,141.2500,141.2700,5300
1472053978,141.2600,141.2950,141.2600,141.2900,900
1472053980,141.2900,141.2900,141.2600,141.2600,2000
1472054046,141.2100,141.2800,141.2100,141.2800,2100
1472054119,141.2100,141.2100,141.2000,141.2000,3600
1472054217,141.2122,141.2122,141.2000,141.2100,1800
1472054239,141.2000,141.2000,141.2000,141.2000,200
1472054309,141.2000,141.2000,141.1800,141.1900,2700
1472054340,141.2500,141.2500,141.2000,141.2100,600
1472054400,141.2800,141.2900,141.2800,141.2800,800
1472054472,141.2500,141.2900,141.2400,141.2900,2400
1472054530,141.2450,141.2540,141.2400,141.2500,1100
1472054580,141.3300,141.3500,141.2400,141.2450,4200
1472054694,141.3400,141.3400,141.3201,141.3400,700
1472054702,141.2930,141.3300,141.2900,141.3300,2300
1472054819,141.2700,141.3100,141.2700,141.3100,1900
1472054822,141.3300,141.3300,141.2813,141.2813,5100
1472054881,141.4200,141.4200,141.3400,141.3400,4600
1472054943,141.3900,141.4300,141.3800,141.4300,2000
1472055003,141.3700,141.4000,141.3700,141.4000,1500
1472055063,141.4300,141.4400,141.3800,141.3810,7100
1472055163,141.4400,141.4700,141.4300,141.4400,1800
1472055180,141.4900,141.4900,141.4700,141.4700,2100
1472055252,141.4900,141.4900,141.4700,141.4900,1600
1472055302,141.4700,141.5100,141.4700,141.4800,2600
1472055418,141.4200,141.4800,141.4200,141.4800,1000
1472055438,141.4100,141.4300,141.3900,141.4100,2900
1472055487,141.3900,141.4300,141.3800,141.4100,4400
1472055547,141.3500,141.3900,141.3300,141.3800,2800
1472055607,141.3499,141.3500,141.3400,141.3500,2300
1472055665,141.3301,141.3500,141.3300,141.3500,1800
1472055724,141.3200,141.3400,141.3200,141.3260,4300
1472055780,141.3000,141.3200,141.2800,141.3100,4000
1472055849,141.2500,141.2900,141.2400,141.2900,7000
1472055950,141.2500,141.2600,141.2300,141.2600,3800
1472055979,141.2400,141.2500,141.2300,141.2500,1300
1472056053,141.2300,141.2400,141.1900,141.2300,2800
1472056128,141.1700,141.2200,141.1700,141.2200,1600
1472056142,141.2200,141.2200,141.1700,141.1700,2800
1472056201,141.2400,141.2400,141.2050,141.2050,1400
1472056264,141.2500,141.2600,141.2350,141.2350,3800
1472056321,141.2400,141.2400,141.2300,141.2400,2400
1472056396,141.2300,141.2600,141.2300,141.2400,2000
1472056442,141.2100,141.2300,141.2010,141.2300,2900
1472056559,141.2300,141.2400,141.2100,141.2100,2300
1472056619,141.2400,141.2500,141.2200,141.2300,3300
1472056620,141.2300,141.2310,141.2300,141.2310,400
1472056691,141.2500,141.2500,141.2200,141.2400,4500
1472056752,141.2400,141.2400,141.2400,141.2400,1000
1472056806,141.2250,141.2500,141.2250,141.2300,4300
1472056895,141.2200,141.2200,141.2200,141.2200,200
1472056958,141.2200,141.2200,141.2050,141.2100,1700
1472056984,141.2600,141.2600,141.2200,141.2200,3100
1472057045,141.2700,141.2800,141.2600,141.2700,1600
1472057108,141.3300,141.3300,141.2700,141.2700,2500
1472057169,141.3000,141.3200,141.3000,141.3200,700
1472057278,141.2650,141.3300,141.2650,141.3200,2300
1472057281,141.2500,141.2600,141.2500,141.2600,1700
1472057394,141.2100,141.2499,141.2090,141.2400,2600
1472057402,141.2150,141.2400,141.2100,141.2200,5000
1472057466,141.2400,141.2400,141.2150,141.2200,3200
1472057578,141.2950,141.3000,141.2500,141.2500,2900
1472057580,141.2800,141.3100,141.2800,141.3100,2400
1472057648,141.3100,141.3100,141.2800,141.2900,2200
1472057735,141.3100,141.3100,141.2900,141.3000,1600
1472057763,141.3000,141.3137,141.2800,141.3100,4600
1472057820,141.2850,141.3000,141.2850,141.3000,1800
1472057932,141.2400,141.2899,141.2400,141.2899,2100
1472057995,141.2490,141.2500,141.2200,141.2300,2400
1472058051,141.2250,141.2535,141.2250,141.2500,5100
1472058109,141.2100,141.2200,141.2100,141.2200,1400
1472058122,141.2100,141.2200,141.2000,141.2000,3600
1472058189,141.1869,141.2000,141.1700,141.2000,5000
1472058273,141.1750,141.1799,141.1650,141.1700,3700
1472058325,141.1700,141.1700,141.1650,141.1700,1400
1472058369,141.1900,141.1900,141.1700,141.1700,1300
1472058426,141.2500,141.2500,141.1900,141.1900,3500
1472058539,141.2540,141.2600,141.2300,141.2550,6400
1472058545,141.2100,141.2450,141.2000,141.2400,4900
1472058614,141.1800,141.2000,141.1800,141.2000,2800
1472058674,141.1650,141.1700,141.1600,141.1700,2600
1472058723,141.1550,141.1700,141.1300,141.1600,4700
1472058796,141.1400,141.1500,141.1250,141.1500,2900
1472058856,141.1379,141.1500,141.1379,141.1400,900
1472058919,141.1300,141.1700,141.1300,141.1400,3000
1472058976,141.1400,141.1500,141.1310,141.1400,2500
1472059062,141.1600,141.1700,141.1500,141.1500,1100
1472059121,141.1400,141.1500,141.1400,141.1500,1300
1472059186,141.1400,141.1600,141.1200,141.1320,4500
1472059203,141.1500,141.1799,141.1450,141.1450,4000
1472059365,141.1300,141.1550,141.1200,141.1550,1000
1472059381,141.1300,141.1300,141.1050,141.1234,2100
1472059493,141.0500,141.1300,141.0500,141.1300,5600
1472059500,141.0520,141.0800,141.0500,141.0700,2600
1472059618,141.0550,141.0700,141.0500,141.0625,2200
1472059625,141.0500,141.0600,141.0500,141.0600,600
1472059684,141.0500,141.0800,141.0500,141.0700,1600
1472059762,141.0400,141.0499,141.0300,141.0499,3000
1472059809,141.0300,141.0439,141.0210,141.0300,5000
1472059863,141.0300,141.0300,141.0000,141.0200,3000
1472059921,141.0500,141.0600,141.0100,141.0600,2400
1472060038,141.0600,141.0600,141.0300,141.0500,2600
1472060040,141.0390,141.0600,141.0200,141.0600,2700
1472060103,141.0500,141.0500,141.0300,141.0400,2400
1472060167,141.0300,141.0500,141.0300,141.0500,1800
1472060270,141.0400,141.0500,141.0300,141.0300,1800
1472060283,141.0250,141.0400,141.0250,141.0400,1700
1472060393,141.0100,141.0300,141.0000,141.0100,5400
1472060459,141.0200,141.0200,141.0000,141.0200,2300
1472060462,140.9900,141.0100,140.9800,141.0100,6800
1472060632,140.9750,140.9800,140.9600,140.9800,3100
1472060645,141.0400,141.0500,140.9750,140.9800,5600
1472060716,141.0700,141.0800,141.0550,141.0550,3100
1472060771,141.0663,141.1000,141.0663,141.0800,3000
1472060831,141.0900,141.1000,141.0600,141.0600,3000
1472060882,141.0900,141.1200,141.0800,141.1100,2400
1472060954,141.0800,141.0800,141.0700,141.0800,1500
1472061043,141.0700,141.0800,141.0650,141.0700,1300
1472061112,141.0900,141.0999,141.0800,141.0900,2500
1472061120,141.0900,141.0980,141.0900,141.0980,500
1472061235,141.0800,141.1000,141.0800,141.0900,2500
1472061241,141.0550,141.0800,141.0500,141.0800,2200
1472061312,141.0400,141.0400,141.0350,141.0400,2800
1472061413,141.0100,141.0300,140.9800,141.0300,7800
1472061433,141.0000,141.0100,140.9800,141.0000,3500
1472061483,141.0000,141.0000,140.9850,140.9999,2900
1472061599,140.9800,140.9900,140.9600,140.9900,5400
1472061603,140.9600,140.9900,140.9600,140.9800,3300
1472061666,140.9100,140.9400,140.8900,140.9300,5400
1472061723,140.8700,140.9250,140.8700,140.9100,3000
1472061782,140.8600,140.9000,140.8550,140.8650,5700
1472061898,140.8400,140.8600,140.8300,140.8575,4000
1472061902,140.7300,140.8350,140.7300,140.8300,7600
1472061961,140.6500,140.7100,140.6500,140.7100,4700
1472062020,140.7300,140.7500,140.6400,140.6500,7200
